用户名,会员,星级,评论,采集时间,类型1,评论时间1,类型2,评论时间2,评论时间3,评论时间4
****G,PLUS会员,"<div class=""comment-star star3""></div>",一盒包装有损坏一盒还好,2022/4/22 16:10,水润保湿面膜10片,2016/11/15 9:46,,,,
u***9,,"<div class=""comment-star star3""></div>",给孩子买的不晓得好不好,2022/4/22 16:10,水润保湿面膜10片,2017/12/31 17:11,,,,
f***I,,"<div class=""comment-star star3""></div>",给老婆买的，她还蛮喜欢的,2022/4/22 16:10,水润保湿面膜10片,2017/12/12 10:40,,,,
****u,,"<div class=""comment-star star3""></div>",东西还行吧，送货也比较快。,2022/4/22 16:10,水润保湿面膜10片,2016/7/15 0:14,,,,
夏***猫,,"<div class=""comment-star star3""></div>",不错，跟香港买的价格一样,2022/4/22 16:10,水润保湿面膜10片,2017/7/3 3:04,,,,
心***3,PLUS会员,"<div class=""comment-star star3""></div>",常买的不错哦，性价比高,10:28.0,水润保湿面膜10片,2018/5/2 18:41,,,,
l***6,,"<div class=""comment-star star3""></div>",不行，第一次买用着还可以,2022/4/22 16:10,水润保湿面膜10片,2017/10/6 21:40,,,,
u***1,,"<div class=""comment-star star3""></div>",快递很快但是包装很简陋！,10:28.1,水润保湿面膜10片,2017/7/19 10:27,,,,
u***c,,"<div class=""comment-star star3""></div>",?就是包装坏了，其他都挺好,10:28.2,水润保湿面膜10片,,,,,2017/3/7 15:29
u***8,PLUS会员,"<div class=""comment-star star3""></div>",这种包装我该评多少分呢？,10:28.2,,,水润保湿面膜10片,,2017/12/7 13:02,
路***界,,"<div class=""comment-star star3""></div>",信赖京东信赖京东师傅,10:28.5,,,水润保湿面膜10片,,2017/6/20 18:52,
****7,PLUS会员,"<div class=""comment-star star3""></div>",东西不错我很喜欢，相信品质,10:28.7,水润保湿面膜,,,,,
****C,,"<div class=""comment-star star3""></div>",保湿效果太好，连包装都湿了,10:28.7,,,水润保湿面膜10片,,2018/4/7 18:00,
天***3,PLUS会员,"<div class=""comment-star star3""></div>",还可以，618价格也没便宜。果果,10:28.8,,,水润保湿面膜10片,,2016/7/21 6:55,
f***8,PLUS会员,"<div class=""comment-star star3""></div>",包包还好，价格中等，功能欠多。,10:28.8,水润保湿面膜,,,,,
****b,PLUS会员,"<div class=""comment-star star3""></div>",不知道我的快递经历了什么。。。,10:28.9,,,水润保湿面膜10片,,2018/5/20 21:46,
无***明,,"<div class=""comment-star star3""></div>",这次购买个人感觉真的一般般,10:29.0,水润保湿面膜,,,,,
****b,,"<div class=""comment-star star3""></div>",还没开始用，下午开包试试，，，，，，,10:29.0,,,水润保湿面膜10片,,2017/8/13 11:34,
柏***声,PLUS会员,"<div class=""comment-star star3""></div>",的确很便宜，但不知道是不是真的,10:29.1,水润保湿面膜10片,2017/7/10 19:47,,,,
S***g,,"<div class=""comment-star star3""></div>",包装惨不忍睹了，还没用先中评吧,10:29.2,水润保湿面膜10片,2018/6/2 17:10,,,,
G***v,,"<div class=""comment-star star3""></div>",很补水不知道是不是真的,10:29.6,水润保湿面膜10片,2016/11/11 15:39,,,,
****0,,"<div class=""comment-star star3""></div>",面膜有点厚，其它都还好,10:29.7,水润保湿面膜10片,2017/11/16 6:07,,,,
****r,,"<div class=""comment-star star3""></div>",感觉！还可以！以后还会买！,10:29.7,水润保湿面膜10片,2016/11/18 9:21,,,,
王***拉,,"<div class=""comment-star star3""></div>",给朋友买的，没给反馈呢,10:29.8,,,水润保湿面膜10片,,2018/6/10 22:57,
h***e,,"<div class=""comment-star star3""></div>",送货速度快，商品待使用后评价,10:29.8,水润保湿面膜10片,2016/8/11 10:41,,,,
****J,,"<div class=""comment-star star3""></div>",产品还可以，就是价格有点点小贵。,10:29.9,水润保湿面膜10片,2017/4/19 14:54,,,,
z***i,PLUS会员,"<div class=""comment-star star3""></div>",中规中矩，一分钱一分货。依赖性大,10:29.9,水润保湿面膜,,,,,
植***敏,,"<div class=""comment-star star3""></div>",面膜有点厚，其它都还行,10:30.0,水润保湿面膜,,,,,
天***宽,,"<div class=""comment-star star3""></div>",还好吧，老婆使用，挺好用,10:30.0,水润保湿面膜,,,,,
u***d,PLUS会员,"<div class=""comment-star star3""></div>",补水效果真的一般般吧,10:30.0,水润保湿面膜,,,,,
u***u,PLUS会员,"<div class=""comment-star star3""></div>",还不错，补水效果还可以,10:30.3,水润保湿面膜10片,2017/7/20 9:53,,,,
今***1,,"<div class=""comment-star star3""></div>",适合脸特别小的！还要长长的那种！,10:30.4,【热销爆款】水润保湿面膜,,,,,
a***海,,"<div class=""comment-star star3""></div>",跟以前韩国代购的不一样价格便宜,10:30.5,水润保湿面膜10片,2016/9/16 7:16,,,,
z***6,,"<div class=""comment-star star3""></div>",打折买的，还没用期待效果,10:30.5,水润保湿面膜10片,2017/4/7 13:00,,,,
