用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
李***银,,"<div class=""comment-star star3""></div>",一开始买了两盒，精华很多，非常好，第二次多买几盒，全部很干，很失望,2022-04-23 22:55:55.466,【维稳滋润】燕窝蛋白面膜,,2022-02-04 23:44,,
马***0,,"<div class=""comment-star star2""></div>",一分钱一分货。和真品没法比,2022-04-23 22:55:55.528,【维稳滋润】燕窝蛋白面膜,,2021-11-05 16:42,,
北***4,PLUS会员,"<div class=""comment-star star2""></div>",和紫色一样，也是乳白色，推不开。敷完要洗脸那种,2022-04-23 22:55:55.579,,【维稳滋润】燕窝蛋白面膜,,2021-09-11 09:19,
啊***9,,"<div class=""comment-star star2""></div>",同时买了三款不同功效的面膜，这一款燕窝蛋白敷了以后脸上有一种热辣辣的感觉，其他两款都不会出现这种感觉，当时就不敢再继续用了,2022-04-23 22:55:55.630,,【维稳滋润】燕窝蛋白面膜,,2021-08-04 16:42,
r***1,PLUS会员,"<div class=""comment-star star2""></div>",拆开箱子，4盒面膜，其中一盒包装封口是打开的，封口胶也是对折的。数量没少，但是对于消费者来说，还是你有点感觉这东西被拆封，动过的。不明原因，为什么？,2022-04-23 22:55:55.680,,【维稳滋润】燕窝蛋白面膜,,2021-12-03 17:34,
****z,PLUS会员,"<div class=""comment-star star3""></div>",说实话一般般，感觉很大，是我脸小吗？？？哈哈哈,2022-04-23 22:55:55.729,,【维稳滋润】燕窝蛋白面膜,,2021-09-22 10:59,
u***u,PLUS会员,"<div class=""comment-star star3""></div>",用了一张再评价，精华很少，质地粗糙。,2022-04-23 22:55:55.784,【维稳滋润】燕窝蛋白面膜,,2021-12-21 09:20,,
****g,,"<div class=""comment-star star2""></div>",太厚了，感觉不透气，不好用，不值这个价钱,2022-04-23 22:55:55.827,【维稳滋润】燕窝蛋白面膜,,2021-08-23 13:04,,
w***8,,"<div class=""comment-star star2""></div>",50片装的和10片装的链接放一起，就觉得很坑。退货还扣运费还每盒扣一次，真的是套路这么深。效果没见比10片装的优秀，总之擦亮双眼吧,2022-04-23 22:55:55.873,【维稳滋润】燕窝蛋白面膜,,2021-12-13 19:52,,
z***0,,"<div class=""comment-star star2""></div>",用了一贴，概率是假～～错过了退货时间～近倆年一直用此品牌仅丛官方店购买。此次膜贴感觉差异很大～里面液体少的可怜，用的膜纸质更差～～贴完后感觉也没有水润润感觉～而且感觉干黏～～膜后面中文字符官方是黑体，此膜都是宋体～～,2022-04-23 22:55:55.925,【维稳滋润】燕窝蛋白面膜,,2021-11-24 18:09,,
我***了,,"<div class=""comment-star star2""></div>",面膜布不服贴。还没有补水的好用。,2022-04-23 22:55:56.424,【维稳滋润】燕窝蛋白面膜,,2021-08-26 20:30,,
****U,PLUS会员,"<div class=""comment-star star2""></div>",不好用，不贴肤，乳液太稠，不易吸收,2022-04-23 22:55:56.479,【维稳滋润】燕窝蛋白面膜,,2021-10-17 23:57,,
李***b,,"<div class=""comment-star star3""></div>",不知道是不是真品，扫码扫不出,2022-04-23 22:55:56.530,【维稳滋润】燕窝蛋白面膜,,2021-08-17 19:18,,
****7,,"<div class=""comment-star star2""></div>",售后服务差，调换货不方便，非得让退了吗,2022-04-23 22:55:56.587,【维稳滋润】燕窝蛋白面膜,,2021-06-28 10:44,,
缒***遠,,"<div class=""comment-star star3""></div>",新品，用了再说吧,2022-04-23 22:55:56.659,【维稳滋润】燕窝蛋白面膜,,2021-06-20 21:37,,
****w,,"<div class=""comment-star star3""></div>",只有吴5片，草率了，！,2022-04-23 22:55:56.707,【维稳滋润】燕窝蛋白面膜,,2022-01-23 21:02,,
****b,,"<div class=""comment-star star3""></div>",一般般,2022-04-23 22:55:56.759,【维稳滋润】燕窝蛋白面膜,,2021-08-19 22:02,,
化***哥,PLUS会员,"<div class=""comment-star star3""></div>",已经买过很多遍面膜了，还是可以的，可是这一次不知道是皮肤问题还是季节啥的，就有点补不进去那个水呀，然后有点粘粘的，洗掉就感觉又没有什么了，继续使用看看呗，不过之前买的挺好的哟。,2022-04-23 22:55:56.806,【维稳滋润】燕窝蛋白面膜,,2022-04-03 23:05,,
