用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
u***j,,"<div class=""comment-star star3""></div>",不错不错不错不错，很实惠的,2022-04-23 20:10:06.767,胶原蛋白面膜10片,,2018-06-13 16:18,,
_***_,,"<div class=""comment-star star3""></div>",包装破损，希望东西会可以吧,2022-04-23 20:10:06.834,胶原蛋白面膜,,,,2018-11-16 10:17
w***5,,"<div class=""comment-star star3""></div>",还行吧，送给我妈妈，她很喜欢,2022-04-23 20:10:06.928,胶原蛋白面膜10片,,2017-07-28 22:35,,
****p,PLUS会员,"<div class=""comment-star star3""></div>",一直再用这款，赶上活动，75元,2022-04-23 20:10:07.006,胶原蛋白面膜10片,,2017-11-29 12:28,,
****n,PLUS会员,"<div class=""comment-star star3""></div>",到的很快还没用，包装部分破损,2022-04-23 20:10:07.088,胶原蛋白面膜10片,,2016-11-09 15:06,,
****m,,"<div class=""comment-star star3""></div>",给长辈买的，用过再来评价吧,2022-04-23 20:10:07.152,胶原蛋白面膜10片,,2018-03-11 20:21,,
w***4,,"<div class=""comment-star star3""></div>",还没用，希望自己能喜欢,2022-04-23 20:10:07.217,胶原蛋白面膜10片,,2018-02-08 10:55,,
****2,,"<div class=""comment-star star3""></div>",包装袋凹陷速度倒是挺快的,2022-04-23 20:10:07.273,胶原蛋白面膜10片,,2017-09-30 13:38,,
e***1,,"<div class=""comment-star star3""></div>",还没有使用，希望比老版的好用吧,2022-04-23 20:10:07.321,胶原蛋白面膜,,,,2019-04-26 09:11
****1,,"<div class=""comment-star star3""></div>",说的很好但效果没什么,2022-04-23 20:10:07.386,胶原蛋白面膜10片,,2017-03-31 21:17,,
****2,PLUS会员,"<div class=""comment-star star3""></div>",还没用，不知道质量怎么样,2022-04-23 20:10:07.682,胶原蛋白面膜10片,,2017-12-14 17:42,,
一***5,PLUS会员,"<div class=""comment-star star3""></div>",还可以吧，但面膜太小了,2022-04-23 20:10:07.741,胶原蛋白面膜10片,,2017-09-12 16:46,,
z***i,PLUS会员,"<div class=""comment-star star3""></div>",中规中矩，一分钱一分货。依赖性大,2022-04-23 20:10:07.805,胶原蛋白面膜,,,,2018-11-13 16:20
邹***妈,PLUS会员,"<div class=""comment-star star3""></div>",货已收到，用后在评价了,2022-04-23 20:10:07.886,胶原蛋白面膜,,,,2019-08-30 13:59
p***3,PLUS会员,"<div class=""comment-star star3""></div>",货已收到，不知效果如何！,2022-04-23 20:10:07.958,胶原蛋白面膜10片,,2017-11-12 11:46,,
u***g,,"<div class=""comment-star star3""></div>",能把星星全给快递小哥吗。大赞一个,2022-04-23 20:10:08.052,胶原蛋白面膜10片,,,,
h***9,,"<div class=""comment-star star3""></div>",还没有用，有效果了再说,2022-04-23 20:10:08.144,胶原蛋白面膜10片,,2017-06-25 10:44,,
****m,,"<div class=""comment-star star3""></div>",刚收到，还没有用，期待中,2022-04-23 20:10:08.208,胶原蛋白面膜10片,,2017-12-13 19:56,,
u***7,,"<div class=""comment-star star3""></div>",精华液超级多补水可以的,2022-04-23 20:10:08.273,胶原蛋白面膜10片,,2017-08-08 16:13,,
T***丶,PLUS会员,"<div class=""comment-star star3""></div>",效果目前不明显，还在用！,2022-04-23 20:10:08.338,胶原蛋白面膜10片,,2018-08-08 13:18,,
y***草,PLUS会员,"<div class=""comment-star star3""></div>",还可以，用完没什么毛病。,2022-04-23 20:10:08.651,胶原蛋白面膜10片,,2018-09-12 08:06,,
小***崽,PLUS会员,"<div class=""comment-star star3""></div>",没啥特别的感觉，就那样吧,2022-04-23 20:10:08.705,胶原蛋白面膜,,,,2019-10-16 21:01
****s,,"<div class=""comment-star star3""></div>",扫不到码，不知道真假，还没用,2022-04-23 20:10:08.752,胶原蛋白面膜10片,,2017-06-11 16:56,,
****x,,"<div class=""comment-star star3""></div>",京东做活动买的，很划算……,2022-04-23 20:10:08.806,胶原蛋白面膜10片,,2017-07-13 17:21,,
y***9,,"<div class=""comment-star star3""></div>",和韩国带回来的不一样。但价格也便宜,2022-04-23 20:10:08.855,胶原蛋白面膜10片,,2017-05-02 10:31,,
****0,PLUS会员,"<div class=""comment-star star3""></div>",好好的就，不如补水的效果好,2022-04-23 20:10:08.902,胶原蛋白面膜,,,,2019-10-18 04:30
D***0,,"<div class=""comment-star star3""></div>",物流很快，东西还没用，用后再来评价,2022-04-23 20:10:08.958,胶原蛋白面膜10片,,2017-09-26 13:20,,
你***好,,"<div class=""comment-star star3""></div>",一直用这个面膜感觉还不错,2022-04-23 20:10:09.011,胶原蛋白面膜10片,,,,
e***x,,"<div class=""comment-star star3""></div>",买了还没有用，不知道怎么样,2022-04-23 20:10:09.059,胶原蛋白面膜10片,,2018-06-15 21:09,,
j***n,PLUS会员,"<div class=""comment-star star3""></div>",看起来还可以吧，还没有使用,2022-04-23 20:10:09.115,胶原蛋白面膜10片,,2017-08-21 15:32,,
y***3,,"<div class=""comment-star star3""></div>",东西还不错，但是使用不太好用,2022-04-23 20:10:09.435,胶原蛋白面膜10片,,2017-04-02 17:57,,
Z***L,,"<div class=""comment-star star3""></div>",红色包装的用了过敏！没怎么用,2022-04-23 20:10:09.494,胶原蛋白面膜10片,,2016-12-13 21:24,,
海***运,,"<div class=""comment-star star3""></div>",还可以吧，水分很多，保湿效果一般,2022-04-23 20:10:09.546,,胶原蛋白面膜10片,,2018-09-18 22:13,
****2,PLUS会员,"<div class=""comment-star star3""></div>",同牌子买的两款还可以吧！,2022-04-23 20:10:09.603,胶原蛋白面膜10片,,2018-01-10 21:07,,
连***爵,PLUS会员,"<div class=""comment-star star3""></div>",很好用的一款产品质量挺好,2022-04-23 20:10:09.656,,【莹润肌肤】胶原蛋白面膜,,,
我***A,,"<div class=""comment-star star3""></div>",第一次用这个牌子，补水效果不错,2022-04-23 20:10:09.709,胶原蛋白面膜10片,,,,
z***i,PLUS会员,"<div class=""comment-star star3""></div>",个人感觉，各方面，都一般。中规中矩。,2022-04-23 20:10:09.765,胶原蛋白面膜,,,,2018-10-12 00:40
潘***冰,,"<div class=""comment-star star3""></div>",面膜挺好的敷起来还行吧,2022-04-23 20:10:09.816,胶原蛋白面膜10片,,2017-06-06 10:07,,
h***3,PLUS会员,"<div class=""comment-star star3""></div>",又破又脏。面膜不知道有没有问题。,2022-04-23 20:10:09.873,,胶原蛋白面膜10片,,2018-06-04 18:26,
简***0,,"<div class=""comment-star star3""></div>",不知道是不是正品，但价格确实是挺优惠的,2022-04-23 20:10:09.938,胶原蛋白面膜10片,,2018-01-29 09:44,,
朱***4,,"<div class=""comment-star star3""></div>",还没用不知道收到了快递挺快的,2022-04-23 20:10:10.191,胶原蛋白面膜10片,,2017-10-24 12:05,,
韩***冰,,"<div class=""comment-star star3""></div>",面膜不如国产的很多牌子用着舒服,2022-04-23 20:10:10.259,胶原蛋白紧致面膜25ml*10,,2016-06-25 19:40,,
****袖,PLUS会员,"<div class=""comment-star star3""></div>",还可以感觉比蓝色的好点心理作用,2022-04-23 20:10:10.308,,胶原蛋白面膜10片,,2017-11-11 08:28,
水***冷,PLUS会员,"<div class=""comment-star star3""></div>",降价快，怕降价的天天盯着就行了。,2022-04-23 20:10:10.355,【提亮紧致】胶原蛋白面膜,,2020-11-09 16:35,,
****1,,"<div class=""comment-star star3""></div>",这个面膜我买了好多款以后用好了再来评价吧,2022-04-23 20:10:10.404,胶原蛋白面膜10片,,2018-04-02 19:01,,
z***2,,"<div class=""comment-star star3""></div>",搞活动时买的，价格合适，用着一般！,2022-04-23 20:10:10.448,,胶原蛋白面膜10片,,2017-09-03 06:57,
n***m,,"<div class=""comment-star star3""></div>",送货速度快，一下买了三盒，但一盒都没有封口,2022-04-23 20:10:10.496,,胶原蛋白面膜,,,
唐***1,,"<div class=""comment-star star3""></div>",这种用了皮肤会很滑，但也就这样,2022-04-23 20:10:10.551,【弹力紧致】胶原蛋白面膜,,,,2020-01-02 13:41
****j,,"<div class=""comment-star star3""></div>",黄色比蓝色和黑色好用些,2022-04-23 20:10:10.615,【提亮紧致】胶原蛋白面膜,,2020-11-26 08:46,,
s***a,PLUS会员,"<div class=""comment-star star3""></div>",比之前买的保湿的要更加滋润补水啊,2022-04-23 20:10:10.670,,胶原蛋白面膜10片,,2017-11-12 15:54,
t***t,PLUS会员,"<div class=""comment-star star3""></div>",精华很少，比蓝色的少多了,2022-04-23 20:10:10.992,,【弹力紧致】胶原蛋白面膜,,,
王***风,,"<div class=""comment-star star3""></div>",宝贝已经开始在用了，效果真的不错，下次还会来买的！,2022-04-23 20:10:11.044,胶原蛋白面膜10片,,2017-07-11 09:12,,
L***1,PLUS会员,"<div class=""comment-star star3""></div>",还可以，眼角开的有点大。。。,2022-04-23 20:10:11.101,【提亮紧致】胶原蛋白面膜,,2020-09-11 22:47,,
u***p,,"<div class=""comment-star star3""></div>",买了几次，还不错，不知道是否正品，配送速度快,2022-04-23 20:10:11.155,胶原蛋白面膜10片,,2016-12-10 18:08,,
****o,,"<div class=""comment-star star3""></div>",好用，用起来滑滑，很补水啊,2022-04-23 20:10:11.206,胶原蛋白面膜10片,,2016-08-07 21:07,,
****e,,"<div class=""comment-star star3""></div>",老顾客了，买了很多次了，物美价廉，不错的选择！,2022-04-23 20:10:11.260,胶原蛋白面膜,,,,2019-08-04 16:58
****b,,"<div class=""comment-star star3""></div>",货已到，还没用，不知道效果如何？,2022-04-23 20:10:11.315,胶原蛋白面膜10片,,2018-05-10 16:12,,
小***皮,,"<div class=""comment-star star3""></div>",新版不太好用还买这么多，还送了闺蜜一堆我哭了。,2022-04-23 20:10:11.366,【莹润肌肤】胶原蛋白面膜,,,,2020-04-25 13:42
s***C,,"<div class=""comment-star star3""></div>",感觉还不错，就是效果还木有出来,2022-04-23 20:10:11.420,胶原蛋白面膜10片,,2016-11-13 08:28,,
迷***兔,PLUS会员,"<div class=""comment-star star3""></div>",包装坏了一点，其他还行吧,2022-04-23 20:10:11.479,,【光滑弹嫩】胶原蛋白面膜,,2021-05-10 22:43,
****m,,"<div class=""comment-star star3""></div>",用完过敏了，买了一堆，可转！,2022-04-23 20:10:11.816,【弹力紧致】胶原蛋白面膜,,,,2020-02-11 14:45
M***龙,,"<div class=""comment-star star3""></div>",快递包装很好，商品包装被拆开了，塑标都被撕了,2022-04-23 20:10:11.866,【弹力紧致】胶原蛋白面膜,,,,2020-03-07 12:48
s***e,,"<div class=""comment-star star3""></div>",补水效果：一般产品质感：还行适合肤质：都还好吧,2022-04-23 20:10:11.910,【弹力紧致】胶原蛋白面膜,,,,2020-02-27 12:43
****y,PLUS会员,"<div class=""comment-star star3""></div>",香味很浓，不喜欢，但挺贴服，,2022-04-23 20:10:11.957,,【弹力紧致】胶原蛋白面膜,,,
u***x,,"<div class=""comment-star star3""></div>",可能需要长期吧感觉没什么效果,2022-04-23 20:10:12.002,,胶原蛋白面膜10片,,2018-07-01 10:22,
u***x,PLUS会员,"<div class=""comment-star star3""></div>",这次感觉没得以前的用起来舒服,2022-04-23 20:10:12.042,【提亮紧致】胶原蛋白面膜,,2020-11-08 20:31,,
d***0,,"<div class=""comment-star star3""></div>",精华液比较少，下次还是到进口商品店里买。,2022-04-23 20:10:12.089,胶原蛋白面膜10片,,2016-11-11 10:55,,
****l,,"<div class=""comment-star star3""></div>",京东快递给力，用了后才来评价，效果还行吧,2022-04-23 20:10:12.142,胶原蛋白面膜10片,,2017-12-14 11:42,,
****g,PLUS会员,"<div class=""comment-star star3""></div>",用了还是不错，和以前在京东买的一样，就是包装开了，太过简陋,2022-04-23 20:10:12.190,胶原蛋白面膜10片,,2018-07-07 09:17,,
****i,,"<div class=""comment-star star3""></div>",整体感觉还好，就是为啥面膜打开就是是破的,2022-04-23 20:10:12.254,胶原蛋白面膜,,,,2019-05-18 10:45
****7,,"<div class=""comment-star star3""></div>",收到货就用了一片，表示不会再来买，不过快递服务非常棒,2022-04-23 20:10:12.672,胶原蛋白面膜10片,,2017-05-11 21:55,,
****f,,"<div class=""comment-star star3""></div>",给个中评吧，一般般，没有我表姐在香港带的好,2022-04-23 20:10:12.724,胶原蛋白面膜,,,,2019-10-04 14:08
****1,PLUS会员,"<div class=""comment-star star3""></div>",商品用着还不错，感觉还是可以的。,2022-04-23 20:10:12.779,,胶原蛋白面膜10片,,2018-06-18 12:57,
等***鸟,,"<div class=""comment-star star3""></div>",相信品牌，相信京东，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞,2022-04-23 20:10:12.831,胶原蛋白面膜,,,,2019-02-15 09:03
仐***谱,,"<div class=""comment-star star3""></div>",买了3种面膜其他两盒都好，就是这款是拆了的,2022-04-23 20:10:12.881,【提亮紧致】胶原蛋白面膜,,2020-10-05 06:05,,
****x,,"<div class=""comment-star star3""></div>",还可以……就是不知道用效果怎样,2022-04-23 20:10:12.940,胶原蛋白面膜10片,,2017-11-08 11:14,,
