用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
u***v,,"<div class=""comment-star star3""></div>",还行吧！只是包装不太好。,2022-04-23 20:40:49.574,美白黑炭面膜10片,,2017-11-24 18:10,,
u***5,,"<div class=""comment-star star3""></div>",不错哟，一直用这个面膜,2022-04-23 20:40:49.669,美白黑炭面膜,,,,2019-08-27 21:24
z***5,,"<div class=""comment-star star3""></div>",还可以就是包装被打开过,2022-04-23 20:40:49.799,,美白黑炭面膜10片,,2018-01-05 22:53,
苏***月,,"<div class=""comment-star star3""></div>","回家送给妈妈,希望可以.",2022-04-23 20:40:49.919,美白黑炭面膜10片,,2018-01-25 11:43,,
u***j,,"<div class=""comment-star star3""></div>",不错不错不错不错，很实惠的,2022-04-23 20:40:49.991,美白黑炭面膜10片,,2018-06-13 16:18,,
X***g,,"<div class=""comment-star star3""></div>",效果还可以，就是有点小贵哦,2022-04-23 20:40:50.049,,美白黑炭面膜10片,,2017-08-22 18:22,
****7,PLUS会员,"<div class=""comment-star star3""></div>",东西不错我很喜欢，相信品质,2022-04-23 20:40:50.125,美白黑炭面膜,,,,2018-11-20 16:49
风***8,PLUS会员,"<div class=""comment-star star3""></div>",赶上搞活动买的，挺实惠的,2022-04-23 20:40:50.184,透亮黑炭面膜10片,,2016-11-15 11:25,,
B***i,,"<div class=""comment-star star3""></div>",可以就是不知道是不是正品,2022-04-23 20:40:50.238,美白黑炭面膜10片,,2018-07-06 17:15,,
c***p,,"<div class=""comment-star star3""></div>",还没有用，不过物流挺快的。,2022-04-23 20:40:50.308,美白黑炭面膜10片,,,,
x***i,,"<div class=""comment-star star3""></div>",昨晚用了一片，感觉不错,2022-04-23 20:40:50.654,美白黑炭面膜10片,,,,
寒***影,PLUS会员,"<div class=""comment-star star3""></div>",正在试用中，期待效果中,2022-04-23 20:40:50.753,美白黑炭面膜10片,,2018-04-17 19:49,,
****a,,"<div class=""comment-star star3""></div>",还没用不知道效果如何,2022-04-23 20:40:50.822,透亮黑炭面膜10片,,2016-10-24 13:10,,
大***代,,"<div class=""comment-star star3""></div>",东西还没有用，不知道是不是正品,2022-04-23 20:40:50.902,美白黑炭面膜,,,,2019-03-10 15:11
****6,PLUS会员,"<div class=""comment-star star3""></div>",用过再评价，目前看着包装一般,2022-04-23 20:40:50.958,透亮黑炭面膜10片,,2016-10-26 11:30,,
痞***7,,"<div class=""comment-star star3""></div>",还行吧，效果不是很明显,2022-04-23 20:40:51.041,,美白黑炭面膜10片,,2017-04-07 13:24,
M***L,PLUS会员,"<div class=""comment-star star3""></div>",还可以，京东快递一如既往的快。。。。,2022-04-23 20:40:51.105,美白黑炭面膜10片,,2018-01-07 11:52,,
p***r,,"<div class=""comment-star star3""></div>",用了一片额头长痘痘了,2022-04-23 20:40:51.189,美白黑炭面膜,,,,2019-06-18 11:23
一***耀,PLUS会员,"<div class=""comment-star star3""></div>",经常用就是看不见效果,2022-04-23 20:40:51.274,美白黑炭面膜,,,,2019-07-03 17:08
****0,,"<div class=""comment-star star3""></div>",物流速度快。质量还可以,2022-04-23 20:40:51.346,【焕白因子】美白保湿黑面膜,,,,2020-05-25 17:52
u***h,,"<div class=""comment-star star3""></div>",还沒用不知道效果什样。,2022-04-23 20:40:51.704,透亮黑炭面膜10片,,2016-10-26 11:25,,
爱***C,,"<div class=""comment-star star3""></div>",第二次买啦用用再说吧,2022-04-23 20:40:51.775,美白黑炭面膜10片,,2017-05-22 16:57,,
z***i,,"<div class=""comment-star star3""></div>",保湿还可以，美白效果不大,2022-04-23 20:40:51.831,美白黑炭面膜10片,,2017-04-03 18:02,,
诺***瞄,PLUS会员,"<div class=""comment-star star3""></div>",还没使用，希望不会过敏,2022-04-23 20:40:51.907,美白黑炭面膜10片,,,,
u***c,,"<div class=""comment-star star3""></div>",包装是开的，凑单买的，不知道真假了,2022-04-23 20:40:52.002,美白黑炭面膜10片,,2018-04-28 07:03,,
u***5,,"<div class=""comment-star star3""></div>",很好用不错，一直都在用,2022-04-23 20:40:52.070,,美白黑炭面膜,,,
j***l,PLUS会员,"<div class=""comment-star star3""></div>",不错不错，京东的199-100实在太划算了,2022-04-23 20:40:52.123,美白黑炭面膜10片,,2018-06-07 22:12,,
X***I,,"<div class=""comment-star star3""></div>",之前有买过，用着挺舒服的！,2022-04-23 20:40:52.182,美白黑炭面膜10片,,2018-06-28 07:19,,
夏***猫,,"<div class=""comment-star star3""></div>",这款黑面膜用着挺舒服的。,2022-04-23 20:40:52.231,美白黑炭面膜10片,,2017-08-21 10:11,,
野***香,PLUS会员,"<div class=""comment-star star3""></div>",还没有使用。看起来还可以,2022-04-23 20:40:52.302,,美白黑炭面膜,,,
开***1,PLUS会员,"<div class=""comment-star star3""></div>",外包装挺差的，还没有用，希望正品,2022-04-23 20:40:52.609,,透亮黑炭面膜10片,,2016-12-14 10:10,
