用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
****d,,"<div class=""comment-star star3""></div>",还没有用，所以不好评价,55:34.9,毛孔紧致黑炭面膜10片,,2017/9/24 3:16,,
****i,PLUS会员,"<div class=""comment-star star3""></div>",还可以吧一分价钱一分货。,55:35.0,毛孔紧致黑炭面膜10片,,2017/9/23 13:51,,
****f,PLUS会员,"<div class=""comment-star star3""></div>",一般般那，特价可以买买试试,55:35.1,毛孔紧致黑炭面膜10片,,2017/4/4 9:25,,
****t,,"<div class=""comment-star star3""></div>",刚收到货，等用了再作评价,55:35.2,毛孔紧致黑炭面膜10片,,2017/7/29 10:10,,
极***卜,PLUS会员,"<div class=""comment-star star3""></div>",速度挺快，包装烂的有点厉害,55:35.2,毛孔紧致黑炭面膜10片,,2017/7/19 9:46,,
x***4,PLUS会员,"<div class=""comment-star star3""></div>",没用呢。还不知道怎么样,55:35.3,毛孔紧致黑炭面膜10片,,2018/8/22 12:17,,
e***s,,"<div class=""comment-star star3""></div>",还没用，不知道是不是真货,55:35.4,毛孔紧致黑炭面膜10片,,,,
一***者,,"<div class=""comment-star star3""></div>",没看出啥效果真的真的,55:35.4,毛孔紧致黑炭面膜10片,,2017/4/30 11:29,,
u***x,,"<div class=""comment-star star3""></div>",包装盒烂了，还没用之后再评价,55:35.6,,毛孔紧致黑炭面膜10片,,2017/11/29 18:43,
****d,,"<div class=""comment-star star3""></div>",还可以，就是水有点少了,55:35.7,毛孔紧致黑炭面膜10片,,,,
u***c,,"<div class=""comment-star star3""></div>",刚开始用期待有好的效果,55:36.2,毛孔紧致黑炭面膜10片,,2017/7/28 15:12,,
N***S,,"<div class=""comment-star star3""></div>",第一次买，不知道怎么样,55:36.3,毛孔紧致黑炭面膜10片,,2018/6/3 11:36,,
****3,,"<div class=""comment-star star3""></div>",还可以吧没有用完一疗程,55:36.4,,毛孔紧致黑炭面膜10片,,2017/9/23 22:40,
****i,,"<div class=""comment-star star3""></div>",刚收到货，用了在来测评,55:36.5,,毛孔紧致黑炭面膜,,,
爱***-,PLUS会员,"<div class=""comment-star star3""></div>",还不错贴完面膜脸滑滑的,55:36.6,毛孔紧致黑炭面膜10片,,2017/5/18 9:24,,
木***华,,"<div class=""comment-star star3""></div>",价格优惠，就是不知道是不是正品,55:36.7,,毛孔紧致黑炭面膜,,,
C***2,,"<div class=""comment-star star3""></div>",还可以吧，不知道是不是真的，那么便宜,55:36.8,毛孔紧致黑炭面膜10片,,2017/8/13 16:19,,
****r,PLUS会员,"<div class=""comment-star star3""></div>",很好用，价格比实体店还要贵,55:36.9,毛孔紧致黑炭面膜10片,,2017/5/15 23:39,,
c***7,,"<div class=""comment-star star3""></div>",还可以吧！用了会有一点点痒,55:37.0,毛孔紧致黑炭面膜10片,,2017/6/16 8:43,,
u***v,,"<div class=""comment-star star3""></div>",还行吧，没有达到预期的效果,55:37.0,毛孔紧致黑炭面膜10片,,2017/1/5 12:57,,
****l,,"<div class=""comment-star star3""></div>",还没用过，可条形码没扫出来,55:37.7,毛孔紧致黑炭面膜,,,,2019/3/8 6:23
u***q,,"<div class=""comment-star star3""></div>",产品质感：没效果，还长了一堆痘,55:37.7,【紧致细腻】毛孔紧致黑面膜,,,,2020/2/23 18:44
g***8,,"<div class=""comment-star star3""></div>",敷了之后没有什么感觉,55:37.8,【紧致肌肤】毛孔紧致黑面膜,,2020/6/10 13:28,,
****b,,"<div class=""comment-star star3""></div>",贴合效果：太合适我的脸了太合适了,55:37.9,【紧致细腻】毛孔紧致黑炭面膜,,,,2019/10/28 20:28
宁***緣,PLUS会员,"<div class=""comment-star star3""></div>",158元三件。还行。效果一般吧！,55:37.9,,毛孔紧致黑炭面膜,,,
j***7,,"<div class=""comment-star star3""></div>",紧致毛孔没发现倒是挺补水的,55:38.0,毛孔紧致黑炭面膜10片,,2016/9/22 21:16,,
不***绚,,"<div class=""comment-star star3""></div>",面膜好油油性皮肤慎用,55:38.0,毛孔紧致黑炭面膜10片,,2017/10/22 14:13,,
姚***丶,,"<div class=""comment-star star3""></div>",凑单买的，不晓得好不好，看起还行,55:38.1,,毛孔紧致黑炭面膜,,,
****1,,"<div class=""comment-star star3""></div>",非常满意的一次购物，已经是第二次购买了。,55:38.2,毛孔紧致黑炭面膜10片,,2018/5/14 20:36,,
水***G,,"<div class=""comment-star star3""></div>",面膜快用完，效果没看见,55:38.3,【紧致细腻】毛孔紧致黑面膜,,,,2019/11/20 9:08
u***l,PLUS会员,"<div class=""comment-star star3""></div>",我想知道这个是正品吗,55:38.8,毛孔紧致黑炭面膜,,,,2019/2/28 19:31
宫***哥,PLUS会员,"<div class=""comment-star star3""></div>",还行吧，补水，没其它功效,55:38.9,毛孔紧致黑炭面膜,,,,2019/6/11 0:02
****z,,"<div class=""comment-star star3""></div>",物流很快，京东服务真的特别特别特别好,55:38.9,毛孔紧致黑炭面膜10片,,2016/11/12 10:00,,
****9,PLUS会员,"<div class=""comment-star star3""></div>",这是正品吗？第一次京东买到这样的东西,55:39.0,,毛孔紧致黑炭面膜10片,,2018/8/26 9:52,
u***7,,"<div class=""comment-star star3""></div>",价格还可以，希望效果好。,55:39.1,,【紧致肌肤】毛孔紧致黑面膜,,2020/12/5 11:53,
陆***静,PLUS会员,"<div class=""comment-star star3""></div>",放在上班的地方被老鼠咬了。。。。,55:39.2,毛孔紧致黑炭面膜10片,,2016/10/12 9:16,,
c***6,PLUS会员,"<div class=""comment-star star3""></div>",还可以吧，没有什么太明显的效果,55:39.3,毛孔紧致黑炭面膜10片,,2018/8/12 20:50,,
u***2,,"<div class=""comment-star star3""></div>",还没用，不知道有没有用，,55:39.4,毛孔紧致黑炭面膜10片,,2018/2/2 20:38,,
****6,PLUS会员,"<div class=""comment-star star3""></div>",冲品牌去的，先试试再说，希望好用,55:39.4,毛孔紧致黑炭面膜10片,,2016/11/14 19:32,,
****2,,"<div class=""comment-star star3""></div>",先用着，具体效果还要在看,55:39.5,毛孔紧致黑炭面膜10片,,2018/4/28 8:30,,
****h,,"<div class=""comment-star star3""></div>",用着补水还可以，包装都已经烂了,55:40.1,毛孔紧致黑炭面膜10片,,2017/10/12 12:59,,
****b,,"<div class=""comment-star star3""></div>",还没有用，不知道好用不好用,55:40.2,【紧致细腻】毛孔紧致黑面膜,,,,2019/12/21 14:53
z***6,,"<div class=""comment-star star3""></div>",只有我用后没效果吗，评价却挺高的,55:40.2,毛孔紧致黑炭面膜10片,,2018/6/3 6:56,,
曾***0,,"<div class=""comment-star star3""></div>",现在不知道效果怎么样，过十天在来,55:40.3,毛孔紧致黑炭面膜10片,,2017/6/23 7:33,,
****o,,"<div class=""comment-star star3""></div>",感觉还可以就是不确定是不是正品,55:40.3,,毛孔紧致黑炭面膜,,,
夏***風,PLUS会员,"<div class=""comment-star star3""></div>",在于我们之间有没有什么东西能够,55:40.5,毛孔紧致黑炭面膜,,,,2019/10/23 10:51
在***空,,"<div class=""comment-star star3""></div>",还没用，反正商品收到的时候被拆过了,55:40.6,,毛孔紧致黑炭面膜10片,,2018/4/1 17:31,
****k,,"<div class=""comment-star star3""></div>",用的不错团购的数量价格跟単价商品价格差不多,55:40.7,,毛孔紧致黑炭面膜10片,,2016/11/4 20:36,
没***询,,"<div class=""comment-star star3""></div>",产品质感：没达到期待值使用感受：还行吧,55:40.7,【紧致肌肤】毛孔紧致黑面膜,,2020/11/19 10:33,,
****g,PLUS会员,"<div class=""comment-star star3""></div>",收到货后试了一下，很不错！,55:40.8,【紧致肌肤】毛孔紧致黑面膜,,2020/8/16 14:03,,
蓝***我,,"<div class=""comment-star star3""></div>",有点油腻，但是效果还是不错的,55:41.5,毛孔紧致黑炭面膜10片,,2016/12/11 12:40,,
b***0,PLUS会员,"<div class=""comment-star star3""></div>",面膜这种东西还是心理作用,55:41.6,毛孔紧致黑炭面膜,,,,2018/10/18 20:24
B***6,PLUS会员,"<div class=""comment-star star3""></div>",面膜超级划算还没有使用还可以的,55:41.6,【紧致肌肤】毛孔紧致黑面膜,,2020/11/17 20:19,,
y***0,,"<div class=""comment-star star3""></div>",搞活动的时候买，价格便宜，但,55:41.7,【紧致肌肤】毛孔紧致黑面膜,,2020/11/16 13:43,,
****4,,"<div class=""comment-star star3""></div>",收到后包装已坏，期待效果吧,55:41.8,【紧致肌肤】毛孔紧致黑面膜,,2020/11/3 15:18,,
w***5,,"<div class=""comment-star star3""></div>",包装破损，已别人为拆开，希望面膜好用。,55:41.9,毛孔紧致黑炭面膜10片,,2018/3/3 15:05,,
****d,,"<div class=""comment-star star3""></div>",送货很快服务很好！还没用呢，以后再评。,55:41.9,【紧致细腻】毛孔紧致黑炭面膜,,,,2019/11/9 20:04
****2,,"<div class=""comment-star star3""></div>",还可以效果没有期待的嫩么好，不过还行,55:42.0,毛孔紧致黑炭面膜10片,,2017/8/29 12:35,,
五***5,,"<div class=""comment-star star3""></div>",买的第二天就有活动，晚上就用了，还可以,55:42.1,毛孔紧致黑炭面膜10片,,2016/9/3 7:14,,
小***皮,,"<div class=""comment-star star3""></div>",新版不太好用还买这么多，还送了闺蜜一堆我哭了。,55:42.1,【紧致细腻】毛孔紧致黑面膜,,,,2020/4/25 13:42
u***e,,"<div class=""comment-star star3""></div>",第一次买，不知道好不好用，期待好的效果,55:42.9,毛孔紧致黑炭面膜10片,,2017/12/15 1:11,,
****3,,"<div class=""comment-star star3""></div>",物流挺快，态度也挺好，包装不好，不牢固,55:43.0,,毛孔紧致黑炭面膜10片,,2018/8/7 11:18,
****9,,"<div class=""comment-star star3""></div>",好像没有太大效果，但敷上很舒服,55:43.1,毛孔紧致黑炭面膜10片,,2018/4/28 19:37,,
u***6,,"<div class=""comment-star star3""></div>",用了后脸上有很多纤维丝，还很粘,55:43.1,毛孔紧致黑炭面膜10片,,2018/5/21 23:33,,
李***鹏,PLUS会员,"<div class=""comment-star star3""></div>",效果体验中，估计一般。毕竟价位摆在那。。。,55:43.2,毛孔紧致黑炭面膜10片,,2017/6/24 21:01,,
****o,,"<div class=""comment-star star3""></div>",使用感受：没得撒子特别感受，感觉一般,55:43.3,【紧致细腻】毛孔紧致黑面膜,,,,2020/1/4 23:10
牛***人,,"<div class=""comment-star star3""></div>",使用体验一般般，效果一般,55:43.3,【紧致肌肤】毛孔紧致黑面膜,,2020/11/2 15:03,,
u***v,,"<div class=""comment-star star3""></div>",精华液很少，贴了一片，没看到效果,55:43.4,毛孔紧致黑炭面膜10片,,2016/11/18 16:34,,
a***p,,"<div class=""comment-star star3""></div>",到货了，还没用不知道怎么样…,55:43.4,,毛孔紧致黑炭面膜10片,,2016/8/26 17:33,
v***I,,"<div class=""comment-star star3""></div>",服务好，刚收到，还没用，不知道效果！,55:43.5,毛孔紧致黑炭面膜10片,,2016/8/31 18:26,,
****f,,"<div class=""comment-star star3""></div>",这个包装我不想做过多的评论，希望商家能参考一下我的建议,55:44.2,,毛孔紧致黑炭面膜10片,,2018/6/24 12:22,
y***5,,"<div class=""comment-star star3""></div>",Mediheal可莱丝美迪惠尔毛孔紧致黑炭面膜期待效果,55:44.3,毛孔紧致黑炭面膜10片,,2016/7/26 10:53,,
c***s,,"<div class=""comment-star star3""></div>",用了好久才来评价，一般般吧没有什么作用样,55:44.4,毛孔紧致黑炭面膜10片,,2017/6/21 18:58,,
相***芷,,"<div class=""comment-star star3""></div>",这款面膜我买了很多次了，感觉还是不错的,55:44.5,【紧致细腻】毛孔紧致黑面膜,,,,2020/1/8 18:41
****p,,"<div class=""comment-star star3""></div>",这款吸黑头面膜裁剪绝了。,55:44.6,,【收缩毛孔】毛孔紧致黑面膜,,2021/6/14 7:31,
H***7,,"<div class=""comment-star star3""></div>",其中一个包装坏的使用感受：使用后在评论,55:44.7,,【紧致肌肤】毛孔紧致黑面膜,,2020/10/14 11:51,
u***w,,"<div class=""comment-star star3""></div>",害，适合脸很小，下巴很长的人群，而且，好干，，，，,55:44.7,【紧致细腻】毛孔紧致黑面膜,,,,2020/3/27 11:41
M***b,,"<div class=""comment-star star3""></div>",包装还不错，但是第一次买，不知道效果怎么样。,55:44.8,毛孔紧致黑炭面膜10片,,2016/10/4 23:20,,
u***c,,"<div class=""comment-star star3""></div>",感觉没第一次买的好用，营养液也很稀,55:44.9,,毛孔紧致黑炭面膜,,,
****f,,"<div class=""comment-star star3""></div>",还行吧，包装比较简陋，用了一片感觉没什么效果,55:45.0,毛孔紧致黑炭面膜,,,,2019/3/28 15:09
****s,,"<div class=""comment-star star3""></div>",用着还行吧，精华不多，补水还可以。,55:45.7,毛孔紧致黑炭面膜,,,,2019/10/15 11:01
****y,,"<div class=""comment-star star3""></div>",物流挺快，昨天晚上下单今天上午就到了相信京东，就是盒子破了！,55:45.7,毛孔紧致黑炭面膜10片,,2018/4/12 10:49,,
Y***9,PLUS会员,"<div class=""comment-star star3""></div>",包装还算完好，不过也憋了。之前都是用盒装的这次就拿一个袋子。,55:45.8,毛孔紧致黑炭面膜10片,,2017/11/7 21:20,,
A***雅,PLUS会员,"<div class=""comment-star star3""></div>",面膜还可以，就是价格不稳定，刚买就降价,55:45.9,【紧致肌肤】毛孔紧致黑面膜,,2020/11/29 20:20,,
8***儿,,"<div class=""comment-star star3""></div>",使用感受：改善黑头，未看到效果。补水效果一般。,55:46.0,【紧致细腻】毛孔紧致黑炭面膜,,,,2019/10/28 8:04
****g,,"<div class=""comment-star star3""></div>",一般、不过物流很快。,55:46.0,毛孔紧致黑炭面膜10片,,2017/8/8 22:07,,
****2,PLUS会员,"<div class=""comment-star star3""></div>",还可以，活动买的。。。,55:46.1,毛孔紧致黑炭面膜10片,,2016/12/12 0:46,,
购***7,,"<div class=""comment-star star3""></div>",这款面膜查不到防伪售后表示有正品授权书就是正品现在只有先用了才来评价,55:46.2,毛孔紧致黑炭面膜,,,,2019/6/9 22:47
****q,PLUS会员,"<div class=""comment-star star3""></div>",包装不行，东西还可以,55:46.3,,毛孔紧致黑炭面膜,,,
G***C,,"<div class=""comment-star star3""></div>",还不错，一直在用它0,55:46.3,毛孔紧致黑炭面膜10片,,2018/4/28 17:51,,
爱***民,PLUS会员,"<div class=""comment-star star3""></div>",还不错还不错，经济实惠方便快捷，值得信赖，希望价格能再优惠！,55:47.0,毛孔紧致黑炭面膜,,,,2019/10/5 19:40
u***5,,"<div class=""comment-star star3""></div>",买了两盒，其中一盒已经被拆开，盒子也很破，另一盒还好，效果等用了再评价,55:47.1,,毛孔紧致黑炭面膜10片,,2017/12/13 18:30,
浅***唱,,"<div class=""comment-star star3""></div>",还没有使用不做评价,55:47.2,毛孔紧致黑炭面膜,,,,2019/9/2 13:21
s***1,,"<div class=""comment-star star3""></div>",还没用，不知道是不是正品，盒子看着好简陋,55:47.3,毛孔紧致黑炭面膜10片,,2018/6/15 21:26,,
****k,,"<div class=""comment-star star3""></div>",听说挺好的买来试试。但是有一点我就不明白啦。谁打开的,55:47.4,,毛孔紧致黑炭面膜10片,,2017/11/4 12:25,
a***g,PLUS会员,"<div class=""comment-star star3""></div>",补水效果：一般贴合效果：适合小脸的其他特色：美白效果一般,55:47.4,毛孔紧致黑炭面膜,,,,2019/9/5 19:28
****p,PLUS会员,"<div class=""comment-star star3""></div>",还可以，没有想象的好,55:47.5,毛孔紧致黑炭面膜10片,,2017/10/16 14:50,,
彩***合,,"<div class=""comment-star star3""></div>",一次买了两盒，用着还行吧，不好不坏,55:47.6,,毛孔紧致黑炭面膜10片,,2016/9/22 9:53,
小***一,,"<div class=""comment-star star3""></div>",精华液不足，面膜很干，收缩毛孔没效果,55:47.7,毛孔紧致黑炭面膜10片,,2016/8/28 13:23,,
z***3,,"<div class=""comment-star star3""></div>",活动便宜了很多，但是感觉质量没以前好，感觉是次货。。。,55:47.8,毛孔紧致黑炭面膜,,,,2018/11/23 13:37
在***子,PLUS会员,"<div class=""comment-star star3""></div>",没什么感觉，还是保湿补水的经典款比较好用。,55:48.4,毛孔紧致黑炭面膜,,,,2019/5/31 23:26
****c,PLUS会员,"<div class=""comment-star star3""></div>",被满199减一百忽悠了,55:48.4,毛孔紧致黑炭面膜10片,,2017/6/12 22:55,,
g***娅,,"<div class=""comment-star star3""></div>",秒杀的产品第二次价格更低，价格京东乱来，效果也看不出,55:48.5,毛孔紧致黑炭面膜10片,,2017/8/15 15:10,,
****1,,"<div class=""comment-star star3""></div>",他们这个面膜我买了好几款感觉一般用用看吧,55:48.5,毛孔紧致黑炭面膜10片,,2018/4/2 18:53,,
****m,PLUS会员,"<div class=""comment-star star3""></div>",还行吧，再试试看，用了好几次感觉不是特别好,55:48.6,毛孔紧致黑炭面膜,,,,2019/7/29 17:24
D***皓,PLUS会员,"<div class=""comment-star star3""></div>",超好，超快，值得信赖！东东比我想象的还要好啊，买家服务也超好，赞，下次还您家购物！,55:48.6,毛孔紧致黑炭面膜10片,,,,
W***0,PLUS会员,"<div class=""comment-star star3""></div>",不知道效果咋样，照这样用着吧……,55:48.7,毛孔紧致黑炭面膜10片,,2017/7/16 10:36,,
c***R,,"<div class=""comment-star star3""></div>",非常棒，赶上活动，物美价廉。但是退的一套书，退的价格有问题，问客服只会说我们没错。,55:48.8,毛孔紧致黑炭面膜10片,,2018/6/21 19:09,,
****4,PLUS会员,"<div class=""comment-star star3""></div>",面膜偏小、不知道有没有效果、感觉一般,55:48.8,【紧致细腻】毛孔紧致黑面膜,,,,2019/12/23 23:10
****5,PLUS会员,"<div class=""comment-star star3""></div>",味道很大，还好不过敏,55:48.9,毛孔紧致黑炭面膜10片,,2018/6/12 20:12,,
****3,,"<div class=""comment-star star3""></div>",在线的人都可以看出来这世界里面还有人记得填写,55:49.5,,毛孔紧致黑炭面膜,,,
M***猛,PLUS会员,"<div class=""comment-star star3""></div>",一直在京东自营上买东西,55:49.6,【收缩毛孔】毛孔紧致黑面膜,,2021/12/14 12:12,,
蓉***蓉,PLUS会员,"<div class=""comment-star star3""></div>",包装给2颗心，我是自己有用这个牌子，快用完了所以才买的，这包装跟旧货市场似的?,55:49.6,,毛孔紧致黑炭面膜10片,,2018/4/21 22:24,
****j,,"<div class=""comment-star star3""></div>",适合肤质：还不错！！！！！！！！,55:49.7,【紧致肌肤】毛孔紧致黑面膜,,2020/11/10 9:30,,
s***4,PLUS会员,"<div class=""comment-star star3""></div>",鼻子过敏了，红了好久。,55:49.8,毛孔紧致黑炭面膜,,,,2019/8/19 9:47
永***1,,"<div class=""comment-star star3""></div>",感觉一般般吧用了当时效果可以但是半天就还原了,55:49.9,毛孔紧致黑炭面膜,,,,2018/11/28 20:13
****烟,,"<div class=""comment-star star3""></div>",先且不论这东西的真伪，就看着包装，我的心啊就哇凉哇凉了。京东，一直想信任，可这……唉！,55:50.0,,毛孔紧致黑炭面膜10片,,2017/6/5 10:09,
王***r,PLUS会员,"<div class=""comment-star star3""></div>",不知道怎么样用用看看,55:50.0,【收缩毛孔】毛孔紧致黑面膜,,2022/4/8 14:46,,
凡***南,PLUS会员,"<div class=""comment-star star3""></div>",用了长脂肪粒，不会再回购了,55:50.1,【收缩毛孔】毛孔紧致黑面膜,,2021/10/22 23:36,,
沉***鱼,,"<div class=""comment-star star3""></div>",还在用保湿挺不错的，美白就没看出来，持续体验中,55:50.2,毛孔紧致黑炭面膜10片,,2017/12/22 9:26,,
小***d,,"<div class=""comment-star star3""></div>",补水效果：一般产品质感：还可以贴合效果：不怎么好其他特色：无,55:50.7,【紧致肌肤】毛孔紧致黑面膜,,2020/11/12 16:52,,
