用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
q***a,PLUS会员,"<div class=""comment-star star3""></div>",一分钱一分货，图便宜买的,2022-04-23 21:05:09.582,新品【透亮保湿】水润安瓶面膜,,2021-07-08 23:28,,
尹***2,PLUS会员,"<div class=""comment-star star3""></div>",宝贝非常好用，颜色百搭，下次还会再购买的！,2022-04-23 21:05:09.617,深层补水【水润安瓶面膜】,,2021-11-11 21:01,,
初***庐,PLUS会员,"<div class=""comment-star star3""></div>",可能跟我的皮肤有关系用了之后开始冒痘,2022-04-23 21:05:09.667,【补水保湿】水润安瓶面膜,,2022-04-17 22:38,,
u***r,,"<div class=""comment-star star3""></div>",几年前让同事从韩国带过，比这个好，精华也多，面膜纸也要薄，敷完很水润！,2022-04-23 21:05:09.710,深层补水【水润安瓶面膜】,,2021-11-15 21:14,,
u***m,PLUS会员,"<div class=""comment-star star2""></div>",效果先不说就这简陋的包装我真是吐了,2022-04-23 21:05:09.751,,新品【透亮保湿】水润安瓶面膜,,2021-05-02 10:35,
****c,,"<div class=""comment-star star2""></div>",敏感肌不要用，敷了一片立马长坨,2022-04-23 21:05:09.796,新品【透亮保湿】水润安瓶面膜,,2021-06-16 21:27,,
-***-,PLUS会员,"<div class=""comment-star star3""></div>",感觉一般用完之后脸油油的,2022-04-23 21:05:09.828,深层补水【水润安瓶面膜】,,2021-12-10 11:15,,
****x,,"<div class=""comment-star star2""></div>",这回购买不满意，包装简陋，外包装损坏,2022-04-23 21:05:09.865,【深层补水】水润安瓶面膜,,2021-10-20 10:26,,
小***g,,"<div class=""comment-star star3""></div>",刚买才到货，就降价了?,2022-04-23 21:05:09.900,新品【透亮保湿】水润安瓶面膜,,2021-05-19 20:18,,
****0,,"<div class=""comment-star star3""></div>",贴着有刺痛感，不敢用了,2022-04-23 21:05:09.943,深层补水【水润安瓶面膜】,,2021-12-09 08:22,,
玖***x,,"<div class=""comment-star star3""></div>",感觉用了不怎么行有点过敏,2022-04-23 21:05:10.346,,深层补水【水润安瓶面膜】,,2021-11-03 13:28,
q***2,,"<div class=""comment-star star2""></div>",不好用，不会再回购，浪费钱,2022-04-23 21:05:10.389,深层补水【水润安瓶面膜】,,2021-11-16 15:36,,
****u,,"<div class=""comment-star star2""></div>",包装很烂，质量没有老版好，还没用，刚收到,2022-04-23 21:05:10.435,新品【透亮保湿】水润安瓶面膜,,2021-06-18 23:05,,
金***鸿,PLUS会员,"<div class=""comment-star star3""></div>",这款没有某明星同款的好，从外包装到里面的面膜都假假的,2022-04-23 21:05:10.489,新品【透亮保湿】水润安瓶面膜,,2021-06-14 23:19,,
u***2,,"<div class=""comment-star star3""></div>",水分很少，效果一般，,2022-04-23 21:05:10.549,深层补水【水润安瓶面膜】,,2021-11-01 19:42,,
r***q,PLUS会员,"<div class=""comment-star star2""></div>",一般，送的还可以，不油，但是免洗面膜就真的一般,2022-04-23 21:05:10.602,深层补水【水润安瓶面膜】,,2022-02-07 19:17,,
****4,,"<div class=""comment-star star3""></div>",还行，不太好用，有点干,2022-04-23 21:05:10.662,深层补水【水润安瓶面膜】,,2022-03-11 11:21,,
丶***i,PLUS会员,"<div class=""comment-star star3""></div>",新品尝试了一下，精华少，面膜薄，感觉一般，不如蓝色水润款的。,2022-04-23 21:05:10.718,新品【透亮保湿】水润安瓶面膜,,2021-06-02 21:15,,
r***5,PLUS会员,"<div class=""comment-star star3""></div>",满满的原液有些到处滴答卸膜后不能吸收要洗掉估计是增稠剂剪裁太大不适合小脸一般吧,2022-04-23 21:05:10.772,深层补水【水润安瓶面膜】,,2021-11-08 15:55,,
****o,,"<div class=""comment-star star2""></div>",一次买了四十片，还有两种的没用，用了再评价，但这款面膜害我脸热发痒，有过敏症状，敷了五分钟就丢了，我是油皮，皮肤不好，这款不行,2022-04-23 21:05:10.832,新品【透亮保湿】水润安瓶面膜,,2021-06-15 18:04,,
M***j,PLUS会员,"<div class=""comment-star star3""></div>",1涂2敷，精华液很多，也就刚敷完感觉皮肤白了一点，用了一段时间了，但淡斑的效果没看到效果，不知道是不是用的时间太短了。。,2022-04-23 21:05:11.126,,新品【透亮保湿】水润安瓶面膜,,2021-07-26 14:22,
****t,PLUS会员,"<div class=""comment-star star2""></div>",不好用，一点点不好用，太干了，没什么水分的，用完也没什么效果，不补水，怪不得这么便宜，以前买的都要10元一片，现在才5元一片，一分钱一分货。,2022-04-23 21:05:11.162,,新品【透亮保湿】水润安瓶面膜,,2021-09-10 09:23,
****j,,"<div class=""comment-star star2""></div>",第一次用.味道太重不好用,2022-04-23 21:05:11.233,,新品【透亮保湿】水润安瓶面膜,,2021-10-05 19:52,
Q***4,,"<div class=""comment-star star3""></div>",差评居然包装都打开了第一次遇到这样的情况,2022-04-23 21:05:11.295,,新品【透亮保湿】水润安瓶面膜,,2021-07-23 22:08,
