用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
s***6,PLUS会员,"<div class=""comment-star star3""></div>",还没怎么用，用用再说吧,2022-04-23 21:18:15.848,新品【焕亮肤色】维C安瓶面膜,,2021-09-08 08:54,,
妖***有,PLUS会员,"<div class=""comment-star star3""></div>",可以是可以，用着不好也不坏,2022-04-23 21:18:15.894,【焕亮肤色】维他命安瓶面膜,,2021-12-13 11:01,,
L***9,PLUS会员,"<div class=""comment-star star3""></div>",一般吧，性价比还可以,2022-04-23 21:18:15.960,【焕亮肤色】维他命安瓶面膜,,2022-03-07 14:15,,
楚***清,,"<div class=""comment-star star3""></div>",面膜已收到，发货挺快的，还没用过，知道这款好不好用，等用过再来追评吧。,2022-04-23 21:18:16.005,,新品【焕亮肤色】维C安瓶面膜,,2021-07-06 18:51,
****b,PLUS会员,"<div class=""comment-star star3""></div>",搞活动一共买了4盒不同的款，还是比较划算的。但是这款感觉精华比较少，敷一下就干了，其他款的还不错。,2022-04-23 21:18:16.058,新品【焕亮肤色】维C安瓶面膜,,2021-08-28 09:18,,
小***g,,"<div class=""comment-star star3""></div>",刚买才到货，然后就降价?,2022-04-23 21:18:16.103,新品【焕亮肤色】维C安瓶面膜,,2021-05-19 20:16,,
****y,PLUS会员,"<div class=""comment-star star3""></div>",质量不如以前，不太满意,2022-04-23 21:18:16.163,【焕亮肤色】维他命安瓶面膜,,2022-03-19 12:15,,
h***9,PLUS会员,"<div class=""comment-star star3""></div>",价格变动大，买了，隔段时间，又降价了,2022-04-23 21:18:16.206,新品【焕亮肤色】维C安瓶面膜,,2021-08-14 21:00,,
清***6,PLUS会员,"<div class=""comment-star star3""></div>",一般，精华液太少，面膜贴过后能滴个3滴,2022-04-23 21:18:16.258,新品【焕亮肤色】维C安瓶面膜,,2021-05-29 21:22,,
星***然,PLUS会员,"<div class=""comment-star star3""></div>",水少了没以前多了产品越做做差的感觉,2022-04-23 21:18:16.305,【焕亮肤色】维他命安瓶面膜,,2021-12-30 08:34,,
c***8,,"<div class=""comment-star star3""></div>",东西可以用，就是京东的官方客服态度奇差，无比打遍天下无敌手,2022-04-23 21:18:16.591,新品【焕亮肤色】维C安瓶面膜,,2021-08-11 19:29,,
y***7,PLUS会员,"<div class=""comment-star star3""></div>",刚敷完比较细腻，时间长了脸又恢复干了。皮肤感觉略微白了点,2022-04-23 21:18:16.636,【焕亮肤色】维他命安瓶面膜,,2021-10-20 18:35,,
_***_,PLUS会员,"<div class=""comment-star star3""></div>",怎么说呢？没看到有多大的效果，可能还是补水的会好一点吧！,2022-04-23 21:18:16.701,【焕亮肤色】维他命安瓶面膜,,2021-12-18 19:22,,
升***寻,,"<div class=""comment-star star3""></div>",膜布比较粗糙厚重，敷上有刺痛的感觉，但是补水倒是可以。,2022-04-23 21:18:16.759,【焕亮肤色】维他命安瓶面膜,,2021-11-13 19:02,,
J***X,PLUS会员,"<div class=""comment-star star2""></div>",看着是心想试一下，面膜的质量不如以前用的那款经典补水的，而且效果也并没有什么感觉……以前用的那款面膜上面有logo的印记，这款没有，而且薄，也没感觉出什么特别的地方，怀疑是否买了假的,2022-04-23 21:18:16.817,新品【焕亮肤色】维C安瓶面膜,,2021-06-09 16:24,,
u***m,PLUS会员,"<div class=""comment-star star3""></div>",这个包装也太简陋了吧,2022-04-23 21:18:16.867,,新品【焕亮肤色】维C安瓶面膜,,2021-05-02 10:44,
-***-,PLUS会员,"<div class=""comment-star star2""></div>",精华液太少了，少的可怜。,2022-04-23 21:18:16.925,新品【焕亮肤色】维C安瓶面膜,,2021-10-06 15:44,,
y***雪,PLUS会员,"<div class=""comment-star star3""></div>",不是特别好用的面膜，有点失望。,2022-04-23 21:18:16.983,【焕亮肤色】维他命安瓶面膜,,2022-01-04 11:16,,
前***琳,,"<div class=""comment-star star2""></div>",第一次收到这样的包裹，特别影响我购物的心情,2022-04-23 21:18:17.079,,新品【焕亮肤色】维C安瓶面膜,,2021-10-16 16:13,
我***水,PLUS会员,"<div class=""comment-star star3""></div>",真的一般，敷这周面膜脸非常冰，不建议购买,2022-04-23 21:18:17.142,【焕亮肤色】维他命安瓶面膜,,2021-11-25 15:55,,
风***a,,"<div class=""comment-star star2""></div>",第一次用到这种材质的面膜纸，不服帖不说干得特别快！比一般的还小,2022-04-23 21:18:17.553,【焕亮肤色】维他命安瓶面膜,,2021-12-11 05:38,,
像***呐,,"<div class=""comment-star star2""></div>",这个膜布真的是没想到那么厚补水效果真的很一般，活动居然是天天有，套路太深了,2022-04-23 21:18:17.606,【焕亮肤色】维他命安瓶面膜,,2021-10-20 01:26,,
****j,,"<div class=""comment-star star2""></div>",里面的面膜都邹巴巴的，唉！心态崩了呀,2022-04-23 21:18:17.660,新品【焕亮肤色】维C安瓶面膜,,2021-05-31 22:44,,
掌***握,PLUS会员,"<div class=""comment-star star3""></div>",暴利行业成本几毛几分几十倍上百倍的卖,2022-04-23 21:18:17.707,新品【焕亮肤色】维C安瓶面膜,,2021-08-08 08:55,,
o***n,,"<div class=""comment-star star3""></div>",效果不太好，为了凑单买的。,2022-04-23 21:18:17.750,新品【焕亮肤色】维C安瓶面膜,,2021-07-28 16:24,,
B***S,,"<div class=""comment-star star3""></div>",一般吧精华比较少,2022-04-23 21:18:17.791,新品【焕亮肤色】维C安瓶面膜,,2021-07-08 16:39,,
蝶***0,,"<div class=""comment-star star2""></div>",刚买了就降价了,2022-04-23 21:18:17.840,新品【焕亮肤色】维C安瓶面膜,,2021-07-29 22:10,,
火***芋,,"<div class=""comment-star star2""></div>",啥破装，挤压成这样,2022-04-23 21:18:17.891,,新品【焕亮肤色】维C安瓶面膜,,2021-09-26 15:26,
钟***东,PLUS会员,"<div class=""comment-star star3""></div>",还好吧！还没用完,2022-04-23 21:18:17.950,新品【焕亮肤色】维C安瓶面膜,,2021-10-16 22:54,,
r***1,PLUS会员,"<div class=""comment-star star3""></div>",一分钱一分货，补水效果一般般,2022-04-23 21:18:17.991,新品【焕亮肤色】维C安瓶面膜,,2021-07-04 14:36,,
****n,,"<div class=""comment-star star3""></div>",一般,2022-04-23 21:18:18.697,新品【焕亮肤色】维C安瓶面膜,,2021-08-10 11:08,,
w***虫,,"<div class=""comment-star star2""></div>",太干了，不好用,2022-04-23 21:18:18.737,【焕亮肤色】维他命安瓶面膜,,2021-10-19 10:44,,
单***儿,PLUS会员,"<div class=""comment-star star2""></div>",一般,2022-04-23 21:18:18.785,【焕亮肤色】维他命安瓶面膜,,2022-01-04 21:20,,
