用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
****2,PLUS会员,"<div class=""comment-star star3""></div>",同牌子买了两款还可以吧。,2022-04-23 21:27:13.661,维生素面膜10片,,2018-01-10 21:06,,
h***n,PLUS会员,"<div class=""comment-star star3""></div>",一直在用，不错，活动买的,2022-04-23 21:27:13.721,【透亮美肌】维生素面膜,,,,2019-11-08 06:54
****0,,"<div class=""comment-star star3""></div>",老婆说用后油油的感觉,2022-04-23 21:27:13.783,维生素面膜10片,,2016-12-12 16:53,,
M***L,PLUS会员,"<div class=""comment-star star3""></div>",还可以，京东快递一如既往的快。。。。,2022-04-23 21:27:13.843,维生素面膜10片,,2018-01-07 11:51,,
****x,,"<div class=""comment-star star3""></div>",京东做活动买的，很划算……,2022-04-23 21:27:13.897,维生素面膜10片,,2017-07-13 17:21,,
静***Y,,"<div class=""comment-star star3""></div>",效果是不错，但是韩国产品只能给三星,2022-04-23 21:27:13.957,维生素面膜10片,,,,
****z,,"<div class=""comment-star star3""></div>",送货速度非常快，速递员态度非常好,2022-04-23 21:27:14.017,维生素面膜10片,,2017-11-09 19:17,,
咖***0,,"<div class=""comment-star star3""></div>",看不出来用了有什么效果啊。,2022-04-23 21:27:14.070,维生素面膜,,,,2019-04-25 00:16
J***子,,"<div class=""comment-star star3""></div>",还在使用中，不知道效果怎么样,2022-04-23 21:27:14.121,,维生素面膜10片,,2016-10-14 23:20,
哎***g,,"<div class=""comment-star star3""></div>",补水效果：刚敷完的补水很好,2022-04-23 21:27:14.183,【改善暗沉】维生素面膜,,,,2020-05-08 09:33
****r,,"<div class=""comment-star star3""></div>",今天面膜到了，期待使用效果！,2022-04-23 21:27:14.618,【透亮美肌】维生素面膜,,,,2020-01-10 17:59
O***稳,PLUS会员,"<div class=""comment-star star3""></div>",还可以吧，物流很快，别的没啥,2022-04-23 21:27:14.677,,【改善暗沉】维生素面膜,,,
****r,,"<div class=""comment-star star3""></div>",面膜拆开了的，送来盒子打开的，其他都好,2022-04-23 21:27:14.735,【改善暗沉】维生素面膜,,2020-06-14 20:24,,
H***五,PLUS会员,"<div class=""comment-star star3""></div>",还没用呢，等用了后再来评价！！！,2022-04-23 21:27:14.799,【透亮美肌】维生素面膜,,,,2019-12-27 15:08
****c,,"<div class=""comment-star star3""></div>",水分较少，质量很好，面膜较厚。,2022-04-23 21:27:14.868,维生素面膜10片,,2018-06-12 18:20,,
