用户名,会员,星级,评论,采集时间,类型1,类型2,评论时间1,评论时间2,评论时间3
R***7,PLUS会员,"<div class=""comment-star star3""></div>",这个效果一般，不会回购了,2022-04-23 22:51:11.824,【焕亮紧致】珍珠蛋白面膜,,2022-03-03 18:12,,
S***约,,"<div class=""comment-star star3""></div>",一般一般的感觉就是一般,2022-04-23 22:51:11.898,【焕亮紧致】珍珠蛋白面膜,,2022-03-24 15:42,,
h***G,,"<div class=""comment-star star3""></div>",一搬好用，个人感觉硬了点,2022-04-23 22:51:12.100,【焕亮紧致】珍珠蛋白面膜,,2021-11-05 22:54,,
****t,PLUS会员,"<div class=""comment-star star3""></div>",显示23日送达，26号才送到，还是打了N个电话找寻来,2022-04-23 22:51:12.159,【焕亮紧致】珍珠蛋白面膜,,2021-10-29 08:18,,
嘻***你,,"<div class=""comment-star star3""></div>",不效果没有那么好，竟然是5片装的，不是进口的,2022-04-23 22:51:12.203,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-25 14:38,,
雨***9,PLUS会员,"<div class=""comment-star star3""></div>",请要购买的小伙伴看清楚多少片，珍珠蛋白就只有5片，其他的10片，我只能说珍珠蛋白略贵了，早知道就不买这个。本想着是每个效果都试一试，谁曾想就少了五片，不值当,2022-04-23 22:51:12.281,【焕亮紧致】珍珠蛋白面膜,,2022-04-06 19:41,,
星***然,PLUS会员,"<div class=""comment-star star2""></div>",买错了，其他都是10片，就这个是5块，坑,2022-04-23 22:51:12.328,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-18 22:48,,
****g,,"<div class=""comment-star star2""></div>",之前下单128一盒十片，可发货过来是一盒五片，太坑了,2022-04-23 22:51:12.371,【焕亮紧致】珍珠蛋白面膜,,2022-01-10 13:41,,
我***水,PLUS会员,"<div class=""comment-star star3""></div>",真的一般，敷这周面膜脸非常冰，不建议购买,2022-04-23 22:51:12.414,【焕亮紧致】珍珠蛋白面膜,,2021-11-25 15:50,,
h***9,PLUS会员,"<div class=""comment-star star2""></div>",不好用，面膜纸很厚，眼洞开得很小,2022-04-23 22:51:12.478,【柔嫩焕亮】珍珠蛋白面膜,,2021-08-14 20:54,,
w***8,,"<div class=""comment-star star2""></div>",5片装的和10片装的链接放一起真的是太坑了，退货还扣运费。效果实话没见比10片装的其他款优秀，太失望了。后面买的擦亮双眼，京东也套路，呵呵哒,2022-04-23 22:51:12.752,【焕亮紧致】珍珠蛋白面膜,,2021-12-13 19:50,,
李***银,,"<div class=""comment-star star3""></div>",和第一次买的完全不一样，面膜很干，袋子里都挤不出精华，很失望，主要还买了8盒,2022-04-23 22:51:12.805,【焕亮紧致】珍珠蛋白面膜,,2022-02-04 23:46,,
r***e,,"<div class=""comment-star star3""></div>",同样的价格，其他款是10片，这一款只有5片。美容液黏黏糊糊的，还有一点油感，没有想象中那么好用,2022-04-23 22:51:12.864,,【焕亮紧致】珍珠蛋白面膜,,2022-01-07 21:50,
盼***板,,"<div class=""comment-star star3""></div>",用了几次之后，前面两次也是用了会脸有点过敏，有疼痛感，刺痛感。不知道是面膜的问题还是我的脸不适合这种面膜？太可怕了。之前没有买过这种的面膜。之前买那么多面膜都没有试过说有疼痛刺痛感。那是面膜的问题还是我的问题？使用感受：不舒适。,2022-04-23 22:51:12.918,【焕亮紧致】珍珠蛋白面膜,,2021-11-25 22:07,,
****笙,PLUS会员,"<div class=""comment-star star3""></div>",还以为和其他的几种一样是10片一盒的呢?还行吧,2022-04-23 22:51:12.983,,【柔嫩焕亮】珍珠蛋白面膜,,2021-09-17 18:18,
花***钱,,"<div class=""comment-star star3""></div>",面膜纸也太厚了,2022-04-23 22:51:13.030,【焕亮紧致】珍珠蛋白面膜,,2021-10-27 08:45,,
1***p,,"<div class=""comment-star star3""></div>",太干了不会再买,2022-04-23 22:51:13.090,【焕亮紧致】珍珠蛋白面膜,,2021-11-29 20:15,,
****5,PLUS会员,"<div class=""comment-star star3""></div>",没有其他的款好用，太黏腻了感觉,2022-04-23 22:51:13.141,【焕亮紧致】珍珠蛋白面膜,,2021-12-17 08:40,,
****X,,"<div class=""comment-star star2""></div>",特别难用,2022-04-23 22:51:13.195,【柔嫩焕亮】珍珠蛋白面膜,,2021-08-16 20:29,,
****w,,"<div class=""comment-star star3""></div>",只有5片，草率了，！,2022-04-23 22:51:13.268,【焕亮紧致】珍珠蛋白面膜,,2022-01-23 21:02,,
北***4,PLUS会员,"<div class=""comment-star star3""></div>",乳白色的很黏，很稠。不适合我。推不开，脸上成条,2022-04-23 22:51:13.998,【柔嫩焕亮】珍珠蛋白面膜,,2021-09-11 09:18,,
