用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
没***包,PLUS会员,"<div class=""comment-star star5""></div>",昨天收到面膜啦，因为疫情影响我的面膜兒兒转转，京东快递还是很给力的！春秋换季肌肤已经泛红刺疼了，干的不行，昨晚试了下蓝色款水感面膜，看成分多重的***，现在非常需要补水的款精华液很多不粘腻，淡淡的味道不刺鼻，很安心的感觉，敷上没有什么刺激，吸收的也很快，十来分钟感觉精华都被我的肌肤吸收掉了，可能是脸太干了！数完脸上没有那么紧绷了，还是需要坚持敷面膜护肤，还买了粉色款包装很好看的，今晚再试试粉色，希望可以改善肌肤状态，推荐大家可以入新品，用的很安心，老款新品—如既往好用,,新品-透明质酸水感15片,,2022-04-06 15:07,2022-04-24 14:23:22.775,
****B,,"<div class=""comment-star star5""></div>",最近换季皮肤状态不是很稳定，干燥缺水又敏感泛红，美迪惠尔水感面膜真的有惊艳到我！蓝色款的，透明质酸保湿水感面膜作为日常补水使用就很nice！富含5种不同大小的透明质酸，给肌肤深层补水锁水，每次使用后皮肤水润又嫩弹！这款补水面膜真的深得我心~我一般是晚上洗脸后或者早上化妆前十分钟敷一片，只需要7分钟就可以，感觉补水效果还是很不错滴，用完之后脸蛋嫩嫩的，底妆也服帖不少~,,新品-透明质酸水感15片,,2022-03-28 13:07,2022-04-24 14:23:22.894,
****j,PLUS会员,"<div class=""comment-star star5""></div>",疫情阶段在家办公。整日在电脑前面皮肤很干燥。那这个品牌的面膜呢，一直都是特别好的一个选择产品的种类多，呃有美白的有趣粉刺的刘水油平衡的有胶原蛋白胶原蛋白的各种都是我一直信赖的品牌。在京东上采购呢，也比较便利，前一天下单后一天就到了。整个产品的水分还是不错的。呃，一般来讲我把面膜放在冰箱里面拿出来的时候呢，会起到呃比较凉快的这种感觉可以起到镇静的作用补水效果还更好。敷了面膜数。作为上班族呢，这个面部啊，就是很干平时呢，也没有太多时间去美容院。在家里服用面膜呢，是一个特别不错的选择。这个品牌的产品的种类繁多各种类型呢，我军史用过这个蓝色的包装呢，李面有15片，那每天一片的成本，大概在4块钱左右，嗯，对于皮肤的保养和护理还是特别不错的。呃疫情阶段呢，以为采购会比较费劲，我是昨天采购的今天呢就到了特别快呃产品质感呢，还是很不错的使用后呢，感觉到水嫩了不少十喝的皮肤呢，也可以多种多样。这个大的品牌呢，有的时候出国会采购，现在在京东平台上也很容易就会采购到了而京东物流呢，应该有正规的管理防疫应该到位，希望商家能能有更好的几个促销的活动利用京东平台呢，来给顾客更好的产品体验。另外在疫情阶段一定要注重,,新品-透明质酸水感15片,,2022-04-13 13:46,2022-04-24 14:23:22.957,
l***_,,"<div class=""comment-star star5""></div>",太划算了，而且一包15张，而且还有卷用，相对来说这个补水效果还是可以的，用完脸滋润不油腻，像平常密集补水可以连着几天贴。,,透明质酸水感面膜15片,,2022-02-12 18:09,2022-04-24 14:23:23.007,
****c,,"<div class=""comment-star star5""></div>",过完年皮肤不稳定总是泛红干燥，长期化妆脸部都没有弹力了，朋友狂推这款面膜，真的有惊艳到我！透明质酸保湿补水日常使用就很nice，有给肌肤深层补水的感觉，每次用完皮肤又润又弹，一大袋15片可以算平价宝藏啦!,,透明质酸水感面膜15片,,2022-02-25 15:05,2022-04-24 14:23:23.062,
****z,,"<div class=""comment-star star5""></div>",15片一大包根据可以用一个月了，之前用的水润，水感这款用起来也很补水，推荐,,新品-透明质酸水感15片,,2022-03-18 12:31,2022-04-24 14:23:23.111,
****j,PLUS会员,"<div class=""comment-star star5""></div>",今天买回来用了一下，真的很水润，极力推荐，而且15片可以用好久，活动的时候推荐囤货！总之真的很赞呢,,新品-透明质酸水感15片,,2022-03-04 15:28,2022-04-24 14:23:23.159,
****s,PLUS会员,"<div class=""comment-star star5""></div>",敷完之后脸水水的很喜欢哟，夏天补水就是它了。,,新品-透明质酸水感15片,,2022-03-13 20:25,2022-04-24 14:23:23.212,
****0,,"<div class=""comment-star star5""></div>",膜布薄薄的很服帖，也没有什么香味，用着很安心,,新品-透明质酸水感15片,,2022-03-18 11:40,2022-04-24 14:23:23.261,
****v,,"<div class=""comment-star star5""></div>",看宣传是新品，刚收到15片挺划算的，今晚试试看，好用继续回购，快的速度超快。,,透明质酸水感面膜15片,,2022-02-25 22:52,2022-04-24 14:23:23.318,
