用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
****l,,"<div class=""comment-star star5""></div>",产品质感：外包装是塑料袋装的，不容易破损，比盒子的更方便~使用感受：这个粉色水感面膜的膜布不是很厚，敷着比较舒服，味道也是香香的~适合肤质：我夏天混油，冬天混干，敷完皮肤感觉嫩嫩的，比较清爽不油腻~我是角质层比较薄，平时容易脸红，敷完这个也没有过敏，感觉还是不错滴！补水效果：这个粉色的是多肽弹力面膜，可以补充胶原蛋白，提拉紧致，晚上熬夜了第二天早上可以来一片急救一下~贴合效果：贴合度很不错，大概贴了10分钟，膜布承载力还可以，面膜拿出来后袋子里没有很多的剩余，差不多都附在膜布上了，精华不会往下滴！其他：京东物流超级快！第二天就到了！日期也很新鲜！刚好面膜用完了就来看看京东，急用的话果然还是京东靠谱~,,新品-多肽水感面膜15片,,2022-03-29 10:57,2022-04-24 14:25:33.748,
****z,,"<div class=""comment-star star5""></div>",补水保湿效果很足，用完水水嫩嫩的，紧致效果多用用看,,新品-多肽水感面膜15片,,2022-03-18 12:33,2022-04-24 14:25:33.798,
****0,,"<div class=""comment-star star5""></div>",春天很容易过敏，用了这款还好，没有什么刺痛，有活动再继续回购！,,新品-多肽水感面膜15片,,2022-03-18 11:41,2022-04-24 14:25:33.855,
****8,,"<div class=""comment-star star5""></div>","面膜刚打开有淡淡的香味，一点也不刺鼻，膜布也贴合脸部，用完了肌肤光滑，整体来说新品还是很棒的,",,新品#多肽水感面膜15片,,2022-03-02 19:04,2022-04-24 14:25:33.907,
Z***4,PLUS会员,"<div class=""comment-star star5""></div>",嗯，东西很好用的，很满意，非常的好。用了很多产品用了很多的面膜，突然发现这个孩子很好用的。试岗也用得，非常的好。,,新品-多肽水感面膜15片,,2022-03-24 23:22,2022-04-24 14:25:33.954,
****c,,"<div class=""comment-star star5""></div>",这款面膜感觉颜值还挺高的，京东快递也很给力，昨天买的今天就到了，正好试用一下，用完之后皮肤感觉都变亮了！不错不错?,,新品#多肽水感面膜15片,,2022-03-02 14:40,2022-04-24 14:25:34.047,
****g,PLUS会员,"<div class=""comment-star star5""></div>",东西很好，很满意，送货也很快给十分！！！,,新品-多肽水感面膜15片,,2022-04-03 13:01,2022-04-24 14:25:34.100,
楚***2,,"<div class=""comment-star star5""></div>",老品牌值得信赖，用了好几年了，非常补水，最主要物流当天就到了,,,,,2022-04-24 14:25:34.140,
****r,,"<div class=""comment-star star5""></div>",晚上用了感觉用完皮肤亮亮的很清透，回头再试试蓝色的,,,,,2022-04-24 14:25:34.190,
s***g,PLUS会员,"<div class=""comment-star star5""></div>",保湿面膜，原装的，液体量很足，好用。,,新品-多肽水感面膜15片,,2022-03-18 22:01,2022-04-24 14:25:34.243,
****f,,"<div class=""comment-star star5""></div>",非常好用，保湿效果非常明显！,,,,,2022-04-24 14:25:34.529,
贵***3,,"<div class=""comment-star star5""></div>",大小合适，很滋润，好用。,,,,,2022-04-24 14:25:34.586,
****z,,"<div class=""comment-star star5""></div>",快递非常快！还没用呢，过后追评,,,,,2022-04-24 14:25:34.670,
****d,,"<div class=""comment-star star5""></div>",收到货就用了，非常好,,,,,2022-04-24 14:25:34.725,
****m,PLUS会员,"<div class=""comment-star star5""></div>",送人的应该非常好用物美价廉,,,,,2022-04-24 14:25:34.790,
小***b,PLUS会员,"<div class=""comment-star star5""></div>",补水效果：不错使用感受：舒服贴合效果：很贴合脸部,,,,,2022-04-24 14:25:34.845,
****B,,"<div class=""comment-star star5""></div>",频繁熬夜，疲惫肌肤不紧致，美迪惠尔多肽弹力水感面膜可以补充肌肤活力，能保持一整天的焕亮美肌，在疲惫肌肤的危机关头实力救场！实力强化＋紧致提拉，富含6种复合物＋水解胶原蛋白＋泛醇，可以增强肌肤力量，强化肌肤屏障，熬夜必备的肌肤能量站，给肌肤更多健康底气！7分钟赋予肌肤活力，增强肌肤Q弹活力，给垮脸做个多维提拉护理。每天7分钟，快速为肌肤补充能量，元气满满一整天～,,新品-多肽水感面膜15片,,2022-03-28 13:07,2022-04-24 14:25:34.902,
梅***6,PLUS会员,"<div class=""comment-star star5""></div>",用了很多年这个品牌的面膜，还是第一次看到简装包装，以前都是盒装的。这款第一次买，试试。,,新品-多肽水感面膜15片,,2022-04-07 14:31,2022-04-24 14:25:34.959,
****j,PLUS会员,"<div class=""comment-star star5""></div>",2种都买了，满足肌肤不同时期的需要，每天来一片再也没有肌肤烦恼了，数量很多可以用好久！,,新品-多肽水感面膜15片,,2022-03-04 15:25,2022-04-24 14:25:35.021,
****妹,,"<div class=""comment-star star5""></div>",活动买的比较划算，和同事一起拼的，这个15片装的比较多，可以用挺久的。,,多肽水感面膜15片,,2022-02-25 15:37,2022-04-24 14:25:35.081,
****v,,"<div class=""comment-star star5""></div>",趁着活动买的四盒，一直用老款终于有新品了，老粉觉得新品也不错，成份党推荐这款多肽。,,多肽水感面膜15片,,2022-02-28 21:17,2022-04-24 14:25:35.384,
****8,PLUS会员,"<div class=""comment-star star5""></div>",面膜还不错，用着感觉挺好，京东快递速度也挺快的,,新品-多肽水感面膜15片,,2022-03-24 10:39,2022-04-24 14:25:35.431,
****c,,"<div class=""comment-star star5""></div>",像是老款胶原的升级版样子，之前一直买胶原，看起来成分适合我们熬夜党，经常熬夜又干又有细纹的，希望可以改善，好用继续回购~,,多肽水感面膜15片,,2022-02-25 15:05,2022-04-24 14:25:35.472,
奋***1,PLUS会员,"<div class=""comment-star star5""></div>",之前也买过美迪惠尔的面膜，挺好用的适合敏感性皮肤用完不过敏。这次看到搞活动而且功效更好就买了试试，首先贴合效果挺好的，用完感觉皮肤还多少有点效果，至于更多效果还要长期用完才能体会到吧！,,新品-【淡化细纹】多肽水感15片,,2022-04-22 12:33,2022-04-24 14:25:35.520,
J***C,PLUS会员,"<div class=""comment-star star5""></div>",可以可以大包划算日常用有点香,,新品-多肽水感面膜15片,,2022-04-07 08:14,2022-04-24 14:25:35.559,
不***m,PLUS会员,"<div class=""comment-star star5""></div>",给老婆买的，这款面膜是每一款都买过，感觉良好,新品-【淡化细纹】多肽水感15片,,2022-04-17 10:16,,2022-04-24 14:25:35.604,
仓***点,PLUS会员,"<div class=""comment-star star5""></div>",一直用这个品牌，这款是新款，期待使用效果,,,,,2022-04-24 14:25:35.643,
知***好,PLUS会员,"<div class=""comment-star star5""></div>",挺好的，用完会继续回购，每天一片，水水嫩嫩的。,,,,,2022-04-24 14:25:35.691,
想***单,PLUS会员,"<div class=""comment-star star5""></div>",一直用这个牌子的面膜，这次换成这个系列,,,,,2022-04-24 14:25:35.738,
t***s,PLUS会员,"<div class=""comment-star star5""></div>",买来试试，还可以吧，这款有点点香,,,,,2022-04-24 14:25:35.802,
s***g,,"<div class=""comment-star star5""></div>",新产品，期待效果，味道不错,,,,,2022-04-24 14:25:36.081,
h***y,PLUS会员,"<div class=""comment-star star5""></div>",贴合面部，水润滋养！,,,,,2022-04-24 14:25:36.129,
****r,PLUS会员,"<div class=""comment-star star5""></div>",多次回购的面膜，滋润补水，不错的！,,,,,2022-04-24 14:25:36.178,
****7,,"<div class=""comment-star star5""></div>",挺好用的，保湿效果好,,,,,2022-04-24 14:25:36.228,
****1,PLUS会员,"<div class=""comment-star star5""></div>",不错的产品值得推荐使用。,,,,,2022-04-24 14:25:36.277,
仰***方,PLUS会员,"<div class=""comment-star star5""></div>",宝贝收到，帮老婆买的，效果如何，待夫人用了以后再来评价,,新品-多肽水感面膜15片,,2022-04-04 21:08,2022-04-24 14:25:36.325,
****f,,"<div class=""comment-star star5""></div>",刚收到货，还没有使用，等使用过后再来评价。,,新品-多肽水感面膜15片,,2022-03-05 08:47,2022-04-24 14:25:36.422,
