用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
兰***8,PLUS会员,"<div class=""comment-star star5""></div>",女人要活的精致一点，于是就想化淡妆。于是就在京东商城买了一些化妆品和皮肤保养用品。晚上用睡眠面膜比较好，我就买了这款，很滋润，早上睡觉起来洗洗就很滋润。,,涂抹免洗睡眠面膜,,2022-03-27 17:45,2022-04-24 14:30:40.480,
佳***-,,"<div class=""comment-star star5""></div>",这款睡眠面膜晚上用起来特别方便，洗完脸之后图一片儿。特别水润好吸收。特别好用。小巧方便，便于携带，平时出门的时候可以带一条。特别方便。,新品【免洗睡眠面膜】16支装,,2021-06-19 18:44,,2022-04-24 14:30:40.535,
骆***子,PLUS会员,"<div class=""comment-star star5""></div>",我把它放在面霜的盒子里了，感觉这个睡眠面膜不油腻，很好吸收，适合夏天用，而且一抹开就化水，真的很水润，一共有16条，一次用一条有点多，大脸的宝宝就刚刚好，算是我第一次买睡眠面膜没有踩雷，真不错,涂抹免洗睡眠面膜,,2022-03-12 19:44,,2022-04-24 14:30:40.591,
凌***光,,"<div class=""comment-star star5""></div>",这款面膜很小巧好可爱，很方便携带，刚拿到就试用了一下，膏体式很容易推开，很清爽一点不油腻，很容易吸收还巨补水，爆水珠的那种补水，超级棒！用完皮肤弹润光滑，香味是一种淡淡高级香，这款睡眠面膜真的爱了，正式被纳入我的回购款~,,,,,2022-04-24 14:30:40.642,
磊***一,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜真的很舒服，我一个男的都喜欢用，涂抹起来薄薄的一层，容易吸收，用完之后，洗净也很容易，一点点水就洗透了，真的非常好,,涂抹免洗睡眠面膜,,2022-02-19 16:21,2022-04-24 14:30:40.689,
大***6,,"<div class=""comment-star star5""></div>",很好很好很好，很好用，老婆太喜欢了，下次还来这里买这种面膜，太喜欢了太好用了产品质感：很好使用感受：老婆很喜欢补水效果：效果很好，下次还来这个购买贴合效果：很好,,涂抹免洗睡眠面膜,,2022-01-23 21:09,2022-04-24 14:30:40.746,
小***呀,PLUS会员,"<div class=""comment-star star5""></div>",小小的一条条，很精致，还觉得太小了不够用，结果一条敷一次够够的了，后来都分两次用，真的很水润，这个还是比较不错的，价格也不贵，喜欢，喜欢,,新品【免洗睡眠面膜】16支装,,2021-09-21 21:37,2022-04-24 14:30:40.866,
新***人,PLUS会员,"<div class=""comment-star star5""></div>",超级方便非常好用，水溶细腻光滑，用着很好，懒人福音。质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠正品，买的放心，价钱也公道，满意！很快就到了，全新正品?，包装很仔细，没有问题,,便携装-补水保湿睡眠面膜16条,,2022-04-15 09:33,2022-04-24 14:30:40.909,
西***仔,PLUS会员,"<div class=""comment-star star5""></div>",东西不错，快递很快。隔天就送来了，而且送货上门很方便。用了一下，感觉还可以。效果也不错。下次有活动还会考虑买。总体感觉还是可以的。,,涂抹免洗睡眠面膜,,2022-03-12 17:12,2022-04-24 14:30:40.962,
莫***5,PLUS会员,"<div class=""comment-star star5""></div>",第一次使用这个品牌，京东活动很大，比线下便宜划算多了，补水效果挺好的，可以满足自身需求，贴完之后，脸上很是光滑，感觉挺好的,,涂抹免洗睡眠面膜,,2022-03-01 11:01,2022-04-24 14:30:41.018,
彳***人,PLUS会员,"<div class=""comment-star star5""></div>",非常火爆的网红面膜，乘着618的快车买了四盒，算下来很便宜，应该适合各种肤质，没有不适的感觉，品牌值得信赖，产品很正宗，买的很放心，快递很给力的，速度很快，京东购买的买的放心，质量有保证，不会有混水摸鱼的杂牌子，包装还不错，外面纸箱子很结实，里面东西完好无损,,新品【免洗睡眠面膜】16支装,,2021-07-03 07:18,2022-04-24 14:30:41.330,
p***3,PLUS会员,"<div class=""comment-star star5""></div>",好评好评好评，适合我这种懒人?晚上敷完面膜哟经常外敷睡眠面膜睡觉。不油腻，很清爽，而且超补水，满意，凑活动买的，便宜了很多，几块钱一支，物美价廉。,,涂抹免洗睡眠面膜,,2021-11-19 17:10,2022-04-24 14:30:41.386,
****e,,"<div class=""comment-star star5""></div>",真的挺好的有很多很多16只主要是超级方便呀不用洗就可以直接睡觉懒人绝了也很补水早上起来脸很舒服滑嫩主要是超级便宜一起买四件四折支持京东,,【免洗睡眠面膜】16支装,,2021-10-17 16:23,2022-04-24 14:30:41.442,
****k,,"<div class=""comment-star star5""></div>",淡淡的高级香，不黏腻，特别好吸收，就是一袋得分三次用，一次用不了。京东自营的品质值得信赖，物流速度超级快，总体感觉特别棒，希望以后多做活动,,涂抹免洗睡眠面膜,,2021-11-28 07:56,2022-04-24 14:30:41.506,
****x,PLUS会员,"<div class=""comment-star star5""></div>",哈哈哈，太喜欢这个面膜了。每天涂完直接睡觉，方便简洁，搞活动买的也便宜，感觉晚上的护肤步骤都简化了，我是易敏体质，完全不过敏,,新品【免洗睡眠面膜】16支装,,2021-07-15 11:25,2022-04-24 14:30:41.559,
缘***7,PLUS会员,"<div class=""comment-star star5""></div>",比想象中的好多，一直再找睡眠面膜，一次买了好多盒，特别水润，补水效果很好，值得购买，非常棒，京东老顾客，值得信赖，用完后继续回购,,便携装-补水保湿睡眠面膜16条,,2022-04-18 09:40,2022-04-24 14:30:41.610,
p***K,PLUS会员,"<div class=""comment-star star5""></div>",这个是第一次购买，用了一个，味道淡淡的很好闻，抹一会就水水的，看后面效果怎么样,,涂抹免洗睡眠面膜,,2022-02-24 19:16,2022-04-24 14:30:41.659,
s***5,PLUS会员,"<div class=""comment-star star5""></div>",一直用美迪惠尔的面膜，也只用美迪惠尔，补水是顶重要的，第一次买这款睡眠面膜，小巧的一支，出差带更方便，吸收很好，不油腻。,,涂抹免洗睡眠面膜,,2021-11-04 21:32,2022-04-24 14:30:41.707,
****f,PLUS会员,"<div class=""comment-star star5""></div>",一条量很多，每次擦完还剩好多！每次懒得敷面膜的时候就用这个，免洗的很方便！活动期间购买，价格很美丽！京东物流送货到家，而且速度快！,,新品【免洗睡眠面膜】16支装,,2021-09-08 08:59,2022-04-24 14:30:41.760,
z***垚,,"<div class=""comment-star star5""></div>",物流快，618活动很给力，买了一堆，经常使用效果非常好，水水嫩嫩的，值得买。,,新品【免洗睡眠面膜】16支装,,2021-06-19 22:09,2022-04-24 14:30:41.824,
y***2,PLUS会员,"<div class=""comment-star star5""></div>",面膜收到了，七夕节买的，活动力度大，发货速度快，之前用过那款补水都，趁现在活动买了好几种，看哪种最好用，价格实惠，很满意～好评。,,新品【免洗睡眠面膜】16支装,,2021-08-17 15:30,2022-04-24 14:30:42.129,
姚***城,PLUS会员,"<div class=""comment-star star5""></div>",睡眠面膜涂完很湿润，本以为份量小涂不完，没想到整张脸涂的很匀,,涂抹免洗睡眠面膜,,2021-11-19 18:23,2022-04-24 14:30:42.172,
U***鹤,PLUS会员,"<div class=""comment-star star5""></div>",用完第二天脸滑滑的，很嫩，很舒服，不会闷痘，基本两三天用一次，没有用了四五次了，没有长痘痘，会持续用下去的，很方便！！！,,涂抹免洗睡眠面膜,,2021-10-29 15:51,2022-04-24 14:30:42.211,
s***1,PLUS会员,"<div class=""comment-star star5""></div>",一直用他们家的面膜，这次看到有睡眠面膜特意试试。香气淡淡的，很柔和，质地不是霜膏状，而是像乳液一样。涂脸后按摩很快就变成水一样的质地，打圈按摩一阵儿后，轻拍吸收即可。脸上也不油腻，很舒服，好用会继续的。小小一支携带也方便，冬季天气一定要做好补水,,涂抹免洗睡眠面膜,,2021-11-29 21:31,2022-04-24 14:30:42.257,
G***6,PLUS会员,"<div class=""comment-star star5""></div>",一直在用这个牌子的面膜跟护肤品，性价比很高下次凑单买了这个睡眠，意想不到的好啊，用完水水嫩嫩的，会推荐给身边的朋友们的！,,涂抹免洗睡眠面膜,,2022-03-09 20:47,2022-04-24 14:30:42.306,
****y,PLUS会员,"<div class=""comment-star star5""></div>",膏状的质感，涂上摸开有水珠感，一小条刚合适我这种大脸，很方便，出差带上一小条很方便，这个很适合懒人使用，涂上后就去睡觉，不用洗脸，脸上也不会油腻,,涂抹免洗睡眠面膜,,2021-11-24 00:33,2022-04-24 14:30:42.357,
郝***菈,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：还行。使用感受：用完之后再来追评。适合肤质：这个是补水的，用过再说效果。补水效果：再说。贴合效果：睡眠面膜应该不存在这个问题。其他特色：比较相信京东自营的商品，物流也很快。,,涂抹免洗睡眠面膜,,2022-02-27 17:51,2022-04-24 14:30:42.413,
****e,PLUS会员,"<div class=""comment-star star5""></div>",已经是第二次拍了补水效果很好赶上优惠非常实惠,,新品【免洗睡眠面膜】16支装,,2021-06-25 14:47,2022-04-24 14:30:42.462,
****y,PLUS会员,"<div class=""comment-star star5""></div>",好用捏，好用昂，质地很清柔，抹上去挺舒服的，而且包装都小袋，带出去不要太方便，出去玩带过几次了，懒人必备，懒人专属，补水效果杠杠,,涂抹免洗睡眠面膜,,2022-03-01 18:12,2022-04-24 14:30:42.508,
****1,PLUS会员,"<div class=""comment-star star5""></div>",一次一条，多揉两下就出水珠了，真的很神奇，第一次用这种有些小惊喜，用完第二天脸嫩嫩的，效果还可以，主要给老公用，练车被风吹的又黑又亮,,涂抹免洗睡眠面膜,,2022-02-18 20:23,2022-04-24 14:30:42.558,
****b,PLUS会员,"<div class=""comment-star star5""></div>",挺好用的，晚上涂完，脸一直滑滑的，量还挺大的，就是要吸收挺久的，用完还是最后要再用洗脸巾擦掉，现在有活动真的很划算，多买了一点,,涂抹免洗睡眠面膜,,2021-10-24 19:36,2022-04-24 14:30:42.848,
u***1,PLUS会员,"<div class=""comment-star star5""></div>",现在是一条一条的包装，原来是袋子包装，每袋含量高很多，袋子口还得有可以拧紧的盖子，更喜欢原来的包装。用起来倒是没什么差别，里面白色的乳状物，用手指绕圈轻轻推开后变成小水珠，涂在脸上很舒服，一直回购的品牌。,,涂抹免洗睡眠面膜,,2021-12-26 13:54,2022-04-24 14:30:42.895,
照***助,PLUS会员,"<div class=""comment-star star5""></div>",专业做面膜，放心购买，这款睡眠面膜果断下手，出门旅行带着方便，补水效果很好，吸收很快，不油腻，到第二天早上醒来脸上都是润润的。没用过这款可以试试。,新品【免洗睡眠面膜】16支装,,2021-08-03 19:06,,2022-04-24 14:30:42.948,
玄***8,PLUS会员,"<div class=""comment-star star5""></div>",这款美迪惠尔睡眠面膜非常好用，一次使用一整条后，脸上爆水珠，特别水润，补水保湿效果好，用后不用清洗，方便实用。元旦拍的，用了漂亮的包装礼盒。会继续回购。,,涂抹免洗睡眠面膜,,2022-01-08 10:11,2022-04-24 14:30:43.002,
****3,,"<div class=""comment-star star5""></div>",已经用了很多贴了，补水效果很好,,涂抹免洗睡眠面膜,,2021-11-19 21:36,2022-04-24 14:30:43.056,
w***龙,PLUS会员,"<div class=""comment-star star5""></div>",面膜很好用，懒人必备，产品质感：包装很好，不错。使用感受：滑滑的适合肤质：任何肤质都可以用吧，毕竟是补水的补水效果：第二天早上看起来很好贴合效果：涂抹式的很贴合啦其他特色：懒人必备。,,涂抹免洗睡眠面膜,,2021-11-15 15:29,2022-04-24 14:30:43.141,
x***u,PLUS会员,"<div class=""comment-star star5""></div>","美迪惠尔(Mediheal)水润保湿免洗睡眠面膜4ml*16支,这款美迪惠尔水润保湿面膜，是我的不二之选，洁面爽肤后，取出面膜，调整好贴合脸部，静待15分钟，再揭下，把剩余精华液轻轻按摩至吸收，我一般晚上是不洗的，第二天早上起来皮肤特别水润光滑，一周大概敷三次左右，皮肤会越来越光滑细嫩哦！",,涂抹免洗睡眠面膜,,2022-03-12 15:46,2022-04-24 14:30:43.193,
****c,,"<div class=""comment-star star5""></div>",产品质感：多使用感受：凉爽适合肤质：干皮混皮补水效果：很好贴合效果：不错,,涂抹免洗睡眠面膜,,2021-12-14 17:49,2022-04-24 14:30:43.241,
鵺***錨,PLUS会员,"<div class=""comment-star star5""></div>",一些时候需要敷面膜的时候，有时候总是懒得，所以这个时候就需要睡眠面膜了。美迪惠尔德这款睡眠面膜添加了植物精华和***成分，补水效果很不错。一盒有十只，每只都是独立包装，卫生干净，携带很方便。质地是十分水润顺滑的膏体，一抹开就能感受到淡淡的清香以及水润感。睡前涂上，等醒来再洗掉，能够感觉皮肤的水润度有明显提升，而且软软的。适合皮肤干燥需要补水但是想偷懒的人群。,,【免洗睡眠面膜】16支装,,2021-10-04 19:20,2022-04-24 14:30:43.289,
****g,,"<div class=""comment-star star5""></div>",产品质感：很细腻补水效果：补水效果很好，不黏腻使用感受：第二天起来感觉皮肤状态会比平时好,,,,,2022-04-24 14:30:43.347,
n***3,PLUS会员,"<div class=""comment-star star5""></div>",第一次用脸有一点点刺激感和发热感，用两次就好了，不错。这个用起来方便，晚上涂抹完，直接睡觉了，第二天早上洗脸就行，吸收一晚上很充分，挺好的。,涂抹免洗睡眠面膜,,2021-11-26 18:22,,2022-04-24 14:30:43.675,
伊***y,PLUS会员,"<div class=""comment-star star5""></div>",面膜很好用里面还有小颗粒可以去角质,,涂抹免洗睡眠面膜,,2022-02-21 10:23,2022-04-24 14:30:43.732,
b***w,PLUS会员,"<div class=""comment-star star5""></div>",今年的新产品，小包装，很可爱。抹好不用清洗很方便早上起床感觉非常的不错。也很好携带。补水效果好，很滋润。趁着活动狠狠地买了很多，够用很久了。mediheal一直的品牌，一直的信任，一直的使用。京东是个很负责的平台服务也非常好。,,新品【免洗睡眠面膜】16支装,,2021-07-21 10:33,2022-04-24 14:30:43.774,
喂***北,,"<div class=""comment-star star5""></div>",很喜欢的这个睡眠面膜，又方便又不错产品质感：感觉和面霜一样,,涂抹免洗睡眠面膜,,2021-11-02 16:37,2022-04-24 14:30:43.822,
浅***1,PLUS会员,"<div class=""comment-star star5""></div>",第一次买这个，感觉还可以，携带方便，而且非常轻，经常出差携带方便，使用了几次，感觉补水效果还可以，推荐。很划算。产品质感：还可以使用感受：可以适合肤质：都可以补水效果：Ok,,涂抹免洗睡眠面膜,,2022-02-09 16:21,2022-04-24 14:30:43.867,
