用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
王***7,PLUS会员,"<div class=""comment-star star5""></div>",这个牌子的面膜巨补水，之前都用蓝色那款，这次多屯了一些黄色的这款，也一样好用，产品质感：补水，适合所有肤质使用感受：里面的精华比较多补水效果：非常补水贴合效果：大圆脸也很适合哈哈,【光滑弹嫩】胶原蛋白面膜,2022/4/9 20:51,,,23:04.6,
****?,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：丝丝滑滑，非常好，已经用了好几年了使用感受：补水，养颜效果非常好，每袋包含的液体非常多补水效果：我一般都是晚上睡觉前使用，肌肤水水的贴合效果：与面部贴合合适其他特色：京东买品质放心，京东物流超级快，第二天就送到，包装好无破损，双十一价格非常划算,,,【光滑弹嫩】胶原蛋白面膜,2021/12/18 9:40,23:04.7,
l***y,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔面膜很好用，柔软贴敷，精华液也很多，不刺激皮肤，用完皮肤水润保湿，补水效果还是不错的。搞活动价格优惠，多买点，慢慢用。,【光滑弹嫩】胶原蛋白面膜,2021/7/25 14:45,,,23:04.7,
澹***珠,,"<div class=""comment-star star5""></div>",我是美迪惠尔的忠实粉丝长年累月的用她家面膜从未换过性价比超高一天敷一片面膜美白又补水美美哒产品质感：一如既往的好使用感受：补水美白效果很好适合肤质：任何肤质都可以本人属于混合性皮肤补水效果：超级棒一天一片面膜美美哒,【盈润光滑弹嫩】胶原蛋白面膜,2021/1/26 8:57,,,23:04.8,
****l,PLUS会员,"<div class=""comment-star star5""></div>",这款胶原蛋白精华面膜用起来味道淡淡的清香，很好闻，满满的精华，用完脸上滑滑的，第二天早上起来脸上都润润的，特别舒服，而且跟皮肤很贴合。,,,【光滑弹嫩】胶原蛋白面膜,2021/10/21 16:57,23:04.8,
A***0,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜，使用油顺，适合油性肌肤的我，补水效果也很棒，贴合面形，韩国进口大品牌，值得信赖！京东物流快，品质也有保证，信赖京东！,【光滑弹嫩】胶原蛋白面膜,2021/6/18 22:01,,,23:05.0,
-***官,,"<div class=""comment-star star5""></div>",春节前趁着年货节囤了4盒货，这是我第一次用的面膜，这个牌子是韩国进口的，整体来说。润肤很不错，敷了面膜以后，皮肤水嫩嫩的，皱纹也开始变少了，皮肤更紧致有弹性了。以上就是我用后的整体感受。贴合效果：中性脸基本能覆盖其他特色：面膜上有品牌logo补水效果：补水美白，紧致皮肤使用感受：面膜使用整体感受还好,,,【盈润光滑弹嫩】胶原蛋白面膜,2021/3/5 9:22,23:05.0,
天***流,,"<div class=""comment-star star5""></div>",软软的，萌萌的，嫩嫩的，感觉非常好，用的还是蛮舒服的，不愧为全网销量第一的面膜，比我之前的用的好，要相信大家的力量，大家好才是真的好。,,,【光滑弹嫩】胶原蛋白面膜,2022/2/7 7:46,23:05.1,
f***0,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜的质地很轻盈，和脸部贴合度很高。使用感受：使用这款面膜主要是为补水，补水效果非常不错，用完之后皮肤很水润。适合肤质：自己皮肤属于比较敏感的，用这款面膜没有任何不适。其他特色：精华液非常足，轻按就可以看到精华液溢出。京东搞活动的时候，这款面膜可以说是价廉物美。,【弹力紧致】胶原蛋白面膜,,,,23:05.1,2019/11/12 23:56
万***晶,PLUS会员,"<div class=""comment-star star5""></div>",包装非常好，很严实，值这个价格?心仪已久，果断下手，用过之后感觉很不错，是正品，快递也很给力，果然名副其实?正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买正品，买的放心，价钱也公道，满意！尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?,,,【光滑弹嫩】胶原蛋白面膜,2021/6/7 12:26,23:05.2,
****g,,"<div class=""comment-star star5""></div>",产品质感：产品非常好用，用了之后明显的感觉到皮肤白了亮光了了，有需要的小伙伴们赶快下单！使用感受：使用感受是一股清凉的，清清爽爽的感觉，做完之后脸也滑多了，光滑多了！适合肤质：适合所有人的肤质！补水效果：补水效果非常的好，有需要的小伙伴们赶快下单，夏天天气热，回到家之后做一张面膜，敷一张面膜，是非常不错的享受！贴合效果：贴合效果也是非常好的！其他特色：最近在搞活动打折，有需要的小伙伴们速速下单，价格非常便宜下来。,,,【莹润肌肤】胶原蛋白面膜,,23:05.6,
c***8,PLUS会员,"<div class=""comment-star star5""></div>",果断乘着双11屯了一波，价格实惠。昨天昨天试用了一片，感觉不错。补水效果杠杠的。,【光滑弹嫩】胶原蛋白面膜,2021/11/13 13:25,,,23:05.7,
