用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
L***1,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：膜布比较贴合，精华也是比较多的使用感受：一般是贴15分钟，个人感觉贴完后整个皮肤状态比较舒服，饱满个人还是喜欢这款面膜的适合肤质：个人是混油皮补水效果：补水算是比较好的、用过几款中算最好的所以一直有回购平价实惠的一款其他特色：喜欢的朋友不要错过哈，真的满好用的,【提亮焕肤】美白保湿黑面膜,2021/12/21 9:37,,,10:44.9,
w***g,PLUS会员,"<div class=""comment-star star5""></div>",给老婆买的，老婆很喜欢。敷这张面膜之后，皮肤也变白，变光滑了，又年轻了。,,,【提亮焕肤】美白保湿黑面膜,2021/7/2 21:41,10:45.0,
爱***纹,PLUS会员,"<div class=""comment-star star5""></div>",买了很多，今年过年囤面膜，用了很保湿，而且还有赠品，男生女生都可以用，包装也很精美，不会泛红，油性肌肤和干性肌肤都是可以使用的，保湿补水效果很好哦！,【提亮焕肤】美白保湿黑面膜,2022/1/22 18:36,,,10:45.0,
晴***e,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜本身柔软的很特别好高级感呢皮肤会知道使用感受：特别湿润软软的贴合感也很好适合肤质：感觉都适合因为是：补水美白油性肤质也不怕它不含油哈哈补水效果：补水美白就是至少一个度。夏天一晒红就用。镇定补水效果也不错救星啊贴合效果：很贴合脸颊处有剪开了的设计适合任意脸型其他特色：最喜欢这个黑面膜补水美白很不错,美白黑炭面膜,,,,10:45.1,2019/10/11 14:27
健***娃,PLUS会员,"<div class=""comment-star star5""></div>",好几次回头了，挺好用，坚持持续用效果很好，物美价廉，和脸部很容易贴合，之前买的面膜从包装里拿出来很不好往脸上贴，不是邹吧就是不平整，这个很好。,【提亮焕肤】美白保湿黑面膜,2021/10/31 20:23,,,10:45.1,
竹***攸,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：摸着很舒服，爽滑柔软使用感受：不粘不腻，清爽贴肤适合肤质：油性干性都可以，不用担心补水效果：效果很好，滋润满满，澎澎的贴合效果：还是不错的，脸小的可能更好，我是脸太大了,,,【提亮焕肤】美白保湿黑面膜,2022/1/11 17:39,10:45.2,
****w,PLUS会员,"<div class=""comment-star star5""></div>",非常棒的一款面膜，营养及水份都非常足，敷于面部很是舒服，面膜营养吸附的很是足量，隔两三天用一次，每次15分钟，用后非常舒爽，皮肤水嫩个,,,【提亮焕肤】美白保湿黑面膜,2021/11/29 13:45,10:45.2,
达***娅,PLUS会员,"<div class=""comment-star star5""></div>",用起来感觉很不错，水润不粘腻，过年以来一直购买，京东自营很放心。第一次使用还是大学在北京的时候，现在来到了沈阳，不知道实体店情况了，所以一直在京东购买,,,【提亮焕肤】美白保湿黑面膜,2022/4/4 11:31,10:45.3,
时***潮,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：大品牌，质量非常好使用感受：美白和?水效果相当棒，值得购买适合肤质：干性皮肤补水效果：以前没有用过面膜，皮肤一直很粗糙，使用后皮肤有明显改善贴合效果：很好其他特色：棒棒哒,【提亮焕肤】美白保湿黑面膜,2021/7/8 18:35,,,10:45.4,
****明,,"<div class=""comment-star star5""></div>",这款哼黑膜，我特别特别喜欢。用完之后非常有效果。这个牌子的面膜真的是又实惠又好用。尤其是夏天，每天都要用，一道两片。嗯，用完之后特别好。感觉特别舒服。皮肤的质感提升了很多。而且京东送货特别快。非常非常的方便。,【补水提亮】美白保湿黑面膜,2020/6/19 22:35,,,10:45.5,
f***8,PLUS会员,"<div class=""comment-star star5""></div>",宝贝收到了，很精致的礼盒，打开瞬间很惊喜，看着面膜来之不及的去给自己黑黄的脸铺上，一阵一阵清凉的感觉，过了二十分钟清洗发觉效果很不错，明显白了不少...,【美白提亮焕肤】美白保湿黑面膜,2021/3/6 15:16,,,10:45.8,
M***笑,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：产品质量没有问题，一直挺好的，东西也不错，非常满意，一直用这个牌子。使用感受：使用感受：使用感受也非常好特别满意挺好的用了好多年了适合肤质：适合肤质：适合各种皮肤使用真的不错请放心使用没问题补水效果：补水美白效果相当霸气上档次不亏是大牌子贴合效果：贴合效果也非常好感觉不错挺满意的其他特色：其他特点都非常好，嗯，感觉真的不错,【提亮焕肤】美白保湿黑面膜,2022/1/30 15:35,,,10:45.9,
z***7,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：不错，没毛病使用感受：水润保湿，效果很好，提亮肤色适合肤质：油性皮肤，改善明显补水效果：很好，补水效果快贴合效果：稍微有点小，可以优化设计一下其他特色：袋装精华液可以用来擦脸，不要浪费,,,【提亮焕肤】美白保湿黑面膜,2022/1/22 8:38,10:45.9,
朵***7,PLUS会员,"<div class=""comment-star star5""></div>",一直用的这个牌子的面膜，感觉挺好的，补水效果很好，精华液很多，很服贴，面膜手感很好，很细腻，贴完以后感觉脸上很光滑，而且很舒服，会一直回购的，,【补水提亮】美白保湿黑面膜,2020/11/10 20:46,,,10:46.0,
****4,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜是买的最多的产品，已经买过超多次啊。不仅自己用了，而且还推荐朋友用，都挺喜欢的。,【提亮焕肤】美白保湿黑面膜,2022/3/12 18:44,,,10:46.0,
s***2,,"<div class=""comment-star star5""></div>",购买此款面膜感觉面部皮肤滑滑的，很润很舒服，水水的嫩嫩的，没有异味，不会刺激到皮肤过敏，秋冬补水的必备，贴合度很。效果明显。,,,【提亮焕肤】美白保湿黑面膜,2021/9/23 9:52,10:46.1,
****5,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔面膜这款黑膜日常补水保湿，效果很好，产品质感：面膜纸轻薄柔软，贴合效果：上脸很服帖，大小刚好补水效果：日常补水效果很好使用感受：使用过后皮肤水润，紧致，适合肤质：混合型肤质,,,【提亮焕肤】美白保湿黑面膜,2021/3/27 17:54,10:46.2,
毛***导,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜纸很服帖，上脸不刺激很舒服补水效果：补水保湿效果杠杠的，适合只想要基础补水保湿的人，虽然夏天相对湿度大一些，但是长期在屋里补水还是很合适的,,,【提亮焕肤】美白保湿黑面膜,2022/3/14 23:38,10:46.2,
u***3,,"<div class=""comment-star star5""></div>",这两年的面膜都是从京东买的这个牌子，非常好用，很好吸收，面膜纸挺薄的，但是不容易皱，很服帖，用了之后皮肤水水嫩嫩的，摸起来很光滑，没有油腻感，对于我的油性敏感肌也没什么不适感，囤了好几盒，用完了还会回购。,【补水提亮】美白保湿黑面膜,2020/10/9 23:05,,,10:46.3,
答***扬,PLUS会员,"<div class=""comment-star star5""></div>",这款美白保湿升级版黑面膜用了，非常舒适，皮肤紧致，很有弹性，最主要的是水灵灵的效果非常好，用了很多次了，皮肤吸收的非常好，没有任何不舒适的感觉，学会保养，学会照顾自己，美美的比什么都重要！正好搞活动，继续入手,【焕白因子】美白保湿黑面膜,,,,10:46.4,2020/6/2 17:31
b***n,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：包装都不错，快递也很给力使用感受：保湿效果不错适合肤质：主要是用来做补水补水效果：强效补水保湿，还不错贴合效果：挺服帖的爱长痘的还是不要敷面膜敷的太勤，先祛痘再去做补水,,,【提亮焕肤】美白保湿黑面膜,2021/11/6 20:25,10:46.7,
****c,PLUS会员,"<div class=""comment-star star5""></div>",服务态度很好，快递很给力，货很好，经常买的，补水效果非常不错，使用感受也非常的不错，产品质感十足的，适合肌肤要看自己的皮肤了。,【提亮焕肤】美白保湿黑面膜,2021/10/13 15:29,,,10:46.7,
****7,PLUS会员,"<div class=""comment-star star5""></div>",618活动很划算，买了4盒，试用了蓝色那种，很补水，不错哦，黑色这颜还未试呢，打算一天试一款，活动价买很超值，天天用也不心疼，希望以后多点活动，哈哈哈哈！！使用感受：补水效果不错，用后挺滋润的贴合效果：很贴合面部，舒服补水效果：很不错，很水润,【补水提亮】美白保湿黑面膜,2020/6/20 13:47,,,10:46.8,
r***i,PLUS会员,"<div class=""comment-star star5""></div>",黑面膜贴合很好！精华充足！美白补水！油性肤质也不怕！味道好闻敷上无刺痛感！面膜纸很舒服！很柔软！坚持使用效果明显！物美价廉！,,,【提亮焕肤】美白保湿黑面膜,2021/11/6 20:43,10:46.8,
