用户名,会员,星级,评论,类型1,评论时间1,类型2,评论时间2,采集时间,评论时间3
D***A,PLUS会员,"<div class=""comment-star star5""></div>",使用感受：用了这款面膜之后脸滑滑的，很润！适合肤质：适合任何肤质！敷完面膜很清爽的！补水效果：补水效果非常好，北京天气干燥，必须多敷面膜！连着用个两天三天的，皮肤明显好很多！贴合效果：很好，很贴合！其他特色：一直信赖京东，京东商城快递很赞，退换货很方便！,【紧致细腻】毛孔紧致黑面膜,,,,2022-04-23 20:04:34.146,2020-03-04 09:47
Q***儿,PLUS会员,"<div class=""comment-star star5""></div>",之前买的是补水的，特别好用，这次买的这种毛孔紧致的，一样好用。效果显著，贴完面膜明显能看到毛孔收缩了一些，另有补水效果，脸上嫩嫩的，这个面膜布是厚一点的那种，贴着很舒服。,【紧致肌肤】毛孔紧致黑面膜,2020-10-18 21:11,,,2022-04-23 20:04:34.189,
爱***纹,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很有质感，好品牌的面膜有保障使用感受：保湿补水效果很好适合肤质：油性肌肤和干性肌肤都可以贴合效果：非常的服帖，面膜纸也很轻薄，不会厚重用完以后第二天脸色变亮，上妆也更加服帖了，挺好的,【收缩毛孔】毛孔紧致黑面膜,2022-01-22 18:44,,,2022-04-23 20:04:34.247,
1***u,PLUS会员,"<div class=""comment-star star5""></div>",一直用这个牌子的面膜，用过水润款，还有黄色带字的。这款既滋润又可以收缩毛孔。使用感受：滋润可以，敷完面膜涂粉底不会浮粉，至于收缩毛孔目前还没看出来适合肤质：都可以用。补水效果：可以。贴合效果：很贴合其他特色：精华很多，希望用久了会起到收缩毛孔的作用。京东物流一如既往地好又快。,【清洁收缩毛孔】毛孔紧致黑面膜,2020-12-12 20:02,,,2022-04-23 20:04:34.289,
****w,PLUS会员,"<div class=""comment-star star5""></div>",特别喜欢美惠迪尔的这款黑面膜，营养成分多，敷在脸上很服帖，大小也合适，面膜含水量高，用起来效果也很棒，感觉脸上水嫩光华了不少！,,,【收缩毛孔】毛孔紧致黑面膜,2021-11-30 10:06,2022-04-23 20:04:34.333,
姜***嘻,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜比较柔和，设计的很好，能完全贴个皮肤，用完以后效果还没有完全体现，感觉不错，而且面膜很大，男生也可以用，完全不用担心面膜不够大的问题，用完面膜记得洗脸，这样效果比较好，物流很快，包装完整，而且感觉盒子很好看还实用，不用直接丢掉。,毛孔紧致黑炭面膜,,,,2022-04-23 20:04:34.384,2019-09-06 14:00
爱***雪,,"<div class=""comment-star star5""></div>",这款美迪惠尔的面膜简直太划算了，聚实惠的，比大润发的便宜多了，而且是一盒10片装的，非常的值得，而且包装也很精致，面膜也不油腻的，用完不洗脸都可以，一般都是去过黑头后，收缩毛孔用的，非常不错。,【收缩毛孔】毛孔紧致黑面膜,2022-01-26 23:46,,,2022-04-23 20:04:34.428,
E***笑,PLUS会员,"<div class=""comment-star star5""></div>",面膜真的要经常用，但是这款也没用给我，买来试试，物流很快的，包装也很好，一盒10片，凑单买了四盒，很便宜的，感觉应该是正品，,【收缩毛孔】毛孔紧致黑面膜,2021-06-20 10:34,,,2022-04-23 20:04:34.485,
****p,PLUS会员,"<div class=""comment-star star5""></div>",第N次回购这款面膜了，经济实惠，每次活动的时候就会屯一堆，就当普通的补水面膜一样使用，这个牌子好几种效果的面膜我都有试试，不过我平常用的的时候也特别选，面膜很服帖，，我皮肤比较干，冬天在北方基本上一天一张，贴面膜和没贴效果还是不一样的,,,【紧致细腻】毛孔紧致黑面膜,,2022-04-23 20:04:34.538,
u***o,PLUS会员,"<div class=""comment-star star5""></div>",宝贝的外包装非常的严实，收到的宝贝很完整。618买的抢购的还不错哦。没有破损。打开了宝贝使用过了，面膜非常的贴合很舒适补水的效果也很不错。价钱也比较实惠，性价比比较高。使用过了一次感觉还不错。可以哦！,【紧致肌肤】毛孔紧致黑面膜,2020-06-25 08:18,,,2022-04-23 20:04:34.591,
J***修,PLUS会员,"<div class=""comment-star star5""></div>",在京东商城购买了美迪惠尔毛孔精致黑面膜；用了以后感觉产品的质感特别好、补水效果非常好?贴合效果不错??特别适合我的肤质。,【深层清洁】毛孔紧致黑面膜,2022-04-21 19:45,,,2022-04-23 20:04:35.044,
