用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
2***2,,"<div class=""comment-star star5""></div>",经常购买蒂佳婷面膜，感觉敷完之后润润的，也没有香味，补水效果很好，里面的营养液也比较多，以后还会回购，京东的产品信得过，品牌也是大品牌，推荐推荐！,深层补水【水润安瓶面膜】,,2021-11-19 23:30,,2022-04-24 10:52:02.821,
p***7,PLUS会员,"<div class=""comment-star star5""></div>",一直使用这个品牌的面膜，超级好用。补水效果超好，轻薄不粘腻。东京购买超级方便，动动手机隔天送货到家。再也不用兴师动众到处找韩国了。,深层补水【水润安瓶面膜】,,2022-01-20 11:14,,2022-04-24 10:52:02.876,
f***3,,"<div class=""comment-star star5""></div>",好喜欢这款，密集补水可以让整个皮肤水嘭嘭的，感觉很好，喜欢！面膜布很贴合，真的太喜欢这款宝贝了，一直用这个品牌，喜欢！,深层补水【水润安瓶面膜】,,2022-01-15 18:33,,2022-04-24 10:52:02.939,
d***9,PLUS会员,"<div class=""comment-star star5""></div>",补水效果：特别好之前一直只用蓝色的那款，现在多买了几种，尝试下新的面膜，目前只试了蓝色和白色，蓝色的和我之前线下买的差不多，补水效果蛮好的，白色也很好，看不出啥区别,,新品【透亮保湿】水润安瓶面膜,,2021-09-06 11:18,2022-04-24 10:52:02.989,
z***b,PLUS会员,"<div class=""comment-star star5""></div>",之前在同学那用过这款面膜，当时觉得很好用，就自己也买了，保湿效果非常好产品质感：精华亮适中，面膜纸透气使用感受：补水效果非常棒适合肤质：我是混合性皮肤用着不错,,深层补水【水润安瓶面膜】,,2021-11-02 12:29,2022-04-24 10:52:03.044,
快***圈,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：包装很好，是正品无疑了，超赞的，买了很多次了，这次买了四十片，优惠活动多多，物美价廉！使用感受：很补水，超赞适合肤质：中干性皮肤补水效果：特别补水，很好,,深层补水【水润安瓶面膜】,,2021-11-06 21:14,2022-04-24 10:52:03.092,
****c,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：这款面膜质感不错???使用感受：这是我用了几年的品牌面，用起来还不错?适合肤质：我是中性皮肤用起来感觉不错补水效果：面膜补水效果非常好?贴合效果：面膜贴合度也不错其他特色：不错?,,新品【透亮保湿】水润安瓶面膜,,2021-09-24 16:10,2022-04-24 10:52:03.147,
萧***北,,"<div class=""comment-star star5""></div>",这款面膜据说是***面膜呢，补水效果据说比较好，用了两次感觉还不错，精华液很多，膜布也都特别服帖，而且膜布吸收了很多精华，不浪费，好评！,,新品【透亮保湿】水润安瓶面膜,,2021-08-09 19:49,2022-04-24 10:52:03.206,
****2,PLUS会员,"<div class=""comment-star star5""></div>",赶上活动我一下买了四盒，买了两款面膜，已经拆开适用了，很不错，面膜纸非常的薄，大小也很贴合面部皮肤，，精华液也很多，敷在脸上很舒服，敷完以后脸部皮肤滑滑的，皮肤很嫩。,,深层补水【水润安瓶面膜】,,2022-04-05 10:13,2022-04-24 10:52:03.256,
r***i,PLUS会员,"<div class=""comment-star star5""></div>",面膜质感不错！精华充足而且面膜纸很透气不闷！补水效果不错！贴合度也很好！油皮可用！用完第二天皮肤很好水水嫩嫩的！很好上妆！,,深层补水【水润安瓶面膜】,,2021-11-06 20:37,2022-04-24 10:52:03.305,
****l,PLUS会员,"<div class=""comment-star star5""></div>",换季冬天皮肤干燥，需要多敷一些补水的面膜，这一款的补水效果非常好，使用起来效果也很明显，可以很大程度上改善皮肤缺水的状态，敷的时候脸很舒服，不刺激,,深层补水【水润安瓶面膜】,,2021-10-31 13:13,2022-04-24 10:52:03.720,
****q,PLUS会员,"<div class=""comment-star star5""></div>",筛选了很久，选第一次买，正好有活动买了两单面膜，拿到就用了试用装，挺不错的，很服帖，补水效果很好。等待其他的护肤品快递。好评,,新品【透亮保湿】水润安瓶面膜,,2021-09-10 20:46,2022-04-24 10:52:03.788,
两***猪,PLUS会员,"<div class=""comment-star star5""></div>",同款面膜买了两盒，包装非常的严密，面膜精华液很多，补水效果非常好，用起来脸润润的，有一点点淡淡的味道，应该是属于香精的味道，闻着还是挺舒服的，介意者慎拍！,,深层补水【水润安瓶面膜】,,2022-04-07 13:18,2022-04-24 10:52:03.858,
j***4,,"<div class=""comment-star star5""></div>",一直用这个品牌的面膜，这款新出的还是第一次用，面膜里面的精华液挺多的，面膜很薄很服帖，贴完还有很多精华，需要按摩以后擦掉多余的。,,深层补水【水润安瓶面膜】,,2021-10-31 22:38,2022-04-24 10:52:03.921,
y***k,PLUS会员,"<div class=""comment-star star5""></div>",最近换季肌肤--下就觉得紧绷了，用了美迪惠尔新出的这款＃安瓶面膜#揭开面膜那一刻真的会哇哦一下~它的急速补水和水润提亮效果真的有惊讶到我！它是一整支安瓶精华集于一片面膜，每一片都是满满的保温精华！除了4重***帮助深入补水之外，还添加了银耳提取物全面滋养，丙三醇辅助锁水～天丝绒的膜布纸也值得-夸！像我这种比较敏感，容易泛红的肌肤用也是舒舒服服～轻薄服帖也不会往下掉整个爱住！千皮完全离不开它，敷完瞬间拥有水润澎澎肌！性价比也很在线,,深层补水【水润安瓶面膜】,,2022-01-07 17:00,2022-04-24 10:52:03.986,
王***杰,PLUS会员,"<div class=""comment-star star5""></div>",同批次买了很多，够用很久了了吧，买的全是补水保湿的，偶尔还有美白的，记不住了，总之，挺好用的。便宜又实惠，每天下班来一个，周末没事来一个，爽歪歪！,,新品【透亮保湿】水润安瓶面膜,,2021-07-16 12:57,2022-04-24 10:52:04.059,
****s,PLUS会员,"<div class=""comment-star star5""></div>",刚用了一片面膜，这款面膜还不错，这个香味我喜欢，补水效果的话，还可以，洗完脸不拔干，也不刺激，，面膜也非常贴合，一直都信赖京东。,,深层补水【水润安瓶面膜】,,2022-03-14 21:26,2022-04-24 10:52:04.123,
我***儿,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜真是补水绝绝子了，一转季洗完脸，我的脸就会很干，连续用了这个两天，脸上不擦任何护肤品也不显干了，洗完脸没有紧绷感，真是干皮的救星,,深层补水【水润安瓶面膜】,,2022-03-03 11:59,2022-04-24 10:52:04.178,
