用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
****2,PLUS会员,"<div class=""comment-star star5""></div>",一下子买了四款，价位特别划算，用下来感觉就是：超值。我一下子都打开，四款轮着用，每天上班回来，洗完了，如果天气干燥就用蓝色，如果太阳大晒到了就用vc那款，熬夜了就用胶原蛋白那款…用完了皮肤很滋润，一天一张，特殊情况下两张。那天去吃饭，对面一女的的忍不住问我是做美容的么？皮肤这么好…印证了我自己的感觉…价位实惠，从来没面膜用的这么潇洒过。前天生日朋友送了其他牌子的，我也打开了，随机一起用的，今天一查才知道那款一盒160，5张！一盒相当于这个四盒10张的价位！可是也没感觉出来那个更好…这…一对比，觉得这款真是性价比高！于是明白了这款为啥一直这么火！回购！现在看了下，四盒还是这个价，又回购了一批，有胶原蛋白的，还有其他新款，也试试。,,【焕亮肤色】维他命安瓶面膜,,2021-11-30 15:51,2022-04-24 11:03:30.986,
h***o,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：贴合面部，面膜柔软使用感受：每天敷一片，滋润一整天适合肤质：我是干性皮肤，补水效果不错补水效果：补水效果不错，敷完面膜后水嫩嫩的很不错。贴合效果：很贴合，材质柔软。,新品【焕亮肤色】维C安瓶面膜,,2021-10-06 13:39,,2022-04-24 11:03:31.043,
小***5,PLUS会员,"<div class=""comment-star star5""></div>",面膜前两天就到了，好大一盒啊，我特意用了两天才来评价的，这是我第一次买这个品牌的面膜，因为我是敏感肌，对这些产品非常容易过敏，而且是敷在脸上的，不注意一点不行，经过我这两天的亲身经历，不得不说这个面膜是真的好用，温和无刺激，我是敏感肌用了都不会过敏，而且敷完之后肌肤滑滑的，摸起来很舒服，敷起来也很舒适，好评！好评！好评！过多一阵子追评效果！,【焕亮肤色】维他命安瓶面膜,,2021-12-07 21:10,,2022-04-24 11:03:31.112,
火***w,,"<div class=""comment-star star5""></div>",快递速度快，收到的面膜包装好，打开用了觉的补水效果非常好，精华液很多，敷完之后脸水水润润的，很温和不刺激，效果显著，很满意,,【焕亮肤色】维他命安瓶面膜,,2021-11-20 00:21,2022-04-24 11:03:31.162,
****l,PLUS会员,"<div class=""comment-star star5""></div>",多次购买美迪惠尔的面膜，这款维生素C的第一次用，面膜纸很薄，但是精华很多，贴在脸上很服帖，用完脸上很水润，也没有任何究竟味道，很好用。,,【焕亮肤色】维他命安瓶面膜,,2021-10-21 16:51,2022-04-24 11:03:31.222,
d***9,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜纸很贴合脸部，袋里面的精华液特别多，多的可以使用到脖子，这几款我自己感觉不到特别大的差异，反正补水效果都是蛮好的，和我线下在香港买的没啥差异,,新品【焕亮肤色】维C安瓶面膜,,2021-09-06 11:22,2022-04-24 11:03:31.281,
蔡***8,PLUS会员,"<div class=""comment-star star5""></div>",本人早晚每天两贴面膜日常护理补水，肤质是干性皮肤过敏的，这款面膜下单买了4盒，每一款都不不同效果的，保湿补水滋润的功效，使用方便快捷，精华正常多，太多了也没用，补水保湿效果很棒呢，我还搭配了其他款面膜一起使用,,【焕亮肤色】维他命安瓶面膜,,2021-10-25 11:46,2022-04-24 11:03:31.339,
j***4,,"<div class=""comment-star star5""></div>",在众多面膜中，选择了这款柠檬面膜，看中了它的维C，拿到手后，打开敷在脸上，没有任何的刺激感，只闻到淡淡的柠檬味，本人很喜欢！,新品【焕亮肤色】维C安瓶面膜,,2021-06-20 23:00,,2022-04-24 11:03:31.396,
****头,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：面膜纸很舒服，精华液也多，很服帖。。。。。使用感受：我用完皮肤嫩嫩的。适合肤质：混合皮都可以。补水效果：很棒。第二天皮肤都嫩嫩的。水**。应急补水很棒。。。。。。,,【焕亮肤色】维他命安瓶面膜,,2022-02-01 08:35,2022-04-24 11:03:31.462,
熏***芳,PLUS会员,"<div class=""comment-star star5""></div>",趁着搞活动的时候买的，性价比超级高，产品质感：产品质感还不错使用感受：用起来比较滋润补水适合肤质：我是中性偏油的皮肤，感觉还可以补水效果：补水效果还行贴合效果：很贴合物流很快，服务很好,,【焕亮肤色】维他命安瓶面膜,,2022-03-09 22:52,2022-04-24 11:03:31.539,
v***y,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：清爽不油腻，淡淡的柠檬味道。使用感受：一直用他家各种面膜，很补水，淡化细纹，第二天起来皮肤水**的。贴合效果：贴合度很好，轻薄透气。其他特色：日期很新鲜。,,新品【焕亮肤色】维C安瓶面膜,,2021-07-10 22:54,2022-04-24 11:03:31.980,
