用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
老***3,PLUS会员,"<div class=""comment-star star5""></div>",第一次购买美迪惠尔绿色这款面膜，最近皮肤缺水，期待这款面膜能带来好效果，使用美迪惠尔很多年，一直很不错，之前一直使用蓝色水库面膜，这次买了绿色新茶树还有黑色那款,【水油平衡】茶树面膜,,2021-09-05 22:15,,2022-04-24 11:26:33.328,
****容,,"<div class=""comment-star star5""></div>",趁着搞活动，买了这个牌子的好几种系列，很划算，每天换着敷面，精华液很充足，敷完后感觉有保湿，皮肤嫩滑，香味淡淡的，好闻，物流也很快的，用完之后还会再来。,,【水油平衡】茶树面膜,,2021-06-25 08:14,2022-04-24 11:26:33.381,
挥***别,,"<div class=""comment-star star5""></div>",产品质感：水润不粘腻使用感受：深层补水，锁水适合肤质：任何肌肤可用贴合效果：膜布薄贴合脸部买了两种搭配使用，秋冬脸干干的，很好用的一款面膜，补水效果很不错,,【镇定舒缓】茶树面膜,,2022-01-24 21:13,2022-04-24 11:26:33.448,
****6,PLUS会员,"<div class=""comment-star star5""></div>",一直是用韩国蜂蜜面膜，这次京东卖完了，就尝试下美迪惠尔品牌的面膜。因为价格上做活动，所以一次买了3盒。分别是买了胶原蛋白，茶树跟紧致毛孔黑膜！看销量是位居榜首的，应该效果不会差。后续使用后再来追加评价，京东的服务送货员态度真的好，送货也相当快！值得信奈,【缓解痘痘】茶树面膜,,,,2022-04-24 11:26:33.505,2020-03-12 17:16
****l,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔茶树精油款的，看见好多人种草，自己也买来试试，可以控油祛痘清洁毛孔，很好闻的茶树味道，和其他几款一样用起来很贴合皮肤，大爱这个牌子。,,【镇定舒缓】茶树面膜,,2021-10-21 16:59,2022-04-24 11:26:33.562,
三***客,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜去年双11买过，用起来感觉很好，很服帖，而且好喜欢，补水效果特别棒，这次看到京东上搞活动，果断入手三盒，价格特别合适，目前还没有用，期待效果，如果好用，以后就用这个牌子了，而且相信京东的品质！,,【镇定肌肤】茶树面膜,,2020-06-23 15:45,2022-04-24 11:26:33.621,
小***6,PLUS会员,"<div class=""comment-star star5""></div>",在某书上面看到有博主在推荐，于是种草。对于痘痘有很好的消炎作用。面膜纸很薄很透，没有刺鼻气味。用完后用清水一洗就干净，不黏糊。,【水油平衡】茶树面膜,,2021-04-05 09:32,,2022-04-24 11:26:33.669,
和***c,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：挺不错，包装上也很满意，看起来很大大方方。使用感受：补水效果不错，缓解脸部肌肤僵硬。适合肤质：偏油性。补水效果：满意，也不知道属不属于深层次，但是亲身体验感还是蛮满意的。贴合效果：基本贴合。其他特色：待发掘。,【镇定肌肤】茶树面膜,,2020-10-28 16:24,,2022-04-24 11:26:33.728,
x***5,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：气味很淡，很清香，没有酒精味道。使用感受：贴起来很舒服，比较水润适合肤质：不知道，但我是油性皮肤，还比较合适。至少贴完后不会有很油的感觉。补水效果：很好贴合效果：比较贴合，但可能自己脸大，边边上有点贴不到,,【水油平衡】茶树面膜,,2021-06-22 19:45,2022-04-24 11:26:33.785,
z***-,,"<div class=""comment-star star5""></div>",贴着有效果很好，服帖，补水保湿，精华液多，，使用后皮肤光滑细腻，膜布很有质感，是正品，好用满意下次还来，物流也很快，推荐购买,,【水油平衡】茶树面膜,,2021-10-18 12:57,2022-04-24 11:26:33.844,
