用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
林***o,PLUS会员,"<div class=""comment-star star5""></div>",是一个老牌子面膜，这个很多年以前就用过，那个时候还没这么便宜，现在越来越便宜了，买了回来再试试吧，因为真的便宜，不知道好不好用啊，用过了再来追平，这个包装也是换了一种了，看着好看一点了，这个快递特别快，这个是韩国牌子,,【柔嫩焕亮】珍珠蛋白面膜,,2021-08-13 17:27,2022-04-24 11:43:47.564,
悠***舟,PLUS会员,"<div class=""comment-star star5""></div>",一下子屯了好多有活动的时候买绝对超值一直用这个牌子的用完清清爽爽很舒服不黏腻面膜液也足够多多的很不错用完皮肤超级嫩,,【焕亮紧致】珍珠蛋白面膜,,2021-11-05 14:37,2022-04-24 11:43:47.617,
****4,PLUS会员[试用],"<div class=""comment-star star5""></div>",面膜好闻有淡淡的清香很服帖补水效果非常棒哟精华液也是很多的温和不刺激买着开心,,【焕亮紧致】珍珠蛋白面膜,,2022-04-14 14:38,2022-04-24 11:43:47.680,
A***j,,"<div class=""comment-star star5""></div>",这个面膜纸很服帖，很滋润，补水效果也很好，很满意。也很滋润，不会过敏，补水效果特别好，可以使用一下试试,,【焕亮紧致】珍珠蛋白面膜,,2022-01-10 20:22,2022-04-24 11:43:47.732,
仔***南,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔珠珠蛋白浸透乳液面膜是因为买三款有优惠就随便凑了几款之前最早的时候是用过蓝色包装的现在的品种真多这款紫色包装的面膜应该是三款中价格最贵的一盒只有5片面膜纸非常厚实非常滋润袋子里遗留的也不舍得扔掉用来涂手了就像涂了层护手霜,,【焕亮紧致】珍珠蛋白面膜,,2022-01-09 19:48,2022-04-24 11:43:47.795,
天***人,PLUS会员,"<div class=""comment-star star5""></div>",这个牌子一直用在使用，不仅含水量很足，补水效果明显，而且贴合度很好，用起来很舒服，再有成分不错，吸收效果好，长久保持肤质细润有效,,【柔嫩焕亮】珍珠蛋白面膜,,2021-08-09 07:31,2022-04-24 11:43:47.842,
雨***5,PLUS会员,"<div class=""comment-star star5""></div>",无意中看到朋友在用，于是便留意了，之前的面膜快用完了，赶紧囤货，还可以，用了后第二天脸还是光滑的，很舒适了，估计很一段时间就用这个了，毕竟性价比高，面膜还是有点大,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-24 23:10,2022-04-24 11:43:47.906,
****o,PLUS会员,"<div class=""comment-star star5""></div>",京东物流特别快，服务也特别赞，一直信赖京东，这款面膜很好用，一直买的这款面膜，很服帖，精华很多，补水效果好，用完皮肤特别好,,【焕亮紧致】珍珠蛋白面膜,,2021-11-12 11:09,2022-04-24 11:43:47.961,
唐***垚,PLUS会员,"<div class=""comment-star star5""></div>",果然是美白面膜，感觉特别多特别多的美白精华在里面，滑滑的感觉出差的时候晚上做了面膜，又补水又美白，两全其美不过还只用了一片，效果不好说，用多了看吧,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-24 21:42,2022-04-24 11:43:48.030,
****j,PLUS会员,"<div class=""comment-star star5""></div>",这个面膜已经回购N次了，很好用，蓝色补水，黄色是美白的，这次试试这款紫色的，提亮紧肤的，试过再来追评。,,【紧致滋养】珍珠蛋白面膜,,2022-04-16 10:33,2022-04-24 11:43:48.086,
****5,PLUS会员,"<div class=""comment-star star5""></div>",我用这个牌子已经用了很久了，但是这个新的产品是第一次买，最近晒得比较厉害，有点黑，所以呢，急需要用美白的面膜，面膜用的还不错，里面的液体非常多敷在脸上也非常润泽了。,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-29 13:16,2022-04-24 11:43:48.503,
f***0,PLUS会员,"<div class=""comment-star star5""></div>",老牌子面膜，现在越来越便宜了。一下子屯了好多，有活动的时候买绝对超值。感觉特别多特别多的美白精华在里面，滑滑的感觉。出差的时候晚上做了面膜，又补水又美白，两全其美。,,【焕亮紧致】珍珠蛋白面膜,,2022-03-11 15:18,2022-04-24 11:43:48.581,
****0,,"<div class=""comment-star star5""></div>",618买了好多东西京东下单超级快今天下单明天到赶上做活动简直划算到家了还送了好多赠品物美价廉值得推荐,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-20 19:32,2022-04-24 11:43:48.661,
s***0,,"<div class=""comment-star star5""></div>",非常棒的面膜，性价比很高，保湿水润非常舒服，睡前敷上一片非常好，很适合干燥的皮肤。,,【焕亮紧致】珍珠蛋白面膜,,2021-11-06 11:15,2022-04-24 11:43:48.721,
****m,PLUS会员,"<div class=""comment-star star5""></div>",真的太喜欢美迪惠尔了晒后用上一片淡淡的香味闻着就安心面膜纸不薄不厚刚刚好精华液也多而不粘腻趁着活动多买几盒囤着划算,,【柔嫩焕亮】珍珠蛋白面膜,,2021-08-07 09:00,2022-04-24 11:43:48.794,
A***头,,"<div class=""comment-star star5""></div>",感觉还不错，用完水水的刚用了一次，双十一价格很便宜。补水的有防伪其他的好像没有。,,【焕亮紧致】珍珠蛋白面膜,,2021-12-11 20:46,2022-04-24 11:43:48.881,
****4,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：质量不错，精华挺多的使用感受：使用后脸蛋很光滑，很嫩适合肤质：适合所有肌肤补水效果：补水效果不错?,,【柔嫩焕亮】珍珠蛋白面膜,,2021-07-28 14:44,2022-04-24 11:43:48.933,
银***簇,PLUS会员,"<div class=""comment-star star5""></div>",这款美迪惠尔面膜无论是包装还是产品都是非常不错的。面膜是带有美白成分，效果显著。补水效果非常不错。已经回购了几次。京东商城购物优惠多多，价格便宜。,,【紧致滋养】珍珠蛋白面膜,,2022-04-17 13:14,2022-04-24 11:43:49.007,
u***t,PLUS会员,"<div class=""comment-star star5""></div>",物流速度很快，双十一买的，价格实惠，性价比比较高，一起买了四盒，不同功能，一直用这个牌子的面膜，感觉补水、美白效果还可以。,,【柔嫩焕亮】珍珠蛋白面膜,,2021-07-05 09:17,2022-04-24 11:43:49.080,
夏***呀,PLUS会员,"<div class=""comment-star star5""></div>",刚开始拍的时候是另外一款，结果卖家发错款了，然后觉得换太麻烦，就试了一下这个，结果一下感觉这个面膜特别好用，补水效果特别好，以后决定就用这个了,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-27 12:07,2022-04-24 11:43:49.144,
n***o,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：无敌了赶紧买不买就亏了使用感受：很爽感觉有青春了适合肤质：油性干性混合性应该都可以补水效果：很好补水无敌了贴合效果：啪啪两下就可以很贴合其他特色：物流很快价格很好京东棒棒的,,【柔嫩焕亮】珍珠蛋白面膜,,2021-08-09 15:56,2022-04-24 11:43:49.585,
殇***情,PLUS会员,"<div class=""comment-star star5""></div>",东西刚收到，虽然还没有使用，但是美迪惠尔的面膜质量等各方面还是值得我们信耐的，适合任何肌肤，不会发生过敏，并且在6.18打折买的，很划算,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-20 10:29,2022-04-24 11:43:49.649,
么***个,PLUS会员,"<div class=""comment-star star5""></div>",很不错的东西，哈哈哈，确实好玩，挺高的，有点作用，变白了，变美了，皮肤也好了，简直了，完美的操作，你可以来一波，哈哈哈哈，确实很不错,,【柔嫩焕亮】珍珠蛋白面膜,,2021-07-29 22:58,2022-04-24 11:43:49.699,
黑***1,PLUS会员,"<div class=""comment-star star5""></div>",看着不错，活动的时候买的，价格实惠，买了很多很多，这个还没用，好长时间不用买面膜了，非常值得，京东物流还是表扬一下很快滴，加油。,,【焕亮紧致】珍珠蛋白面膜,,2022-01-15 19:14,2022-04-24 11:43:49.741,
t***8,PLUS会员,"<div class=""comment-star star5""></div>",京东物流很方便，下单很快就能到，买的4盒159元，一起35片，可以用一个来月了。最开始用这个品牌是早很多年去韩国旅游的时候带回来的，感觉那时候买比现在贵很多！,,【焕亮紧致】珍珠蛋白面膜,,2022-04-10 13:07,2022-04-24 11:43:49.784,
l***g,,"<div class=""comment-star star5""></div>",经常使用面膜，对皮肤也好，这款牌子很不错，对皮肤无刺激，很好,,【焕亮紧致】珍珠蛋白面膜,,2022-03-28 00:08,2022-04-24 11:43:49.837,
上***0,PLUS会员,"<div class=""comment-star star5""></div>",收到啦，一直再用该品牌的面膜，很好用！之前用补水的，这次看朋友推荐，她用起来效果不错，就买来试试啦！会使用一段时间再来追评的！！！,,【紧致滋养】珍珠蛋白面膜,,2022-04-20 21:39,2022-04-24 11:43:49.896,
c***n,PLUS会员,"<div class=""comment-star star5""></div>",这个第一次用，面膜纸比较厚实，牛奶质地的精华液。感觉很不错的,,【柔嫩焕亮】珍珠蛋白面膜,,2021-07-17 10:29,2022-04-24 11:43:49.947,
****8,PLUS会员,"<div class=""comment-star star5""></div>",活动买的，一口气买了很多面膜，嘿嘿，慢慢来用，真的很不错哦，反正护肤是要坚持下去的，嘿嘿，一个星期用两三次，补水效果还不错,,【柔嫩焕亮】珍珠蛋白面膜,,2021-07-23 07:27,2022-04-24 11:43:49.992,
****5,,"<div class=""comment-star star5""></div>",京东做活动凑单一起买了试试，买了才发现是5片，效果挺不错的，补水也很好，一个星期敷几次面膜皮肤也好好的，价格也不贵，第一次用这款，挺好,,【柔嫩焕亮】珍珠蛋白面膜,,2021-10-16 19:30,2022-04-24 11:43:50.047,
璧***穹,PLUS会员,"<div class=""comment-star star5""></div>",已经收到了宝贝，东西很不错，很好用的，使用效果很好，已经多次购买了，在京东购买放心。,,【焕亮紧致】珍珠蛋白面膜,,2022-04-07 22:29,2022-04-24 11:43:50.467,
b***w,PLUS会员,"<div class=""comment-star star5""></div>",新款新包装，没有使用过这款。mediheal真的是进口的，包装精美，印刷清晰。虽然一盒只有5个，但依然惊喜。每年这个时候只买面膜，把一年甚至是两年的都囤好。mediheal的面膜布很厚，很有质感，美容液足，珍珠美白，水润保湿，很香很柔。,,,,,2022-04-24 11:43:50.523,
暗***落,PLUS会员,"<div class=""comment-star star5""></div>",作为美迪惠尔的忠实粉丝，很喜欢新出的这两款乳液面膜，适合20岁以上的男孩子女孩子使用，营养抗皱，很不错。,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-08 23:32,2022-04-24 11:43:50.578,
轻***2,PLUS会员,"<div class=""comment-star star5""></div>",珍珠在古时候的时候就是用来给嫔妃们美白肌肤的、现在用来做面膜产品效果应该是非常不错的吧，6.19囤货活动力度很大的价格实惠,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-22 14:59,2022-04-24 11:43:50.632,
****x,,"<div class=""comment-star star5""></div>",还挺好用的，感觉像那种牛奶的感觉，奶色液体，具体美白功能，需要长时间使用，面膜设计也比其他特别，鼻子两侧的沟还可以覆盖到，没有任何的不舒适感。,,,,,2022-04-24 11:43:50.689,
****8,,"<div class=""comment-star star5""></div>",产品质感：面膜纸摸起来手感很舒服，，质量好，不是那种摸着起小球球的，质量可以使用感受：敷在脸上感觉水分很足，凉凉的，很舒服，大小也很合适。适合肤质：我觉得不挑皮肤，适合各种肤质。补水效果：补水效果还是不错的，用完脸很清爽，给个好评贴合效果：适合脸型，很服帖，很舒服其他特色：价格实惠，京东下单有活动，所以买了四盒，而且发火速度也快，京东很给力。,【柔嫩焕亮】珍珠蛋白面膜,,2021-10-14 21:09,,2022-04-24 11:43:50.744,
劉***宝,PLUS会员,"<div class=""comment-star star5""></div>",面膜不错，推荐朋友，自己也买，双11特别划算，果断买买买,,【焕亮紧致】珍珠蛋白面膜,,2021-11-21 12:04,2022-04-24 11:43:50.803,
u***i,,"<div class=""comment-star star5""></div>",宝贝收到啦，价格非常实惠，而且使用感受很好，强烈推荐这款，超级喜欢。,,【焕亮紧致】珍珠蛋白面膜,,2022-03-12 21:15,2022-04-24 11:43:50.878,
u***c,PLUS会员,"<div class=""comment-star star5""></div>",冬天脸太容易干了，这个就很保湿。双十二很划算,,【焕亮紧致】珍珠蛋白面膜,,2021-12-17 07:55,2022-04-24 11:43:50.942,
u***a,,"<div class=""comment-star star5""></div>",很好用的一款面膜，味道清新淡雅，，用后肌肤舒适感十足的，滑滑的嫩嫩的滑滑的嫩嫩哒，很好用的产品推荐哦，有活动的时候很适合你囤货哦,,【柔嫩焕亮】珍珠蛋白面膜,,2021-07-18 12:06,2022-04-24 11:43:51.012,
****m,PLUS会员,"<div class=""comment-star star5""></div>",价格非常非常优惠喜欢喜欢等用完了看哪个效果好会继续买的已经用了一盒蓝色的了再继续用其他的试试看希望一直有优惠,,【焕亮紧致】珍珠蛋白面膜,,2021-11-18 23:58,2022-04-24 11:43:51.432,
****e,PLUS会员,"<div class=""comment-star star5""></div>",真的很好用，对皮肤非常温和，不刺激，双十一又囤了很多，够用很长时间了，每次用完之后都感觉皮肤清爽很多，非常适合学生党使用。,,【焕亮紧致】珍珠蛋白面膜,,2021-11-14 10:14,2022-04-24 11:43:51.496,
X***X,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：非常好使用感受：舒服适合肤质：通用补水效果：明显贴合效果：完美,,,,,2022-04-24 11:43:51.540,
****o,PLUS会员,"<div class=""comment-star star5""></div>",非常熟悉的品牌，这款产品第一次购买，准备推荐给家人试试看，价格比之前使用过的贵一些，也许是功效不一样吧，如果使用效果好还会再买,,【焕亮紧致】珍珠蛋白面膜,,2022-01-22 12:51,2022-04-24 11:43:51.587,
银***簇,PLUS会员,"<div class=""comment-star star5""></div>",这次购买的是美迪惠尔珍珠蛋白面膜，十分喜欢。面膜精华多多，适合各种肤质，无刺激。用后肌肤清爽光滑净透，特别白嫩，十分推荐。,,【焕亮紧致】珍珠蛋白面膜,,2021-12-26 18:16,2022-04-24 11:43:51.651,
呪***-,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：?是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^?^.使用感受：真的很好用，对商品非常满意，属于无限回购款，推荐！贴合效果：个人感觉很不错,,【柔嫩焕亮】珍珠蛋白面膜,,2021-06-13 23:57,2022-04-24 11:43:51.704,
