用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****l,,"<div class=""comment-star star1""></div>",包装这个样子，我也服了,,,,【热销爆款】水润保湿面膜,2019-11-22 10:31,
u***k,,"<div class=""comment-star star1""></div>",包装简陋，盒子都压扁了,水润保湿面膜10片,2018-01-30 09:53,,,,
o***p,,"<div class=""comment-star star1""></div>",压成这个样子，我也是醉了。,,,2018-08-25 12:07,水润保湿面膜10片,,
****r,,"<div class=""comment-star star1""></div>",这盒子都是坏的为点儿啥,水润保湿面膜10片,2018-03-01 20:09,,,,
骑***环,,"<div class=""comment-star star1""></div>",拿来都烂完了，包装全部烂完,水润保湿面膜,,,,,2018-12-14 20:32
****z,,"<div class=""comment-star star1""></div>",本商品寄过来无包装，零散装,水润保湿面膜10片,2018-06-23 19:06,,,,
****j,PLUS会员,"<div class=""comment-star star1""></div>",刚拿到就降价了，表示不满意,,,,水润保湿面膜,2019-03-02 20:35,
****9,PLUS会员,"<div class=""comment-star star1""></div>",没收到货，却已签收，什么情况？,水润保湿面膜10片,2017-07-24 14:07,,,,
惠***猫,PLUS会员,"<div class=""comment-star star1""></div>",标着159元3盒，但只寄了一盒,【热销爆款】水润保湿面膜,,,,,2019-11-30 09:08
****m,,"<div class=""comment-star star1""></div>",两盒的包装盒都是被拆开过的,水润保湿面膜10片,2018-08-13 21:02,,,,
****a,,"<div class=""comment-star star1""></div>",产品还不错，但是包装盒是坏的,水润保湿面膜10片,2018-03-06 11:53,,,,
空***喜,PLUS会员,"<div class=""comment-star star1""></div>",不像是正品的面膜，质量有点次。,水润保湿面膜10片,2017-08-15 11:29,,,,
****6,PLUS会员,"<div class=""comment-star star1""></div>",就这样寄给我了，擅自就给打开？,,,,水润保湿面膜,2019-09-03 18:23,
s***1,PLUS会员,"<div class=""comment-star star1""></div>",里面包装被压的不成样子了！！！！,,,,水润保湿面膜,2019-05-10 12:02,
u***2,,"<div class=""comment-star star1""></div>",包装都坏了，也没有送货上门?,水润保湿面膜10片,2017-07-20 20:25,,,,
****粉,PLUS会员,"<div class=""comment-star star1""></div>",物流不给力，发过来给弄丢了一件,水润保湿面膜10片,2018-06-16 09:47,,,,
u***x,,"<div class=""comment-star star1""></div>",我买的跟之前的不一样，不是正品,水润保湿面膜,,,,,2019-08-15 23:18
****r,PLUS会员,"<div class=""comment-star star1""></div>",跟以前买的不一样了，奇怪,水润保湿面膜,,,,,2019-07-29 09:10
Q***5,,"<div class=""comment-star star1""></div>",我都不想说，真的是够了,水润保湿面膜10片,2018-06-02 15:39,,,,
苦***呆,,"<div class=""comment-star star1""></div>",买了就降价还不能补差价…,水润保湿面膜,,,,,2019-05-19 11:01
_***妖,PLUS会员,"<div class=""comment-star star1""></div>",买了就降价，还不支持价格保护,【热销爆款】水润保湿面膜,,,,,2019-11-10 18:38
****b,PLUS会员,"<div class=""comment-star star1""></div>",刚买回来没用就降价啦,【热销爆款】水润保湿面膜10片,,,,,2020-05-11 00:07
****f,,"<div class=""comment-star star1""></div>",没有之前用的品质好了,水润保湿面膜,,,,,2019-04-16 15:18
a***9,,"<div class=""comment-star star1""></div>",包装外壳明显受损，物流不给力,,,2018-07-01 19:12,水润保湿面膜10片,,
x***0,PLUS会员,"<div class=""comment-star star1""></div>",用过的最不好用的面膜,水润保湿面膜,,,,,2019-10-18 23:02
****b,,"<div class=""comment-star star1""></div>",用完之后，明显觉得是假的,水润保湿面膜10片,2017-12-26 20:33,,,,
****a,,"<div class=""comment-star star1""></div>",昨天买的，今天降价，你是认真的吗？,【热销爆款】水润保湿面膜10片,,,,,2019-12-12 00:47
****x,,"<div class=""comment-star star1""></div>",我只想说是假的根本不是正品,水润保湿面膜,,,,,2018-11-29 21:24
s***Z,,"<div class=""comment-star star1""></div>",面膜不是特别好用，一般,水润保湿面膜10片,2018-01-31 22:39,,,,
汤***福,,"<div class=""comment-star star1""></div>",一点效果都没有，差差差,水润保湿面膜,,,,,2019-08-17 18:17
****B,,"<div class=""comment-star star1""></div>",跟从韩国买的不一样，感觉不是正品,水润保湿面膜10片,2017-06-27 19:29,,,,
1***p,PLUS会员,"<div class=""comment-star star1""></div>",凑合没有想象中那么好,水润保湿面膜,,,,,2018-10-21 23:17
创***靈,,"<div class=""comment-star star1""></div>",感觉一般，价格还贵不好,水润保湿面膜10片,2018-04-08 10:47,,,,
s***4,,"<div class=""comment-star star1""></div>",我是128买的，怎么现在49，我也是醉了,水润保湿面膜10片,2017-08-29 22:50,,,,
****s,,"<div class=""comment-star star1""></div>",这真的是正品么？？盒子都是破的,,,2018-05-10 12:10,水润保湿面膜10片,,
l***3,PLUS会员,"<div class=""comment-star star1""></div>",肯定是假的，和之前买过的差距太大,水润保湿面膜,,,,,2019-02-01 21:19
****j,,"<div class=""comment-star star1""></div>",这是怎么回事，刚收到全部是这样子,,,,水润保湿面膜,2019-04-11 22:18,
****u,,"<div class=""comment-star star1""></div>",售后服务差！不拿顾客的时间当回事！,水润保湿面膜10片,2017-12-03 12:11,,,,
****c,,"<div class=""comment-star star1""></div>",不是说买三盒有送赠送吗？,【热销爆款】水润保湿面膜10片,,,,,2020-05-11 10:01
****k,,"<div class=""comment-star star1""></div>",一点也不好用，感觉是假的,水润保湿面膜10片,2018-04-15 23:54,,,,
****m,,"<div class=""comment-star star1""></div>",一点都不补水怎么回事呢,水润保湿面膜10片,2018-05-23 07:30,,,,
****k,,"<div class=""comment-star star1""></div>",用过起了好多闭合粉刺！,水润保湿面膜,,,,,2018-11-01 10:42
j***A,,"<div class=""comment-star star1""></div>",刚买完就降价啊合适吗！,水润保湿面膜10片,2017-08-09 12:47,,,,
u***c,,"<div class=""comment-star star1""></div>",两盒没密封，一盒已经损坏,,,,水润保湿面膜,2018-11-06 21:35,
****n,,"<div class=""comment-star star1""></div>",还没用过，不知道好不好用,水润保湿面膜10片,2017-06-23 20:22,,,,
三***a,,"<div class=""comment-star star1""></div>",满减活动总是变来变去，又不补差价，,水润保湿面膜,,,,,2019-04-27 11:37
C***n,,"<div class=""comment-star star1""></div>",不好用，还那么贵，假的吧,水润保湿面膜,,,,,2018-12-08 10:27
****l,,"<div class=""comment-star star1""></div>",包装过于简陋，让我质疑产品可靠性？,,,,水润保湿面膜,2019-06-12 20:44,
1***p,PLUS会员,"<div class=""comment-star star1""></div>",刚买完到屈臣氏一看一样的东西69块,水润保湿面膜,,,,,2019-07-13 18:57
****f,,"<div class=""comment-star star1""></div>",不好用，没有评价那么好吗,水润保湿面膜10片,2017-12-09 09:20,,,,
u***b,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,水润保湿面膜10片,2018-08-20 21:10,,,,
H***g,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,水润保湿面膜10片,2018-09-09 18:59,,,,
Y***乀,,"<div class=""comment-star star1""></div>",假的跟以前用的不一样,水润保湿面膜10片,2017-11-16 22:10,,,,
