用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
刘***1,PLUS会员,"<div class=""comment-star star1""></div>",刚买完降价一半多呵呵呵,胶原蛋白面膜10片,2017/10/13 19:51,,,,
u***q,,"<div class=""comment-star star1""></div>",发过来包装都是烂的！不信任！,胶原蛋白面膜10片,2017/9/17 22:11,,,,
_***r,PLUS会员,"<div class=""comment-star star1""></div>",盒子都是打开的，还好数量没少,,,2017/11/13 20:26,胶原蛋白面膜10片,,
a***7,,"<div class=""comment-star star1""></div>",一颗?都不想给刚收到降价了,【弹力紧致】胶原蛋白面膜,,,,,2019/11/1 16:47
****5,PLUS会员,"<div class=""comment-star star1""></div>",盒子这样了，东西还不知道真假,,,,胶原蛋白面膜,2018/10/7 15:00,
****1,,"<div class=""comment-star star1""></div>",最近几次买的面膜包装都这样,,,2018/6/10 17:57,胶原蛋白面膜10片,,
X***S,,"<div class=""comment-star star1""></div>",看到那个包装真不想说什么了，,胶原蛋白面膜10片,2017/12/30 15:34,,,,
箫***情,,"<div class=""comment-star star1""></div>",包装盒送到都破了，不像正品,胶原蛋白面膜10片,2017/12/6 22:26,,,,
刹***魇,,"<div class=""comment-star star1""></div>",双11买反而更贵，今天再看便宜了,【弹力紧致】胶原蛋白面膜,,,,,2019/11/12 20:31
小***5,PLUS会员,"<div class=""comment-star star1""></div>",不咋地，一般般，黏糊糊的,胶原蛋白面膜10片,2018/1/26 19:24,,,,
****i,,"<div class=""comment-star star1""></div>",不知道是不是正品，扫码扫不出来,,,,胶原蛋白面膜,2019/9/28 23:49,
****a,,"<div class=""comment-star star1""></div>",怎么说反正就是这个情况呵呵,,,,胶原蛋白面膜,2018/11/7 19:48,
****e,,"<div class=""comment-star star1""></div>",用后过敏发痒，什么情况,胶原蛋白面膜,,,,,2019/4/20 21:15
u***a,,"<div class=""comment-star star1""></div>",买来送人的，寄过来包装就坏了,,,2018/9/12 13:01,胶原蛋白面膜10片,,
****9,,"<div class=""comment-star star1""></div>",和之前韩国买的差别大了后悔买了,胶原蛋白面膜,,,,,2019/6/22 23:43
辉***婆,,"<div class=""comment-star star1""></div>",我的面膜被人动过，联系客服也不理,胶原蛋白面膜10片,2017/11/18 12:41,,,,
****f,,"<div class=""comment-star star1""></div>",便宜没好货好货不便宜啊，人生领悟,胶原蛋白面膜10片,2017/10/27 18:15,,,,
洋***y,PLUS会员,"<div class=""comment-star star1""></div>",用了脸会脱皮我也是醉了,胶原蛋白面膜10片,2017/6/30 23:42,,,,
璀***3,,"<div class=""comment-star star1""></div>",刚刚买完就降价，试问价格有谱吗,胶原蛋白面膜10片,2018/6/13 13:45,,,,
落***恒,,"<div class=""comment-star star1""></div>",我老婆说效果不怎么好！,胶原蛋白面膜,,,,,2019/10/7 17:29
****l,,"<div class=""comment-star star1""></div>",包装过于简陋，让人怀疑产品可靠性？,,,,胶原蛋白面膜,2019/6/12 20:48,
u***2,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,胶原蛋白面膜,,,,,2018/11/15 13:04
z***9,PLUS会员,"<div class=""comment-star star1""></div>",盒子全坏了的，不知道是不是正品,,,2017/11/14 19:09,胶原蛋白面膜10片,,
那***叶,,"<div class=""comment-star star1""></div>",商品包装是坏的，应该是散货装的,,,,胶原蛋白面膜,2019/6/22 14:30,
****3,,"<div class=""comment-star star1""></div>",**东西物流也**送货短信都没一个,胶原蛋白面膜10片,2017/7/2 16:46,,,,
****d,,"<div class=""comment-star star1""></div>",买了几盒为什么条形码都一样,【弹力紧致】胶原蛋白面膜,,,,,2020/4/19 23:24
K***N,,"<div class=""comment-star star1""></div>",上面写着十片，现在到手九片,,,,胶原蛋白面膜,2019/5/12 12:03,
雾***灬,,"<div class=""comment-star star1""></div>",包装不好，一起买的，为什么分开包装,胶原蛋白面膜10片,2017/9/4 16:53,,,,
P***n,,"<div class=""comment-star star1""></div>",假貨敷上去一點都不水潤,胶原蛋白面膜,,,,,2019/3/22 23:46
P***n,,"<div class=""comment-star star1""></div>",假貨敷上去一點都不水潤,胶原蛋白面膜,,,,,2019/3/22 23:47
****0,,"<div class=""comment-star star1""></div>",一点都不好，差差差，，下次再也不會买了。,胶原蛋白面膜10片,2018/1/7 13:39,,,,
梦***穿,PLUS会员,"<div class=""comment-star star1""></div>",快递速度不解释，北京地区三天送到，呵呵,胶原蛋白面膜10片,2017/8/17 11:55,,,,
j***1,,"<div class=""comment-star star1""></div>",很好，还会再买！很好，很好！！！,胶原蛋白面膜10片,2017/1/13 23:11,,,,
****m,,"<div class=""comment-star star1""></div>",买了一天还没开始用就降价了。。。。。。。。。。。。。,胶原蛋白面膜10片,2017/11/9 18:08,,,,
李***递,,"<div class=""comment-star star1""></div>",太小了，女士脸小弟还好，就用了一次，伤心,胶原蛋白面膜10片,2018/6/5 10:59,,,,
****q,,"<div class=""comment-star star1""></div>",应该是假货，用后脸又黑又油,胶原蛋白面膜,,,,,2019/3/31 9:35
t***n,,"<div class=""comment-star star1""></div>",脸上过敏！好几个人用了都是这样,胶原蛋白面膜10片,2017/10/7 14:04,,,,
零***匀,,"<div class=""comment-star star1""></div>",为什么送过来的包装盒是拆开的，不满意！,胶原蛋白面膜10片,2017/11/16 11:14,,,,
江***森,PLUS会员,"<div class=""comment-star star1""></div>",这次买的感觉不对劲啊有点水吧,胶原蛋白面膜,,,,,2018/11/13 2:49
u***d,,"<div class=""comment-star star1""></div>",一颗心都不想给包装全部拆开了差差差,胶原蛋白面膜10片,2017/11/12 15:20,,,,
