用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
刘***1,PLUS会员,"<div class=""comment-star star1""></div>",刚买完降价一半多呵呵呵,美白黑炭面膜10片,2017-10-13 19:50,,,,
我***啊,,"<div class=""comment-star star1""></div>",货都没收到。直接没了。哎。,美白黑炭面膜10片,2018-04-11 00:34,,,,
****t,,"<div class=""comment-star star1""></div>",坑货，比其他网站都贵多了,美白黑炭面膜10片,2018-07-20 09:40,,,,
i***o,PLUS会员,"<div class=""comment-star star1""></div>",包装都碎了，还好商品没坏,,,,美白黑炭面膜,2019-08-03 17:41,
公***堪,,"<div class=""comment-star star1""></div>",快递能不能在慢一些，我也是醉了,美白黑炭面膜10片,2017-08-26 07:22,,,,
****u,,"<div class=""comment-star star1""></div>",盒子直接是破的，包装直接醉了,美白黑炭面膜10片,2018-06-21 21:55,,,,
苦***呆,,"<div class=""comment-star star1""></div>",买了就降价还不能补差价…,美白黑炭面膜,,,,,2019-05-19 11:01
_***妖,PLUS会员,"<div class=""comment-star star1""></div>",买了就降价，还不支持价格保护,【焕白因子】美白保湿黑面膜,,,,,2019-11-10 18:39
****a,,"<div class=""comment-star star1""></div>",没面膜小的可怜，质量差,美白黑炭面膜10片,2017-09-18 23:06,,,,
k***y,PLUS会员,"<div class=""comment-star star1""></div>",买三次了，都是刚买完就降价，服气,美白黑炭面膜,,,,,2019-07-11 22:50
落***恒,,"<div class=""comment-star star1""></div>",我老婆说效果不怎么好,美白黑炭面膜,,,,,2019-10-07 17:30
****j,,"<div class=""comment-star star1""></div>",为什么包装都是已经被打开了的？？,美白黑炭面膜,,,,,2019-08-30 09:42
****9,,"<div class=""comment-star star1""></div>",和之前韩国买的差别大了后悔买了,美白黑炭面膜,,,,,2019-06-22 23:43
1***p,PLUS会员,"<div class=""comment-star star1""></div>",买完就降价，跟不值钱的裤腰带一样,美白黑炭面膜,,,,,2019-06-06 11:21
1***n,PLUS会员,"<div class=""comment-star star1""></div>",盒子口都开了，懒得多说,美白黑炭面膜,,,,,2019-06-08 13:23
曾***悔,,"<div class=""comment-star star1""></div>",包装有多不好就不好！这辈子不买了,美白黑炭面膜10片,2017-09-08 17:13,,,,
t***R,,"<div class=""comment-star star1""></div>",昨天刚买今天就降价了！！！,【焕白因子】美白保湿黑面膜,,,,,2020-01-01 09:39
****w,,"<div class=""comment-star star1""></div>",包装差，面膜一片片散在一个袋子里。,美白黑炭面膜,,,,,2019-07-15 22:39
u***c,,"<div class=""comment-star star1""></div>",有点干好像放了很长时间了,美白黑炭面膜10片,2018-01-12 14:15,,,,
X***全,PLUS会员,"<div class=""comment-star star1""></div>",相当烂的包装、跟地摊上的一样、平差,美白黑炭面膜10片,2018-01-11 10:40,,,,
****f,,"<div class=""comment-star star1""></div>",盒子感觉被拆过，还自营的，没信任了,,,2018-05-28 20:39,美白黑炭面膜10片,,
K***k,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,美白黑炭面膜10片,2018-09-09 16:56,,,,
K***k,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,,,2018-09-09 16:56,美白黑炭面膜10片,,
唯***施,,"<div class=""comment-star star1""></div>",用着刺疼不知道怎么回事,美白黑炭面膜,,,,,2019-04-14 09:20
本***8,,"<div class=""comment-star star1""></div>",这包装，看了我都不敢用,,,,美白黑炭面膜,2019-05-23 19:37,
穷***o,,"<div class=""comment-star star1""></div>",拆开包裹包装盒开了！一星不能多了！,,,,美白黑炭面膜,2019-08-08 17:48,
那***叶,,"<div class=""comment-star star1""></div>",商品包装是坏的，应该是散货装的,,,,美白黑炭面膜,2019-06-22 14:30,
李***玉,,"<div class=""comment-star star1""></div>",一般，面膜还可以，包装差,美白黑炭面膜10片,2018-04-27 18:17,,,,
u***c,,"<div class=""comment-star star1""></div>",用了一段时间，脸上起痘痘。,美白黑炭面膜,,,,,2019-10-12 07:41
N***w,,"<div class=""comment-star star1""></div>",面膜不错，就是包装太简陋,美白黑炭面膜10片,2018-06-19 14:20,,,,
a***i,,"<div class=""comment-star star1""></div>",美白没看到，补水还可以吧！,美白黑炭面膜10片,2018-08-14 22:32,,,,
a***7,,"<div class=""comment-star star1""></div>",刚收到货的样子，没有封口,,,,美白黑炭面膜,2019-06-09 16:21,
****k,PLUS会员,"<div class=""comment-star star1""></div>",物流差漏发件，迟迟不解决,美白黑炭面膜10片,2017-11-12 16:15,,,,
d***a,,"<div class=""comment-star star1""></div>",精华跟水一样，不知道真假！,美白黑炭面膜,,,,,2019-07-27 15:38
****x,,"<div class=""comment-star star1""></div>",假货，里面只有一层，和以前买的不一样,【焕白因子】美白保湿黑面膜,,,,,2019-11-12 23:02
****a,,"<div class=""comment-star star1""></div>",同样的商品在其他店都不一样的价钱,美白黑炭面膜10片,2018-06-29 11:15,,,,
a***8,,"<div class=""comment-star star1""></div>",假货盒底有打开的痕迹,美白黑炭面膜10片,2017-10-13 15:00,,,,
