用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****k,,"<div class=""comment-star star1""></div>",包装粗糙，物流态度挺好,毛孔紧致黑炭面膜10片,2017-11-13 15:39,,,,
1***y,,"<div class=""comment-star star1""></div>",东西送到，包装都是破的,,,2018-06-11 10:53,毛孔紧致黑炭面膜10片,,
k***3,PLUS会员,"<div class=""comment-star star1""></div>",未收到货物，系统却显示已收到,毛孔紧致黑炭面膜,,,,,2019-02-17 21:54
l***7,PLUS会员,"<div class=""comment-star star1""></div>",包装压坏，怕不是退货的东西吧,,,,毛孔紧致黑炭面膜,2019-08-24 04:37,
买***钱,,"<div class=""comment-star star1""></div>",都没拿到货系统就显示完成了,毛孔紧致黑炭面膜,,,,,2019-08-22 13:22
国***硕,,"<div class=""comment-star star1""></div>",里面只有8片在也不会买这家了,毛孔紧致黑炭面膜10片,2017-11-14 22:42,,,,
****g,,"<div class=""comment-star star1""></div>",不好用，一次失败的网购,毛孔紧致黑炭面膜,,,,,2019-06-26 09:46
****l,,"<div class=""comment-star star1""></div>",包装全是打开的，是凑的货吗？,毛孔紧致黑炭面膜,,,,,2019-07-16 15:59
T***8,,"<div class=""comment-star star1""></div>",哪里买面膜都是已经开封了的啊,毛孔紧致黑炭面膜,,,,,2019-07-30 21:30
****5,,"<div class=""comment-star star1""></div>",包装真差，到手里外包装都坏了,毛孔紧致黑炭面膜10片,2018-06-13 21:40,,,,
苦***呆,,"<div class=""comment-star star1""></div>",买了就降价还不能补差价…,毛孔紧致黑炭面膜,,,,,2019-05-19 11:00
_***妖,PLUS会员,"<div class=""comment-star star1""></div>",买了就降价，还不支持价格保护,【紧致细腻】毛孔紧致黑面膜,,,,,2019-11-10 18:38
****f,,"<div class=""comment-star star1""></div>",觉着跟以前的不一样了,毛孔紧致黑炭面膜,,,,,2019-03-09 18:00
P***i,,"<div class=""comment-star star1""></div>",到货很快，但包装也太随便了吧,毛孔紧致黑炭面膜10片,2018-06-03 15:52,,,,
****D,PLUS会员,"<div class=""comment-star star1""></div>",盒子是破的快递外包装也是破的,毛孔紧致黑炭面膜10片,2018-06-21 11:47,,,,
落***恒,,"<div class=""comment-star star1""></div>",我老婆说效果不怎么好！,毛孔紧致黑炭面膜,,,,,2019-10-07 17:29
****7,,"<div class=""comment-star star1""></div>",买了两盒，一盒是假的，一盒是真的,毛孔紧致黑炭面膜10片,2017-12-30 07:16,,,,
****0,,"<div class=""comment-star star1""></div>",包装破损，客服没有回应,【紧致细腻】毛孔紧致黑面膜,,,,,2020-03-14 16:04
u***h,,"<div class=""comment-star star1""></div>",怎么那样的包装，可以改改包装不,,,,毛孔紧致黑炭面膜,2019-07-19 16:24,
s***1,PLUS会员,"<div class=""comment-star star1""></div>",真不敢相信这是京东自营的快递！！！！,,,,毛孔紧致黑炭面膜,2019-05-10 12:02,
****5,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,毛孔紧致黑炭面膜,,,,,2019-06-12 14:42
****N,,"<div class=""comment-star star1""></div>",回来包装盒是开着的，感觉买了假货！,毛孔紧致黑炭面膜,,,,,2019-07-14 21:32
u***6,,"<div class=""comment-star star1""></div>",这包装我也是醉了，包装纸都没有，,,,2018-05-09 10:27,毛孔紧致黑炭面膜10片,,
N***w,,"<div class=""comment-star star1""></div>",面膜不错，就是包装太简陋,毛孔紧致黑炭面膜10片,2018-06-19 14:20,,,,
****x,,"<div class=""comment-star star1""></div>",假货，里面只有一层，和以前买的不一样,【紧致细腻】毛孔紧致黑面膜,,,,,2019-11-12 23:02
1***5,PLUS会员,"<div class=""comment-star star1""></div>",这么多次京东第一次遇到这种,,,,【紧致细腻】毛孔紧致黑面膜,2020-02-24 21:03,
****8,,"<div class=""comment-star star1""></div>",没打扮，到货盒子都是破的。,毛孔紧致黑炭面膜10片,2018-02-13 22:33,,,,
萌***1,,"<div class=""comment-star star1""></div>",我用了过敏，怀疑是否正品,毛孔紧致黑炭面膜,,,,,2019-10-05 08:23
u***8,,"<div class=""comment-star star1""></div>",看看这盒子，什么都不想说,,,,毛孔紧致黑炭面膜,2019-01-07 13:48,
u***e,,"<div class=""comment-star star1""></div>",包装没密封，已经是打开的。,【紧致细腻】毛孔紧致黑面膜,,,,,2020-05-07 18:46
韩***帅,PLUS会员,"<div class=""comment-star star1""></div>",不好就是不好不行就是不行,毛孔紧致黑炭面膜10片,2017-08-17 13:43,,,,
健***虑,,"<div class=""comment-star star1""></div>",用的不咋样，还有点小贵，别买,毛孔紧致黑炭面膜,,,,,2019-02-18 08:21
g***3,,"<div class=""comment-star star1""></div>",被人拆过嘛，请问，里面两盒都是打开的,,,,毛孔紧致黑炭面膜,2019-08-09 17:07,
u***k,,"<div class=""comment-star star1""></div>",拆开箱子就是这样，是正品吗？,,,,【紧致细腻】毛孔紧致黑面膜,2020-06-03 10:21,
z***3,,"<div class=""comment-star star1""></div>",脸上用了后闷出痘痘不适合,毛孔紧致黑炭面膜10片,2018-01-24 09:48,,,,
海***4,PLUS会员,"<div class=""comment-star star1""></div>",不知道是不是真的，没有扫到码,毛孔紧致黑炭面膜10片,2017-08-10 16:29,,,,
****b,,"<div class=""comment-star star1""></div>",大家自己看送过来是这样的,,,2018-08-29 11:43,毛孔紧致黑炭面膜10片,,
u***l,,"<div class=""comment-star star1""></div>",到家盒子坏了，面膜贴有个坏,,,,毛孔紧致黑炭面膜,2018-11-17 19:54,
b***6,PLUS会员,"<div class=""comment-star star1""></div>",寄过来乱七八糟。就不能好好包装一下吗,,,2018-08-23 17:42,毛孔紧致黑炭面膜10片,,
u***i,,"<div class=""comment-star star1""></div>",收到就是开封的，封口贴也没有,,,,毛孔紧致黑炭面膜,2019-07-28 22:23,
k***t,,"<div class=""comment-star star1""></div>",不好，没有补水效果，不值得买,毛孔紧致黑炭面膜10片,,,,,
****1,,"<div class=""comment-star star1""></div>",产品包装都破了，感觉是被人拆开了！,【紧致细腻】毛孔紧致黑面膜,,,,,2020-01-17 13:09
h***k,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,【紧致细腻】毛孔紧致黑面膜,,,,,2019-12-19 17:13
V***1,,"<div class=""comment-star star1""></div>",看看这包装，这烂的，真想退货，亲们慎买,,,2018-05-04 12:36,毛孔紧致黑炭面膜10片,,
北***丶,,"<div class=""comment-star star1""></div>",半张脸的吗？眼皮上也没,,,2017-10-18 22:45,毛孔紧致黑炭面膜10片,,
宠***馨,,"<div class=""comment-star star1""></div>",感觉像假货，每次用第二天都会爆痘，唉…,毛孔紧致黑炭面膜10片,2017-08-02 20:29,,,,
****4,,"<div class=""comment-star star1""></div>",跟上次买的不一样，不如上次正规，感觉假货,毛孔紧致黑炭面膜,,,,,2019-08-17 08:10
尛***陆,PLUS会员,"<div class=""comment-star star1""></div>",这面膜包装确实不敢恭维，应该被打开过的,,,,毛孔紧致黑炭面膜,2019-07-23 18:19,
u***k,,"<div class=""comment-star star1""></div>",拿到时外包装盒都坏了,毛孔紧致黑炭面膜10片,2016-11-10 15:04,,,,
王***2,PLUS会员,"<div class=""comment-star star1""></div>",货到的时候盒子都坏了,毛孔紧致黑炭面膜10片,,,,,
r***0,,"<div class=""comment-star star1""></div>",假货，鉴定完毕。退货还要自掏运费。,【紧致细腻】毛孔紧致黑面膜,,,,,2020-01-20 11:50
****9,,"<div class=""comment-star star1""></div>",盒子都破了，感觉像假的,毛孔紧致黑炭面膜,,,,,2019-09-10 15:47
o***F,,"<div class=""comment-star star1""></div>",包装盒都烂了还少了几片,【紧致肌肤】毛孔紧致黑面膜,2020-09-11 13:47,,,,
百***傑,PLUS会员,"<div class=""comment-star star1""></div>",买了之后就搞活动，亏死了,毛孔紧致黑炭面膜10片,,,,,
****O,,"<div class=""comment-star star1""></div>",盒子被拆过了是怎么回事,,,2018-06-16 17:56,毛孔紧致黑炭面膜10片,,
刘***1,PLUS会员,"<div class=""comment-star star1""></div>",刚买完降价一半多呵呵呵,毛孔紧致黑炭面膜10片,2017-10-13 19:50,,,,
我***冰,,"<div class=""comment-star star1""></div>",假的跟我在韩国买的不一样,毛孔紧致黑炭面膜10片,,,,,
u***o,,"<div class=""comment-star star1""></div>",包装上居然有重贴的条码,【紧致细腻】毛孔紧致黑面膜,,,,,2019-11-12 19:50
****k,,"<div class=""comment-star star1""></div>",价格贵了，用了两天，没什么感觉。,毛孔紧致黑炭面膜10片,,,,,
想***海,,"<div class=""comment-star star1""></div>",这款不喜欢。不好用不服贴,毛孔紧致黑炭面膜10片,2017-10-15 09:08,,,,
j***i,PLUS会员,"<div class=""comment-star star1""></div>",包装已经拆过了，拆过了干嘛还要打包进去呢！,,,2018-03-07 11:18,毛孔紧致黑炭面膜10片,,
****4,,"<div class=""comment-star star1""></div>",试了下，没有在实体店买的效果好,毛孔紧致黑炭面膜10片,2017-11-20 16:25,,,,
****d,,"<div class=""comment-star star1""></div>",觉得没有什么效果，好像是假的。,毛孔紧致黑炭面膜10片,2018-03-05 20:27,,,,
u***f,,"<div class=""comment-star star1""></div>",完全没有效果，买多了用不完,毛孔紧致黑炭面膜,,,,,2019-07-05 08:03
****2,,"<div class=""comment-star star1""></div>",绝对不起正品，京东自营，伤心,毛孔紧致黑炭面膜10片,2017-12-13 14:37,,,,
u***9,,"<div class=""comment-star star1""></div>",不敢要了都，这属于拆了包装的还是没有拆的,,,,,,
V***u,PLUS会员,"<div class=""comment-star star1""></div>",我能说这是假的吗？什么效果都没有,毛孔紧致黑炭面膜10片,2016-09-11 16:46,,,,
那***叶,,"<div class=""comment-star star1""></div>",被开过，打开时盒子就是坏的，应该是补的散货,,,,毛孔紧致黑炭面膜,2019-06-22 14:29,
桃***棉,,"<div class=""comment-star star1""></div>",我可能买了假面膜，用了会有蛰痛感,毛孔紧致黑炭面膜10片,2017-07-11 22:07,,,,
关***7,,"<div class=""comment-star star1""></div>",真假不知道，反正送来的时候是已经打开过得！,毛孔紧致黑炭面膜10片,2017-12-10 09:51,,,,
****d,,"<div class=""comment-star star1""></div>",不好用，还有一股怪味儿,毛孔紧致黑炭面膜,,,,,2019-07-31 14:03
u***r,PLUS会员,"<div class=""comment-star star1""></div>",这难道是现场给我打包的吗？怎么还是开口的？,,,,毛孔紧致黑炭面膜,2019-06-18 18:48,
****1,,"<div class=""comment-star star1""></div>",包装都是坏的产品能好到哪去,毛孔紧致黑炭面膜10片,2017-04-06 07:50,,,,
阳***_,,"<div class=""comment-star star1""></div>",收到货无包装还是已经打开的,【紧致肌肤】毛孔紧致黑面膜,2020-09-29 21:38,,,,
****c,,"<div class=""comment-star star1""></div>",商品差点意思，对不住这个价格,毛孔紧致黑炭面膜10片,2018-05-25 00:14,,,,
****d,,"<div class=""comment-star star1""></div>",盒子拆开了，收到就这样了，如何相信是正品,,,2018-03-12 15:23,毛孔紧致黑炭面膜10片,,
****1,,"<div class=""comment-star star1""></div>",根本不是正品，扫码都没有显示，,毛孔紧致黑炭面膜10片,2018-09-27 08:57,,,,
p***u,,"<div class=""comment-star star1""></div>",感觉不满意，跟我在韩国买的差别太大,毛孔紧致黑炭面膜10片,2017-10-22 16:12,,,,
h***6,PLUS会员,"<div class=""comment-star star1""></div>",盒子都是开的，是不是真品啊,毛孔紧致黑炭面膜10片,2018-06-18 22:34,,,,
****Y,,"<div class=""comment-star star1""></div>",用了三年十几种面膜你家是我唯一用了过敏的！,毛孔紧致黑炭面膜10片,2018-07-17 14:07,,,,
萍***卫,PLUS会员,"<div class=""comment-star star1""></div>",面膜面居然有头发，不愧是大品牌。,毛孔紧致黑炭面膜10片,2017-11-16 21:05,,,,
糖***呀,PLUS会员,"<div class=""comment-star star1""></div>",3号买的11就降价了，还不价保,【紧致肌肤】毛孔紧致黑面膜,2020-11-11 14:49,,,,
****i,,"<div class=""comment-star star1""></div>",打开包装是这样的，连封口都没有,,,2020-08-18 14:58,【紧致肌肤】毛孔紧致黑面膜,,
l***0,,"<div class=""comment-star star1""></div>",跟韩国买的用着效果不一样，长痘了,毛孔紧致黑炭面膜10片,2017-06-04 11:45,,,,
l***8,,"<div class=""comment-star star1""></div>",从来不过敏，用完竟然过敏了,毛孔紧致黑炭面膜10片,2016-08-18 08:35,,,,
爱***丶,,"<div class=""comment-star star1""></div>",用了一次，没时间用还可以吧,毛孔紧致黑炭面膜10片,2016-12-28 18:21,,,,
绝***富,,"<div class=""comment-star star1""></div>",不在不怎么样凑合一般,【紧致肌肤】毛孔紧致黑面膜,2020-09-08 08:08,,,,
创***靈,,"<div class=""comment-star star1""></div>",刚收到货就降价。申请价格保护根本不会通过,毛孔紧致黑炭面膜10片,2018-06-18 10:27,,,,
****e,PLUS会员,"<div class=""comment-star star1""></div>",包装都坏了，面膜都正品，希望商家包装好点,毛孔紧致黑炭面膜10片,2018-07-30 07:49,,,,
小***0,PLUS会员,"<div class=""comment-star star1""></div>",用到最后一个，里面没有面膜纸，空空如也，什么情况,,,2018-04-21 20:37,毛孔紧致黑炭面膜10片,,
帅***宝,PLUS会员,"<div class=""comment-star star1""></div>",不要浪费钱一点都不好用,毛孔紧致黑炭面膜10片,,,,,
Z***r,PLUS会员,"<div class=""comment-star star1""></div>",到了包装什么的都压扁了，好伤心呐,毛孔紧致黑炭面膜10片,2018-07-09 19:30,,,,
天***君,,"<div class=""comment-star star1""></div>",货不知道给我送哪去了，根本没收到,毛孔紧致黑炭面膜,,,,,2019-07-28 20:29
秦***9,,"<div class=""comment-star star1""></div>",怎么用了几天会出现红的点，难道我过敏，,毛孔紧致黑炭面膜10片,2018-06-26 10:39,,,,
****c,,"<div class=""comment-star star1""></div>",买来送人的，但是过期了过期了过期了！,毛孔紧致黑炭面膜10片,2018-01-23 16:46,,,,
****d,,"<div class=""comment-star star1""></div>",不知道为啥过敏了不敢用了,毛孔紧致黑炭面膜10片,2018-05-10 09:07,,,,
a***3,,"<div class=""comment-star star1""></div>",感觉还没有国产品牌的好！,毛孔紧致黑炭面膜10片,2016-11-28 09:26,,,,
****y,,"<div class=""comment-star star1""></div>",发错了那个贵的少发了2盒换了便宜的,毛孔紧致黑炭面膜10片,2016-12-15 20:40,,,,
****g,,"<div class=""comment-star star1""></div>",包装差，就两盒面膜套一个袋子，盒子都烂掉了！,毛孔紧致黑炭面膜,,,,,2018-09-28 20:34
O***_,PLUS会员,"<div class=""comment-star star1""></div>",这是什么鬼包装，摔成这样,,,,毛孔紧致黑炭面膜,2019-04-14 17:51,
w***g,PLUS会员,"<div class=""comment-star star1""></div>",东西还行，京东没诚信，一星评价一百次！,毛孔紧致黑炭面膜10片,2016-11-04 11:16,,,,
我***青,PLUS会员,"<div class=""comment-star star1""></div>",价格起伏这么大才几天就降价100左右了不嗨森,毛孔紧致黑炭面膜10片,2017-06-01 10:18,,,,
随***超,PLUS会员,"<div class=""comment-star star1""></div>",就成这样子吗？没用呢，到了都先烂了,【紧致肌肤】毛孔紧致面膜,,,,,2020-06-08 17:59
****6,,"<div class=""comment-star star1""></div>",客服什么也不懂，问怎样用也说不清楚,毛孔紧致黑炭面膜,,,,,2019-08-07 15:22
嘟***4,PLUS会员,"<div class=""comment-star star1""></div>",产品还没用，但是破损成这样，也是呵呵。。,毛孔紧致黑炭面膜10片,2016-09-09 12:20,,,,
x***n,,"<div class=""comment-star star1""></div>",期待有效果，好东西一定会再买,毛孔紧致黑炭面膜10片,2016-12-09 19:50,,,,
****w,PLUS会员,"<div class=""comment-star star1""></div>",总感觉封口是背吹风机吹过的，又沾起来的,毛孔紧致黑炭面膜,,,,,2019-05-06 21:59
H***f,PLUS会员,"<div class=""comment-star star1""></div>",一直用的，以后再也不用了。,毛孔紧致黑炭面膜10片,,,,,
****t,,"<div class=""comment-star star1""></div>",实体店也才八十一包提高价在打折没意思,毛孔紧致黑炭面膜,,,,,2019-07-01 17:34
十***4,PLUS会员,"<div class=""comment-star star1""></div>",可能是买到假货了，与韩国买的截然不同,毛孔紧致黑炭面膜10片,2018-06-14 21:56,,,,
****h,,"<div class=""comment-star star1""></div>",啥用没有更不想什么美白了,【紧致细腻】毛孔紧致黑面膜,,,,,2020-02-28 10:33
U***T,,"<div class=""comment-star star1""></div>",鼻子这块没有的，没保湿那款好！,毛孔紧致黑炭面膜10片,2017-09-30 08:49,,,,
****1,,"<div class=""comment-star star1""></div>",产品到了都破了，外包装没有问题，里面问题大大的,毛孔紧致黑炭面膜,,,,,2019-07-24 10:25
风***收,PLUS会员,"<div class=""comment-star star1""></div>",感觉这个面膜都是水没有精华,【紧致细腻】毛孔紧致黑面膜,,,,,2019-11-16 13:54
****u,,"<div class=""comment-star star1""></div>",买了三种这家面膜，有一盒是被打开过的，不是正品！,毛孔紧致黑炭面膜10片,2017-10-11 20:03,,,,
****s,,"<div class=""comment-star star1""></div>",都没有封口，怀疑是不是正品，不敢用,【紧致细腻】毛孔紧致黑面膜,,,,,2020-05-07 11:16
u***i,PLUS会员,"<div class=""comment-star star1""></div>",一个有封口一个没封口，而且好像被打开过,毛孔紧致黑炭面膜,,,,,2019-06-10 13:46
****u,PLUS会员,"<div class=""comment-star star1""></div>",盒子整个都变形了，根本没法看,毛孔紧致黑炭面膜10片,2016-09-28 14:03,,,,
****D,,"<div class=""comment-star star1""></div>",有点小，要是胖子的脸都顾不住,毛孔紧致黑炭面膜10片,2018-04-29 14:56,,,,
u***y,PLUS会员,"<div class=""comment-star star1""></div>",收缩毛孔无效，美白有一点点效果,毛孔紧致黑炭面膜10片,2017-01-03 13:35,,,,
c***8,,"<div class=""comment-star star1""></div>",假货！和韩国正品一比就知道了,毛孔紧致黑炭面膜10片,2016-11-18 22:38,,,,
北***人,PLUS会员,"<div class=""comment-star star1""></div>",感觉一般般没有其他面膜用的好,毛孔紧致黑炭面膜,,,,,2019-06-11 21:07
****2,,"<div class=""comment-star star1""></div>",居然是开封的，是怎么小作坊做出来包装的？,,,2020-07-17 10:11,【紧致肌肤】毛孔紧致黑面膜,,
黛***雅,PLUS会员,"<div class=""comment-star star1""></div>",这次的怎么那么差呀，袋子都破了，没有封好,毛孔紧致黑炭面膜10片,2018-02-09 21:31,,,,
****7,PLUS会员,"<div class=""comment-star star1""></div>",我都服了卖的时候有优惠却没减我都服了,【紧致肌肤】毛孔紧致黑面膜,2020-09-17 00:16,,,,
Z***X,,"<div class=""comment-star star1""></div>",到货之后包装竟然是打开的，我也醉了不知道是不是真货，,,,2017-11-13 19:01,毛孔紧致黑炭面膜10片,,
李***6,PLUS会员,"<div class=""comment-star star1""></div>",包装不是密封的，一看就是别人退的货，看着就像假货,,,2017-12-12 18:35,毛孔紧致黑炭面膜10片,,
八***子,,"<div class=""comment-star star1""></div>",三盒都是这个样子的，盒子是拆开状态，条码扫不出来,,,2018-08-17 12:25,毛孔紧致黑炭面膜10片,,
