用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
笑***3,PLUS会员,"<div class=""comment-star star1""></div>",不好，不会再回购，会过敏,新品【焕亮肤色】维C安瓶面膜,2021-07-04 22:20,,,,
****2,PLUS会员,"<div class=""comment-star star1""></div>",没啥效果，就是一个便宜,【维C透亮】维他命安瓶面膜,2022-04-20 07:11,,,,
你***回,,"<div class=""comment-star star1""></div>",这是别人的退货吗？都不检查就发給下一家？,,,2021-09-03 08:42,新品【焕亮肤色】维C安瓶面膜,,
a***2,PLUS会员,"<div class=""comment-star star1""></div>",用过得二次销售，或者是问题商品。,,,2021-09-05 19:23,新品【焕亮肤色】维C安瓶面膜,,
g***1,PLUS会员,"<div class=""comment-star star1""></div>",没有任何效果，和我以前买的相差太远了,新品【焕亮肤色】维C安瓶面膜,2021-06-27 21:46,,,,
u***h,,"<div class=""comment-star star1""></div>",这是我刚买的从快递驿站刚拿出来的样子，直接破烂不堪。,,,,,,
暗***e,,"<div class=""comment-star star1""></div>",不服帖而且营养液比较少，包装还皱巴巴的,新品【焕亮肤色】维C安瓶面膜,2021-07-07 21:57,,,,
犯***虫,PLUS会员,"<div class=""comment-star star1""></div>",没有大家说的那么好，,,,2021-07-30 17:35,新品【焕亮肤色】维C安瓶面膜,,
e***9,PLUS会员,"<div class=""comment-star star1""></div>",外包装箱揉成这个鬼样子，里面的东西也搞成这个鬼样子，盒子变形就算了，一盒面膜底部都撕裂了是个什么意思？开了会员一直买这个面膜的老顾客就该这个待遇？,,,2021-08-03 12:28,新品【焕亮肤色】维C安瓶面膜,,
****x,,"<div class=""comment-star star1""></div>",前天买昨天到今天降价申请价格保护也不会弄昨天试了一贴面膜不是特别服帖老有气泡赶不走,【焕亮肤色】维他命安瓶面膜,2022-03-31 15:27,,,,
q***i,,"<div class=""comment-star star1""></div>",打开脏兮兮的，图二手摸上去都是灰尘，顺间怒火?虽是外包装但就可以不注重了吗？自毁品牌形象...,,,2021-09-11 16:46,新品【焕亮肤色】维C安瓶面膜,,
****z,,"<div class=""comment-star star1""></div>",只贴了一张睡一觉起来就这样了看图说话吧不想过多说了联系客服不退不换只能扔掉了,,,2021-12-17 14:35,【焕亮肤色】维他命安瓶面膜,,
****3,,"<div class=""comment-star star1""></div>",能告诉我这个是什么么?我就刚刚敷完面膜揭下来之后没有立马洗脸呆了有十来分钟然后去洗脸的时候就发现脸上好多这种白白的东西不是纸遇水也没有化这是什么东西不敢用了,,,2021-08-28 01:43,新品【焕亮肤色】维C安瓶面膜,,
独***l,,"<div class=""comment-star star1""></div>",知道为啥这么多差评了包装膜都没了,新品【焕亮肤色】维C安瓶面膜,2021-06-15 15:39,,,,
吓***蒙,,"<div class=""comment-star star1""></div>",快递非常快，打开连礼品袋都没有，失望,新品【焕亮肤色】维C安瓶面膜,2021-05-05 21:13,,,,
****p,,"<div class=""comment-star star1""></div>",买了才几天，商品便宜了，真是无语的，说保价期间已过,新品【焕亮肤色】维C安瓶面膜,2021-05-18 19:09,,,,
1***p,,"<div class=""comment-star star1""></div>",服务很差，面膜的盒子上有灰,,,2021-06-20 13:04,新品【焕亮肤色】维C安瓶面膜,,
****r,,"<div class=""comment-star star1""></div>",刚收到快递，包装破损严重，太垃圾了，,【焕亮肤色】维他命安瓶面膜,2022-02-26 12:38,,,,
****b,,"<div class=""comment-star star1""></div>",太垃圾了，面膜比较硬，又干,新品【焕亮肤色】维C安瓶面膜,2021-09-07 15:09,,,,
美***糸,,"<div class=""comment-star star1""></div>",差评，一直用的这个面膜，这次快递过来包装非常差，,,,2021-07-29 17:23,新品【焕亮肤色】维C安瓶面膜,,
****e,,"<div class=""comment-star star1""></div>",没有防伪标，前两天买了8盒，也是618活动，刚收到货就降价了几十块，差评！,,,2021-06-01 16:13,新品【焕亮肤色】维C安瓶面膜,,
****0,PLUS会员,"<div class=""comment-star star1""></div>",很差很小根本不能覆盖整个脸,新品【焕亮肤色】维C安瓶面膜,2021-09-12 23:10,,,,
w***1,PLUS会员,"<div class=""comment-star star1""></div>",最近快递员都没给送货过来，也没电话联系就直接操作本人签收，京东自营派送越来越差劲了,新品【焕亮肤色】维C安瓶面膜,2021-07-02 23:56,,,,
小***咪,PLUS会员,"<div class=""comment-star star1""></div>",以后再也不会买京东返卡的东西了，买的时候说45天返卡，70天了还没返到位，又跟我说90天内返。跟**简直是一个天上一个地下,【焕亮肤色】维他命安瓶面膜,2022-01-08 10:43,,,,
