用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
叮***-,,"<div class=""comment-star star1""></div>",包装盒都是拆过的，还京东自营,维生素面膜10片,2018-02-26 01:59,,,,
****f,,"<div class=""comment-star star1""></div>",没收到呢？看看用用在追加评价,维生素面膜10片,2018-02-18 22:01,,,,
u***7,,"<div class=""comment-star star1""></div>",包装发过来都是破的，都被猜开了,维生素面膜10片,2017-11-13 11:59,,,,
m***y,,"<div class=""comment-star star1""></div>",挺好的，值得购买，买过不会后悔的,【透亮美肌】维生素面膜,,,,,2019-10-29 10:58
洪***啊,,"<div class=""comment-star star1""></div>",用了过敏十天了都没好,维生素面膜,,,,,2019-04-19 14:39
史***5,,"<div class=""comment-star star1""></div>",貌似假的都一点也不滋润,维生素面膜,,,,,2019-10-07 16:37
李***諭,,"<div class=""comment-star star1""></div>",和屈臣氏买的差别太大退货,【透亮美肌】维生素面膜,,,,,2020-02-24 14:12
二***花,PLUS会员,"<div class=""comment-star star1""></div>",像被**的一样，都不敢用了,,,,维生素面膜,2019-07-04 14:50,
****w,PLUS会员,"<div class=""comment-star star1""></div>",买完不久就降价，不可理解！,维生素面膜,,,,,2019-06-06 12:57
****w,PLUS会员,"<div class=""comment-star star1""></div>",唉，一次性买了3合，都不好用了,维生素面膜,,,,,2019-05-06 22:00
5***j,,"<div class=""comment-star star1""></div>",用着一般一般一般一般一般啦,,,2017-08-29 17:54,维生素面膜10片,,
l***9,PLUS会员,"<div class=""comment-star star1""></div>",打开塑料包装后竟然是这个样子的，郁闷！！,,,2016-05-25 16:41,透亮嫩白维生素面膜25ml*10,,
u***p,,"<div class=""comment-star star1""></div>",没有密封条，感觉被拆过,维生素面膜,,,,,2019-07-09 22:13
****q,,"<div class=""comment-star star1""></div>",不好，收到货盒子都坏了,维生素面膜10片,2017-08-24 13:15,,,,
****5,,"<div class=""comment-star star1""></div>",收到货后包装都是破的，,维生素面膜10片,2018-02-17 19:36,,,,
****6,,"<div class=""comment-star star1""></div>",被拆过的，里面外面都是,,,,维生素面膜,2019-09-04 22:44,
x***g,PLUS会员,"<div class=""comment-star star1""></div>",路边摊的服务都比京东好,维生素面膜10片,2017-11-23 13:00,,,,
天***0,PLUS会员,"<div class=""comment-star star1""></div>",包装不用心，一分也不想给,,,2018-07-26 18:41,维生素面膜10片,,
刘***1,PLUS会员,"<div class=""comment-star star1""></div>",刚买完降价一半多呵呵呵,维生素面膜10片,2017-10-13 19:50,,,,
y***1,PLUS会员,"<div class=""comment-star star1""></div>",货收到了，外包装都破损了,,,2018-09-10 20:39,维生素面膜10片,,
尛***陆,PLUS会员,"<div class=""comment-star star1""></div>",这包装确实不敢恭维，像被拆开退货过的一样,,,,维生素面膜,2019-07-23 18:39,
u***u,,"<div class=""comment-star star1""></div>",盒子已经完全被拆开了，肯定是有问题的东西！,,,2017-11-14 00:08,维生素面膜10片,,
****k,,"<div class=""comment-star star1""></div>",都这样了还不给退货，差差差,,,2020-10-13 10:46,【改善暗沉】维生素面膜,,
慢***流,PLUS会员,"<div class=""comment-star star1""></div>",买回来就这样了，明显被撕开过啊,,,2018-04-19 21:04,维生素面膜10片,,
****9,PLUS会员,"<div class=""comment-star star1""></div>",不像是正品，包装都是坏的,维生素面膜10片,2018-05-20 10:22,,,,
山***客,,"<div class=""comment-star star1""></div>",便宜是便宜但是感觉不是真的,维生素面膜10片,2018-06-22 23:09,,,,
是***啊,,"<div class=""comment-star star1""></div>",有史以来终于买到了假货，呵呵,,,,维生素面膜,2019-07-03 18:44,
放***浪,,"<div class=""comment-star star1""></div>",京东服务越来越差，监管不到位！,维生素面膜10片,2018-10-17 13:24,,,,
h***y,,"<div class=""comment-star star1""></div>",开箱后，内包装已打开，且无封条。,,,,维生素面膜,2019-08-22 21:29,
提***9,PLUS会员,"<div class=""comment-star star1""></div>",这款不好用，不如蓝色补水的,维生素面膜,,,,,2019-04-26 09:32
荣***3,,"<div class=""comment-star star1""></div>",不想有过多评价，感觉是别人退货又发给我的,,,,【透亮美肌】维生素面膜,2020-04-20 20:44,
绚***理,PLUS会员,"<div class=""comment-star star1""></div>",有荧光，各位还是不要买了。,,,,【透亮美肌】维生素面膜,2019-12-11 23:28,
涵***颖,PLUS会员,"<div class=""comment-star star1""></div>",用了后有微痛感，与在韩国买的不一样。,,,,,,
小***0,,"<div class=""comment-star star1""></div>",跟韩国买的不一样像是随机到假货了,维生素面膜10片,2016-10-13 10:15,,,,
****v,,"<div class=""comment-star star1""></div>",拿到手每个包装都破了,【透亮美肌】维生素面膜,,,,,2019-11-23 16:05
彭***K,,"<div class=""comment-star star1""></div>",产品质感：不好使用感受：不好补水效果：不好贴合效果：硬,【透亮美肌】维生素面膜,,,,,2019-12-02 17:02
叫***哥,PLUS会员,"<div class=""comment-star star1""></div>",跟原产地生产的不同！真是不能贪便宜！,,,2016-05-30 23:01,透亮嫩白维生素面膜25ml*10,,
****F,,"<div class=""comment-star star1""></div>",呵呵，里面竟然还有干了的。,维生素面膜10片,2017-06-16 21:45,,,,
水***G,,"<div class=""comment-star star1""></div>",面膜用完了，没什么效果，浪费钱,【透亮美肌】维生素面膜,,,,,2019-11-20 09:10
****2,,"<div class=""comment-star star1""></div>",不知道为什么收到后，这个盒子是开的？？？,,,2020-11-03 14:03,【改善暗沉】维生素面膜,,
****a,,"<div class=""comment-star star1""></div>",不好料，比正宗进口的差太多。假进口货！,维生素面膜10片,2017-09-03 15:16,,,,
****9,,"<div class=""comment-star star1""></div>",一般没感觉，用了和没用一样,【透亮美肌】维生素面膜,,,,,2019-12-19 23:28
何***8,,"<div class=""comment-star star1""></div>",刚刚买完一两天就降价了，还不给保价，真的是醉了,【透亮美肌】维生素面膜,,,,,2019-11-04 08:10
****z,,"<div class=""comment-star star1""></div>",假的，你们要是贪便宜就买吧，自己的脸要爱惜,【透亮美肌】维生素面膜,,,,,2020-02-17 23:17
米***3,,"<div class=""comment-star star1""></div>",盒子脏脏的而且都是打开的盒子就送过来了，大写的服。,维生素面膜10片,2017-08-23 10:23,,,,
小***1,PLUS会员,"<div class=""comment-star star1""></div>",打开快递直接这个样子？,,,2021-04-30 17:20,【改善暗沉】维生素面膜,,
****2,,"<div class=""comment-star star1""></div>",日期是旧的！回来以后包装也是破的！！,【透亮美肌】维生素面膜,,,,,2020-02-11 13:41
女***妈,,"<div class=""comment-star star1""></div>",不好里面有的都干了，要是没打开我就退了,【透亮美肌】维生素面膜,,,,,2019-11-29 22:14
C***净,PLUS会员,"<div class=""comment-star star1""></div>",盒子都没有封条，开封过的,【改善暗沉】维生素面膜,2020-10-31 13:41,,,,
****1,,"<div class=""comment-star star1""></div>",面膜干干的没有水份，很怀疑不是正品,【透亮美肌】维生素面膜,,,,,2020-02-14 02:45
u***c,,"<div class=""comment-star star1""></div>",买回来包装都破破的，不知道该说点啥，唉。,,,,维生素面膜,2019-10-16 17:57,
****e,PLUS会员,"<div class=""comment-star star1""></div>",第一次用，一点精华没有。也不知道是不是真的,维生素面膜,,,,,2019-06-27 12:55
洋***-,,"<div class=""comment-star star1""></div>",这个一点也不好用完起小红疙瘩,维生素面膜10片,2018-06-26 11:41,,,,
z***B,,"<div class=""comment-star star1""></div>",辣鸡的要死，拿到手包装全坏了,【改善暗沉】维生素面膜,2021-05-11 19:35,,,,
****3,,"<div class=""comment-star star1""></div>",你们家打包的时候发生了什么，能这样,,,2020-10-24 14:39,【改善暗沉】维生素面膜,,
****e,,"<div class=""comment-star star1""></div>",三盒面膜，估计这个还能用用，这样的网购伤心,,,2017-05-06 09:13,维生素面膜10片,,
****a,,"<div class=""comment-star star1""></div>",精华液太少了，贴上也没有那么好,维生素面膜,,,,,2019-09-15 10:57
小***0,,"<div class=""comment-star star1""></div>",两包用完了.没什么效果,【改善暗沉】维生素面膜,2021-04-22 17:11,,,,
****v,,"<div class=""comment-star star1""></div>",用完之后过敏了，敏感肌千万不要用,【透亮美肌】维生素面膜,,,,,2019-12-12 07:47
s***y,PLUS会员,"<div class=""comment-star star1""></div>",为什么包装都是烂的，感觉让人偷龙转凤了。,维生素面膜10片,2018-01-12 20:41,,,,
u***u,,"<div class=""comment-star star1""></div>",产品质感：质感不好，是不是面膜纸在水里过一遍呀,【改善暗沉】维生素面膜,,,,,2020-06-05 16:33
情***u,,"<div class=""comment-star star1""></div>",用了好久这个产品这次买来用了起满脸的红疙瘩确定是假货,维生素面膜,,,,,2019-09-29 13:49
z***a,PLUS会员,"<div class=""comment-star star1""></div>",精华液太少干的不行不好用,维生素面膜,,,,,2019-06-10 11:06
u***j,,"<div class=""comment-star star1""></div>",面膜干巴巴的，没有一点水分,【改善暗沉】维生素面膜,2020-09-06 19:44,,,,
琪***哦,,"<div class=""comment-star star1""></div>",用了连续起了好几个痘痘，,【改善暗沉亮肤】维生素面膜,2021-03-08 18:13,,,,
u***n,,"<div class=""comment-star star1""></div>",刚收到货就包装盒就被全撕开了。包装袋而且也给撕了个口,,,2018-03-13 15:02,维生素面膜10片,,
****1,,"<div class=""comment-star star1""></div>",说了有送睡眠面膜但是客服不承认,【改善暗沉亮肤】维生素面膜,2021-02-19 18:44,,,,
谦***S,,"<div class=""comment-star star1""></div>",包装越来越糊弄，三盒包装都破损，看着都生气，,维生素面膜,,,,,2019-06-15 13:04
****念,,"<div class=""comment-star star1""></div>",不知道为什么4盒有3盒居然是打开的,,,2020-07-07 10:40,【改善暗沉】维生素面膜,,
u***y,PLUS会员,"<div class=""comment-star star1""></div>",没用过不知道管不管用，买完就降价。,【改善暗沉】维生素面膜,2020-11-08 23:01,,,,
A***y,,"<div class=""comment-star star1""></div>",早知道出现了这个事，我就不买此面膜了！以后坚决不买韩国货了！爱国！,维生素面膜10片,,,,,
6***c,PLUS会员,"<div class=""comment-star star1""></div>",精华液少得可怜，慎拍，没效果,【改善暗沉】维生素面膜,2020-07-28 23:44,,,,
****e,,"<div class=""comment-star star1""></div>",产品质感：不好使用感受：一般补水效果：一般,【改善暗沉】维生素面膜,2021-03-29 21:20,,,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",送东西挺快，但是货邮到了，这都成什么样了，东西是没少，但是让我怎么送人,,,,维生素面膜,2019-06-17 13:24,
没***儿,,"<div class=""comment-star star1""></div>",最受不了的就是这个，盒子拿出来了，面膜还在里面,,,2018-07-27 19:31,维生素面膜10片,,
任***飞,PLUS会员,"<div class=""comment-star star1""></div>",才买了几天活动降价20，让我这个一次性买了一堆的人情何以堪？？？,【透亮美肌】维生素面膜,,,,,2020-02-28 20:41
****j,,"<div class=""comment-star star1""></div>",里面的精华液不多，面膜不怎么补水,【透亮美肌】维生素面膜,,,,,2019-12-24 12:26
M***然,,"<div class=""comment-star star1""></div>",第二次买了，觉得不错才继续买明显比第一次差的远不像是正品,维生素面膜10片,2018-07-23 12:08,,,,
F***7,,"<div class=""comment-star star1""></div>",收到的面膜盒子都没有塑封，感觉不是新的,【改善暗沉】维生素面膜,2020-08-06 12:40,,,,
****9,,"<div class=""comment-star star1""></div>",包装好破，感觉像是没人要的，我都怀疑是不是假货,维生素面膜10片,2017-08-27 11:53,,,,
****6,,"<div class=""comment-star star1""></div>",这种包装还发出来有点担心是不是正品了,,,2021-05-22 10:26,【改善暗沉】维生素面膜,,
****f,,"<div class=""comment-star star1""></div>",盒子是打开的没有封盒子的标签已经被摘了,【透亮美肌】维生素面膜,,,,,2020-02-26 11:04
l***t,PLUS会员,"<div class=""comment-star star1""></div>",不像真的盒子都破了,维生素面膜10片,2018-04-19 00:04,,,,
颜***y,,"<div class=""comment-star star1""></div>",买了几次，越来越干了,维生素面膜,,,,,2019-04-29 21:42
1***p,,"<div class=""comment-star star1""></div>",感觉不是正品。里面精华液少面膜比较干,维生素面膜,,,,,2019-09-21 19:59
****r,PLUS会员,"<div class=""comment-star star1""></div>",为什么包装是拆开的？？？,透亮嫩白维生素面膜25ml*10,2016-05-14 00:30,,,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",包装盒可以再烂点吗？,维生素面膜,,,,,2019-09-21 21:04
东***4,,"<div class=""comment-star star1""></div>",包装特别不好，都漏了，不知效果如何，但愿不是假货,维生素面膜10片,2017-09-09 21:39,,,,
H***E,,"<div class=""comment-star star1""></div>",我妈妈说有点假本来买的三盒就退了两盒反正不推荐,【改善暗沉】维生素面膜,2020-08-26 09:51,,,,
****c,,"<div class=""comment-star star1""></div>",产品质感：不是很好。补水效果：补水效果不充足。,【透亮美肌】维生素面膜,,,,,2020-01-02 15:17
****u,PLUS会员,"<div class=""comment-star star1""></div>",没什么**用完第二天还是起皮,维生素面膜10片,2017-04-04 00:57,,,,
澳***哟,,"<div class=""comment-star star1""></div>",怀疑是假货啊，打开快递，没有包装而且面膜盒子坏了,【改善暗沉】维生素面膜,2020-09-16 22:08,,,,
