用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
****l,,"<div class=""comment-star star1""></div>",是正品吗，封口处把不明物封进去了,,,2018-03-15 08:10,茶树面膜10片,,
****j,PLUS会员,"<div class=""comment-star star1""></div>",产品不错，配送员态度太差,【缓解痘痘】茶树面膜,,,,,2020-02-29 01:01
****a,PLUS会员,"<div class=""comment-star star1""></div>",总感觉面膜的香味好奇怪,茶树面膜10片,2018-08-30 22:20,,,,
****h,,"<div class=""comment-star star1""></div>",买哪个别买这个还不如两块钱的面膜,茶树面膜10片,2017-12-05 12:45,,,,
****r,PLUS会员,"<div class=""comment-star star1""></div>",快递包装简陋，里面的包装盒都破损了,茶树面膜10片,2018-07-13 09:48,,,,
****h,PLUS会员,"<div class=""comment-star star1""></div>",商品包装不到位配送慢,,,,茶树面膜10片,,
****p,,"<div class=""comment-star star1""></div>",这个扫不出条形码怀疑是假货,茶树面膜10片,2017-06-16 07:13,,,,
f***N,PLUS会员,"<div class=""comment-star star1""></div>",包装都坏了，我也是服了,茶树面膜10片,2018-10-05 23:38,,,,
u***1,,"<div class=""comment-star star1""></div>",假的，和以前买的根本不一样，便宜没好货,茶树面膜,,,,,2019-10-20 10:23
u***8,,"<div class=""comment-star star1""></div>",包装被打开了是怎么回事？,,,2017-11-13 17:26,茶树面膜10片,,
w***1,,"<div class=""comment-star star1""></div>",包装差劲，感觉不是正品,茶树面膜10片,2016-11-22 09:27,,,,
u***6,,"<div class=""comment-star star1""></div>",用了十几片，没什么效果，跟往常一样,【缓解痘痘】茶树面膜,,,,,2019-12-12 06:10
s***5,PLUS会员,"<div class=""comment-star star1""></div>",在了三个，二个盒子是被打开的,,,2020-07-14 22:22,【镇定肌肤】茶树面膜,,
****d,,"<div class=""comment-star star1""></div>",物流很快，但包装居然是打开,,,2018-04-30 20:29,茶树面膜10片,,
u***v,,"<div class=""comment-star star1""></div>",用了不吸收建议不要买,茶树面膜10片,2018-08-21 15:31,,,,
****B,,"<div class=""comment-star star1""></div>",用过之后脸长好多闭口,【镇定肌肤】茶树面膜,2020-10-25 16:26,,,,
m***a,,"<div class=""comment-star star1""></div>",补水效果：没有一点精华，干得不得了,【缓解痘痘】茶树面膜,,,,,2020-04-19 21:15
****f,,"<div class=""comment-star star1""></div>",效果不咋的，下次不会买了,茶树面膜10片,2016-11-01 21:19,,,,
u***o,,"<div class=""comment-star star1""></div>",收到就开了口，别人的退货吗,,,2017-06-05 17:14,茶树面膜10片,,
沉***吸,PLUS会员,"<div class=""comment-star star1""></div>",包装都是开的不清楚是不是被调包了,茶树面膜,,,,,2019-06-16 15:35
蓝***4,PLUS会员,"<div class=""comment-star star1""></div>",用着不舒服，没有任何效果！！！,茶树面膜10片,2017-10-18 22:13,,,,
l***0,,"<div class=""comment-star star1""></div>",用了一段时间，没有任何作用,茶树面膜,,,,,2019-05-10 05:43
史***5,,"<div class=""comment-star star1""></div>",不好面膜拿出来的时候有一半是干的,茶树面膜,,,,,2019-10-07 16:20
****a,,"<div class=""comment-star star1""></div>",买了四盒就一盒能扫到码的,茶树面膜10片,2018-02-15 23:19,,,,
c***s,,"<div class=""comment-star star1""></div>",盒子都破了，也不知道真假，反正用了。,,,,,,
u***h,PLUS会员,"<div class=""comment-star star1""></div>",感觉是假的里面液体少的可怜,茶树面膜10片,2017-01-09 17:54,,,,
****9,,"<div class=""comment-star star1""></div>",这个品牌一直用来，挺好的，就包装很烂,,,2018-07-29 11:06,茶树面膜10片,,
林***5,,"<div class=""comment-star star1""></div>",不好用，几乎没效果，怀疑是假的,【镇定肌肤】茶树面膜,2020-10-05 17:33,,,,
A***i,,"<div class=""comment-star star1""></div>",不仅没用而且不减反增,茶树面膜,,,,,2019-04-09 19:51
K***活,,"<div class=""comment-star star1""></div>",期待效果喽~~貌似不错。就是盒子被人打开过,茶树面膜10片,2016-09-02 16:07,,,,
