用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
宇***0,,"<div class=""comment-star star1""></div>",盒子都烂了不知道是不是真的,【焕亮紧致】珍珠蛋白面膜,2022-02-21 10:59,,,,
u***q,,"<div class=""comment-star star1""></div>",也好像被踩扁的一样，盒子包装已经完全坏掉了。,,,2021-06-03 19:22,【柔嫩焕亮】珍珠蛋白面膜,,
****f,,"<div class=""comment-star star1""></div>",。确定是正品吗？面膜用了没有什么效果，脸还过敏了,【焕亮紧致】珍珠蛋白面膜,2021-11-07 23:11,,,,
****q,,"<div class=""comment-star star1""></div>",不好用，太厚了，巴着脸难受,【柔嫩焕亮】珍珠蛋白面膜,2021-10-08 08:39,,,,
K***3,,"<div class=""comment-star star1""></div>",这包装盒……简直了！小作坊出品么？！,,,2021-09-14 01:33,【柔嫩焕亮】珍珠蛋白面膜,,
F***5,PLUS会员,"<div class=""comment-star star1""></div>",这个面膜纸太厚了，确实太厚了，非常的不好用就是不太建议。,【柔嫩焕亮】珍珠蛋白面膜,2021-07-16 13:07,,,,
u***z,,"<div class=""comment-star star1""></div>",收到用了，一帖补水的，效果真是一点没有，精华少的可怜，怎么补水，用完脸有一点刺痛的感觉，刚刚贴完,【柔嫩焕亮】珍珠蛋白面膜,2021-06-03 20:04,,,,
3***m,,"<div class=""comment-star star1""></div>",被打开过，都怀疑是不是被别人退回来的，其他三个盒子都被压扁了，外相很难看,,,2021-08-14 10:01,【柔嫩焕亮】珍珠蛋白面膜,,
昨***风,PLUS会员,"<div class=""comment-star star1""></div>",一口气评价两个，距离上次不适过了一周吧，也就是前天我换这款款面膜贴，也是贴一张，然后脸部昨天到今天都红红的，痒痒的，又爆痘，而且感觉毛孔都变大了。贴完我就洗脸了，还是那句话，不知道是我的问题，还是面膜的问题，总之剩下的丢掉了，不会再回购了。,【柔嫩焕亮】珍珠蛋白面膜,2021-10-11 22:46,,,,
七***_,,"<div class=""comment-star star1""></div>",用了以后会起闷痘?从不长痘的干皮肤都能起闷痘慎拍！,【焕亮紧致】珍珠蛋白面膜,2021-12-08 13:59,,,,
流***觞,,"<div class=""comment-star star1""></div>",这个紫色的巨难用,【焕亮紧致】珍珠蛋白面膜,2021-11-11 16:19,,,,
1***p,,"<div class=""comment-star star1""></div>",被压成这样，,,,2021-06-19 13:33,【柔嫩焕亮】珍珠蛋白面膜,,
犯***虫,PLUS会员,"<div class=""comment-star star1""></div>",不好用,,,2021-07-31 03:56,【柔嫩焕亮】珍珠蛋白面膜,,
星***然,PLUS会员,"<div class=""comment-star star1""></div>",差,【焕亮紧致】珍珠蛋白面膜,2021-12-30 08:37,,,,
u***x,PLUS会员,"<div class=""comment-star star1""></div>",此用户未及时填写评价内容,【焕亮紧致】珍珠蛋白面膜,2022-01-21 23:15,,,,
