user_name	is_plus	star_num	comment	commodity_type
****G	1	3	一盒包装有损坏一盒还好	水润保湿面膜10片
u***9	0	3	给孩子买的不晓得好不好	水润保湿面膜10片
f***I	0	3	给老婆买的，她还蛮喜欢的	水润保湿面膜10片
****u	0	3	东西还行吧，送货也比较快。	水润保湿面膜10片
夏***猫	0	3	不错，跟香港买的价格一样	水润保湿面膜10片
心***3	1	3	常买的不错哦，性价比高	水润保湿面膜10片
l***6	0	3	不行，第一次买用着还可以	水润保湿面膜10片
u***1	0	3	快递很快但是包装很简陋	水润保湿面膜10片
u***c	0	3	就是包装坏了，其他都挺好	水润保湿面膜10片
u***8	1	3	这种包装我该评多少分呢	水润保湿面膜10片
路***界	0	3	信赖京东信赖京东师傅	水润保湿面膜10片
****7	1	3	东西不错我很喜欢，相信品质	水润保湿面膜
****C	0	3	保湿效果太好，连包装都湿了	水润保湿面膜10片
天***3	1	3	还可以，价格也没便宜。果果	水润保湿面膜10片
f***8	1	3	包包还好，价格中等，功能欠多。	水润保湿面膜
****b	1	3	不知道我的快递经历了什么。	水润保湿面膜10片
无***明	0	3	这次购买个人感觉真的一般般	水润保湿面膜
****b	0	3	还没开始用，下午开包试试，	水润保湿面膜10片
柏***声	1	3	的确很便宜，但不知道是不是真的	水润保湿面膜10片
S***g	0	3	包装惨不忍睹了，还没用先中评吧	水润保湿面膜10片
G***v	0	3	很补水不知道是不是真的	水润保湿面膜10片
****0	0	3	面膜有点厚，其它都还好	水润保湿面膜10片
****r	0	3	感觉还可以以后还会买	水润保湿面膜10片
王***拉	0	3	给朋友买的，没给反馈呢	水润保湿面膜10片
h***e	0	3	送货速度快，商品待使用后评价	水润保湿面膜10片
****J	0	3	产品还可以，就是价格有点点小贵。	水润保湿面膜10片
z***i	1	3	中规中矩，一分钱一分货。依赖性大	水润保湿面膜
植***敏	0	3	面膜有点厚，其它都还行	水润保湿面膜
天***宽	0	3	还好吧，老婆使用，挺好用	水润保湿面膜
u***d	1	3	补水效果真的一般般吧	水润保湿面膜
u***u	1	3	还不错，补水效果还可以	水润保湿面膜10片
今***1	0	3	适合脸特别小的还要长长的那种	【热销爆款】水润保湿面膜
a***海	0	3	跟以前韩国代购的不一样价格便宜	水润保湿面膜10片
z***6	0	3	打折买的，还没用期待效果	水润保湿面膜10片
花***离	0	3	还没用，不知道是正品不	水润保湿面膜
昵***好	1	3	还好吧。感觉，写不出评价	水润保湿面膜10片
C***C	0	3	送货速度快送货速度快送货速度快	水润保湿面膜10片
****3	1	3	心理作用吧，没什么效果。	水润保湿面膜
j***l	1	3	水库，不错的，这次有活动	水润保湿面膜10片
C***C	0	3	送货速度快送货速度快送货速度快	水润保湿面膜10片
黄***6	0	3	还没用，原厂的叫丽得姿吧	水润保湿面膜
J***7	0	3	产品不理想，物流速度可以	【热销爆款】水润保湿面膜10片
l***r	1	3	没觉得很好用，比预期要差	水润保湿面膜10片
D***e	1	3	一直用，补水效果非常好	水润保湿面膜10片
****a	0	3	晚上试试，不知道是不是真的	水润保湿面膜10片
马***0	0	3	有三张不是正品，这个价格也还好	水润保湿面膜10片
****妗	0	3	一般般吧，补水效果还可以	水润保湿面膜
邹***妈	1	3	货已收到，用后在来评价了	水润保湿面膜
欢***吉	0	3	还行吧，保湿效果不太明显	水润保湿面膜10片
****s	0	3	扫不到码，不知道真假，还没用	水润保湿面膜10片
****2	1	3	还行吧，没有觉得有什么用	水润保湿面膜
