user_name	is_plus	star_num	comment	commodity_type
q***a	1	3	一分钱一分货，图便宜买的	新品【透亮保湿】水润安瓶面膜
尹***2	1	3	宝贝非常好用，颜色百搭，下次还会再购买的	深层补水【水润安瓶面膜】
初***庐	1	3	可能跟我的皮肤有关系用了之后开始冒痘	【补水保湿】水润安瓶面膜
u***r	0	3	几年前让同事从韩国带过，比这个好，精华也多，面膜纸也要薄，敷完很水润	深层补水【水润安瓶面膜】
u***m	1	2	效果先不说就这简陋的包装我真是吐了	新品【透亮保湿】水润安瓶面膜
****c	0	2	敏感肌不要用，敷了一片立马长坨	新品【透亮保湿】水润安瓶面膜
-***-	1	3	感觉一般用完之后脸油油的	深层补水【水润安瓶面膜】
****x	0	2	这回购买不满意，包装简陋，外包装损坏	【深层补水】水润安瓶面膜
小***g	0	3	刚买才到货，就降价了	新品【透亮保湿】水润安瓶面膜
****0	0	3	贴着有刺痛感，不敢用了	深层补水【水润安瓶面膜】
玖***x	0	3	感觉用了不怎么行有点过敏	深层补水【水润安瓶面膜】
q***2	0	2	不好用，不会再回购，浪费钱	深层补水【水润安瓶面膜】
****u	0	2	包装很烂，质量没有老版好，还没用，刚收到	新品【透亮保湿】水润安瓶面膜
金***鸿	1	3	这款没有某明星同款的好，从外包装到里面的面膜都假假的	新品【透亮保湿】水润安瓶面膜
u***2	0	3	水分很少，效果一般，	深层补水【水润安瓶面膜】
r***q	1	2	，送的还可以，不油，但是免洗面膜就真的一般	深层补水【水润安瓶面膜】
****4	0	3	还行，不太好用，有点干	深层补水【水润安瓶面膜】
丶***i	1	3	新品尝试了一下，精华少，面膜薄，感觉一般，不如蓝色水润款的。	新品【透亮保湿】水润安瓶面膜
r***5	1	3	满满的原液有些到处滴答卸膜后不能吸收要洗掉估计是增稠剂剪裁太大不适合小脸一般吧	深层补水【水润安瓶面膜】
****o	0	2	一次买了四十片，还有两种的没用，用了再评价，但这款面膜害我脸热发痒，有过敏症状，敷了五分钟就丢了，我是油皮，皮肤不好，这款不行	新品【透亮保湿】水润安瓶面膜
M***j	1	3	涂敷，精华液很多，也就刚敷完感觉皮肤白了一点，用了一段时间了，但淡斑的效果没看到效果，不知道是不是用的时间太短了。	新品【透亮保湿】水润安瓶面膜
****t	1	2	不好用，一点点不好用，太干了，没什么水分的，用完也没什么效果，不补水，怪不得这么便宜，以前买的都要元一片，现在才元一片，一分钱一分货。	新品【透亮保湿】水润安瓶面膜
****j	0	2	第一次用味道太重不好用	新品【透亮保湿】水润安瓶面膜
Q***4	0	3	差评居然包装都打开了第一次遇到这样的情况	新品【透亮保湿】水润安瓶面膜
****t	0	2	和以前用的都不一样，面膜一点也不服帖，差评	新品【透亮保湿】水润安瓶面膜
小***Q	0	2	这样的包装真是第一次见，如此包装。简单粗暴就完事了	深层补水【水润安瓶面膜】
欣***4	1	3	面膜跟之前买的比太小了，整张脸不能完全遮住。我看评论里基本上没人提到面膜大小的问题，那就是我个人不适合这几个新款式的问题了。那个面膜纸有点发糙，粗糙的感觉，不如之前买的那个蓝色的补水和绿色的消炎的那几款。并不是特别推荐购买这些新款。	新品【透亮保湿】水润安瓶面膜
宝***子	0	3	用了快多半个月了，总体感觉，里面的精华液比较少相比我用的其他的面膜少多了），面膜也没有固定的塑料纸，可能是环保吧，面膜整体比较厚，不是特别服帖，刚拿出来有股淡淡的酒精味，咱也不知道真假，问客服说是真的，我也是第一次用，没在专柜买过，真假不能断定	新品【透亮保湿】水润安瓶面膜
我***嗯	0	3	习惯好评，支持京东和京东物流	新品【透亮保湿】水润安瓶面膜
****j	0	3	送货速度超级快	新品【透亮保湿】水润安瓶面膜
B***S	0	3	还行吧精华有点少	新品【透亮保湿】水润安瓶面膜
X***5	1	3	很便宜，效果没感觉	新品【透亮保湿】水润安瓶面膜
是***呀	1	3	不行不行不好用	深层补水【水润安瓶面膜】
u***1	0	3	包装破损，物品遗失，售后不作为。把顾客当猴耍。	新品【透亮保湿】水润安瓶面膜
w***7	0	3	快递垃圾	新品【透亮保湿】水润安瓶面膜
_***_	0	3	感觉一般般，主要面膜纸不服帖，而且不平	新品【透亮保湿】水润安瓶面膜
****1	1	3		新品【透亮保湿】水润安瓶面膜
****f	1	3	还可以。	新品【透亮保湿】水润安瓶面膜
阅***姐	0	3	面膜布一般	新品【透亮保湿】水润安瓶面膜
****3	0	3	还行	深层补水【水润安瓶面膜】
星***然	1	2	差	深层补水【水润安瓶面膜】
u***6	1	3	很一般	深层补水【水润安瓶面膜】
c***7	1	3	一般吧，。	【补水保湿】水润安瓶面膜
c***x	1	3	这款水润面膜还是一般般，里面赠送的水润睡眠面膜也太小了吧，就一小条也不知道好不好用，所以说是正品，但是我也是看见有赠品才买，买这个面膜的感觉上有点坑。	深层补水【水润安瓶面膜】
