user_name	is_plus	star_num	comment	commodity_type
****2	1	3	同牌子买了两款还可以吧。	维生素面膜10片
h***n	1	3	一直在用，不错，活动买的	【透亮美肌】维生素面膜
****0	0	3	老婆说用后油油的感觉	维生素面膜10片
M***L	1	3	还可以，京东快递一如既往的快。	维生素面膜10片
****x	0	3	京东做活动买的，很划算	维生素面膜10片
静***Y	0	3	效果是不错，但是韩国产品只能给三星	维生素面膜10片
****z	0	3	送货速度非常快，速递员态度非常好	维生素面膜10片
咖***0	0	3	看不出来用了有什么效果啊。	维生素面膜
J***子	0	3	还在使用中，不知道效果怎么样	维生素面膜10片
哎***g	0	3	刚敷完的补水很好	【改善暗沉】维生素面膜
****r	0	3	今天面膜到了，期待使用效果	【透亮美肌】维生素面膜
O***稳	1	3	还可以吧，物流很快，别的没啥	【改善暗沉】维生素面膜
****r	0	3	面膜拆开了的，送来盒子打开的，其他都好	【改善暗沉】维生素面膜
H***五	1	3	还没用呢，等用了后再来评价	【透亮美肌】维生素面膜
****c	0	3	水分较少，质量很好，面膜较厚。	维生素面膜10片
L***1	1	3	还可以，眼角开的有点大。	【改善暗沉】维生素面膜
S***c	1	3	面膜效果一般，快递比较不错	【改善暗沉】维生素面膜
t***p	1	3	可莱丝大部分挺靠谱的这款不太适合我	透亮嫩白维生素面膜25ml*10
M***t	0	3	第一次买这个面膜，和家里的Ray对比，觉得还是Ray好。	【透亮美肌】维生素面膜
****2	0	3	感觉还蛮水润，感觉还蛮水润，感觉还蛮水润	维生素面膜
嗯***呀	0	3	效果还可以吧，包装还挺好看的	【改善暗沉】维生素面膜
D***鑫	1	3	溶液比较少。属于此品牌中溶液最少的几款。	维生素面膜
爱***民	1	3	方便快捷，价格尚可，勉强能接受吧总之呢，就图个方便，继续继续	维生素面膜10片
****f	0	3	给个中评吧，一般般，没有我表姐在香港带的好	维生素面膜
Y***8	1	3	一直使用，不错补水效果很好贴合效果一般般	【透亮美肌】维生素面膜
冰***狐	1	3	这一款用完保湿和美白都没有什么效果的感觉	维生素面膜10片
****N	0	3	精华液好少啊，几分钟就干了	【改善暗沉】维生素面膜
****6	1	3	正不正品不知道用完脸很难受黏黏的	透亮嫩白维生素面膜25ml*10
u***k	0	3	东西不错，应该是正品，就是每一个底下都被人拆开过是为什么	维生素面膜10片
****9	0	3	不知道，还没用，看着包装，应该给几分好评	维生素面膜10片
c***P	0	3	我记得之前在韩国买的这个维生素面膜没有这么多精华呀，不知道是真是假	维生素面膜10片
