user_name	is_plus	star_num	comment	commodity_type
****l	0	5	外包装是塑料袋装的，不容易破损，比盒子的更方便这个粉色水感面膜的膜布不是很厚，敷着比较舒服，味道也是香香的我夏天混油，冬天混干，敷完皮肤感觉嫩嫩的，比较清爽不油腻我是角质层比较薄，平时容易脸红，敷完这个也没有过敏，感觉还是不错滴这个粉色的是多肽弹力面膜，可以补充胶原蛋白，提拉紧致，晚上熬夜了第二天早上可以来一片急救一下贴合度很不错，大概贴了分钟，膜布承载力还可以，面膜拿出来后袋子里没有很多的剩余，差不多都附在膜布上了，精华不会往下滴京东物流超级快第二天就到了日期也很新鲜刚好面膜用完了就来看看京东，急用的话果然还是京东靠谱	新品-多肽水感面膜15片
****z	0	5	补水保湿效果很足，用完水水嫩嫩的，紧致效果多用用看	新品-多肽水感面膜15片
****0	0	5	春天很容易过敏，用了这款还好，没有什么刺痛，有活动再继续回购	新品-多肽水感面膜15片
****8	0	5	面膜刚打开有淡淡的香味，一点也不刺鼻，膜布也贴合脸部，用完了肌肤光滑，整体来说新品还是很棒的	新品#多肽水感面膜15片
Z***4	1	5	，东西很好用的，很满意，非常的好。用了很多产品用了很多的面膜，突然发现这个孩子很好用的。试岗也用得，非常的好。	新品-多肽水感面膜15片
****c	0	5	这款面膜感觉颜值还挺高的，京东快递也很给力，昨天买的今天就到了，正好试用一下，用完之后皮肤感觉都变亮了不错不错	新品#多肽水感面膜15片
****g	1	5	东西很好，很满意，送货也很快给十分	新品-多肽水感面膜15片
楚***2	0	5	老品牌值得信赖，用了好几年了，非常补水，最主要物流当天就到了	
****r	0	5	晚上用了感觉用完皮肤亮亮的很清透，回头再试试蓝色的	
s***g	1	5	保湿面膜，原装的，液体量很足，好用。	新品-多肽水感面膜15片
****f	0	5	非常好用，保湿效果非常明显	
贵***3	0	5	大小合适，很滋润，好用。	
****z	0	5	快递非常快还没用呢，过后追评	
****d	0	5	收到货就用了，非常好	
****m	1	5	送人的应该非常好用物美价廉	
小***b	1	5	不错使用感受舒服贴合效果很贴合脸部	
****B	0	5	频繁熬夜，疲惫肌肤不紧致，美迪惠尔多肽弹力水感面膜可以补充肌肤活力，能保持一整天的焕亮美肌，在疲惫肌肤的危机关头实力救场实力强化＋紧致提拉，富含种复合物＋水解胶原蛋白＋泛醇，可以增强肌肤力量，强化肌肤屏障，熬夜必备的肌肤能量站，给肌肤更多健康底气分钟赋予肌肤活力，增强肌肤Q弹活力，给垮脸做个多维提拉护理。每天分钟，快速为肌肤补充能量，元气满满一整天～	新品-多肽水感面膜15片
梅***6	1	5	用了很多年这个品牌的面膜，还是第一次看到简装包装，以前都是盒装的。这款第一次买，试试。	新品-多肽水感面膜15片
****j	1	5	种都买了，满足肌肤不同时期的需要，每天来一片再也没有肌肤烦恼了，数量很多可以用好久	新品-多肽水感面膜15片
****妹	0	5	活动买的比较划算，和同事一起拼的，这个片装的比较多，可以用挺久的。	多肽水感面膜15片
