user_name	is_plus	star_num	comment	commodity_type
L***1	1	5	膜布比较贴合，精华也是比较多的使用感受一般是贴分钟，个人感觉贴完后整个皮肤状态比较舒服，饱满个人还是喜欢这款面膜的适合肤质个人是混油皮补水效果补水算是比较好的用过几款中算最好的所以一直有回购平价实惠的一款其他特色喜欢的朋友不要错过哈，真的满好用的	【提亮焕肤】美白保湿黑面膜
w***g	1	5	给老婆买的，老婆很喜欢。敷这张面膜之后，皮肤也变白，变光滑了，又年轻了。	【提亮焕肤】美白保湿黑面膜
爱***纹	1	5	买了很多，今年过年囤面膜，用了很保湿，而且还有赠品，男生女生都可以用，包装也很精美，不会泛红，油性肌肤和干性肌肤都是可以使用的，保湿补水效果很好哦	【提亮焕肤】美白保湿黑面膜
晴***e	1	5	面膜本身柔软的很特别好高级感呢皮肤会知道使用感受特别湿润软软的贴合感也很好适合肤质感觉都适合因为是补水美白油性肤质也不怕它不含油哈哈补水效果补水美白就是至少一个度。夏天一晒红就用。镇定补水效果也不错救星啊贴合效果很贴合脸颊处有剪开了的设计适合任意脸型其他特色最喜欢这个黑面膜补水美白很不错	美白黑炭面膜
健***娃	1	5	好几次回头了，挺好用，坚持持续用效果很好，物美价廉，和脸部很容易贴合，之前买的面膜从包装里拿出来很不好往脸上贴，不是邹吧就是不平整，这个很好。	【提亮焕肤】美白保湿黑面膜
竹***攸	1	5	摸着很舒服，爽滑柔软使用感受不粘不腻，清爽贴肤适合肤质油性干性都可以，不用担心补水效果效果很好，滋润满满，澎澎的贴合效果还是不错的，脸小的可能更好，我是脸太大了	【提亮焕肤】美白保湿黑面膜
****w	1	5	非常棒的一款面膜，营养及水份都非常足，敷于面部很是舒服，面膜营养吸附的很是足量，隔两三天用一次，每次分钟，用后非常舒爽，皮肤水嫩个	【提亮焕肤】美白保湿黑面膜
达***娅	1	5	用起来感觉很不错，水润不粘腻，过年以来一直购买，京东自营很放心。第一次使用还是大学在北京的时候，现在来到了沈阳，不知道实体店情况了，所以一直在京东购买	【提亮焕肤】美白保湿黑面膜
时***潮	1	5	大品牌，质量非常好使用感受美白和水效果相当棒，值得购买适合肤质干性皮肤补水效果以前没有用过面膜，皮肤一直很粗糙，使用后皮肤有明显改善贴合效果很好其他特色棒棒哒	【提亮焕肤】美白保湿黑面膜
****明	0	5	这款哼黑膜，我特别特别喜欢。用完之后非常有效果。这个牌子的面膜真的是又实惠又好用。尤其是夏天，每天都要用，一道两片。，用完之后特别好。感觉特别舒服。皮肤的质感提升了很多。而且京东送货特别快。非常非常的方便。	【补水提亮】美白保湿黑面膜
