user_name	is_plus	star_num	comment	commodity_type
****2	1	5	一下子买了四款，价位特别划算，用下来感觉就是超值。我一下子都打开，四款轮着用，每天上班回来，洗完了，如果天气干燥就用蓝色，如果太阳大晒到了就用vc那款，熬夜了就用胶原蛋白那款用完了皮肤很滋润，一天一张，特殊情况下两张。那天去吃饭，对面一女的的忍不住问我是做美容的么皮肤这么好印证了我自己的感觉价位实惠，从来没面膜用的这么潇洒过。前天生日朋友送了其他牌子的，我也打开了，随机一起用的，今天一查才知道那款一盒，张一盒相当于这个四盒张的价位可是也没感觉出来那个更好一对比，觉得这款真是性价比高于是明白了这款为啥一直这么火回购现在看了下，四盒还是这个价，又回购了一批，有胶原蛋白的，还有其他新款，也试试。	【焕亮肤色】维他命安瓶面膜
h***o	1	5	贴合面部，面膜柔软使用感受每天敷一片，滋润一整天适合肤质我是干性皮肤，补水效果不错补水效果补水效果不错，敷完面膜后水嫩嫩的很不错。很贴合，材质柔软。	新品【焕亮肤色】维C安瓶面膜
小***5	1	5	面膜前两天就到了，好大一盒啊，我特意用了两天才来评价的，这是我第一次买这个品牌的面膜，因为我是敏感肌，对这些产品非常容易过敏，而且是敷在脸上的，不注意一点不行，经过我这两天的亲身经历，不得不说这个面膜是真的好用，温和无刺激，我是敏感肌用了都不会过敏，而且敷完之后肌肤滑滑的，摸起来很舒服，敷起来也很舒适，好评好评好评过多一阵子追评效果	【焕亮肤色】维他命安瓶面膜
火***w	0	5	快递速度快，收到的面膜包装好，打开用了觉的补水效果非常好，精华液很多，敷完之后脸水水润润的，很温和不刺激，效果显著，很满意	【焕亮肤色】维他命安瓶面膜
****l	1	5	多次购买美迪惠尔的面膜，这款维生素C的第一次用，面膜纸很薄，但是精华很多，贴在脸上很服帖，用完脸上很水润，也没有任何究竟味道，很好用。	【焕亮肤色】维他命安瓶面膜
d***9	1	5	面膜纸很贴合脸部，袋里面的精华液特别多，多的可以使用到脖子，这几款我自己感觉不到特别大的差异，反正补水效果都是蛮好的，和我线下在香港买的没啥差异	新品【焕亮肤色】维C安瓶面膜
蔡***8	1	5	本人早晚每天两贴面膜日常护理补水，肤质是干性皮肤过敏的，这款面膜下单买了盒，每一款都不不同效果的，保湿补水滋润的功效，使用方便快捷，精华正常多，太多了也没用，补水保湿效果很棒呢，我还搭配了其他款面膜一起使用	【焕亮肤色】维他命安瓶面膜
j***4	0	5	在众多面膜中，选择了这款柠檬面膜，看中了它的维C，拿到手后，打开敷在脸上，没有任何的刺激感，只闻到淡淡的柠檬味，本人很喜欢	新品【焕亮肤色】维C安瓶面膜
****头	1	5	面膜纸很舒服，精华液也多，很服帖。我用完皮肤嫩嫩的。混合皮都可以。很棒。第二天皮肤都嫩嫩的。水。应急补水很棒。	【焕亮肤色】维他命安瓶面膜
熏***芳	1	5	趁着搞活动的时候买的，性价比超级高，产品质感还不错使用感受用起来比较滋润补水适合肤质我是中性偏油的皮肤，感觉还可以补水效果补水效果还行贴合效果很贴合物流很快，服务很好	【焕亮肤色】维他命安瓶面膜
v***y	1	5	清爽不油腻，淡淡的柠檬味道。一直用他家各种面膜，很补水，淡化细纹，第二天起来皮肤水。贴合度很好，轻薄透气。日期很新鲜。	新品【焕亮肤色】维C安瓶面膜
黑***2	1	5	那种丝滑超薄的，透气感好。洗完澡贴在脸上，丝丝滑滑的，很服帖。我是肤质有点敏感，但是这个贴了没事补水效果补水效果不错，贴完后水嫩嫩的	【焕亮肤色】维他命安瓶面膜
x***x	1	5	韩国护肤品在最近几年非常受到大家欢迎连带着很多韩国的面膜也火了。而美迪惠尔面膜就是其中的一种。这种面膜的销售量是非常高的而且很多人都会无限的回购，外包装看上去比较简约清爽，每片重量很轻，也很方便携带。撕开包装袋，里面的白色膜布也很清透，精华很足，质地比较柔和。美迪惠尔面膜适合多种肤质的人群，尤其是对于长期熬夜导致的脸部皮肤暗黄粗糙皮肤干燥缺水的人群更加具有良好的效果，化妆前进行补水也非常适用。这里需要告诉大家的是，通过皮肤测试，大部分朋友都可以进行每天使用，具体根据自己的皮肤情况，调整使用频率。	【焕亮肤色】维他命安瓶面膜
爱***4	1	5	囤了一冰箱的面膜，感觉能用半年了，拖延症晚期到现在才来评论，不过真的好用，味道清淡，补水效果好，适合混合干皮，用了两个月的真心评价。	新品【焕亮肤色】维C安瓶面膜
****o	1	5	用过很多很多牌子的面膜，还是觉得这个牌子的最好用，有效果，所以这次又买了很多，一如既往的好用，放冰箱里冰凉的很舒服。快递速度也很快	新品【焕亮肤色】维C安瓶面膜
****香	1	5	补水效果挺好的，第二次购买了，很好用，精华也很多，面膜纸也舒服大小合适，补水效果挺好的，第二次购买了，很好用，精华也很多，面膜纸也舒服大小合适，面膜纸很舒服，物流也快，搞活动的时候买的，价钱很优惠，值得购买	新品【焕亮肤色】维C安瓶面膜
白***_	1	5	之前一直用的蓝色那款，但是朋友推荐这款也不错，白天晒完太阳回来了敷一个感觉真的很棒，清清凉凉的，很服帖，也很贴合脸型，用完皮肤很舒服	新品【焕亮肤色】维C安瓶面膜
****j	1	5	这个品牌的面膜，保湿力比较弓强。用了这款面膜之后呢，皮肤比较细腻。京东上购买的性价比很高，是正品。物流很快本人是干性皮肤是用了之后效果还比较明显。	【焕亮肤色】维他命安瓶面膜
l***4	1	5	嘻嘻，这款面膜补水效果杠杠滴，精华蛮多的，夏天也不会闷痘，还会继续囤货的，敷完精华自然吸收就好啦，第二天再洗脸上滑滑的，上妆也比较服帖，嘻嘻	【维C透亮】维他命安瓶面膜
白***光	0	5	美白补水保湿效果非常好值得入手非常棒我就觉得今晚上看	新品【焕亮肤色】维C安瓶面膜
糯***木	1	5	面膜纸很薄，乘着活动囤了很多，很喜欢这个牌子的面膜，每次敷完感觉皮肤水水的，面膜纸和脸部贴合也很棒，我是混油皮，很喜欢面膜的肤感。	【焕亮肤色】维他命安瓶面膜
p***9	1	5	美迪惠尔，很好用的面膜，面膜纸的薄厚合适，很舒服，服帖，敷完十五分钟后，拿下来感觉脸水嫩的，自我感觉补水效果不错，是回购款了	新品【焕亮肤色】维C安瓶面膜
****c	1	5	面膜很好用啊，而且是在京东秒杀抢到的，优惠力度很大，抢到了两款面膜，都是很好用，用着很舒服，就是有一款尺寸比较大，不怎么合适	新品【焕亮肤色】维C安瓶面膜
j***n	1	5	物流给力，方便快捷。面膜好用，之前用的是老版款，这次尝试一下新款。面膜纸依旧轻薄，服贴。效果还是可以的，整体上很满意。值得信赖。	新品【焕亮肤色】维C安瓶面膜
****L	1	5	细腻，面膜珍品使用感受温和滋润适合肤质均可补水效果很好贴合效果很好其他特色细腻	新品【焕亮肤色】维C安瓶面膜
z***0	1	5	老顾客了，一直使用他们家的产品。非常好用，补水效果好，亲肤明显改善肤质。贴完以后好上妆。推荐各位仙女购买，如果价格合适下次还会大量囤货。爱了爱了	新品【焕亮肤色】维C安瓶面膜
y***9	0	5	做活动囤货，第一次用这个牌子的，补水效果很好，很满意。	新品【焕亮肤色】维C安瓶面膜
东***8	1	5	用这效果非常好呀保湿效果不错很润面膜很服帖我喜欢味道很清淡补水效果用着效果不错贴合效果服帖适合肤质我是干皮很好用活动价格很优惠	【焕亮肤色】维他命安瓶面膜
i***w	1	5	面膜又水又软补水效果水水很多非常好贴合效果与脸贴合的很好大小也合适使用感受用时和用完都很舒服其他特色价格也合适现在就只用这个牌子的面膜了	新品【焕亮肤色】维C安瓶面膜
b***猫	1	5	这个不多说了，用了很多年了，蓝色最保湿，黑色的一个礼拜用一次，其他都是隔天一次，脸没那么干了，推荐，非常不错哈哈，多来点活动	【焕亮肤色】维他命安瓶面膜
****s	0	5	膜布很薄，挺服帖，敷着感觉很舒服，长期使用看有没有提亮的效果	【焕亮肤色】维他命安瓶面膜
****c	1	5	一直以来购物都是京东喜欢没有道理任何吃的用的都是京东京东购物送货快服务好物美廉价喜欢没有道理这款面膜非常好欢迎选购	新品【焕亮肤色】维C安瓶面膜
木***j	1	5	物美价廉，很OK，比实体店优惠太多了包装好，物流快，价格实惠，比超市便宜多了大品牌，用起来很放心，质量非常好，赶上活动购买非常的划算终于对它下手了，颜值是真的没话说，材质很好，物美价廉，趁活动赶紧囤起来特别满意，好评必须好评宝贝真不错，做的真细心，值得拥有，快递很快宝贝收到了，和描述一样，很喜欢	新品【焕亮肤色】维C安瓶面膜
y***晨	1	5	这个面膜一直都在用，真的是上脸很舒服，而且还有些美白的作用，贴上以后冰冰凉凉很舒服，平时都是在实体店里面，这次网上有活动，一下吞了好多的货。	【焕亮肤色】维他命安瓶面膜
晕***s	1	5	种草很久的一款面膜，趁着搞活动入手了。肤比较迟钝，体验不出面膜好坏。面膜质地很好，贴合紧密，大小合适，补水效果好。京东物流，一直很优秀。赞	新品【焕亮肤色】维C安瓶面膜
馬***0	0	5	面膜收到了，买了好几盒，挺适合我这大干皮的，补水效果非常好，很贴合，精华很多，质感稍微黏稠，很不错的一次购物，期待下次活动	新品【焕亮肤色】维C安瓶面膜
蓝***爱	1	5	一次买了两盒，主要是用后感觉很不错，皮肤有明显的改善，每一袋密封很好便于携带，随时可以保持补水，包装很好没有破损，我很满意	新品【焕亮肤色】维C安瓶面膜
****L	1	5	多次购买美迪惠尔的面膜了一如即往的好。补水效果很好，价格也不高，物美价廉。推荐给身边人使用也都说效果不错。快递也很快，五星好评	【焕亮肤色】维他命安瓶面膜
****v	1	5	一次性买了好几种面膜，使用效果很不错，补水效果很好，用完后脸上水水润润的。京东快递还是一如既往地给力，总体来说是一次十分愉快的购物。	新品【焕亮肤色】维C安瓶面膜
朵***旎	1	5	这款新出的面膜补水效果很好，面膜纸很薄很服帖，买了四款每种来一盒，每天换着敷，时间十来分钟，效果不错，主要活动很划算，值得购买	新品【焕亮肤色】维C安瓶面膜
****i	1	5	一直用这个牌子的面膜，效果很好，这次是韩国版的，一看到便宜的时候就买点囤货留着慢慢用，之前一直用蓝色的，这次多搞几个别的颜色的试试看	新品【焕亮肤色】维C安瓶面膜
卜***欣	1	5	面膜轻薄不厚重精华很多。补水效果很好，敷分享即可。可根据不同肤质情况综合选择。不错，但个人习惯敷完再清洗一下贴合效果很贴合面部	新品【焕亮肤色】维C安瓶面膜
f***0	0	5	非常好用，不油腻，不紧绷，水也多	新品【焕亮肤色】维C安瓶面膜
T***i	0	5	昨晚敷了一下，感觉挺好的，是正品，相信京东自营晚上睡觉很舒服，敷完面膜皮肤很保湿，很好用。	新品【焕亮肤色】维C安瓶面膜
爱***4	1	5	一如既往的颜值高，还是喜欢这水果封面，打开时候满满的清香味，和柠檬真的很应景。用了大概有几十片了，依旧觉得不错，还会再来。	【焕亮肤色】维他命安瓶面膜
L***3	1	5	很不错，容易撕开使用感受意外有点好用，用完后皮肤很光滑，美白这点不太确定，补水效果不错，精华液也多适合肤质敏感肌除外的都合适补水效果不错，快速补水贴合效果很服帖	【焕亮肤色】维他命安瓶面膜
l***2	1	5	买了很久才来评论，确实是物美价廉啊，并且一盒是十片装的，很喜欢这款面膜，很补水，以前只是听说过没用过，试了试才知道确实不错的	【焕亮肤色】维他命安瓶面膜
****x	1	5	这次有活动，买了十几盒，一大箱子，够用很久了，昨天晚上试用了一片，感觉精华不是很多，打开有一个角是干的，我用wis的时候，感觉精华是最多的，而且比较适合我的脸型	新品【焕亮肤色】维C安瓶面膜
u***i	1	5	这款也很水润服帖，不干不腻，可以几款换着用，都很不错	新品【焕亮肤色】维C安瓶面膜
****j	1	5	一直用这个牌子的面膜，很轻薄，很补水	【焕亮肤色】维他命安瓶面膜
****8	1	5	还不错了，活动一起买的，买了很多面膜，主要是用来补水的，这个牌子的面膜还挺温和的，嘿嘿嘿，京东的物流非常快，第二天就到了，	新品【焕亮肤色】维C安瓶面膜
u***e	1	5	喜欢，好评，物流很快，买了好几盒，活动买的，价钱很实惠，用的效果也还好，很好，物流第二天就到了，还送到家，很给力，喜欢	新品【焕亮肤色】维C安瓶面膜
****4	1	5	这个橘子的维生素的看起来颜色比较鲜艳，反正美迪惠尔佳现在面膜好几十款，十几款吧，特别多，就一样买了一点，先试一下怎么样	【焕亮肤色】维他命安瓶面膜
不***妹	1	5	物流很快，隔天就收到了，超级划算，都挺好用的，推荐给大家，有活动的时候必入手，太干的皮肤就不太适合了，适合混油皮混油皮。	新品【焕亮肤色】维C安瓶面膜
暴***龙	1	5	美迪惠尔面膜用起来还不错，看京东销量就知道了卖的有多好，趁着活动又又入手了几盒，还是蛮具性价比的，京东的物流也是没话说，很及时。	新品【焕亮肤色】维C安瓶面膜
