user_name	is_plus	star_num	comment	commodity_type
林***o	1	5	是一个老牌子面膜，这个很多年以前就用过，那个时候还没这么便宜，现在越来越便宜了，买了回来再试试吧，因为真的便宜，不知道好不好用啊，用过了再来追平，这个包装也是换了一种了，看着好看一点了，这个快递特别快，这个是韩国牌子	【柔嫩焕亮】珍珠蛋白面膜
悠***舟	1	5	一下子屯了好多有活动的时候买绝对超值一直用这个牌子的用完清清爽爽很舒服不黏腻面膜液也足够多多的很不错用完皮肤超级嫩	【焕亮紧致】珍珠蛋白面膜
****4	0	5	面膜好闻有淡淡的清香很服帖补水效果非常棒哟精华液也是很多的温和不刺激买着开心	【焕亮紧致】珍珠蛋白面膜
A***j	0	5	这个面膜纸很服帖，很滋润，补水效果也很好，很满意。也很滋润，不会过敏，补水效果特别好，可以使用一下试试	【焕亮紧致】珍珠蛋白面膜
仔***南	1	5	美迪惠尔珠珠蛋白浸透乳液面膜是因为买三款有优惠就随便凑了几款之前最早的时候是用过蓝色包装的现在的品种真多这款紫色包装的面膜应该是三款中价格最贵的一盒只有片面膜纸非常厚实非常滋润袋子里遗留的也不舍得扔掉用来涂手了就像涂了层护手霜	【焕亮紧致】珍珠蛋白面膜
天***人	1	5	这个牌子一直用在使用，不仅含水量很足，补水效果明显，而且贴合度很好，用起来很舒服，再有成分不错，吸收效果好，长久保持肤质细润有效	【柔嫩焕亮】珍珠蛋白面膜
雨***5	1	5	无意中看到朋友在用，于是便留意了，之前的面膜快用完了，赶紧囤货，还可以，用了后第二天脸还是光滑的，很舒适了，估计很一段时间就用这个了，毕竟性价比高，面膜还是有点大	【柔嫩焕亮】珍珠蛋白面膜
****o	1	5	京东物流特别快，服务也特别赞，一直信赖京东，这款面膜很好用，一直买的这款面膜，很服帖，精华很多，补水效果好，用完皮肤特别好	【焕亮紧致】珍珠蛋白面膜
唐***垚	1	5	果然是美白面膜，感觉特别多特别多的美白精华在里面，滑滑的感觉出差的时候晚上做了面膜，又补水又美白，两全其美不过还只用了一片，效果不好说，用多了看吧	【柔嫩焕亮】珍珠蛋白面膜
****j	1	5	这个面膜已经回购N次了，很好用，蓝色补水，黄色是美白的，这次试试这款紫色的，提亮紧肤的，试过再来追评。	【紧致滋养】珍珠蛋白面膜
****5	1	5	我用这个牌子已经用了很久了，但是这个新的产品是第一次买，最近晒得比较厉害，有点黑，所以呢，急需要用美白的面膜，面膜用的还不错，里面的液体非常多敷在脸上也非常润泽了。	【柔嫩焕亮】珍珠蛋白面膜
f***0	1	5	老牌子面膜，现在越来越便宜了。一下子屯了好多，有活动的时候买绝对超值。感觉特别多特别多的美白精华在里面，滑滑的感觉。出差的时候晚上做了面膜，又补水又美白，两全其美。	【焕亮紧致】珍珠蛋白面膜
****0	0	5	买了好多东西京东下单超级快今天下单明天到赶上做活动简直划算到家了还送了好多赠品物美价廉值得推荐	【柔嫩焕亮】珍珠蛋白面膜
s***0	0	5	非常棒的面膜，性价比很高，保湿水润非常舒服，睡前敷上一片非常好，很适合干燥的皮肤。	【焕亮紧致】珍珠蛋白面膜
****m	1	5	真的太喜欢美迪惠尔了晒后用上一片淡淡的香味闻着就安心面膜纸不薄不厚刚刚好精华液也多而不粘腻趁着活动多买几盒囤着划算	【柔嫩焕亮】珍珠蛋白面膜
A***头	0	5	感觉还不错，用完水水的刚用了一次，双十一价格很便宜。补水的有防伪其他的好像没有。	【焕亮紧致】珍珠蛋白面膜
****4	1	5	质量不错，精华挺多的使用感受使用后脸蛋很光滑，很嫩适合肤质适合所有肌肤补水效果补水效果不错	【柔嫩焕亮】珍珠蛋白面膜
银***簇	1	5	这款美迪惠尔面膜无论是包装还是产品都是非常不错的。面膜是带有美白成分，效果显著。补水效果非常不错。已经回购了几次。京东商城购物优惠多多，价格便宜。	【紧致滋养】珍珠蛋白面膜
u***t	1	5	物流速度很快，双十一买的，价格实惠，性价比比较高，一起买了四盒，不同功能，一直用这个牌子的面膜，感觉补水美白效果还可以。	【柔嫩焕亮】珍珠蛋白面膜
夏***呀	1	5	刚开始拍的时候是另外一款，结果卖家发错款了，然后觉得换太麻烦，就试了一下这个，结果一下感觉这个面膜特别好用，补水效果特别好，以后决定就用这个了	【柔嫩焕亮】珍珠蛋白面膜
n***o	1	5	无敌了赶紧买不买就亏了使用感受很爽感觉有青春了适合肤质油性干性混合性应该都可以补水效果很好补水无敌了贴合效果啪啪两下就可以很贴合其他特色物流很快价格很好京东棒棒的	【柔嫩焕亮】珍珠蛋白面膜
殇***情	1	5	东西刚收到，虽然还没有使用，但是美迪惠尔的面膜质量等各方面还是值得我们信耐的，适合任何肌肤，不会发生过敏，并且在打折买的，很划算	【柔嫩焕亮】珍珠蛋白面膜
么***个	1	5	很不错的东西，哈哈哈，确实好玩，挺高的，有点作用，变白了，变美了，皮肤也好了，简直了，完美的操作，你可以来一波，哈哈哈哈，确实很不错	【柔嫩焕亮】珍珠蛋白面膜
黑***1	1	5	看着不错，活动的时候买的，价格实惠，买了很多很多，这个还没用，好长时间不用买面膜了，非常值得，京东物流还是表扬一下很快滴，加油。	【焕亮紧致】珍珠蛋白面膜
t***8	1	5	京东物流很方便，下单很快就能到，买的盒元，一起片，可以用一个来月了。最开始用这个品牌是早很多年去韩国旅游的时候带回来的，感觉那时候买比现在贵很多	【焕亮紧致】珍珠蛋白面膜
l***g	0	5	经常使用面膜，对皮肤也好，这款牌子很不错，对皮肤无刺激，很好	【焕亮紧致】珍珠蛋白面膜
上***0	1	5	收到啦，一直再用该品牌的面膜，很好用之前用补水的，这次看朋友推荐，她用起来效果不错，就买来试试啦会使用一段时间再来追评的	【紧致滋养】珍珠蛋白面膜
c***n	1	5	这个第一次用，面膜纸比较厚实，牛奶质地的精华液。感觉很不错的	【柔嫩焕亮】珍珠蛋白面膜
****8	1	5	活动买的，一口气买了很多面膜，慢慢来用，真的很不错哦，反正护肤是要坚持下去的，一个星期用两三次，补水效果还不错	【柔嫩焕亮】珍珠蛋白面膜
****5	0	5	京东做活动凑单一起买了试试，买了才发现是片，效果挺不错的，补水也很好，一个星期敷几次面膜皮肤也好好的，价格也不贵，第一次用这款，挺好	【柔嫩焕亮】珍珠蛋白面膜
璧***穹	1	5	已经收到了宝贝，东西很不错，很好用的，使用效果很好，已经多次购买了，在京东购买放心。	【焕亮紧致】珍珠蛋白面膜
b***w	1	5	新款新包装，没有使用过这款。mediheal真的是进口的，包装精美，印刷清晰。虽然一盒只有个，但依然惊喜。每年这个时候只买面膜，把一年甚至是两年的都囤好。mediheal的面膜布很厚，很有质感，美容液足，珍珠美白，水润保湿，很香很柔。	
暗***落	1	5	作为美迪惠尔的忠实粉丝，很喜欢新出的这两款乳液面膜，适合岁以上的男孩子女孩子使用，营养抗皱，很不错。	【柔嫩焕亮】珍珠蛋白面膜
