user_name	is_plus	star_num	comment	commodity_type
****l	0	1	包装这个样子，我也服了	【热销爆款】水润保湿面膜
u***k	0	1	包装简陋，盒子都压扁了	水润保湿面膜10片
o***p	0	1	压成这个样子，我也是醉了。	水润保湿面膜10片
****r	0	1	这盒子都是坏的为点儿啥	水润保湿面膜10片
骑***环	0	1	拿来都烂完了，包装全部烂完	水润保湿面膜
****z	0	1	本商品寄过来无包装，零散装	水润保湿面膜10片
****j	1	1	刚拿到就降价了，表示不满意	水润保湿面膜
****9	1	1	没收到货，却已签收，什么情况	水润保湿面膜10片
惠***猫	1	1	标着元盒，但只寄了一盒	【热销爆款】水润保湿面膜
****m	0	1	两盒的包装盒都是被拆开过的	水润保湿面膜10片
****a	0	1	产品还不错，但是包装盒是坏的	水润保湿面膜10片
空***喜	1	1	不像是正品的面膜，质量有点次。	水润保湿面膜10片
****6	1	1	就这样寄给我了，擅自就给打开	水润保湿面膜
s***1	1	1	里面包装被压的不成样子了	水润保湿面膜
u***2	0	1	包装都坏了，也没有送货上门	水润保湿面膜10片
****粉	1	1	物流不给力，发过来给弄丢了一件	水润保湿面膜10片
u***x	0	1	我买的跟之前的不一样，不是正品	水润保湿面膜
****r	1	1	跟以前买的不一样了，奇怪	水润保湿面膜
Q***5	0	1	我都不想说，真的是够了	水润保湿面膜10片
苦***呆	0	1	买了就降价还不能补差价	水润保湿面膜
_***妖	1	1	买了就降价，还不支持价格保护	【热销爆款】水润保湿面膜
****b	1	1	刚买回来没用就降价啦	【热销爆款】水润保湿面膜10片
****f	0	1	没有之前用的品质好了	水润保湿面膜
a***9	0	1	包装外壳明显受损，物流不给力	水润保湿面膜10片
x***0	1	1	用过的最不好用的面膜	水润保湿面膜
****b	0	1	用完之后，明显觉得是假的	水润保湿面膜10片
****a	0	1	昨天买的，今天降价，你是认真的吗	【热销爆款】水润保湿面膜10片
****x	0	1	我只想说是假的根本不是正品	水润保湿面膜
s***Z	0	1	面膜不是特别好用，	水润保湿面膜10片
汤***福	0	1	一点效果都没有，差差差	水润保湿面膜
****B	0	1	跟从韩国买的不一样，感觉不是正品	水润保湿面膜10片
1***p	1	1	凑合没有想象中那么好	水润保湿面膜
创***靈	0	1	感觉一般，价格还贵不好	水润保湿面膜10片
s***4	0	1	我是买的，怎么现在，我也是醉了	水润保湿面膜10片
****s	0	1	这真的是正品么盒子都是破的	水润保湿面膜10片
l***3	1	1	肯定是假的，和之前买过的差距太大	水润保湿面膜
****j	0	1	这是怎么回事，刚收到全部是这样子	水润保湿面膜
****u	0	1	售后服务差不拿顾客的时间当回事	水润保湿面膜10片
****c	0	1	不是说买三盒有送赠送吗	【热销爆款】水润保湿面膜10片
****k	0	1	一点也不好用，感觉是假的	水润保湿面膜10片
****m	0	1	一点都不补水怎么回事呢	水润保湿面膜10片
****k	0	1	用过起了好多闭合粉刺	水润保湿面膜
j***A	0	1	刚买完就降价啊合适吗	水润保湿面膜10片
u***c	0	1	两盒没密封，一盒已经损坏	水润保湿面膜
****n	0	1	还没用过，不知道好不好用	水润保湿面膜10片
三***a	0	1	满减活动总是变来变去，又不补差价，	水润保湿面膜
C***n	0	1	不好用，还那么贵，假的吧	水润保湿面膜
****l	0	1	包装过于简陋，让我质疑产品可靠性	水润保湿面膜
1***p	1	1	刚买完到屈臣氏一看一样的东西块	水润保湿面膜
****f	0	1	不好用，没有评价那么好吗	水润保湿面膜10片
u***b	0	1	您没有填写内容，默认好评	水润保湿面膜10片
H***g	0	1	您没有填写内容，默认好评	水润保湿面膜10片
Y***乀	0	1	假的跟以前用的不一样	水润保湿面膜10片
w***k	1	1	速度很给力，就是包装有点不理想	水润保湿面膜10片
****b	0	1	这面膜设计的大脸专用吧	水润保湿面膜
u***j	0	1	您没有填写内容，默认好评	水润保湿面膜
****I	0	1	您没有填写内容，默认好评	水润保湿面膜
