user_name	is_plus	star_num	comment	commodity_type
刘***1	1	1	刚买完降价一半多呵呵呵	美白黑炭面膜10片
我***啊	0	1	货都没收到。直接没了。	美白黑炭面膜10片
****t	0	1	坑货，比其他网站都贵多了	美白黑炭面膜10片
i***o	1	1	包装都碎了，还好商品没坏	美白黑炭面膜
公***堪	0	1	快递能不能在慢一些，我也是醉了	美白黑炭面膜10片
****u	0	1	盒子直接是破的，包装直接醉了	美白黑炭面膜10片
苦***呆	0	1	买了就降价还不能补差价	美白黑炭面膜
_***妖	1	1	买了就降价，还不支持价格保护	【焕白因子】美白保湿黑面膜
****a	0	1	没面膜小的可怜，质量差	美白黑炭面膜10片
k***y	1	1	买三次了，都是刚买完就降价，服气	美白黑炭面膜
落***恒	0	1	我老婆说效果不怎么好	美白黑炭面膜
****j	0	1	为什么包装都是已经被打开了的	美白黑炭面膜
****9	0	1	和之前韩国买的差别大了后悔买了	美白黑炭面膜
1***p	1	1	买完就降价，跟不值钱的裤腰带一样	美白黑炭面膜
1***n	1	1	盒子口都开了，懒得多说	美白黑炭面膜
曾***悔	0	1	包装有多不好就不好这辈子不买了	美白黑炭面膜10片
t***R	0	1	昨天刚买今天就降价了	【焕白因子】美白保湿黑面膜
****w	0	1	包装差，面膜一片片散在一个袋子里。	美白黑炭面膜
u***c	0	1	有点干好像放了很长时间了	美白黑炭面膜10片
X***全	1	1	相当烂的包装跟地摊上的一样平差	美白黑炭面膜10片
****f	0	1	盒子感觉被拆过，还自营的，没信任了	美白黑炭面膜10片
K***k	0	1	您没有填写内容，默认好评	美白黑炭面膜10片
K***k	0	1	您没有填写内容，默认好评	美白黑炭面膜10片
唯***施	0	1	用着刺疼不知道怎么回事	美白黑炭面膜
本***8	0	1	这包装，看了我都不敢用	美白黑炭面膜
穷***o	0	1	拆开包裹包装盒开了一星不能多了	美白黑炭面膜
那***叶	0	1	商品包装是坏的，应该是散货装的	美白黑炭面膜
李***玉	0	1	，面膜还可以，包装差	美白黑炭面膜10片
u***c	0	1	用了一段时间，脸上起痘痘。	美白黑炭面膜
N***w	0	1	面膜不错，就是包装太简陋	美白黑炭面膜10片
a***i	0	1	美白没看到，补水还可以吧	美白黑炭面膜10片
a***7	0	1	刚收到货的样子，没有封口	美白黑炭面膜
****k	1	1	物流差漏发件，迟迟不解决	美白黑炭面膜10片
d***a	0	1	精华跟水一样，不知道真假	美白黑炭面膜
****x	0	1	假货，里面只有一层，和以前买的不一样	【焕白因子】美白保湿黑面膜
