user_name	is_plus	star_num	comment	commodity_type
****k	0	1	包装粗糙，物流态度挺好	毛孔紧致黑炭面膜10片
1***y	0	1	东西送到，包装都是破的	毛孔紧致黑炭面膜10片
k***3	1	1	未收到货物，系统却显示已收到	毛孔紧致黑炭面膜
l***7	1	1	包装压坏，怕不是退货的东西吧	毛孔紧致黑炭面膜
买***钱	0	1	都没拿到货系统就显示完成了	毛孔紧致黑炭面膜
国***硕	0	1	里面只有片在也不会买这家了	毛孔紧致黑炭面膜10片
****g	0	1	不好用，一次失败的网购	毛孔紧致黑炭面膜
****l	0	1	包装全是打开的，是凑的货吗	毛孔紧致黑炭面膜
T***8	0	1	哪里买面膜都是已经开封了的啊	毛孔紧致黑炭面膜
****5	0	1	包装真差，到手里外包装都坏了	毛孔紧致黑炭面膜10片
苦***呆	0	1	买了就降价还不能补差价	毛孔紧致黑炭面膜
_***妖	1	1	买了就降价，还不支持价格保护	【紧致细腻】毛孔紧致黑面膜
****f	0	1	觉着跟以前的不一样了	毛孔紧致黑炭面膜
P***i	0	1	到货很快，但包装也太随便了吧	毛孔紧致黑炭面膜10片
****D	1	1	盒子是破的快递外包装也是破的	毛孔紧致黑炭面膜10片
落***恒	0	1	我老婆说效果不怎么好	毛孔紧致黑炭面膜
****7	0	1	买了两盒，一盒是假的，一盒是真的	毛孔紧致黑炭面膜10片
****0	0	1	包装破损，客服没有回应	【紧致细腻】毛孔紧致黑面膜
u***h	0	1	怎么那样的包装，可以改改包装不	毛孔紧致黑炭面膜
s***1	1	1	真不敢相信这是京东自营的快递	毛孔紧致黑炭面膜
****5	0	1	您没有填写内容，默认好评	毛孔紧致黑炭面膜
****N	0	1	回来包装盒是开着的，感觉买了假货	毛孔紧致黑炭面膜
u***6	0	1	这包装我也是醉了，包装纸都没有，	毛孔紧致黑炭面膜10片
N***w	0	1	面膜不错，就是包装太简陋	毛孔紧致黑炭面膜10片
****x	0	1	假货，里面只有一层，和以前买的不一样	【紧致细腻】毛孔紧致黑面膜
1***5	1	1	这么多次京东第一次遇到这种	【紧致细腻】毛孔紧致黑面膜
****8	0	1	没打扮，到货盒子都是破的。	毛孔紧致黑炭面膜10片
萌***1	0	1	我用了过敏，怀疑是否正品	毛孔紧致黑炭面膜
u***8	0	1	看看这盒子，什么都不想说	毛孔紧致黑炭面膜
u***e	0	1	包装没密封，已经是打开的。	【紧致细腻】毛孔紧致黑面膜
韩***帅	1	1	不好就是不好不行就是不行	毛孔紧致黑炭面膜10片
健***虑	0	1	用的不咋样，还有点小贵，别买	毛孔紧致黑炭面膜
g***3	0	1	被人拆过嘛，请问，里面两盒都是打开的	毛孔紧致黑炭面膜
u***k	0	1	拆开箱子就是这样，是正品吗	【紧致细腻】毛孔紧致黑面膜
z***3	0	1	脸上用了后闷出痘痘不适合	毛孔紧致黑炭面膜10片
海***4	1	1	不知道是不是真的，没有扫到码	毛孔紧致黑炭面膜10片
****b	0	1	大家自己看送过来是这样的	毛孔紧致黑炭面膜10片
u***l	0	1	到家盒子坏了，面膜贴有个坏	毛孔紧致黑炭面膜
b***6	1	1	寄过来乱七八糟。就不能好好包装一下吗	毛孔紧致黑炭面膜10片
u***i	0	1	收到就是开封的，封口贴也没有	毛孔紧致黑炭面膜
k***t	0	1	不好，没有补水效果，不值得买	毛孔紧致黑炭面膜10片
****1	0	1	产品包装都破了，感觉是被人拆开了	【紧致细腻】毛孔紧致黑面膜
h***k	0	1	您没有填写内容，默认好评	【紧致细腻】毛孔紧致黑面膜
V***1	0	1	看看这包装，这烂的，真想退货，亲们慎买	毛孔紧致黑炭面膜10片
北***丶	0	1	半张脸的吗眼皮上也没	毛孔紧致黑炭面膜10片
宠***馨	0	1	感觉像假货，每次用第二天都会爆痘，	毛孔紧致黑炭面膜10片
****4	0	1	跟上次买的不一样，不如上次正规，感觉假货	毛孔紧致黑炭面膜
尛***陆	1	1	这面膜包装确实不敢恭维，应该被打开过的	毛孔紧致黑炭面膜
u***k	0	1	拿到时外包装盒都坏了	毛孔紧致黑炭面膜10片
王***2	1	1	货到的时候盒子都坏了	毛孔紧致黑炭面膜10片
r***0	0	1	假货，鉴定完毕。退货还要自掏运费。	【紧致细腻】毛孔紧致黑面膜
****9	0	1	盒子都破了，感觉像假的	毛孔紧致黑炭面膜
o***F	0	1	包装盒都烂了还少了几片	【紧致肌肤】毛孔紧致黑面膜
百***傑	1	1	买了之后就搞活动，亏死了	毛孔紧致黑炭面膜10片
****O	0	1	盒子被拆过了是怎么回事	毛孔紧致黑炭面膜10片
刘***1	1	1	刚买完降价一半多呵呵呵	毛孔紧致黑炭面膜10片
我***冰	0	1	假的跟我在韩国买的不一样	毛孔紧致黑炭面膜10片
u***o	0	1	包装上居然有重贴的条码	【紧致细腻】毛孔紧致黑面膜
****k	0	1	价格贵了，用了两天，没什么感觉。	毛孔紧致黑炭面膜10片
想***海	0	1	这款不喜欢。不好用不服贴	毛孔紧致黑炭面膜10片
j***i	1	1	包装已经拆过了，拆过了干嘛还要打包进去呢	毛孔紧致黑炭面膜10片
****4	0	1	试了下，没有在实体店买的效果好	毛孔紧致黑炭面膜10片
****d	0	1	觉得没有什么效果，好像是假的。	毛孔紧致黑炭面膜10片
u***f	0	1	完全没有效果，买多了用不完	毛孔紧致黑炭面膜
****2	0	1	绝对不起正品，京东自营，伤心	毛孔紧致黑炭面膜10片
u***9	0	1	不敢要了都，这属于拆了包装的还是没有拆的	
V***u	1	1	我能说这是假的吗什么效果都没有	毛孔紧致黑炭面膜10片
那***叶	0	1	被开过，打开时盒子就是坏的，应该是补的散货	毛孔紧致黑炭面膜
桃***棉	0	1	我可能买了假面膜，用了会有蛰痛感	毛孔紧致黑炭面膜10片
关***7	0	1	真假不知道，反正送来的时候是已经打开过得	毛孔紧致黑炭面膜10片
****d	0	1	不好用，还有一股怪味儿	毛孔紧致黑炭面膜
u***r	1	1	这难道是现场给我打包的吗怎么还是开口的	毛孔紧致黑炭面膜
****1	0	1	包装都是坏的产品能好到哪去	毛孔紧致黑炭面膜10片
阳***_	0	1	收到货无包装还是已经打开的	【紧致肌肤】毛孔紧致黑面膜
****c	0	1	商品差点意思，对不住这个价格	毛孔紧致黑炭面膜10片
****d	0	1	盒子拆开了，收到就这样了，如何相信是正品	毛孔紧致黑炭面膜10片
****1	0	1	根本不是正品，扫码都没有显示，	毛孔紧致黑炭面膜10片
p***u	0	1	感觉不满意，跟我在韩国买的差别太大	毛孔紧致黑炭面膜10片
h***6	1	1	盒子都是开的，是不是真品啊	毛孔紧致黑炭面膜10片
****Y	0	1	用了三年十几种面膜你家是我唯一用了过敏的	毛孔紧致黑炭面膜10片
萍***卫	1	1	面膜面居然有头发，不愧是大品牌。	毛孔紧致黑炭面膜10片
糖***呀	1	1	号买的就降价了，还不价保	【紧致肌肤】毛孔紧致黑面膜
****i	0	1	打开包装是这样的，连封口都没有	【紧致肌肤】毛孔紧致黑面膜
l***0	0	1	跟韩国买的用着效果不一样，长痘了	毛孔紧致黑炭面膜10片
