user_name	is_plus	star_num	comment	commodity_type
笑***3	1	1	不好，不会再回购，会过敏	新品【焕亮肤色】维C安瓶面膜
****2	1	1	没啥效果，就是一个便宜	【维C透亮】维他命安瓶面膜
你***回	0	1	这是别人的退货吗都不检查就发給下一家	新品【焕亮肤色】维C安瓶面膜
a***2	1	1	用过得二次销售，或者是问题商品。	新品【焕亮肤色】维C安瓶面膜
g***1	1	1	没有任何效果，和我以前买的相差太远了	新品【焕亮肤色】维C安瓶面膜
u***h	0	1	这是我刚买的从快递驿站刚拿出来的样子，直接破烂不堪。	
暗***e	0	1	不服帖而且营养液比较少，包装还皱巴巴的	新品【焕亮肤色】维C安瓶面膜
犯***虫	1	1	没有大家说的那么好，	新品【焕亮肤色】维C安瓶面膜
e***9	1	1	外包装箱揉成这个鬼样子，里面的东西也搞成这个鬼样子，盒子变形就算了，一盒面膜底部都撕裂了是个什么意思开了会员一直买这个面膜的老顾客就该这个待遇	新品【焕亮肤色】维C安瓶面膜
****x	0	1	前天买昨天到今天降价申请价格保护也不会弄昨天试了一贴面膜不是特别服帖老有气泡赶不走	【焕亮肤色】维他命安瓶面膜
q***i	0	1	打开脏兮兮的，图二手摸上去都是灰尘，顺间怒火虽是外包装但就可以不注重了吗自毁品牌形象	新品【焕亮肤色】维C安瓶面膜
****z	0	1	只贴了一张睡一觉起来就这样了看图说话吧不想过多说了联系客服不退不换只能扔掉了	【焕亮肤色】维他命安瓶面膜
****3	0	1	能告诉我这个是什么么我就刚刚敷完面膜揭下来之后没有立马洗脸呆了有十来分钟然后去洗脸的时候就发现脸上好多这种白白的东西不是纸遇水也没有化这是什么东西不敢用了	新品【焕亮肤色】维C安瓶面膜
独***l	0	1	知道为啥这么多差评了包装膜都没了	新品【焕亮肤色】维C安瓶面膜
吓***蒙	0	1	快递非常快，打开连礼品袋都没有，失望	新品【焕亮肤色】维C安瓶面膜
****p	0	1	买了才几天，商品便宜了，真是无语的，说保价期间已过	新品【焕亮肤色】维C安瓶面膜
1***p	0	1	服务很差，面膜的盒子上有灰	新品【焕亮肤色】维C安瓶面膜
****r	0	1	刚收到快递，包装破损严重，太垃圾了，	【焕亮肤色】维他命安瓶面膜
****b	0	1	太垃圾了，面膜比较硬，又干	新品【焕亮肤色】维C安瓶面膜
美***糸	0	1	差评，一直用的这个面膜，这次快递过来包装非常差，	新品【焕亮肤色】维C安瓶面膜
****e	0	1	没有防伪标，前两天买了盒，也是活动，刚收到货就降价了几十块，差评	新品【焕亮肤色】维C安瓶面膜
****0	1	1	很差很小根本不能覆盖整个脸	新品【焕亮肤色】维C安瓶面膜
w***1	1	1	最近快递员都没给送货过来，也没电话联系就直接操作本人签收，京东自营派送越来越差劲了	新品【焕亮肤色】维C安瓶面膜
小***咪	1	1	以后再也不会买京东返卡的东西了，买的时候说天返卡，天了还没返到位，又跟我说天内返。简直是一个天上一个地下	【焕亮肤色】维他命安瓶面膜
S***y	0	1	取出快递，就是敞开的，面膜，往脸上敷的，疫情这么严重，这怎么让人放心	【焕亮肤色】维他命安瓶面膜
G***a	0	1	一般般，面膜大小竟然不能覆盖全脸，我的脸已经很小了	【焕亮肤色】维他命安瓶面膜
****3	1	1	购物最差的一次我也不知道这个面膜怎么做的打开一个面膜就有一根头发丝第二个一根头发丝加两根眼睫毛我就想知道做面膜是要把脸放进去套膜吗差评差评差评	新品【焕亮肤色】维C安瓶面膜
****g	0	1	我用了一次整个脸发痒，第二天满脸都是逗，以为我不适合就送给朋友用，昨天晚上朋友用了，早上满脸都发炎了，这是我在京东购买最差的一次面膜	新品【焕亮肤色】维C安瓶面膜
****5	1	1	也不晓得这么多好评怎么来的，无语惨了，一次性买了这么多，一点用都没	【焕亮肤色】维他命安瓶面膜
