user_name	is_plus	star_num	comment	commodity_type
****l	0	1	是正品吗，封口处把不明物封进去了	茶树面膜10片
****j	1	1	产品不错，配送员态度太差	【缓解痘痘】茶树面膜
****a	1	1	总感觉面膜的香味好奇怪	茶树面膜10片
****h	0	1	买哪个别买这个还不如两块钱的面膜	茶树面膜10片
****r	1	1	快递包装简陋，里面的包装盒都破损了	茶树面膜10片
****h	1	1	商品包装不到位配送慢	茶树面膜10片
****p	0	1	这个扫不出条形码怀疑是假货	茶树面膜10片
f***N	1	1	包装都坏了，我也是服了	茶树面膜10片
u***1	0	1	假的，和以前买的根本不一样，便宜没好货	茶树面膜
u***8	0	1	包装被打开了是怎么回事	茶树面膜10片
w***1	0	1	包装差劲，感觉不是正品	茶树面膜10片
u***6	0	1	用了十几片，没什么效果，跟往常一样	【缓解痘痘】茶树面膜
s***5	1	1	在了三个，二个盒子是被打开的	【镇定肌肤】茶树面膜
****d	0	1	物流很快，但包装居然是打开	茶树面膜10片
u***v	0	1	用了不吸收建议不要买	茶树面膜10片
****B	0	1	用过之后脸长好多闭口	【镇定肌肤】茶树面膜
m***a	0	1	没有一点精华，干得不得了	【缓解痘痘】茶树面膜
****f	0	1	效果不咋的，下次不会买了	茶树面膜10片
u***o	0	1	收到就开了口，别人的退货吗	茶树面膜10片
沉***吸	1	1	包装都是开的不清楚是不是被调包了	茶树面膜
蓝***4	1	1	用着不舒服，没有任何效果	茶树面膜10片
l***0	0	1	用了一段时间，没有任何作用	茶树面膜
史***5	0	1	不好面膜拿出来的时候有一半是干的	茶树面膜
****a	0	1	买了四盒就一盒能扫到码的	茶树面膜10片
c***s	0	1	盒子都破了，也不知道真假，反正用了。	
u***h	1	1	感觉是假的里面液体少的可怜	茶树面膜10片
****9	0	1	这个品牌一直用来，挺好的，就包装很烂	茶树面膜10片
林***5	0	1	不好用，几乎没效果，怀疑是假的	【镇定肌肤】茶树面膜
A***i	0	1	不仅没用而且不减反增	茶树面膜
K***活	0	1	期待效果喽貌似不错。就是盒子被人打开过	茶树面膜10片
严***大	0	1	怀疑是假货，没扫出条形码	【镇定肌肤】茶树面膜
****0	1	1	别买这个版本的，用完脸刺激发红	【镇定肌肤】茶树面膜
h***v	0	1	绿色的包装盒，烂了，其他三个完好	【调理水油平衡】茶树面膜
拥***哪	1	1	面膜纸上有的地方没有面膜液，都是干的	【缓解痘痘】茶树面膜
x***7	0	1	这款是正品，可是另一款蓝色包装的怎么是假货呢	茶树面膜10片
十***l	0	1	哪里有你们说的那么好，没什么效果	茶树面膜10片
L***-	1	1	用完后脸上开始冒痘，涨了一片	【镇定肌肤】茶树面膜
飘***2	1	1	没给增品，元件，也不说清楚要买盒一样的，算了懒得退	【镇定祛痘】茶树面膜
糖***咪	1	1	里面的精油特别少，面膜特别干	【缓解痘痘】茶树面膜
u***5	0	1	没什么效果。大家散了吧	控油战痘茶树面膜25ml*10
****N	0	1	买四个，没一个是完整的	【调理水油平衡】茶树面膜
j***n	0	1	价格还是原价但是买四保价都没办法，不高兴没空退就这吧	茶树面膜
****4	0	1	再也不买，一点精华都没有	【调理水油平衡】茶树面膜
u***x	0	1	东西收到了扫不出码来不知道真假	茶树面膜10片
****m	0	1	第一次买，包装烂了着实不高兴希望用的好吧	【镇定肌肤】茶树面膜
****3	0	1	收到包装全是打开的，外包装又黄又旧，不知道是否是正品	茶树面膜
任***飞	1	1	才买了几天活动降价，让我这个一次性买了一堆的人情何以堪	【缓解痘痘】茶树面膜
****t	1	1	基本上每盒都被开封过，封口处透明胶还有手印	【镇定祛痘】茶树面膜
u***l	0	1	我感觉没有以前的好用膜布就是不一样	【镇定肌肤】茶树面膜
****9	1	1	不知道从哪拿出来的货，连封口贴都没有。	【调理水油平衡】茶树面膜
u***w	0	1	假的用了两片不敢用了苏小红买的都不一样	茶树面膜10片
海***空	0	1	京东要倒闭了吗，随便用塑料袋子装，东西都压成什么样了。	茶树面膜10片
u***q	0	1	是从破烂堆里捡出来的么，刘看到了是不是要发飙的。	茶树面膜10片
s***拍	0	1	很干，里面精华很少，和之前买的不一样	【缓解痘痘】茶树面膜
u***1	0	1	盒子烂的要死连个盒子也不给东西不好用	控油战痘茶树面膜25ml*10
东***凉	0	1	刚收到快递打开就是坏的，不知道是不是正品，还没用	【缓解痘痘】茶树面膜
****v	0	1	包装盒怎么这样破，胶带封口被打开过，各位亲你们自己看吧，那些好评都从那来的。差	茶树面膜10片
u***u	1	1	绿色的这盒外盒没有整盒勿撕和中文标示的标签，怎么回事	控油战痘茶树面膜25ml*10
****6	0	1	破烂包装，破烂物流。	茶树面膜10片
****v	0	1	商品外包装被撕毁，难道我不该担心商品的真伪吗	【水油平衡】茶树面膜
姜***睡	0	1	脸部屏障不能用越用脸部越红	【水油平衡】茶树面膜
****f	0	1	包装破损严重，面膜里面精华也少，不好用	【缓解痘痘】茶树面膜
E***6	0	1	二维码贴了两层，感觉有猫腻，不知道是真是假	茶树面膜10片
小***货	1	1	敷了五次，痘痘反而越来越多，还买了两盒，估计都要扔了。	茶树面膜
M***气	0	1	应该是假的吧，有难闻的味道，一丁点效果也没	茶树面膜10片
u***s	0	1	玩意，毛的用没有	茶树面膜10片
****p	0	1	不知道得这么好，我用了脸上长痘痘不敢用	茶树面膜10片
傻***的	1	1	感觉没什么作用，和说明上的效果完全没有体现	茶树面膜10片
****Z	0	1	收到面膜包装是开这的，懒得退了，和之前买的也不一样，假货。	【镇定肌肤】茶树面膜
****d	0	1	包装实在让人失望，产品里面还可以，但是给人的第一印象就不好，一般般	茶树面膜10片
B***D	0	1	感这次买到货，额头都盖不到，味道也怪怪的	茶树面膜10片
****k	0	1	东西还没用不知道怎么样可这包装都烂了挺影响心情的一拿面膜都掉到快递袋子里了	茶树面膜
颖***3	1	1	贴合效果不好面膜残缺不完整	【缓解痘痘】茶树面膜
蚂***_	1	1	为什么补水的那个效果很好，这个根本没什么效果	茶树面膜10片
莫***e	0	1	十分不好用，面膜纸歪七扭八的，以前买的都不这样。	茶树面膜10片
****4	0	1	就是个假面膜，用上没任何效果。还没国产用的效果好，	茶树面膜
****d	0	1	感觉不怎么样，面膜有点粗糙精华也不是很多	【缓解痘痘】茶树面膜
****4	1	1	买了两包面膜，一包没事，这包面膜挤压的都变形了，双十一都不容易，凑活用吧	茶树面膜10片
****s	0	1	前天买的今天就便宜三十多，保价保不了，包装破烂，像是被拆封过的	【镇定肌肤】茶树面膜
君***K	1	1	包装也是烂到了极致，感觉像放了n久的库存蓝色那盒连封口都没有	茶树面膜10片
****x	0	1	过敏，精华水格外的少	【缓解痘痘】茶树面膜
q***4	0	1	可以说没有任何效果。	【镇定肌肤】茶树面膜
****3	0	1	，没有以前的好，打开部分都干了，下次换一家平台	茶树面膜
****o	0	1	原来一直对京东比较满意，对商品包装很到位，这次面膜居然用一个袋子一包就送来了，来了都这个样了，外包装直接挤烂了。	茶树面膜10片
****少	0	1	以前一直买的这个。哇这次你是放了多久。面膜上全是干的水都没有	茶树面膜
咳***5	1	1	面膜做的不够大众，都不够大，尤其是嘴巴	【水油平衡】茶树面膜
b***9	0	1	跟我在免税店买的不一样估计是假货买了盒都试了一下用着感觉不好	茶树面膜10片
喵***爱	0	1	感觉这次发的面膜要不就过期了要不就是假货，一点茶树味道都没有，跟我之前买的不一样呢	茶树面膜10片
****4	0	1	茶树的昨天刚用了一片，眼周旁边过敏。以前在商场里买的跟这里买的剪裁跟纸质不一样不知道真的假的	茶树面膜10片
****k	1	1	一直都是用这个，没有以前的好用了，升级了越来越不好用	【缓解痘痘】茶树面膜
****c	0	1	觉得除了配送速度确实比较快，其他都不怎么好，面膜到货的时候，盒子都破了，包装特别粗糙，联系了一下客服，就把情况说了一下，态度也不好。	茶树面膜
1***p	0	1	收到快递。面膜里面的盒子是被拆过的。感觉不会再回购了	茶树面膜10片
u***u	0	1	不要说效果了，贴的时候感觉就是面膜纸上撒一些水而已	【镇定肌肤】茶树面膜
****2	0	1	打开里边面膜的包装盒底部是有破损的，而且盒子封口处没有封住，怀疑是否正品	【缓解痘痘】茶树面膜
y***9	1	1	一收到快递就有一盒面膜是被打开的了，不知道是不是正品，不太敢用心塞，果然便宜没好货	茶树面膜10片
****h	0	1	不推荐这款绿色的，没啥精华，都几乎挤不出水，干干的	【缓解痘痘】茶树面膜
****w	0	1	为什么有盒是打开的包装看上去都不像正品	【水油平衡】茶树面膜
8***2	0	1	买了三盒，后来才发现，两盒都没有封口的标签贴，感觉顿时不好了	【镇定肌肤】茶树面膜
****W	0	1	价格刚买完就降价，目前用了一个茶树的，用完脸有点发烫。	【调理水油平衡】茶树面膜
旧***侣	1	1	没法好评收到包装也没包好，也不知道是不是正品，不好用	【镇定肌肤】茶树面膜
j***n	0	1	买了三盒，京东纸盒完好无损，茶树面膜盒包装破损且压根没有胶条封口，另有一盒封口胶条没粘住的，一言难尽既然这样的自营商品也能正常出库为什么没有负分评价体系	【镇定祛痘】茶树面膜
就***哦	1	1	不能保护好商品吗都给压瘪戳漏了。工作压力大也不能用商品出气吧	茶树面膜10片
未***然	0	1	物流很快，昨天下午买的今天早上就到了，但感觉不是正品，跟我之前买的不一样，效果选择还不知道	【缓解痘痘】茶树面膜
初***啊	0	1	搞活动确实便宜但连个外包装盒子都没有有点过分吧	【镇定舒缓】茶树面膜
****3	0	1	不知道放了多久的反正不好劝大家别买	【镇定舒缓】茶树面膜
****0	0	1	买了就降价。而且有异味，不好用	【水油平衡】茶树面膜
u***d	0	1	用这个牌子的其他的面膜还不错，不是一家店买的这个居然局部过敏了。眼都肿着	茶树面膜
1***x	0	1	收到货之后发现有两盒的盒子竟然是破的，不知道是不是真货。	【水油平衡】茶树面膜
****2	0	1	用了之后鼻头的皮肤脱皮了，不知道是不是我皮肤原因	【水油平衡】茶树面膜
****o	0	1	快递没有纸盒包装送到里面都开了，外面是湿的，面膜敷完没有效果不建议买。	茶树面膜10片
****2	1	1	面膜收到了包装居然是坏的，面膜全掉出来了，不知道里面的面膜有没有问题	茶树面膜10片
****m	0	1	，条码被覆盖，扫不出来，把它撕掉扫里面的发现价格不对，包装也不好，都压扁了	茶树面膜10片
****3	0	1	打开以后面膜是干的，里面也没啥水	【镇定舒缓】茶树面膜
莫***子	1	1	用起来很一般，面膜补水效果并不好，用了没啥感觉	【水油平衡】茶树面膜
如***讯	0	1	这次购买的面膜材料薄精华液少比之前的差多了联系客服没有回应	茶树面膜
1***p	1	1	快递小哥挺好的送的也挺快的但是感觉这次买到假货赛的面膜一打开有很大的酒精味这是怎么个意思	控油战痘茶树面膜25ml*10
l***0	1	1	包装差劲，塑封都没有	【水油平衡】茶树面膜
****3	1	1	昨天买了送来的包装盒是开的，申请换新后，送来的，包装封签也是开的，盒子二维码一扫进官网，但是里边面膜是否被换过不知道	茶树面膜10片
****6	0	1	包装不知道为什么是这样，写了勿拆，还是拆的混乱，但是昨天敷了一张暂无不好的效果，就是现在脸有点痒	
****u	0	1	买来就敷了一片，真的差，跟块粗糙的布一样，就是上面有点水而已，而且面膜的形状跟脸不怎么贴合	【镇定肌肤】茶树面膜
c***y	0	1	很大一股酒精的味道，里面的面膜包装也是坏的用了完全没效果，不好用不是正品里面的包装破了	茶树面膜10片
****l	0	1	刚收到快递，快递很快，但发现面膜有一盒是拆过的，外面封的胶带没了，不知道什么情况	【缓解痘痘】茶树面膜
雪***2	0	1	这是我买的最不好用的面膜了，干的贴不上，总是掉补水效果面膜贴上去秒干掉下来	【缓解痘痘】茶树面膜
满***儿	1	1	就想知道为什么盒面膜有盒底部是被打开跟被打开过的	
蓝***猪	0	1	快递收到了。打开快递，里面的面膜都是被拆开的。就那个保湿的，有胶带封口，其他的都没有，而且还是被拆开的。	【镇定肌肤】茶树面膜
