user_name	is_plus	star_num	comment	commodity_type
宇***0	0	1	盒子都烂了不知道是不是真的	【焕亮紧致】珍珠蛋白面膜
u***q	0	1	也好像被踩扁的一样，盒子包装已经完全坏掉了。	【柔嫩焕亮】珍珠蛋白面膜
****f	0	1	。确定是正品吗面膜用了没有什么效果，脸还过敏了	【焕亮紧致】珍珠蛋白面膜
****q	0	1	不好用，太厚了，巴着脸难受	【柔嫩焕亮】珍珠蛋白面膜
K***3	0	1	这包装盒简直了小作坊出品么	【柔嫩焕亮】珍珠蛋白面膜
F***5	1	1	这个面膜纸太厚了，确实太厚了，非常的不好用就是不太建议。	【柔嫩焕亮】珍珠蛋白面膜
u***z	0	1	收到用了，一帖补水的，效果真是一点没有，精华少的可怜，怎么补水，用完脸有一点刺痛的感觉，刚刚贴完	【柔嫩焕亮】珍珠蛋白面膜
3***m	0	1	被打开过，都怀疑是不是被别人退回来的，其他三个盒子都被压扁了，外相很难看	【柔嫩焕亮】珍珠蛋白面膜
昨***风	1	1	一口气评价两个，距离上次不适过了一周吧，也就是前天我换这款款面膜贴，也是贴一张，然后脸部昨天到今天都红红的，痒痒的，又爆痘，而且感觉毛孔都变大了。贴完我就洗脸了，还是那句话，不知道是我的问题，还是面膜的问题，总之剩下的丢掉了，不会再回购了。	【柔嫩焕亮】珍珠蛋白面膜
七***_	0	1	用了以后会起闷痘从不长痘的干皮肤都能起闷痘慎拍	【焕亮紧致】珍珠蛋白面膜
流***觞	0	1	这个紫色的巨难用	【焕亮紧致】珍珠蛋白面膜
1***p	0	1	被压成这样，	【柔嫩焕亮】珍珠蛋白面膜
犯***虫	1	1	不好用	【柔嫩焕亮】珍珠蛋白面膜
星***然	1	1	差	【焕亮紧致】珍珠蛋白面膜
u***x	1	1	此用户未及时填写评价内容	【焕亮紧致】珍珠蛋白面膜
