user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
****y	1	3	不太湿润没啥效果，不值这个价钱	【紧致细腻】毛孔紧致黑面膜	4	1
h***4	1	3	味道很奇怪的面膜，可能是不太习惯茶树的味道	茶树面膜10片	8	1
M***j	1	3	活动买了很多款，各好几盒，每款精华液都很多，但每次敷完面膜都感觉鼻子很干燥，可能不适合我的皮肤，物流一如既往的给力。	【改善暗沉】维生素面膜	7	1
皮***n	0	2	寄来都这样了，差	【紧致肌肤】毛孔紧致黑面膜	4	1
****e	0	3	等用后再来点评吧	【改善暗沉亮肤】维生素面膜	7	1
****d	0	3	感觉面膜太干了，是不是时长有点长了	【弹力紧致】胶原蛋白面膜	2	1
****e	0	3	有点贵，朋友说可能不是正品	水润保湿面膜	1	1
冰***狐	1	3	这一款用完保湿和美白都没有什么效果的感觉	维生素面膜10片	7	1
楠****	0	3	有点气，不扫条形码都感觉不是正品的。，我之前敷的美迪惠尔面膜纸有一定的厚度，我不知道是不是改版了。，印象中的美迪惠尔精华是很粘稠的，根本倒不出来，但是这次却轻而易举就流出来了，太稀了。，味道有点刺鼻，之前用的味道相对来说好一点。最后，残存在脸颊上的美迪惠尔面膜精华变干后，脸颊会感觉黏黏的，但是我敷完干得挺快，而且完全不粘。有点失望	维生素面膜10片	7	1
****3	1	3	太小了，遮不住全脸	维生素面膜	7	1
布***安	1	3	不喜欢不好用没效果	维生素面膜10片	7	1
****c	0	2	不知道是不是正品，面膜纸又厚又粗糙	【提亮紧致】胶原蛋白面膜	2	1
s***1	0	3	感觉没有那么好用。吸收不是特别好	毛孔紧致黑炭面膜10片	4	1
****B	0	3	一般般，没有特别的水润。	水润保湿面膜	1	1
****2	1	3	双十一时候买的，效果不是太明显。	【改善暗沉】维生素面膜	7	1
W***G	1	3	包装回来就成这了也没有用盒子发货	毛孔紧致黑炭面膜10片	4	1
K***X	0	3	面膜居然是用袋子装的，回来之后面膜的盒子还有一点开了	毛孔紧致黑炭面膜10片	4	1
****i	0	2	吸收是很快，不过本人用了过敏。	美白黑炭面膜10片	3	1
****v	0	3	还行吧，面膜液有些少，面膜纸尺寸比较少，比较像纸质的，贴合还不错。	【透亮美肌】维生素面膜	7	1
****d	0	3	有一股味道，不知道好不好	控油战痘茶树面膜25ml*10	8	1
z***6	0	3	只有我用后没效果吗，评价却挺高的	毛孔紧致黑炭面膜10片	4	1
u***p	0	2	精华少的可怜，干巴巴的，用过最差劲的面膜	【弹力紧致】胶原蛋白面膜	2	1
要***A	1	2	精华少，面膜硬不服帖，没有口碑那么好	维生素面膜	7	1
