user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
J***尘	1	5	面膜收到了，质量很好，物流很快，物美价廉。		5	0
s***阳	1	5	不错。性价比很高。很满意。价格实惠。大品牌，值得信赖。	涂抹免洗睡眠面膜	14	0
p***b	1	5	美迪惠尔这个面膜一直用了两年了，这次碰上六盒装的，价格hin优惠，所以就囤货了一批，这个里面没有很多水，精华液比较粘稠，但是上脸补水保湿的效果非常好，第二天上妆也是非常服帖的也啊，好评好评。京东旗舰店的质量也是非常有保证的，送货也是非常快的，非常好，值得购买	【补水保湿】水润面膜	1	0
l***5	1	5	之前用过一次美迪惠尔蓝色包装的补水面膜，觉得还不错，这次双十一期间，有满减活动，价格很优惠，就再它家买了这三款面膜，多买了几盒，分给妹妹一半，已经用过蓝色的补水面膜，很好用，另外两种面膜用过后再来评价	深层补水【水润安瓶面膜】	5	0
u***y	1	5	算是比较老的牌子了，品质比较有保证使用感受油性皮肤比较爱出油，这款面膜控油效果不错，经常购买适合肤质油性皮肤，痘痘肌补水效果补水效果也不错贴合效果面膜纸略微厚点其他特色赶上京东活动是买的，价格很划算，还送了赠品，很满意。另外要说一下京东的保价服务，超赞	【镇定肌肤】茶树面膜	8	0
****ツ	1	5	搞活动买的，三个颜色当中，我觉得黑色最好用，感觉黑色比较贴脸，更加透气，容易吸收一点。在官网买的，是正品，使用后毛孔变细了，坚持每天敷一次面膜，所以我也不会买很贵的那种，像这种，实惠的，又补水就可以了，推荐大家购买	毛孔紧致黑炭面膜	4	0
D***皇	1	5	面膜敷着很舒服，有点凉凉的感觉，但不会太黏，设计符合脸型，很贴合。有美白的效果，不含荧光剂，敷完之后感觉还提亮肤色，补水保湿效果明显，可以保持比较长的时候的湿度和水分，显得清爽干净，希望多搞活动，还会再买的	【焕白因子】美白保湿黑面膜	3	0
曦***0	1	5	清清爽爽很舒服，补水效果还行	新品【透亮保湿】水润安瓶面膜	5	0
****2	1	5	质量不错包装完好发货及时高性价比，卖家服务态度也很好	深层补水【水润安瓶面膜】	5	0
****b	0	5	补水黑炭面膜水分也很多，正品质量，每次我都是想把袋子里剩余的营养液涂到脸上吸收下然后再敷上面膜，感觉真的很不错哦	美白黑炭面膜10片	3	0
小***爸	1	5	很舒服的面膜，很补水，超级的好用，物美价廉，搞活动就多买点，便宜好用，媳妇很喜欢，配合现在流行的三明治法，感觉就是不一样，京东自营的东西我还是很信赖的，用了好几年，体验还是很好的，办会员更划算，有各种福利	【改善暗沉】维生素面膜	7	0
1***7	1	5	略稠黏使用感受没有特别的感觉适合肤质混合补水效果相比普通面膜好用的多贴合效果尚可其他特色没有特别的感觉		5	0
R***都	1	5	活动时购买物美价廉，贴合效果好，老婆用着不错		10	0
****5	1	5	保湿效果很好，值得推荐的		5	0
****3	1	5	买了很多次，一直在等的活动，果然没让我失望，优惠幅度很大，囤了好几款，估计可以用到双十一去了，这个用完皮肤很光滑，补水效果杠杠的，营养液很多，可以敷敷手脚夏天放冰箱的话，敷起来效果更好，凉凉的，很舒服。	【紧致肌肤】毛孔紧致黑面膜	4	0
然***有	1	5	真的是非常的好用，天天都用，晚上用了早上用。周一用了周二用，周二用了周三用，周三用了周四用，周四用了周五用，周五用了周六还用，周六用了周日不用，因为舍不得用。高端的面膜，用了也觉得自己好高端哦	【改善暗沉亮肤】维生素面膜	7	0
刘***5	1	5	宝贝收到了，还不错，挺好的		9	0
咖***3	0	5	这一次买了好几盒面膜，囤起来，一直在京东买，很好		10	0
一***w	1	5	不错哦，发货速度快，质量也很好，会继续回购		10	0
****b	0	5	很不错，看起来高大上使用感受柔和湿滑特别滋润适合肤质敏感性肌肤，混合性皮肤补水效果特别补水保湿，弹润嫩滑贴合效果贴合度很好		4	0
****j	0	5	燕窝蛋白听起来好高大尚，满满的补充感，还没开始用。用后与你们分享感受哦。		10	0
****r	0	5	第一次买，姐姐推荐的，希望皮肤越来越好吧	涂抹免洗睡眠面膜	14	0
