user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
七***_	0	1	干皮都起闷痘了	【收缩毛孔】毛孔紧致黑面膜	4	2
c***W	0	1	和我在韩国买的不一样，难道便宜没好货	水润保湿面膜10片	1	2
****u	1	1	没什么用完第二天还是起皮	维生素面膜10片	7	2
****c	0	1	一般般，没什么性价比。精华液很少。	【光滑弹嫩】胶原蛋白面膜	2	2
****n	1	1	已经被开包，这是什么信誉。	水润保湿面膜10片	1	2
盖***卿	1	1	包装也太不负责了	毛孔紧致黑炭面膜	4	2
北***丶	0	1	半张脸的吗眼皮上也没	毛孔紧致黑炭面膜10片	4	2
1***n	1	1	盒子口都开了，懒得多说	美白黑炭面膜	3	2
1***p	1	1	刚买完到屈臣氏一看一样的东西块	水润保湿面膜	1	2
u***n	0	1	水分少，不贴服，效果差	胶原蛋白面膜	2	2
b***8	0	1	包装太差了盒子表面连保护膜都没有看着跟假的是的而且面膜的盒子都烂了用包装袋就那么一裹说实话一星都不想给	美白黑炭面膜10片	3	2
x***3	0	1	黄色没有蓝色的水多，其实我之前买了片，现在已经用的差不多了，效果呢，不瞒大家，没啥效果，皮肤还是干。为啥还买呢，因为我确实不知道其他还啥牌子能好用觉得用了总比不用强，元盒，等发现更好的面膜了，果断就会放弃了补水效果没感觉产品质感薄，不好敷贴合效果一般使用感受没效果	【弹力紧致】胶原蛋白面膜	2	2
****5	0	1	还好	毛孔紧致黑炭面膜10片	4	2
****r	1	1	面膜精华少的可怜，敷完以后没有什么效果。	【透亮美肌】维生素面膜	7	2
u***k	0	1	看着销量买的效果一般般	【光滑弹嫩】胶原蛋白面膜	2	2
1***p	0	1	活动期间买的，拆开后一股刺鼻的味道，像过期的酒精味，难闻，	【补水提亮】美白保湿黑面膜	3	2
****N	0	1	回来包装盒是开着的，感觉买了假货	毛孔紧致黑炭面膜	4	2
****飞	0	1	我买了三款面膜，其中两款产品扫码出来的不是面膜，而是手指套，求解包装盒是打开的，严重怀疑有掉包行为	毛孔紧致黑炭面膜	4	2
****n	1	1	不好用，精华很少，很干。	【盈润光滑弹嫩】胶原蛋白面膜	2	2
t***1	0	1	反正和在商场买的不一样，也不知道为什么	【热销爆款】水润保湿面膜10片	1	2
w***g	1	1	东西还行，京东没诚信，一星评价一百次	毛孔紧致黑炭面膜10片	4	2
张***S	0	1	极其极其极其极其极其极其极其差差差差差差差差差差差差差差差差差差绝对假货，乳液含量低，面膜纸也不好，还没有两三块的面膜好。真的太垃圾了。	【改善暗沉】维生素面膜	7	2
****9	1	1	不好，是假的吧，我用了满脸痒，还起红痘痘	胶原蛋白面膜	2	2
