user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
李***银	0	3	一开始买了两盒，精华很多，非常好，第二次多买几盒，全部很干，很失望	【维稳滋润】燕窝蛋白面膜	10	1
马***0	0	2	一分钱一分货。和真品没法比	【维稳滋润】燕窝蛋白面膜	10	1
北***4	1	2	和紫色一样，也是乳白色，推不开。敷完要洗脸那种	【维稳滋润】燕窝蛋白面膜	10	1
啊***9	0	2	同时买了三款不同功效的面膜，这一款燕窝蛋白敷了以后脸上有一种热辣辣的感觉，其他两款都不会出现这种感觉，当时就不敢再继续用了	【维稳滋润】燕窝蛋白面膜	10	1
r***1	1	2	拆开箱子，盒面膜，其中一盒包装封口是打开的，封口胶也是对折的。数量没少，但是对于消费者来说，还是你有点感觉这东西被拆封，动过的。不明原因，	【维稳滋润】燕窝蛋白面膜	10	1
****z	1	3	说实话一般般，感觉很大，是我脸小吗哈哈哈	【维稳滋润】燕窝蛋白面膜	10	1
u***u	1	3	用了一张再评价，精华很少，质地粗糙。	【维稳滋润】燕窝蛋白面膜	10	1
****g	0	2	太厚了，感觉不透气，不好用，不值这个价钱	【维稳滋润】燕窝蛋白面膜	10	1
w***8	0	2	片装的和片装的链接放一起，就觉得很坑。退货还扣运费还每盒扣一次，真的是套路这么深。效果没见比片装的优秀，总之擦亮双眼吧	【维稳滋润】燕窝蛋白面膜	10	1
z***0	0	2	用了一贴，概率是假～～错过了退货时间～近倆年一直用此品牌仅丛官方店购买。此次膜贴感觉差异很大～里面液体少的可怜，用的膜纸质更差～～贴完后感觉也没有水润润感觉～而且感觉干黏～～膜后面中文字符官方是黑体，此膜都是宋体～～	【维稳滋润】燕窝蛋白面膜	10	1
我***了	0	2	面膜布不服贴。还没有补水的好用。	【维稳滋润】燕窝蛋白面膜	10	1
****U	1	2	不好用，不贴肤，乳液太稠，不易吸收	【维稳滋润】燕窝蛋白面膜	10	1
李***b	0	3	不知道是不是真品，扫码扫不出	【维稳滋润】燕窝蛋白面膜	10	1
****7	0	2	售后服务差，调换货不方便，非得让退了吗	【维稳滋润】燕窝蛋白面膜	10	1
缒***遠	0	3	新品，用了再说吧	【维稳滋润】燕窝蛋白面膜	10	1
****w	0	3	只有吴片，草率了，	【维稳滋润】燕窝蛋白面膜	10	1
****b	0	3	一般般	【维稳滋润】燕窝蛋白面膜	10	1
化***哥	1	3	已经买过很多遍面膜了，还是可以的，可是这一次不知道是皮肤问题还是季节啥的，就有点补不进去那个水呀，然后有点粘粘的，洗掉就感觉又没有什么了，继续使用看看呗，不过之前买的挺好的哟。	【维稳滋润】燕窝蛋白面膜	10	1
