user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
u***j	0	3	不错不错不错不错，很实惠的	胶原蛋白面膜10片	2	1
_***_	0	3	包装破损，希望东西会可以吧	胶原蛋白面膜	2	1
w***5	0	3	还行吧，送给我妈妈，她很喜欢	胶原蛋白面膜10片	2	1
****p	1	3	一直再用这款，赶上活动，元	胶原蛋白面膜10片	2	1
****n	1	3	到的很快还没用，包装部分破损	胶原蛋白面膜10片	2	1
****m	0	3	给长辈买的，用过再来评价吧	胶原蛋白面膜10片	2	1
w***4	0	3	还没用，希望自己能喜欢	胶原蛋白面膜10片	2	1
****2	0	3	包装袋凹陷速度倒是挺快的	胶原蛋白面膜10片	2	1
e***1	0	3	还没有使用，希望比老版的好用吧	胶原蛋白面膜	2	1
****1	0	3	说的很好但效果没什么	胶原蛋白面膜10片	2	1
****2	1	3	还没用，不知道质量怎么样	胶原蛋白面膜10片	2	1
一***5	1	3	还可以吧，但面膜太小了	胶原蛋白面膜10片	2	1
z***i	1	3	中规中矩，一分钱一分货。依赖性大	胶原蛋白面膜	2	1
邹***妈	1	3	货已收到，用后在评价了	胶原蛋白面膜	2	1
p***3	1	3	货已收到，不知效果如何	胶原蛋白面膜10片	2	1
u***g	0	3	能把星星全给快递小哥吗。大赞一个	胶原蛋白面膜10片	2	1
h***9	0	3	还没有用，有效果了再说	胶原蛋白面膜10片	2	1
****m	0	3	刚收到，还没有用，期待中	胶原蛋白面膜10片	2	1
u***7	0	3	精华液超级多补水可以的	胶原蛋白面膜10片	2	1
T***丶	1	3	效果目前不明显，还在用	胶原蛋白面膜10片	2	1
y***草	1	3	还可以，用完没什么毛病。	胶原蛋白面膜10片	2	1
小***崽	1	3	没啥特别的感觉，就那样吧	胶原蛋白面膜	2	1
****s	0	3	扫不到码，不知道真假，还没用	胶原蛋白面膜10片	2	1
****x	0	3	京东做活动买的，很划算	胶原蛋白面膜10片	2	1
y***9	0	3	和韩国带回来的不一样。但价格也便宜	胶原蛋白面膜10片	2	1
****0	1	3	好好的就，不如补水的效果好	胶原蛋白面膜	2	1
D***0	0	3	物流很快，东西还没用，用后再来评价	胶原蛋白面膜10片	2	1
你***好	0	3	一直用这个面膜感觉还不错	胶原蛋白面膜10片	2	1
e***x	0	3	买了还没有用，不知道怎么样	胶原蛋白面膜10片	2	1
j***n	1	3	看起来还可以吧，还没有使用	胶原蛋白面膜10片	2	1
y***3	0	3	东西还不错，但是使用不太好用	胶原蛋白面膜10片	2	1
Z***L	0	3	红色包装的用了过敏没怎么用	胶原蛋白面膜10片	2	1
海***运	0	3	还可以吧，水分很多，保湿效果一般	胶原蛋白面膜10片	2	1
****2	1	3	同牌子买的两款还可以吧	胶原蛋白面膜10片	2	1
连***爵	1	3	很好用的一款产品质量挺好	【莹润肌肤】胶原蛋白面膜	2	1
我***A	0	3	第一次用这个牌子，补水效果不错	胶原蛋白面膜10片	2	1
z***i	1	3	个人感觉，各方面，都一般。中规中矩。	胶原蛋白面膜	2	1
潘***冰	0	3	面膜挺好的敷起来还行吧	胶原蛋白面膜10片	2	1
h***3	1	3	又破又脏。面膜不知道有没有问题。	胶原蛋白面膜10片	2	1
简***0	0	3	不知道是不是正品，但价格确实是挺优惠的	胶原蛋白面膜10片	2	1
朱***4	0	3	还没用不知道收到了快递挺快的	胶原蛋白面膜10片	2	1
韩***冰	0	3	面膜不如国产的很多牌子用着舒服	胶原蛋白紧致面膜25ml*10	2	1
****袖	1	3	还可以感觉比蓝色的好点心理作用	胶原蛋白面膜10片	2	1
水***冷	1	3	降价快，怕降价的天天盯着就行了。	【提亮紧致】胶原蛋白面膜	2	1
****1	0	3	这个面膜我买了好多款以后用好了再来评价吧	胶原蛋白面膜10片	2	1
z***2	0	3	搞活动时买的，价格合适，用着一般	胶原蛋白面膜10片	2	1
n***m	0	3	送货速度快，一下买了三盒，但一盒都没有封口	胶原蛋白面膜	2	1
唐***1	0	3	这种用了皮肤会很滑，但也就这样	【弹力紧致】胶原蛋白面膜	2	1
****j	0	3	黄色比蓝色和黑色好用些	【提亮紧致】胶原蛋白面膜	2	1
s***a	1	3	比之前买的保湿的要更加滋润补水啊	胶原蛋白面膜10片	2	1
t***t	1	3	精华很少，比蓝色的少多了	【弹力紧致】胶原蛋白面膜	2	1
王***风	0	3	宝贝已经开始在用了，效果真的不错，下次还会来买的	胶原蛋白面膜10片	2	1
L***1	1	3	还可以，眼角开的有点大。	【提亮紧致】胶原蛋白面膜	2	1
u***p	0	3	买了几次，还不错，不知道是否正品，配送速度快	胶原蛋白面膜10片	2	1
****o	0	3	好用，用起来滑滑，很补水啊	胶原蛋白面膜10片	2	1
****e	0	3	老顾客了，买了很多次了，物美价廉，不错的选择	胶原蛋白面膜	2	1
