user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
u***v	0	3	还行吧只是包装不太好。	美白黑炭面膜10片	3	1
u***5	0	3	不错哟，一直用这个面膜	美白黑炭面膜	3	1
z***5	0	3	还可以就是包装被打开过	美白黑炭面膜10片	3	1
苏***月	0	3	回家送给妈妈希望可以	美白黑炭面膜10片	3	1
u***j	0	3	不错不错不错不错，很实惠的	美白黑炭面膜10片	3	1
X***g	0	3	效果还可以，就是有点小贵哦	美白黑炭面膜10片	3	1
****7	1	3	东西不错我很喜欢，相信品质	美白黑炭面膜	3	1
风***8	1	3	赶上搞活动买的，挺实惠的	透亮黑炭面膜10片	3	1
B***i	0	3	可以就是不知道是不是正品	美白黑炭面膜10片	3	1
c***p	0	3	还没有用，不过物流挺快的。	美白黑炭面膜10片	3	1
x***i	0	3	昨晚用了一片，感觉不错	美白黑炭面膜10片	3	1
寒***影	1	3	正在试用中，期待效果中	美白黑炭面膜10片	3	1
****a	0	3	还没用不知道效果如何	透亮黑炭面膜10片	3	1
大***代	0	3	东西还没有用，不知道是不是正品	美白黑炭面膜	3	1
****6	1	3	用过再评价，目前看着包装一般	透亮黑炭面膜10片	3	1
痞***7	0	3	还行吧，效果不是很明显	美白黑炭面膜10片	3	1
M***L	1	3	还可以，京东快递一如既往的快。	美白黑炭面膜10片	3	1
p***r	0	3	用了一片额头长痘痘了	美白黑炭面膜	3	1
一***耀	1	3	经常用就是看不见效果	美白黑炭面膜	3	1
****0	0	3	物流速度快。质量还可以	【焕白因子】美白保湿黑面膜	3	1
u***h	0	3	还沒用不知道效果什样。	透亮黑炭面膜10片	3	1
爱***C	0	3	第二次买啦用用再说吧	美白黑炭面膜10片	3	1
z***i	0	3	保湿还可以，美白效果不大	美白黑炭面膜10片	3	1
诺***瞄	1	3	还没使用，希望不会过敏	美白黑炭面膜10片	3	1
u***c	0	3	包装是开的，凑单买的，不知道真假了	美白黑炭面膜10片	3	1
u***5	0	3	很好用不错，一直都在用	美白黑炭面膜	3	1
j***l	1	3	不错不错，京东的实在太划算了	美白黑炭面膜10片	3	1
X***I	0	3	之前有买过，用着挺舒服的	美白黑炭面膜10片	3	1
夏***猫	0	3	这款黑面膜用着挺舒服的。	美白黑炭面膜10片	3	1
野***香	1	3	还没有使用。看起来还可以	美白黑炭面膜	3	1
开***1	1	3	外包装挺差的，还没有用，希望正品	透亮黑炭面膜10片	3	1
u***y	0	3	以前都挺好的，这次包装被摔的不像话。	美白黑炭面膜	3	1
****q	1	3	物流很快，但是包装已经坏成这样了	美白黑炭面膜10片	3	1
****c	0	3	还没开始用就从降到这是什么意思	美白黑炭面膜10片	3	1
****s	0	3	还可以吧。还没用。用过再评价	【焕白因子】美白保湿黑面膜	3	1
u***r	0	3	正在用现在没啥很明显的效果	美白黑炭面膜10片	3	1
我***你	0	3	刚收到，没用不知道效果怎么样	美白黑炭面膜10片	3	1
*****	0	3	刚收到不知道效果怎样期待吧	美白黑炭面膜10片	3	1
C***c	0	3	还没有用，期待着有用的效果。	美白黑炭面膜10片	3	1
崔***子	0	3	贴完起痘痘了，不知道是不是真的	美白黑炭面膜10片	3	1
q***L	0	3	感觉用起来还可以，补水	美白黑炭面膜10片	3	1
0***0	0	3	还不错用了贴还没见效果呢	美白黑炭面膜10片	3	1
****f	1	3	不知道怎么说当晚我用了失眠了	美白黑炭面膜10片	3	1
****z	0	3	不错不错没有看出什么效果	透亮黑炭面膜10片	3	1
****z	0	3	发货速度挺快的面膜应该是给儿童贴的吧	透亮黑炭面膜10片	3	1
u***1	0	3	用着还可以，就是价格反复太多	透亮黑炭面膜10片	3	1
流***在	0	3	我也不知道怎么说，就用了一次	美白黑炭面膜	3	1
****p	0	3	一直用这款面膜，还行吧	【美白提亮焕肤】美白保湿黑面膜	3	1
庭***羽	1	3	买给母亲，美白效果可以，还会回购	美白黑炭面膜10片	3	1
j***k	1	3	待用后再评，外观包装不错	美白黑炭面膜10片	3	1
王***3	0	3	，用了很久，没什么效果	美白黑炭面膜10片	3	1
****g	0	3	还没有用，不知道好不好期待	美白黑炭面膜10片	3	1
陆***静	1	3	放在上班的地方被老鼠咬了。	透亮黑炭面膜10片	3	1
a***b	0	3	收到了。就是还没用不知道好不好	美白黑炭面膜10片	3	1
q***u	0	3	香靖味很绒，没什么效果	透亮黑炭面膜10片	3	1
傷***殤	0	3	贴着蛮舒服的，效果不明显	透亮黑炭面膜10片	3	1
****g	0	3	收到未用，用了再评盒里没有用法说明单	美白黑炭面膜10片	3	1
****0	0	3	感觉还好吧，发物流很快，给你个赞	美白黑炭面膜10片	3	1
苏***货	0	3	还可以吧不过效果并不是嗯明显	美白黑炭面膜10片	3	1
****f	0	3	买给妈妈用的，美白效果一般般吧	美白黑炭面膜10片	3	1
简***0	0	3	不知道是不是正品，但价格确实是挺优惠的	美白黑炭面膜10片	3	1
****2	0	3	还不知道怎么样没有过等用了再说吧	美白黑炭面膜10片	3	1
****f	0	3	看着还行，不知道好不好用，	美白黑炭面膜10片	3	1
良***买	0	3	还不错，没看出有美白效果哈哈哈哈	美白黑炭面膜	3	1
2***牙	0	3	刚开始用，还没感觉到好不好	美白黑炭面膜10片	3	1
逃***我	0	3	精华有点少，有点干，还行吧	美白黑炭面膜10片	3	1
大***Z	0	3	产品不错就是送过来的时候包装破损	【焕白因子】美白保湿黑面膜	3	1
小***维	0	3	补水还行，一直在用，还行	【补水提亮】美白保湿黑面膜	3	1
s***a	1	3	不知道好不好效果无法评估	美白黑炭面膜10片	3	1
伊***基	1	3	还不错，就是有点贵，说了也白说，给豆吧。	美白黑炭面膜10片	3	1
怼***星	1	3	就那样，敷过之后还有一种腻腻的感觉	美白黑炭面膜10片	3	1
****p	0	3	真心话，用了之后还是觉得没什么效果	美白黑炭面膜10片	3	1
m***y	0	3	脸大糊不全，效果嘛有待观察	美白黑炭面膜10片	3	1
u***c	0	3	还没用不过韩国牌子先减两个星祝个兴	美白黑炭面膜10片	3	1
雪***6	0	3	补水还可以，美白效果约等于。	美白黑炭面膜10片	3	1
S***c	1	3	面膜效果一般，快递比较不错	【补水提亮】美白保湿黑面膜	3	1
王***q	1	3	一般补水效果一般贴合效果不错使用感受	美白黑炭面膜	3	1
****w	1	3	产品的精华比以前少了很多的感觉。	【焕白因子】美白保湿黑面膜	3	1
b***9	0	3	促销买的，刚要提单子，一转身价格涨上去了	透亮黑炭面膜10片	3	1
牛***n	1	3	物流速度很快，但是包装太简陋了，买了盒全破了	美白黑炭面膜10片	3	1
张***红	0	3	两盒，下午就成两盒活动套路多	【补水提亮】美白保湿黑面膜	3	1
幻***澜	0	3	物流给力，还没用，不知道效果如何	透亮黑炭面膜10片	3	1
