user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
****d	0	3	还没有用，所以不好评价	毛孔紧致黑炭面膜10片	4	1
****i	1	3	还可以吧一分价钱一分货。	毛孔紧致黑炭面膜10片	4	1
****f	1	3	一般般那，特价可以买买试试	毛孔紧致黑炭面膜10片	4	1
****t	0	3	刚收到货，等用了再作评价	毛孔紧致黑炭面膜10片	4	1
极***卜	1	3	速度挺快，包装烂的有点厉害	毛孔紧致黑炭面膜10片	4	1
x***4	1	3	没用呢。还不知道怎么样	毛孔紧致黑炭面膜10片	4	1
e***s	0	3	还没用，不知道是不是真货	毛孔紧致黑炭面膜10片	4	1
一***者	0	3	没看出啥效果真的真的	毛孔紧致黑炭面膜10片	4	1
u***x	0	3	包装盒烂了，还没用之后再评价	毛孔紧致黑炭面膜10片	4	1
****d	0	3	还可以，就是水有点少了	毛孔紧致黑炭面膜10片	4	1
u***c	0	3	刚开始用期待有好的效果	毛孔紧致黑炭面膜10片	4	1
N***S	0	3	第一次买，不知道怎么样	毛孔紧致黑炭面膜10片	4	1
****3	0	3	还可以吧没有用完一疗程	毛孔紧致黑炭面膜10片	4	1
****i	0	3	刚收到货，用了在来测评	毛孔紧致黑炭面膜	4	1
爱***-	1	3	还不错贴完面膜脸滑滑的	毛孔紧致黑炭面膜10片	4	1
木***华	0	3	价格优惠，就是不知道是不是正品	毛孔紧致黑炭面膜	4	1
C***2	0	3	还可以吧，不知道是不是真的，那么便宜	毛孔紧致黑炭面膜10片	4	1
****r	1	3	很好用，价格比实体店还要贵	毛孔紧致黑炭面膜10片	4	1
c***7	0	3	还可以吧用了会有一点点痒	毛孔紧致黑炭面膜10片	4	1
u***v	0	3	还行吧，没有达到预期的效果	毛孔紧致黑炭面膜10片	4	1
****l	0	3	还没用过，可条形码没扫出来	毛孔紧致黑炭面膜	4	1
u***q	0	3	没效果，还长了一堆痘	【紧致细腻】毛孔紧致黑面膜	4	1
g***8	0	3	敷了之后没有什么感觉	【紧致肌肤】毛孔紧致黑面膜	4	1
****b	0	3	太合适我的脸了太合适了	【紧致细腻】毛孔紧致黑炭面膜	4	1
宁***緣	1	3	元三件。还行。效果一般吧	毛孔紧致黑炭面膜	4	1
j***7	0	3	紧致毛孔没发现倒是挺补水的	毛孔紧致黑炭面膜10片	4	1
不***绚	0	3	面膜好油油性皮肤慎用	毛孔紧致黑炭面膜10片	4	1
姚***丶	0	3	凑单买的，不晓得好不好，看起还行	毛孔紧致黑炭面膜	4	1
****1	0	3	非常满意的一次购物，已经是第二次购买了。	毛孔紧致黑炭面膜10片	4	1
水***G	0	3	面膜快用完，效果没看见	【紧致细腻】毛孔紧致黑面膜	4	1
u***l	1	3	我想知道这个是正品吗	毛孔紧致黑炭面膜	4	1
宫***哥	1	3	还行吧，补水，没其它功效	毛孔紧致黑炭面膜	4	1
****z	0	3	物流很快，京东服务真的特别特别特别好	毛孔紧致黑炭面膜10片	4	1
****9	1	3	这是正品吗第一次京东买到这样的东西	毛孔紧致黑炭面膜10片	4	1
u***7	0	3	价格还可以，希望效果好。	【紧致肌肤】毛孔紧致黑面膜	4	1
