user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
s***6	1	3	还没怎么用，用用再说吧	新品【焕亮肤色】维C安瓶面膜	6	1
妖***有	1	3	可以是可以，用着不好也不坏	【焕亮肤色】维他命安瓶面膜	6	1
L***9	1	3	一般吧，性价比还可以	【焕亮肤色】维他命安瓶面膜	6	1
楚***清	0	3	面膜已收到，发货挺快的，还没用过，知道这款好不好用，等用过再来追评吧。	新品【焕亮肤色】维C安瓶面膜	6	1
****b	1	3	搞活动一共买了盒不同的款，还是比较划算的。但是这款感觉精华比较少，敷一下就干了，其他款的还不错。	新品【焕亮肤色】维C安瓶面膜	6	1
小***g	0	3	刚买才到货，然后就降价	新品【焕亮肤色】维C安瓶面膜	6	1
****y	1	3	质量不如以前，不太满意	【焕亮肤色】维他命安瓶面膜	6	1
h***9	1	3	价格变动大，买了，隔段时间，又降价了	新品【焕亮肤色】维C安瓶面膜	6	1
清***6	1	3	，精华液太少，面膜贴过后能滴个滴	新品【焕亮肤色】维C安瓶面膜	6	1
星***然	1	3	水少了没以前多了产品越做做差的感觉	【焕亮肤色】维他命安瓶面膜	6	1
c***8	0	3	东西可以用，就是京东的官方客服态度奇差，无比打遍天下无敌手	新品【焕亮肤色】维C安瓶面膜	6	1
y***7	1	3	刚敷完比较细腻，时间长了脸又恢复干了。皮肤感觉略微白了点	【焕亮肤色】维他命安瓶面膜	6	1
_***_	1	3	怎么说呢没看到有多大的效果，可能还是补水的会好一点吧	【焕亮肤色】维他命安瓶面膜	6	1
升***寻	0	3	膜布比较粗糙厚重，敷上有刺痛的感觉，但是补水倒是可以。	【焕亮肤色】维他命安瓶面膜	6	1
J***X	1	2	看着是心想试一下，面膜的质量不如以前用的那款经典补水的，而且效果也并没有什么感觉以前用的那款面膜上面有logo的印记，这款没有，而且薄，也没感觉出什么特别的地方，怀疑是否买了假的	新品【焕亮肤色】维C安瓶面膜	6	1
u***m	1	3	这个包装也太简陋了吧	新品【焕亮肤色】维C安瓶面膜	6	1
-***-	1	2	精华液太少了，少的可怜。	新品【焕亮肤色】维C安瓶面膜	6	1
y***雪	1	3	不是特别好用的面膜，有点失望。	【焕亮肤色】维他命安瓶面膜	6	1
前***琳	0	2	第一次收到这样的包裹，特别影响我购物的心情	新品【焕亮肤色】维C安瓶面膜	6	1
我***水	1	3	真的一般，敷这周面膜脸非常冰，不建议购买	【焕亮肤色】维他命安瓶面膜	6	1
风***a	0	2	第一次用到这种材质的面膜纸，不服帖不说干得特别快比一般的还小	【焕亮肤色】维他命安瓶面膜	6	1
像***呐	0	2	这个膜布真的是没想到那么厚补水效果真的很一般，活动居然是天天有，套路太深了	【焕亮肤色】维他命安瓶面膜	6	1
****j	0	2	里面的面膜都邹巴巴的，心态崩了呀	新品【焕亮肤色】维C安瓶面膜	6	1
掌***握	1	3	暴利行业成本几毛几分几十倍上百倍的卖	新品【焕亮肤色】维C安瓶面膜	6	1
o***n	0	3	效果不太好，为了凑单买的。	新品【焕亮肤色】维C安瓶面膜	6	1
B***S	0	3	一般吧精华比较少	新品【焕亮肤色】维C安瓶面膜	6	1
蝶***0	0	2	刚买了就降价了	新品【焕亮肤色】维C安瓶面膜	6	1
火***芋	0	2	啥破装，挤压成这样	新品【焕亮肤色】维C安瓶面膜	6	1
钟***东	1	3	还好吧还没用完	新品【焕亮肤色】维C安瓶面膜	6	1
r***1	1	3	一分钱一分货，补水效果一般般	新品【焕亮肤色】维C安瓶面膜	6	1
****n	0	3		新品【焕亮肤色】维C安瓶面膜	6	1
w***虫	0	2	太干了，不好用	【焕亮肤色】维他命安瓶面膜	6	1
单***儿	1	2		【焕亮肤色】维他命安瓶面膜	6	1
