user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
一***5	1	3	产品还行，但面膜太小了	茶树面膜10片	8	1
千***4	0	3	买了两盒，包装没有一盒是好的	茶树面膜10片	8	1
l***_	0	3	刚到还没用不过应该不错	茶树面膜10片	8	1
J***7	0	3	产品不理想，物流速度可以	【缓解痘痘】茶树面膜	8	1
我***我	0	3	还没用，等用完再来评价。	茶树面膜10片	8	1
****3	0	3	物流挺快，态度也挺好，包装不好	茶树面膜10片	8	1
静***Y	0	3	效果是不错，但是韩国产品只能给三星	茶树面膜10片	8	1
****i	1	3	刚收到还没用，用后追评	【缓解痘痘】茶树面膜	8	1
u***l	1	3	没以前好用了，希望以后有改善	茶树面膜	8	1
飞***f	0	3	还没有用看下以后的效果吧	茶树面膜10片	8	1
****f	0	3	昨天才开始用，不知道效果如何	茶树面膜10片	8	1
是***鸭	0	3	发货速度很快，但是东西起码总要包一下吧	茶树面膜10片	8	1
D***r	0	3	还不错，但觉得去油效果很一般	茶树面膜10片	8	1
****b	0	3	买了今天才用，不知道效果怎么样	茶树面膜10片	8	1
世***3	1	3	上次买的是韩国版的噢，这次是国产的吧	茶树面膜	8	1
陆***静	1	3	放在上班的地方被老鼠咬了。	茶树面膜10片	8	1
玻***舞	1	3	面膜上精华液很少～面膜比较小～	茶树面膜10片	8	1
V***j	0	3	还没用，看着和以前的一样	茶树面膜10片	8	1
莫***梅	0	3	两颗星扣包装物流超快，其他的用过再追评吧	茶树面膜10片	8	1
V***6	0	3	正在用，暂时没看出很好的祛痘效果	茶树面膜10片	8	1
****f	0	3	一般般吧精华不多，面膜也厚	【镇定祛痘】茶树面膜	8	1
u***h	0	3	盒子被人开过，谁心情能好	【调理水油平衡】茶树面膜	8	1
****0	0	3	膜没有说的那么夸张补水还可以	茶树面膜10片	8	1
s***a	1	3	嗯这个也还不错啊绿茶的味道可以接受的	茶树面膜10片	8	1
****G	0	3	快递速度快，就是货物有残缺	【调理水油平衡】茶树面膜	8	1
d***g	0	3	活动期间买的，价格还可以，这一盒的封口是打开的。	【镇定祛痘】茶树面膜	8	1
H***g	0	3	看起来不错，期待能有好的效果吧	茶树面膜10片	8	1
u***6	0	3	还行就当是心里安慰吧痘痘还是没消下去	【缓解痘痘】茶树面膜	8	1
