user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
R***7	1	3	这个效果一般，不会回购了	【焕亮紧致】珍珠蛋白面膜	9	1
S***约	0	3	一般一般的感觉就是一般	【焕亮紧致】珍珠蛋白面膜	9	1
h***G	0	3	一搬好用，个人感觉硬了点	【焕亮紧致】珍珠蛋白面膜	9	1
****t	1	3	显示日送达，号才送到，还是打了N个电话找寻来	【焕亮紧致】珍珠蛋白面膜	9	1
嘻***你	0	3	不效果没有那么好，竟然是片装的，不是进口的	【柔嫩焕亮】珍珠蛋白面膜	9	1
雨***9	1	3	请要购买的小伙伴看清楚多少片，珍珠蛋白就只有片，其他的片，我只能说珍珠蛋白略贵了，早知道就不买这个。本想着是每个效果都试一试，谁曾想就少了五片，不值当	【焕亮紧致】珍珠蛋白面膜	9	1
星***然	1	2	买错了，其他都是片，就这个是块，坑	【柔嫩焕亮】珍珠蛋白面膜	9	1
****g	0	2	之前下单一盒十片，可发货过来是一盒五片，太坑了	【焕亮紧致】珍珠蛋白面膜	9	1
我***水	1	3	真的一般，敷这周面膜脸非常冰，不建议购买	【焕亮紧致】珍珠蛋白面膜	9	1
h***9	1	2	不好用，面膜纸很厚，眼洞开得很小	【柔嫩焕亮】珍珠蛋白面膜	9	1
w***8	0	2	片装的和片装的链接放一起真的是太坑了，退货还扣运费。效果实话没见比片装的其他款优秀，太失望了。后面买的擦亮双眼，京东也套路，呵呵哒	【焕亮紧致】珍珠蛋白面膜	9	1
李***银	0	3	和第一次买的完全不一样，面膜很干，袋子里都挤不出精华，很失望，主要还买了盒	【焕亮紧致】珍珠蛋白面膜	9	1
r***e	0	3	同样的价格，其他款是片，这一款只有片。美容液黏黏糊糊的，还有一点油感，没有想象中那么好用	【焕亮紧致】珍珠蛋白面膜	9	1
盼***板	0	3	用了几次之后，前面两次也是用了会脸有点过敏，有疼痛感，刺痛感。不知道是面膜的问题还是我的脸不适合这种面膜太可怕了。之前没有买过这种的面膜。之前买那么多面膜都没有试过说有疼痛刺痛感。那是面膜的问题还是我的问题不舒适。	【焕亮紧致】珍珠蛋白面膜	9	1
****笙	1	3	还以为和其他的几种一样是片一盒的呢还行吧	【柔嫩焕亮】珍珠蛋白面膜	9	1
花***钱	0	3	面膜纸也太厚了	【焕亮紧致】珍珠蛋白面膜	9	1
1***p	0	3	太干了不会再买	【焕亮紧致】珍珠蛋白面膜	9	1
****5	1	3	没有其他的款好用，太黏腻了感觉	【焕亮紧致】珍珠蛋白面膜	9	1
****X	0	2	特别难用	【柔嫩焕亮】珍珠蛋白面膜	9	1
****w	0	3	只有片，草率了，	【焕亮紧致】珍珠蛋白面膜	9	1
北***4	1	3	乳白色的很黏，很稠。不适合我。推不开，脸上成条	【柔嫩焕亮】珍珠蛋白面膜	9	1
