user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
****9	1	5	蓝色补水的最好用，很贴合面部，做完面膜脸部水润q弹，搞活动入了盒，日期很新鲜，到年的。能用一段时间。赞下京东物流，就近仓库发货，晚上下单，第二天就到了。	【玄彬同款】水润面膜	1	0
****?	1	5	面膜丝滑，精油很多，很充足使用感受用后肌肤光滑，连续使用好几年，依然喜欢适合肤质各种皮肤都适用，本人干皮，孩子油皮，用后都很好补水效果补水效果好，晚上使用后，第二天皮肤状态好贴合效果贴合效果完美其他特色价格合适，赶上活动购买性价比超过其他品牌	【爆卖2000w+片】水润面膜	1	0
吕***8	1	5	面膜好闻淡淡的清香膜布薄软有弹性很服帖补水效果相当好精华液很多很温和不刺激很喜欢支持京东商城买着开心用着放心这次活动力度很大快递很快赞	【补水保湿】水润面膜	1	0
L***静	1	5	这款面膜非常好用，水分十足，补水效果非常好，里面的精华液非常多，和我在实体店买的一样，但价格比实体店便宜多了，喜欢在京东购物，质量有保证，我一周做次，效果还是很明显的，这次赶上搞活动，一下买了好几盒，这次够用一段时间的了	【热销爆款】水润保湿面膜	1	0
1***u	1	5	美迪惠尔的面膜不知用了多少个了，很适合干皮。两年前我的皮肤还是很粗糙，暗黄，很干的，后来就是用这款面膜坚持用了一年多，皮肤有明显的改善，皮肤细嫩了很多，皮肤暗沉现象也改善了很多，特别是化妆之前敷一下面膜，不会卡粉，浮粉。像现在这种天气我每天敷一次面膜，皮肤不会那么干。用完继续回购的。	【补水保湿】水润面膜	1	0
冰***8	1	5	无数次回购，京东自营，质量信得过春夏交替，皮肤容易变干敏感，这款美迪惠尔水润保湿面膜，是我的不二之选，洁面爽肤后，取出面膜，调整好贴合脸部，静待分钟，再揭下，把剩余精华液轻轻按摩至吸收，我一般晚上是不洗的，第二天早上起来皮肤特别水润光滑，一周大概敷三次左右，皮肤会越来越光滑细嫩哦	【热销爆款】水润保湿面膜10片	1	0
w***f	1	5	大爱这款面膜，尤其是每周去一次角质之后，敷上分钟，真的是皮肤分分钟就喝饱水，皮肤弹弹弹。只要给皮肤做好补水保湿工作，皮肤问题就会减少很多	【玄彬同款】水润面膜	1	0
小***n	0	5	非常舒服，是回购了好多次的一款面膜，看什么时候搞活动是必囤的一款面膜补水效果这款面膜主打是补水，补水效果是真的很不错，夏天放到冰箱里，用的时候拿出来更好用使用感受敷十五分钟左右就正好，补水，天天用也不错贴合效果很服帖适合肤质应该是所有肤质吧，我脸过敏，有红血丝，用着还好	【热销爆款】水润保湿面膜	1	0
南***风	1	5	美迪惠尔这个水润保湿面膜，确实个人忠爱很好用，补水效果特别好，贴完后整个脸部都觉得非常舒服滋润，重点是特别温和不刺激，皮肤比较敏感，其他面膜有时贴上后脸觉得刺痛难受，这个完全不会京东做活动也很划算，购买放心又方便	【玄彬同款】水润面膜	1	0
H***n	1	5	一如既往的好，补水保湿，乳液适中足够，不会过于多水，但是很滋润，包装质量也不错。五官贴合，用完很舒服，很舒缓，其实补水就够了，现在恨不得每晚敷一片，敷完皮肤都感觉变好了。我是干皮肤，用完不涂水乳也不会干了，赞。	【补水保湿】水润面膜	1	0
