user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
佳***-	0	5	的时候买的，价格特别优惠。一直在用他家的面膜。效果特别好。我是油皮。用这款面膜特别的合适。快递也特别的快。，晚上下单的，第二天就到了。	【维稳滋润】燕窝蛋白面膜	10	0
Q***5	0	5	特别湿润，补水效果很好，柔软贴合度很好。买了好几款不同的颜色。保质期都是到年	【维稳滋润】燕窝蛋白面膜	10	0
黄***3	1	5	这款洗面奶对我来讲，已经够用了，我作为男生，平时补补水，已经很满足了不过敏，很舒服，对于入门级的男生很建议，性价比极高	【维稳滋润】燕窝蛋白面膜	10	0
l***2	1	5	回购很多次的产品，别的不说，补水真的很不错，精华也很足，用完整个脸水润润的，我属于混合型皮肤，用完感觉完全是可以的。	【维稳滋润】燕窝蛋白面膜	10	0
****8	1	5	这个品牌优惠时买了盒不同款的面膜，用了来评价。这个燕窝蛋白的感觉真不错，精华白色乳液状有些浓稠，看起来非常水滋润，用起来效果也是相当好，整个皮肤都感觉水润嫩滑的。	【维稳滋润】燕窝蛋白面膜	10	0
****意	1	5	用着很不错，一盒里面有五片，里面的精华是白色的，很浓稠，贴上眼睛的地方可以全覆盖，嘴巴那也是，全方位护肤，用完不刺激，温和型的	【维稳滋润】燕窝蛋白面膜	10	0
****k	1	5	这款面膜很好用，精华液充足，而且好吸收吸收还比较快，贴完脸水润润的，一次性买了好几包，越多越划算	【维稳滋润】燕窝蛋白面膜	10	0
h***4	1	5	已经多次购买，我一直用的这个面膜，这个经典款，补水效果很不错，个人还是比较喜欢的，而且给家人用的也是这一款，总是趁活动多买一些，比较青睐	【维稳滋润】燕窝蛋白面膜	10	0
薛***团	1	5	第一次尝试这个品牌的面膜，挑选了适合自己的类型，面贴膜更舒服，厚度适中，没有酒精很安全稳固的感觉，款式简单还不错，不喜欢太复杂的成分，希望好用。	【维稳滋润】燕窝蛋白面膜	10	0
****4	1	5	面膜物流速度很快，第二天就收到货了，面膜质感很好，也没有过敏现象，补水效果很好，面膜服帖性很好，买的弹力面膜用完后，脸摸起来手感很好我很喜欢。	【维稳滋润】燕窝蛋白面膜	10	0
果***弟	1	5	这个夏天好热，好干燥。所以懒人我也时不时敷上面膜啦～～～这款的基质不是透明的是白色乳液状的，感觉很厚重，应该补水能力杠杠滴不用怀疑。	【维稳滋润】燕窝蛋白面膜	10	0
宝***市	1	5	是韩国的品牌吗效果好像还不错哟，皮肤用完之后很水嫩。面膜不贵，用完还会再买的。这次也一下买了好多，够用一段时间了。好评。	【维稳滋润】燕窝蛋白面膜	10	0
丹***子	1	5	这款很薄很轻便有弹性，虽然片数少，但是物有所值，下夜班时敷一片，可以舒缓皮肤，减少黑眼圈，敷完后洗一洗会没这么腻，适合夏天	【维稳滋润】燕窝蛋白面膜	10	0
y***5	1	5	春季皮肤容易干燥没有光泽，每天晚上睡觉前贴敷一张面膜能完美解决面部洗完脸以后的干燥现象，补水效果超出预期，用过几个品牌面膜中最满意一款。包装也非常有质感。	【维稳滋润】燕窝蛋白面膜	10	0
馬***0	0	5	面膜收到了，除了价格高以外，其它都挺好，用起来滑滑的感觉，白色的精华，补水效果非常好，保湿补水效果非常好，好评	【维稳滋润】燕窝蛋白面膜	10	0
****g	1	5	面膜用着挺好的，味道不刺鼻，补水保湿棒棒的，买四件主要价格很好	【维稳滋润】燕窝蛋白面膜	10	0
神***1	1	5	这款燕窝蛋白弹力面膜确实很好用，补水美白效果很好，我是干性皮肤，用完感觉很舒服。大品牌，质量让人信赖。京东物流很快，包装也很好。	【维稳滋润】燕窝蛋白面膜	10	0
果***昔	1	5	很好用一直都有在用无限回购款敷完面膜后皮肤会很水润持续性也很好真是非常好	【弹力保湿】燕窝蛋白面膜	10	0
s***0	0	5	片装的要比珍珠片要大，虽然价格价格都一样，相当于一张顶两张的价格，感觉每张水分都很足，补水效果很好。	【维稳滋润】燕窝蛋白面膜	10	0
****5	0	5	做活动，一次买了几十个，比实体店便宜太多了，用过这个品牌，非常好用，性价比特别高，家人一起用，强烈推荐给他们，大品牌质量信得过	【维稳滋润】燕窝蛋白面膜	10	0
