user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
没***包	1	5	昨天收到面膜啦，因为疫情影响我的面膜兒兒转转，京东快递还是很给力的春秋换季肌肤已经泛红刺疼了，干的不行，昨晚试了下蓝色款水感面膜，看成分多重的，现在非常需要补水的款精华液很多不粘腻，淡淡的味道不刺鼻，很安心的感觉，敷上没有什么刺激，吸收的也很快，十来分钟感觉精华都被我的肌肤吸收掉了，可能是脸太干了数完脸上没有那么紧绷了，还是需要坚持敷面膜护肤，还买了粉色款包装很好看的，今晚再试试粉色，希望可以改善肌肤状态，推荐大家可以入新品，用的很安心，老款新品—如既往好用	新品-透明质酸水感15片	11	0
****B	0	5	最近换季皮肤状态不是很稳定，干燥缺水又敏感泛红，美迪惠尔水感面膜真的有惊艳到我蓝色款的，透明质酸保湿水感面膜作为日常补水使用就很nice富含种不同大小的透明质酸，给肌肤深层补水锁水，每次使用后皮肤水润又嫩弹这款补水面膜真的深得我心我一般是晚上洗脸后或者早上化妆前十分钟敷一片，只需要分钟就可以，感觉补水效果还是很不错滴，用完之后脸蛋嫩嫩的，底妆也服帖不少	新品-透明质酸水感15片	11	0
****j	1	5	疫情阶段在家办公。整日在电脑前面皮肤很干燥。那这个品牌的面膜呢，一直都是特别好的一个选择产品的种类多，呃有美白的有趣粉刺的刘水油平衡的有胶原蛋白胶原蛋白的各种都是我一直信赖的品牌。在京东上采购呢，也比较便利，前一天下单后一天就到了。整个产品的水分还是不错的。，一般来讲我把面膜放在冰箱里面拿出来的时候呢，会起到呃比较凉快的这种感觉可以起到镇静的作用补水效果还更好。敷了面膜数。作为上班族呢，这个面部啊，就是很干平时呢，也没有太多时间去美容院。在家里服用面膜呢，是一个特别不错的选择。这个品牌的产品的种类繁多各种类型呢，我军史用过这个蓝色的包装呢，李面有片，那每天一片的成本，大概在块钱左右，对于皮肤的保养和护理还是特别不错的。呃疫情阶段呢，以为采购会比较费劲，我是昨天采购的今天呢就到了特别快呃产品质感呢，还是很不错的使用后呢，感觉到水嫩了不少十喝的皮肤呢，也可以多种多样。这个大的品牌呢，有的时候出国会采购，现在在京东平台上也很容易就会采购到了而京东物流呢，应该有正规的管理防疫应该到位，希望商家能能有更好的几个促销的活动利用京东平台呢，来给顾客更好的产品体验。另外在疫情阶段一定要注重	新品-透明质酸水感15片	11	0
l***_	0	5	太划算了，而且一包张，而且还有卷用，相对来说这个补水效果还是可以的，用完脸滋润不油腻，像平常密集补水可以连着几天贴。	透明质酸水感面膜15片	11	0
****c	0	5	过完年皮肤不稳定总是泛红干燥，长期化妆脸部都没有弹力了，朋友狂推这款面膜，真的有惊艳到我透明质酸保湿补水日常使用就很nice，有给肌肤深层补水的感觉，每次用完皮肤又润又弹，一大袋片可以算平价宝藏啦	透明质酸水感面膜15片	11	0
****z	0	5	片一大包根据可以用一个月了，之前用的水润，水感这款用起来也很补水，推荐	新品-透明质酸水感15片	11	0
****j	1	5	今天买回来用了一下，真的很水润，极力推荐，而且片可以用好久，活动的时候推荐囤货总之真的很赞呢	新品-透明质酸水感15片	11	0
****s	1	5	敷完之后脸水水的很喜欢哟，夏天补水就是它了。	新品-透明质酸水感15片	11	0
****0	0	5	膜布薄薄的很服帖，也没有什么香味，用着很安心	新品-透明质酸水感15片	11	0
****v	0	5	看宣传是新品，刚收到片挺划算的，今晚试试看，好用继续回购，快的速度超快。	透明质酸水感面膜15片	11	0
****c	0	5	换季皮肤比较敏感，只敢用纯补水的面膜，这款面膜使用感受整体来说还是不错的，能达到基础的补水保湿，换季用它还是很放心的	新品-透明质酸水感15片	11	0
****r	0	5	看网上推荐这款新款补水很好每天敷一下再化妆很服姑不会卡粉，日常用很好		11	0
****1	1	5	我觉得很好用，补水超足，过敏体质的我都能用只用这个牌子		11	0
p***2	0	5	第一次購買希望好用包裝非常漂亮	透明质酸水感面膜15片	11	0
****I	1	5	京东送货就是快很好用，很喜欢。	新品-【加倍水感】透明水感15片	11	0
1***6	1	5	用了几天感觉很好，非常滋润，而且贴合我的小脸		11	0
****q	1	5	好用非常好用买回来就用了	新品-透明质酸水感15片	11	0
****z	1	5	很好使用感受适合敏感肌		11	0
小***v	1	5	东西很不错，用着感觉也挺好		11	0
长***彬	1	5	帮朋友买的，效果很不错		11	0
卢***姐	1	5	很好用的面膜睡效果超级棒	新品-透明质酸水感15片	11	0
****b	1	5	非常不错哦，很补水，	新品-【加倍水感】透明水感15片	11	0
****8	1	5	补水效果很好，京东平台上购买也放心。	新品-透明质酸水感15片	11	0
****k	1	5	很舒服适合肤质补水使用感受效果很好补水效果很好贴合效果不错	新品-透明质酸水感15片	11	0
坦***r	1	5	这款面膜之前有用过，用过好几个类型的，黄色的，绿色的，还是觉得蓝色这款最好用，补水很好的，而且做活动有优惠，价格合适，性价比很高呢，这次老公买了四盒，能用一段时间了，赞	新品-透明质酸水感15片	11	0
****妹	0	5	之前一直用的经典款水润，这次出了新品就试一下，这个水感面膜只要敷分钟就可以了还挺方便的，早上化妆前敷一片就不会卡粉了，比较喜欢蓝色的，补水效果好，也不会很黏腻。	透明质酸水感面膜15片	11	0
窒***磨	1	5	美迪惠尔的忠实粉丝，以前还叫可莱丝的时候就用过了。之前一直用图二，最近发现图一这个更加水润型的，用过确实要比图二好用，推荐大家购买	新品-透明质酸水感15片	11	0
芒***冰	1	5	之前买了两袋用完了，又回购啦塑料袋装的外包装不容易破损，之前盒子的送来有点挤压变形了这个就好好的～粉色和蓝色的水感面膜味道都香香的，膜布不是很厚，我是混干皮，敷完皮肤感觉嫩嫩的，比较清爽好清洗，角质层比较薄的敏感肌敷着也不会有刺痛感这个比较适合早上妆前敷，只要分钟，还是挺方便的，后续上妆不会卡粉，晚上熬夜了第二天早上可以来一片急救一下刚好面膜用完了想买，京东物流还是可以滴第二天就到了	新品-透明质酸水感15片	11	0
知***好	1	5	宝贝收到了，拿回家后就用了一片，精华很多，挺好的，一下子买了四盒，慢慢用	透明质酸水感面膜15片	11	0
橙***儿	0	4	一拆开，一股淡淡的清香，面膜很柔软，粘液也挺足，敷上去很舒服。	新品-透明质酸水感15片	11	0
飞***儿	0	5	给男生买的，说是用着很还不错，精华水分比较多，面膜贴合度还可以		11	0
悠***7	1	5	多次购买，补水效果好，春季皮肤干，面膜贴起来。		11	0
****x	1	5	补水效果还可以，挺多水的，适合普通补水		11	0
沐***胡	1	5	给老妈买的，上周问问，说还挺好用，我自己没用过。		11	0
****8	1	5	第一次用这个面膜，买了两种，都棒棒的，补水效果挺好的，用完红血丝明显减少，皮肤水嫩许多，推荐大家使用	新品-透明质酸水感15片	11	0
不***m	1	5	老客户了，用起来挺好的，有活动就囤货	新品-【加倍水感】透明水感15片	11	0
n***2	0	5	便宜又好用，补水保湿，推荐购买。		11	0
****p	1	5	还没有用，价格实惠，希望好用		11	0
是***胖	0	5	补水效果不错的不错的不错的		11	0
喜***8	1	5	好用的面膜哦量大实惠价啦啦队		11	0
u***5	1	5	不错，经常用，活动优惠价更值		11	0
仓***点	1	5	一直用这个品牌，这款是新款，期待使用效果		11	0
****r	1	5	第一次购买，还没用着，应该不错		11	0
t***s	1	5	买来试试，这款还没尝试，不过美迪惠尔的么好不到哪里去么至少不会过敏		11	0
z***9	1	5	活动囤货，开始用起来，期待效果		11	0
j***3	0	5	就想问，现在京东也是不吭声就放自提柜了的吗		11	0
****l	0	5	外包装是塑料真空的，不会破损，比盒子的更方便这个水感面膜的膜布比美迪惠尔经典款的薄一些，敷着比较舒服，味道也是香香的我夏天混油，冬天混干，敷完感觉嫩嫩的，比较清爽不油腻我是角质层比较薄，平时容易脸红，敷完这个也没有过敏，感觉还是不错滴通常是晚上洗脸后涂完水敷一片，或者早上化妆前敷一片，后续上妆就服帖不卡粉贴合度很不错，大概贴了分钟，膜布承载力还可以，精华不会往下滴京东物流超级快第二天就到了日期也很新鲜刚好面膜用完了就来看看京东，急用的话果然还是京东靠谱	新品-透明质酸水感15片	11	0
悠***7	1	5	发货快，包装结实，多次购买面膜，春季皮肤干就要多补水，这款补水效果特别好，吸收快，皮肤水嫩嫩的，会继续回购。		11	0
u***v	0	5	冲着广告下的单，收到货只有一件。客服给的解释就是元买片面膜，还理直气壮的。哪有这样的做虚假广告，且不符合广告宣传，果断打电话投诉，最终京东人工客服按广告处理这事		11	0
晓***仁	1	5	今天买回来用了一下，真的很水润，极力推荐，而且片可以用好久，活动的时候推荐囤货总之真的很赞呢	新品-透明质酸水感15片	11	0
****g	1	5	东西很好，很满意，送货也很快给十分		11	0
1***g	1	5	用过好几次了，很不错		11	0
u***g	0	5	这包装太省事了	透明质酸水感面膜15片	11	0
****f	0	5	该用户觉得商品不错		11	0
u***o	0	5	非常好用，适合春天		11	0
a***z	0	5	特别好用		11	0
****c	1	5	还可以		11	0
