user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
兰***8	1	5	女人要活的精致一点，于是就想化淡妆。于是就在京东商城买了一些化妆品和皮肤保养用品。晚上用睡眠面膜比较好，我就买了这款，很滋润，早上睡觉起来洗洗就很滋润。	涂抹免洗睡眠面膜	14	0
佳***-	0	5	这款睡眠面膜晚上用起来特别方便，洗完脸之后图一片儿。特别水润好吸收。特别好用。小巧方便，便于携带，平时出门的时候可以带一条。特别方便。	新品【免洗睡眠面膜】16支装	14	0
骆***子	1	5	我把它放在面霜的盒子里了，感觉这个睡眠面膜不油腻，很好吸收，适合夏天用，而且一抹开就化水，真的很水润，一共有条，一次用一条有点多，大脸的宝宝就刚刚好，算是我第一次买睡眠面膜没有踩雷，真不错	涂抹免洗睡眠面膜	14	0
凌***光	0	5	这款面膜很小巧好可爱，很方便携带，刚拿到就试用了一下，膏体式很容易推开，很清爽一点不油腻，很容易吸收还巨补水，爆水珠的那种补水，超级棒用完皮肤弹润光滑，香味是一种淡淡高级香，这款睡眠面膜真的爱了，正式被纳入我的回购款		14	0
磊***一	1	5	这个面膜真的很舒服，我一个男的都喜欢用，涂抹起来薄薄的一层，容易吸收，用完之后，洗净也很容易，一点点水就洗透了，真的非常好	涂抹免洗睡眠面膜	14	0
大***6	0	5	很好很好很好，很好用，老婆太喜欢了，下次还来这里买这种面膜，太喜欢了太好用了产品质感很好使用感受老婆很喜欢补水效果效果很好，下次还来这个购买贴合效果很好	涂抹免洗睡眠面膜	14	0
小***呀	1	5	小小的一条条，很精致，还觉得太小了不够用，结果一条敷一次够够的了，后来都分两次用，真的很水润，这个还是比较不错的，价格也不贵，喜欢，喜欢	新品【免洗睡眠面膜】16支装	14	0
新***人	1	5	超级方便非常好用，水溶细腻光滑，用着很好，懒人福音。质量没得说，跟专卖店一样，特别特别喜欢，而且价格优惠正品，买的放心，价钱也公道，满意很快就到了，全新正品，包装很仔细，没有问题	便携装-补水保湿睡眠面膜16条	14	0
西***仔	1	5	东西不错，快递很快。隔天就送来了，而且送货上门很方便。用了一下，感觉还可以。效果也不错。下次有活动还会考虑买。总体感觉还是可以的。	涂抹免洗睡眠面膜	14	0
莫***5	1	5	第一次使用这个品牌，京东活动很大，比线下便宜划算多了，补水效果挺好的，可以满足自身需求，贴完之后，脸上很是光滑，感觉挺好的	涂抹免洗睡眠面膜	14	0
彳***人	1	5	非常火爆的网红面膜，乘着的快车买了四盒，算下来很便宜，应该适合各种肤质，没有不适的感觉，品牌值得信赖，产品很正宗，买的很放心，快递很给力的，速度很快，京东购买的买的放心，质量有保证，不会有混水摸鱼的杂牌子，包装还不错，外面纸箱子很结实，里面东西完好无损	新品【免洗睡眠面膜】16支装	14	0
p***3	1	5	好评好评好评，适合我这种懒人晚上敷完面膜哟经常外敷睡眠面膜睡觉。不油腻，很清爽，而且超补水，满意，凑活动买的，便宜了很多，几块钱一支，物美价廉。	涂抹免洗睡眠面膜	14	0
****e	0	5	真的挺好的有很多很多只主要是超级方便呀不用洗就可以直接睡觉懒人绝了也很补水早上起来脸很舒服滑嫩主要是超级便宜一起买四件四折支持京东	【免洗睡眠面膜】16支装	14	0
****k	0	5	淡淡的高级香，不黏腻，特别好吸收，就是一袋得分三次用，一次用不了。京东自营的品质值得信赖，物流速度超级快，总体感觉特别棒，希望以后多做活动	涂抹免洗睡眠面膜	14	0
****x	1	5	哈哈哈，太喜欢这个面膜了。每天涂完直接睡觉，方便简洁，搞活动买的也便宜，感觉晚上的护肤步骤都简化了，我是易敏体质，完全不过敏	新品【免洗睡眠面膜】16支装	14	0
缘***7	1	5	比想象中的好多，一直再找睡眠面膜，一次买了好多盒，特别水润，补水效果很好，值得购买，非常棒，京东老顾客，值得信赖，用完后继续回购	便携装-补水保湿睡眠面膜16条	14	0
p***K	1	5	这个是第一次购买，用了一个，味道淡淡的很好闻，抹一会就水水的，看后面效果怎么样	涂抹免洗睡眠面膜	14	0
s***5	1	5	一直用美迪惠尔的面膜，也只用美迪惠尔，补水是顶重要的，第一次买这款睡眠面膜，小巧的一支，出差带更方便，吸收很好，不油腻。	涂抹免洗睡眠面膜	14	0
****f	1	5	一条量很多，每次擦完还剩好多每次懒得敷面膜的时候就用这个，免洗的很方便活动期间购买，价格很美丽京东物流送货到家，而且速度快	新品【免洗睡眠面膜】16支装	14	0
z***垚	0	5	物流快，活动很给力，买了一堆，经常使用效果非常好，水水嫩嫩的，值得买。	新品【免洗睡眠面膜】16支装	14	0
y***2	1	5	面膜收到了，七夕节买的，活动力度大，发货速度快，之前用过那款补水都，趁现在活动买了好几种，看哪种最好用，价格实惠，很满意～好评。	新品【免洗睡眠面膜】16支装	14	0
姚***城	1	5	睡眠面膜涂完很湿润，本以为份量小涂不完，没想到整张脸涂的很匀	涂抹免洗睡眠面膜	14	0
U***鹤	1	5	用完第二天脸滑滑的，很嫩，很舒服，不会闷痘，基本两三天用一次，没有用了四五次了，没有长痘痘，会持续用下去的，很方便	涂抹免洗睡眠面膜	14	0
s***1	1	5	一直用他们家的面膜，这次看到有睡眠面膜特意试试。香气淡淡的，很柔和，质地不是霜膏状，而是像乳液一样。涂脸后按摩很快就变成水一样的质地，打圈按摩一阵儿后，轻拍吸收即可。脸上也不油腻，很舒服，好用会继续的。小小一支携带也方便，冬季天气一定要做好补水	涂抹免洗睡眠面膜	14	0
G***6	1	5	一直在用这个牌子的面膜跟护肤品，性价比很高下次凑单买了这个睡眠，意想不到的好啊，用完水水嫩嫩的，会推荐给身边的朋友们的	涂抹免洗睡眠面膜	14	0
****y	1	5	膏状的质感，涂上摸开有水珠感，一小条刚合适我这种大脸，很方便，出差带上一小条很方便，这个很适合懒人使用，涂上后就去睡觉，不用洗脸，脸上也不会油腻	涂抹免洗睡眠面膜	14	0
郝***菈	1	5	还行。用完之后再来追评。这个是补水的，用过再说效果。睡眠面膜应该不存在这个问题。比较相信京东自营的商品，物流也很快。	涂抹免洗睡眠面膜	14	0
****e	1	5	已经是第二次拍了补水效果很好赶上优惠非常实惠	新品【免洗睡眠面膜】16支装	14	0
****y	1	5	好用捏，好用昂，质地很清柔，抹上去挺舒服的，而且包装都小袋，带出去不要太方便，出去玩带过几次了，懒人必备，懒人专属，补水效果杠杠	涂抹免洗睡眠面膜	14	0
****1	1	5	一次一条，多揉两下就出水珠了，真的很神奇，第一次用这种有些小惊喜，用完第二天脸嫩嫩的，效果还可以，主要给老公用，练车被风吹的又黑又亮	涂抹免洗睡眠面膜	14	0
****b	1	5	挺好用的，晚上涂完，脸一直滑滑的，量还挺大的，就是要吸收挺久的，用完还是最后要再用洗脸巾擦掉，现在有活动真的很划算，多买了一点	涂抹免洗睡眠面膜	14	0
u***1	1	5	现在是一条一条的包装，原来是袋子包装，每袋含量高很多，袋子口还得有可以拧紧的盖子，更喜欢原来的包装。用起来倒是没什么差别，里面白色的乳状物，用手指绕圈轻轻推开后变成小水珠，涂在脸上很舒服，一直回购的品牌。	涂抹免洗睡眠面膜	14	0
照***助	1	5	专业做面膜，放心购买，这款睡眠面膜果断下手，出门旅行带着方便，补水效果很好，吸收很快，不油腻，到第二天早上醒来脸上都是润润的。没用过这款可以试试。	新品【免洗睡眠面膜】16支装	14	0
玄***8	1	5	这款美迪惠尔睡眠面膜非常好用，一次使用一整条后，脸上爆水珠，特别水润，补水保湿效果好，用后不用清洗，方便实用。元旦拍的，用了漂亮的包装礼盒。会继续回购。	涂抹免洗睡眠面膜	14	0
****3	0	5	已经用了很多贴了，补水效果很好	涂抹免洗睡眠面膜	14	0
w***龙	1	5	面膜很好用，懒人必备，包装很好，不错。滑滑的适合肤质任何肤质都可以用吧，毕竟是补水的补水效果第二天早上看起来很好贴合效果涂抹式的很贴合啦其他特色懒人必备。	涂抹免洗睡眠面膜	14	0
x***u	1	5	美迪惠尔Mediheal水润保湿免洗睡眠面膜ml支这款美迪惠尔水润保湿面膜，是我的不二之选，洁面爽肤后，取出面膜，调整好贴合脸部，静待分钟，再揭下，把剩余精华液轻轻按摩至吸收，我一般晚上是不洗的，第二天早上起来皮肤特别水润光滑，一周大概敷三次左右，皮肤会越来越光滑细嫩哦	涂抹免洗睡眠面膜	14	0
****c	0	5	多使用感受凉爽适合肤质干皮混皮补水效果很好贴合效果不错	涂抹免洗睡眠面膜	14	0
鵺***錨	1	5	一些时候需要敷面膜的时候，有时候总是懒得，所以这个时候就需要睡眠面膜了。美迪惠尔德这款睡眠面膜添加了植物精华和成分，补水效果很不错。一盒有十只，每只都是独立包装，卫生干净，携带很方便。质地是十分水润顺滑的膏体，一抹开就能感受到淡淡的清香以及水润感。睡前涂上，等醒来再洗掉，能够感觉皮肤的水润度有明显提升，而且软软的。适合皮肤干燥需要补水但是想偷懒的人群。	【免洗睡眠面膜】16支装	14	0
****g	0	5	很细腻补水效果补水效果很好，不黏腻使用感受第二天起来感觉皮肤状态会比平时好		14	0
n***3	1	5	第一次用脸有一点点刺激感和发热感，用两次就好了，不错。这个用起来方便，晚上涂抹完，直接睡觉了，第二天早上洗脸就行，吸收一晚上很充分，挺好的。	涂抹免洗睡眠面膜	14	0
伊***y	1	5	面膜很好用里面还有小颗粒可以去角质	涂抹免洗睡眠面膜	14	0
b***w	1	5	今年的新产品，小包装，很可爱。抹好不用清洗很方便早上起床感觉非常的不错。也很好携带。补水效果好，很滋润。趁着活动狠狠地买了很多，够用很久了。mediheal一直的品牌，一直的信任，一直的使用。京东是个很负责的平台服务也非常好。	新品【免洗睡眠面膜】16支装	14	0
喂***北	0	5	很喜欢的这个睡眠面膜，又方便又不错产品质感感觉和面霜一样	涂抹免洗睡眠面膜	14	0
浅***1	1	5	第一次买这个，感觉还可以，携带方便，而且非常轻，经常出差携带方便，使用了几次，感觉补水效果还可以，推荐。很划算。还可以使用感受可以适合肤质都可以补水效果Ok	涂抹免洗睡眠面膜	14	0
灿***李	1	5	一直在用这个牌子的面膜，免洗的是第一次尝试，还没用呢用过了再来追加，就是活动时候购入很是划算，京东物流超级快呢，第二天就到啦。	新品【免洗睡眠面膜】16支装	14	0
长***酒	1	5	终于在京东商城购买到新款美迪惠尔夜晚使用的面膜又赶上教师节，优惠活动力度非常大收到商品，包装完好无损还没有使用看说明是一款非常好的一款不用洗的面膜，使用后再追平，下次优惠活动还会继续囤货，感谢商家客服人员提供优质服务。	新品【免洗睡眠面膜】16支装	14	0
j***耿	1	5	多次购买，便宜好用，这个睡眠面膜敷脸上马上起水珠，而且一支分量很足，可以敷厚厚一一层，好用。		14	0
n***3	1	5	一次买了四盒，很划算。买了多次了，很好用。晚上敷上，直接睡觉，第二天洗面奶洗脸即可。质量非常好，赶上活动购买非常的划算客服真的很不错哦～	涂抹免洗睡眠面膜	14	0
随***啊	1	5	多次回购了，作为日常补水还是很不错的，做活动的时候买也很划算，这种涂抹式的冬天用很方便，晚上睡觉可以直接涂脸上就可以，不过我都是一条涂上半个小时洗掉	涂抹免洗睡眠面膜	14	0
小***游	0	5	我是之前送的这个赠品很好用才买的，首先它不油而且很补水，用了洗完脸滑滑的补水效果很好。		14	0
u***i	1	5	已经用了才来评价，感觉很挺水嫩，春季皮肤干燥，容易过敏，做面膜又麻烦，就买了这一款，晚上用很方便		14	0
寒***仔	1	5	之前一直用的蓝色的那个补水面膜，现在换其他的款试试，希望一如既往的好用。活动价入手的很划算，希望敏感皮不会起什么闭口啥啥啥的	涂抹免洗睡眠面膜	14	0
钓***5	1	5	产品质量很好感受舒适很舒服使用感受非常棒品牌实力强适合肤质皮肤有些干燥补水效果良好用两次就有效果非常好贴合效果贴合度紧凑良好其他特色物流还是一如既往地快客服服务良好		14	0
漫***妹	0	5	活动期间购买，非常划算，补水效果好，京东自营的品质绝对相信，是正品，全五分好评，下次活动划算再来囤一年的面膜货，不粘稠，睡醒第二天洗掉	涂抹免洗睡眠面膜	14	0
****c	0	5	这款是懒人必备神器，补水效果很好，简单方便，喜欢		14	0
G***I	1	5	看着还可以这个牌子的面膜超级性价比的，睡眠面膜还没用过，试一下	涂抹免洗睡眠面膜	14	0
很***3	1	5	面膜收到了，用了几天才来评价，效果不错，补水效果也很好。	新品【免洗睡眠面膜】16支装	14	0
小***了	1	5	有活动还是很划算的。快递包装的很好，物流速度也很快，日期也挺好的，还没有开始用，不过算是一次很满意的购物体验，好用的话会再回购	涂抹免洗睡眠面膜	14	0
