user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
2***2	0	5	经常购买蒂佳婷面膜，感觉敷完之后润润的，也没有香味，补水效果很好，里面的营养液也比较多，以后还会回购，京东的产品信得过，品牌也是大品牌，推荐推荐	深层补水【水润安瓶面膜】	5	0
p***7	1	5	一直使用这个品牌的面膜，超级好用。补水效果超好，轻薄不粘腻。东京购买超级方便，动动手机隔天送货到家。再也不用兴师动众到处找韩国了。	深层补水【水润安瓶面膜】	5	0
f***3	0	5	好喜欢这款，密集补水可以让整个皮肤水嘭嘭的，感觉很好，喜欢面膜布很贴合，真的太喜欢这款宝贝了，一直用这个品牌，喜欢	深层补水【水润安瓶面膜】	5	0
d***9	1	5	特别好之前一直只用蓝色的那款，现在多买了几种，尝试下新的面膜，目前只试了蓝色和白色，蓝色的和我之前线下买的差不多，补水效果蛮好的，白色也很好，看不出啥区别	新品【透亮保湿】水润安瓶面膜	5	0
z***b	1	5	之前在同学那用过这款面膜，当时觉得很好用，就自己也买了，保湿效果非常好产品质感精华亮适中，面膜纸透气使用感受补水效果非常棒适合肤质我是混合性皮肤用着不错	深层补水【水润安瓶面膜】	5	0
快***圈	1	5	包装很好，是正品无疑了，超赞的，买了很多次了，这次买了四十片，优惠活动多多，物美价廉很补水，超赞适合肤质中干性皮肤补水效果特别补水，很好	深层补水【水润安瓶面膜】	5	0
****c	1	5	这款面膜质感不错这是我用了几年的品牌面，用起来还不错我是中性皮肤用起来感觉不错补水效果面膜补水效果非常好面膜贴合度也不错其他特色不错	新品【透亮保湿】水润安瓶面膜	5	0
萧***北	0	5	这款面膜据说是面膜呢，补水效果据说比较好，用了两次感觉还不错，精华液很多，膜布也都特别服帖，而且膜布吸收了很多精华，不浪费，好评	新品【透亮保湿】水润安瓶面膜	5	0
****2	1	5	赶上活动我一下买了四盒，买了两款面膜，已经拆开适用了，很不错，面膜纸非常的薄，大小也很贴合面部皮肤，精华液也很多，敷在脸上很舒服，敷完以后脸部皮肤滑滑的，皮肤很嫩。	深层补水【水润安瓶面膜】	5	0
r***i	1	5	面膜质感不错精华充足而且面膜纸很透气不闷补水效果不错贴合度也很好油皮可用用完第二天皮肤很好水水嫩嫩的很好上妆	深层补水【水润安瓶面膜】	5	0
****l	1	5	换季冬天皮肤干燥，需要多敷一些补水的面膜，这一款的补水效果非常好，使用起来效果也很明显，可以很大程度上改善皮肤缺水的状态，敷的时候脸很舒服，不刺激	深层补水【水润安瓶面膜】	5	0
****q	1	5	筛选了很久，选第一次买，正好有活动买了两单面膜，拿到就用了试用装，挺不错的，很服帖，补水效果很好。等待其他的护肤品快递。好评	新品【透亮保湿】水润安瓶面膜	5	0
两***猪	1	5	同款面膜买了两盒，包装非常的严密，面膜精华液很多，补水效果非常好，用起来脸润润的，有一点点淡淡的味道，应该是属于香精的味道，闻着还是挺舒服的，介意者慎拍	深层补水【水润安瓶面膜】	5	0
j***4	0	5	一直用这个品牌的面膜，这款新出的还是第一次用，面膜里面的精华液挺多的，面膜很薄很服帖，贴完还有很多精华，需要按摩以后擦掉多余的。	深层补水【水润安瓶面膜】	5	0
y***k	1	5	最近换季肌肤下就觉得紧绷了，用了美迪惠尔新出的这款＃安瓶面膜揭开面膜那一刻真的会哇哦一下它的急速补水和水润提亮效果真的有惊讶到我它是一整支安瓶精华集于一片面膜，每一片都是满满的保温精华除了重帮助深入补水之外，还添加了银耳提取物全面滋养，丙三醇辅助锁水～天丝绒的膜布纸也值得夸像我这种比较敏感，容易泛红的肌肤用也是舒舒服服～轻薄服帖也不会往下掉整个爱住千皮完全离不开它，敷完瞬间拥有水润澎澎肌性价比也很在线	深层补水【水润安瓶面膜】	5	0
王***杰	1	5	同批次买了很多，够用很久了了吧，买的全是补水保湿的，偶尔还有美白的，记不住了，挺好用的。便宜又实惠，每天下班来一个，周末没事来一个，爽歪歪	新品【透亮保湿】水润安瓶面膜	5	0
