user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
****?	1	5	一次买了盒面膜，这个牌子面膜用了好几年，任何一款使用效果都很好，补水，美白淡斑，营养皮肤的功效都很显著，好而不贵，真的很实惠，	【改善暗沉】维生素面膜	7	0
****x	1	5	面膜收到了，用了一下感觉还不错，纸薄薄的，精华非常多，敷完脸滑滑的，没有刺痛感，很舒服，吸收也很快，面膜物美价廉，值得拥有，推荐	【改善暗沉】维生素面膜	7	0
_***a	1	5	从大学一直用美迪惠尔可以说是他家的死忠粉啦面膜补水而且味道也很好闻赶上有活动多囤了几盒给我邮过去了简直不要太合适	【改善暗沉】维生素面膜	7	0
****p	1	5	双十一购买了些面膜，优惠力度相对平时要优惠一点，我一次屯了好些，好几个牌子的，这个牌子以前也经常购买，因为一盒片，相对北较实惠，平常就当补水面膜，基本一天一片，这款面膜不是属于那种特别薄的那种，敷完之后要抹上些霜，不然脸会干，北京太干了，一般敷完之后脸上一些小细纹都会消失，补水很重要，很贴合，总体很满意。	【透亮美肌】维生素面膜	7	0
今***没	1	5	这个牌子第一次用，不过一次性购买了很多盒，补水效果很好，使用后没有出现过敏的情况。温和不刺激，贴个效果也很不错敷起来吧	【改善暗沉】维生素面膜	7	0
****J	1	5	这个牌子的面膜经常用效果还可以面膜也不厚服贴度也很好正好赶上春天皮肤太干了又有活动就多囤了几盒几乎天天敷	【改善暗沉】维生素面膜	7	0
王***薛	0	5	包装不错，给媳妇买的她说还可以。媳妇使用后说，这款面膜补水效果不错，使用完，感觉皮肤很光滑。面膜大小合适，敷在脸上很合适。	【改善暗沉】维生素面膜	7	0
****f	1	5	这个面膜，已经回购了很多次了，用起来真的不错，补水效果好，里面的精华液也比较多，还可以涂脖子和胳膊，用完后涂粉，不会出现卡粉的现象，特别满意，这次是给妹妹买的，特意等她用了几天后，问了她说用起来很好哦，值得一试	【改善暗沉】维生素面膜	7	0
****o	1	5	这个面膜是我在美丽修行里边儿查过成分的。成分很安全，没有防腐剂，也没有孕妇不能用的成分。所以就果断购买啦。应该是补水的，还有一个是维生素的。用起来也挺好的。精华也比较多，推荐。	【改善暗沉】维生素面膜	7	0
****q	1	5	面部贴合不错，没有太大也没有太小，基本合适。包装很方便，上面开口，一盒十片，比较好收纳使用感受用起来很舒服，不太容易皱产品质感很满意，会回购	【改善暗沉】维生素面膜	7	0
y***央	0	5	夏天太阳太大，很容易产生黑色素，在补水保湿面膜的辅助下，再加上美白面膜，就能很好地保持皮肤气色，不被晒黑，挺好的产品，还会继续回购的。	【改善暗沉】维生素面膜	7	0
****r	1	5	最喜欢的面膜包装，很有质感使用感受不刺激，里面的精华液都附着在面膜上适合肤质补水保湿不刺激补水效果口碑很好的一款面膜，还不错吧坚持使用贴合效果这个必须好评，面膜纸大小很合适，很贴合面部	【透亮美肌】维生素面膜	7	0
