user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
****a	1	1	这个包装我也是醉了，又烂又脏	新品【透亮保湿】水润安瓶面膜	5	2
****u	0	1	不行阿，膜完脸好红，又有点烫热的	新品【透亮保湿】水润安瓶面膜	5	2
u***a	0	1	用过起小红点和小白头	深层补水【水润安瓶面膜】	5	2
我***0	0	1	预付骗钱，预付也没有比单买便宜。	深层补水【水润安瓶面膜】	5	2
徐***超	0	1	昨天下单折，今天就折了这价格让人闹心	新品【透亮保湿】水润安瓶面膜	5	2
b***i	1	1	东西不错第二天就便宜了元不划算	新品【透亮保湿】水润安瓶面膜	5	2
****4	0	1	用完脸上刺痛，起了红疙瘩	深层补水【水润安瓶面膜】	5	2
****c	1	1	假货，不好用，一点效果没有	新品【透亮保湿】水润安瓶面膜	5	2
l***0	0	1	买亏了，水很多，没有觉得很好用	新品【透亮保湿】水润安瓶面膜	5	2
****w	0	1	连个包装都没有，全都压坏了，售后跟没有似的，还要自己去退货	深层补水【水润安瓶面膜】	5	2
_***-	0	1	这个包装给大家感受一下，新世界的大门，挺无语的反正	新品【透亮保湿】水润安瓶面膜	5	2
****t	1	1	买了不久就降价，假货	深层补水【水润安瓶面膜】	5	2
他***了	0	1	做完这面膜长痘了不知道是过敏还是怎么了	新品【透亮保湿】水润安瓶面膜	5	2
漂***5	0	1	评价都是假的，不会好	新品【透亮保湿】水润安瓶面膜	5	2
****3	0	1	面膜都贴不到脸上去精华都干了都不知道放了多久的库存	深层补水【水润安瓶面膜】	5	2
1***p	1	1	除了坑钱，啥也不是，没有任何效果，不如抹多多的东西好	新品【透亮保湿】水润安瓶面膜	5	2
l***h	1	1	买了四盒，做活动价格还算可以的，用了一下，补水效果在同价位很不错。活动里说买四送一盒涂抹睡眠面膜没有收到，比较失望，给个差评鼓励一下。	深层补水【水润安瓶面膜】	5	2
于***0	0	1	今天开了一盒，用了一贴，不服帖，总是往下滑，精华也是稀稀的，不多，不如水润款好用，看看后期使用效果吧	深层补水【水润安瓶面膜】	5	2
好***趣	1	1	完全没有第一次用过的效果，这批都是假的吧	新品【透亮保湿】水润安瓶面膜	5	2
****3	0	1	到货都这样了辣鸡辣鸡辣鸡	深层补水【水润安瓶面膜】	5	2
****e	0	1	一颗星都不想给包装像是假的	深层补水【水润安瓶面膜】	5	2
F***H	1	1	态度太多一点都不好，差评差评差评	深层补水【水润安瓶面膜】	5	2
****r	0	1	买完就降价还不给退差价无语	新品【透亮保湿】水润安瓶面膜	5	2
大***灬	0	1	是假的质量特别差精华特别少	深层补水【水润安瓶面膜】	5	2
****2	0	1	烂脸了，别买了都，售后也在踢皮球	新品【透亮保湿】水润安瓶面膜	5	2
叶***周	0	1	浓稠剂太靠前了不好用，不会再回购	新品【透亮保湿】水润安瓶面膜	5	2
****t	1	1	这一盒绝对是假货，并且真假混着卖。买了盒，有真有假	深层补水【水润安瓶面膜】	5	2
土***郎	0	1	垃圾假货用了起了一堆白色疙瘩	深层补水【水润安瓶面膜】	5	2
我***艺	1	1	号买的写的隔天到结果三四天都没有到一问客服可真高傲一会是端午节延迟一会是高速堵车一会是仓库放假呵呵真垃圾找理由欺骗过了一会又说仓库没放假号买的还是同城跟号的端午节有什么联系好不容易收到货了还全部发错了一直拖着不处理真垃圾等着投诉吧	新品【透亮保湿】水润安瓶面膜	5	2
w***1	1	1	最近快递员都没给送货过来，也没电话联系就直接操作本人签收，京东自营派送越来越差劲了	新品【透亮保湿】水润安瓶面膜	5	2
周***0	1	1	不好用，第一次选这个牌子，这次网上买的面膜真心的失望	深层补水【水润安瓶面膜】	5	2
****y	1	1	客服有啥问题只让联系京东客服，感觉很不好，不会再来了	深层补水【水润安瓶面膜】	5	2
c***8	0	1	评分是给京东的官方客服，京东官方客服服务态度是打遍天下无敌手的差，没有之一	新品【透亮保湿】水润安瓶面膜	5	2
****石	0	1	真是绝了，说是可以收货，结果号才发出，而且是我反复无数次联系客服才发的，客服回复非常不及时，每次都不能解决问题，最后是我坚持不懈的找人工客服才收到货，那个包装也绝了，直接面膜外面用个袋子装，面膜盒全压扁了，第一次遇到这么奇葩的事	新品【透亮保湿】水润安瓶面膜	5	2
醉***潇	1	1	快递箱没有任何保护措施，产品就这么一堆的送来了，包装损坏，有的还被拆封，不管产品效果怎么样，就现在这种情况，心情都不会好了	深层补水【水润安瓶面膜】	5	2
****o	0	1	很垃圾，贴了不密合，这么垃圾的面膜便宜这十几块钱也没必要，大家加十几块买其他的款式，别买这款	深层补水【水润安瓶面膜】	5	2
****0	1	1	很差太差了这么贵的面膜实在是太小了本人脸已经很小了面膜居然比脸还小	新品【透亮保湿】水润安瓶面膜	5	2
婉***子	0	1	不会再买这个牌子的面膜了，虽然便宜，打开后就一个面膜，连面膜纸都没有，还有一股闻着像廉价香精的味道	深层补水【水润安瓶面膜】	5	2
****j	1	1	垃圾，都是酒精，用完起痘痘	新品【透亮保湿】水润安瓶面膜	5	2
S***y	0	1	买了这么多，也就这一个是好的，	深层补水【水润安瓶面膜】	5	2
****b	0	1	差评，欺骗消费者	新品【透亮保湿】水润安瓶面膜	5	2
****Y	0	1	我一颗心都不愿意给买的面膜打开都是干的我也是醉了	深层补水【水润安瓶面膜】	5	2
****6	0	1	十片面膜，原本想着会好的点，太差劲了	深层补水【水润安瓶面膜】	5	2
-***夏	1	1	拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单拉圾鲸冻，砍币的单	新品【透亮保湿】水润安瓶面膜	5	2
****o	0	1	骗人的大家小心	深层补水【水润安瓶面膜】	5	2
吃***款	0	1	→→看看这包装	深层补水【水润安瓶面膜】	5	2
x***8	1	1	公司少发我一盒	深层补水【水润安瓶面膜】	5	2
l***9	1	1	太薄不好用	新品【透亮保湿】水润安瓶面膜	5	2
****g	1	1	太差了	新品【透亮保湿】水润安瓶面膜	5	2
g***1	1	1	没效果，不好	新品【透亮保湿】水润安瓶面膜	5	2
加***猫	1	1	如图所示	新品【透亮保湿】水润安瓶面膜	5	2
z***6	1	1	不好用	新品【透亮保湿】水润安瓶面膜	5	2
杨***6	0	1	差劲	新品【透亮保湿】水润安瓶面膜	5	2
七***_	0	1	起闷痘了	深层补水【水润安瓶面膜】	5	2
****z	0	1	看图说话吧	深层补水【水润安瓶面膜】	5	2
****n	0	1	超级差劲差劲	深层补水【水润安瓶面膜】	5	2
****z	0	1	盒子破的	深层补水【水润安瓶面膜】	5	2
1***p	0	1	非常差	深层补水【水润安瓶面膜】	5	2
****1	0	1	补水效果真差	深层补水【水润安瓶面膜】	5	2
右***羊	1	1	这个差评是给商家和京东客服，总共购买盒面膜一个赠品都没送，找客服回复结果是必须购买同一种面膜才可以我也是无语了第一商家在活动页面上明确写了买件及以上送赠品没有说明必须同一种，第二当时参与赠品活动的包含其他几款面膜而且都是元买盒活动存在误导，第三售后联系客服反馈情况回复结果不满意有店大欺客行为。	深层补水【水润安瓶面膜】	5	2
u***q	0	1	刚买到手就降价不给补差价说可以退货重买买面膜就是为了用的肯定打开了根本没法退货该重买耽误时间其实就是不给补差价的借口没多钱懒得要差价就是觉得商家这么做挺次的	新品【透亮保湿】水润安瓶面膜	5	2
可***3	1	1	明明购买的时候写的买送，最后只收到盒，问客服，客服说买盒同款送盒，我一个链接买的盒，同个品牌同个价位，买的时候以为就是任意买满盒就能送。玩文字游戏，。其实客服客服跟我解释一下我也不说什么了，居然还跟我说，让我查字典。我真是气到了，第一次在京东买东西写评价，第一次给差评，送给京东这位客服了，怼人有一套。	深层补水【水润安瓶面膜】	5	2
y***哲	1	1	这面膜挺好用的。很补水由于他们的客服太差了我只想给差评。当然我也是自己少看了一个操作，一样的价格因为自己少看了，所以到货一盒。和客服进行沟通显得很没有耐心，让我直接退了解决。一样价格四盒和一盒为什么不选择让顾客有满意购物体验，或者告知为什么要退，再补发剩下三盒就，而是直接给我京东的服务热线让我自己投诉的意思吗。我下次并不想因为产品的好再想去购买了。并不想道德绑架服务行业，但是服务行业的本身就是让顾客购物后满意离开，并没有解决问题还让顾客想去投诉就投诉吧。这是我在京东买东西最差的客服体验了。	深层补水【水润安瓶面膜】	5	2
飞***e	1	1	简直可以说是非常差了，双十一买的四盒，敷了感觉和原来的买的完全不一样，质量很次，面膜摸着敷着都不和原来那么润了，有点糙，面膜很干燥，和客服反应，准备问下是什么问题，客服一直用官方话术和我沟通，完全解决不了问题，我一直在美迪惠尔买面膜使用，这也是第一次差评，也是最后一次，再不会用这个了	深层补水【水润安瓶面膜】	5	2
