user_name	is_plus	star_num	comment	commodity_type	type_index	star_index
叮***-	0	1	包装盒都是拆过的，还京东自营	维生素面膜10片	7	2
****f	0	1	没收到呢看看用用在追加评价	维生素面膜10片	7	2
u***7	0	1	包装发过来都是破的，都被猜开了	维生素面膜10片	7	2
m***y	0	1	挺好的，值得购买，买过不会后悔的	【透亮美肌】维生素面膜	7	2
洪***啊	0	1	用了过敏十天了都没好	维生素面膜	7	2
史***5	0	1	貌似假的都一点也不滋润	维生素面膜	7	2
李***諭	0	1	和屈臣氏买的差别太大退货	【透亮美肌】维生素面膜	7	2
二***花	1	1	像被的一样，都不敢用了	维生素面膜	7	2
****w	1	1	买完不久就降价，不可理解	维生素面膜	7	2
****w	1	1	，一次性买了合，都不好用了	维生素面膜	7	2
5***j	0	1	用着一般一般一般一般一般啦	维生素面膜10片	7	2
l***9	1	1	打开塑料包装后竟然是这个样子的，郁闷	透亮嫩白维生素面膜25ml*10	7	2
u***p	0	1	没有密封条，感觉被拆过	维生素面膜	7	2
****q	0	1	不好，收到货盒子都坏了	维生素面膜10片	7	2
****5	0	1	收到货后包装都是破的，	维生素面膜10片	7	2
****6	0	1	被拆过的，里面外面都是	维生素面膜	7	2
x***g	1	1	路边摊的服务都比京东好	维生素面膜10片	7	2
天***0	1	1	包装不用心，一分也不想给	维生素面膜10片	7	2
刘***1	1	1	刚买完降价一半多呵呵呵	维生素面膜10片	7	2
y***1	1	1	货收到了，外包装都破损了	维生素面膜10片	7	2
尛***陆	1	1	这包装确实不敢恭维，像被拆开退货过的一样	维生素面膜	7	2
u***u	0	1	盒子已经完全被拆开了，肯定是有问题的东西	维生素面膜10片	7	2
****k	0	1	都这样了还不给退货，差差差	【改善暗沉】维生素面膜	7	2
慢***流	1	1	买回来就这样了，明显被撕开过啊	维生素面膜10片	7	2
****9	1	1	不像是正品，包装都是坏的	维生素面膜10片	7	2
山***客	0	1	便宜是便宜但是感觉不是真的	维生素面膜10片	7	2
是***啊	0	1	有史以来终于买到了假货，	维生素面膜	7	2
放***浪	0	1	京东服务越来越差，监管不到位	维生素面膜10片	7	2
h***y	0	1	开箱后，内包装已打开，且无封条。	维生素面膜	7	2
提***9	1	1	这款不好用，不如蓝色补水的	维生素面膜	7	2
荣***3	0	1	不想有过多评价，感觉是别人退货又发给我的	【透亮美肌】维生素面膜	7	2
绚***理	1	1	有荧光，各位还是不要买了。	【透亮美肌】维生素面膜	7	2
涵***颖	1	1	用了后有微痛感，与在韩国买的不一样。		7	2
小***0	0	1	跟韩国买的不一样像是随机到假货了	维生素面膜10片	7	2
****v	0	1	拿到手每个包装都破了	【透亮美肌】维生素面膜	7	2
彭***K	0	1	不好使用感受不好补水效果不好贴合效果硬	【透亮美肌】维生素面膜	7	2
叫***哥	1	1	跟原产地生产的不同真是不能贪便宜	透亮嫩白维生素面膜25ml*10	7	2
****F	0	1	，里面竟然还有干了的。	维生素面膜10片	7	2
水***G	0	1	面膜用完了，没什么效果，浪费钱	【透亮美肌】维生素面膜	7	2
****2	0	1	不知道为什么收到后，这个盒子是开的	【改善暗沉】维生素面膜	7	2
****a	0	1	不好料，比正宗进口的差太多。假进口货	维生素面膜10片	7	2
****9	0	1	一般没感觉，用了和没用一样	【透亮美肌】维生素面膜	7	2
何***8	0	1	刚刚买完一两天就降价了，还不给保价，真的是醉了	【透亮美肌】维生素面膜	7	2
****z	0	1	假的，你们要是贪便宜就买吧，自己的脸要爱惜	【透亮美肌】维生素面膜	7	2
米***3	0	1	盒子脏脏的而且都是打开的盒子就送过来了，大写的服。	维生素面膜10片	7	2
小***1	1	1	打开快递直接这个样子	【改善暗沉】维生素面膜	7	2
****2	0	1	日期是旧的回来以后包装也是破的	【透亮美肌】维生素面膜	7	2
女***妈	0	1	不好里面有的都干了，要是没打开我就退了	【透亮美肌】维生素面膜	7	2
C***净	1	1	盒子都没有封条，开封过的	【改善暗沉】维生素面膜	7	2
****1	0	1	面膜干干的没有水份，很怀疑不是正品	【透亮美肌】维生素面膜	7	2
u***c	0	1	买回来包装都破破的，不知道该说点啥，。	维生素面膜	7	2
****e	1	1	第一次用，一点精华没有。也不知道是不是真的	维生素面膜	7	2
洋***-	0	1	这个一点也不好用完起小红疙瘩	维生素面膜10片	7	2
z***B	0	1	辣鸡的要死，拿到手包装全坏了	【改善暗沉】维生素面膜	7	2
****3	0	1	你们家打包的时候发生了什么，能这样	【改善暗沉】维生素面膜	7	2
****e	0	1	三盒面膜，估计这个还能用用，这样的网购伤心	维生素面膜10片	7	2
****a	0	1	精华液太少了，贴上也没有那么好	维生素面膜	7	2
小***0	0	1	两包用完了没什么效果	【改善暗沉】维生素面膜	7	2
****v	0	1	用完之后过敏了，敏感肌千万不要用	【透亮美肌】维生素面膜	7	2
s***y	1	1	为什么包装都是烂的，感觉让人偷龙转凤了。	维生素面膜10片	7	2
u***u	0	1	质感不好，是不是面膜纸在水里过一遍呀	【改善暗沉】维生素面膜	7	2
情***u	0	1	用了好久这个产品这次买来用了起满脸的红疙瘩确定是假货	维生素面膜	7	2
z***a	1	1	精华液太少干的不行不好用	维生素面膜	7	2
u***j	0	1	面膜干巴巴的，没有一点水分	【改善暗沉】维生素面膜	7	2
琪***哦	0	1	用了连续起了好几个痘痘，	【改善暗沉亮肤】维生素面膜	7	2
u***n	0	1	刚收到货就包装盒就被全撕开了。包装袋而且也给撕了个口	维生素面膜10片	7	2
****1	0	1	说了有送睡眠面膜但是客服不承认	【改善暗沉亮肤】维生素面膜	7	2
谦***S	0	1	包装越来越糊弄，三盒包装都破损，看着都生气，	维生素面膜	7	2
****念	0	1	不知道为什么盒有盒居然是打开的	【改善暗沉】维生素面膜	7	2
u***y	1	1	没用过不知道管不管用，买完就降价。	【改善暗沉】维生素面膜	7	2
A***y	0	1	早知道出现了这个事，我就不买此面膜了以后坚决不买韩国货了爱国	维生素面膜10片	7	2
6***c	1	1	精华液少得可怜，慎拍，没效果	【改善暗沉】维生素面膜	7	2
****e	0	1	不好使用感受一般补水效果	【改善暗沉】维生素面膜	7	2
****1	1	1	送东西挺快，但是货邮到了，这都成什么样了，东西是没少，但是让我怎么送人	维生素面膜	7	2
没***儿	0	1	最受不了的就是这个，盒子拿出来了，面膜还在里面	维生素面膜10片	7	2
任***飞	1	1	才买了几天活动降价，让我这个一次性买了一堆的人情何以堪	【透亮美肌】维生素面膜	7	2
****j	0	1	里面的精华液不多，面膜不怎么补水	【透亮美肌】维生素面膜	7	2
M***然	0	1	第二次买了，觉得不错才继续买明显比第一次差的远不像是正品	维生素面膜10片	7	2
F***7	0	1	收到的面膜盒子都没有塑封，感觉不是新的	【改善暗沉】维生素面膜	7	2
****9	0	1	包装好破，感觉像是没人要的，我都怀疑是不是假货	维生素面膜10片	7	2
****6	0	1	这种包装还发出来有点担心是不是正品了	【改善暗沉】维生素面膜	7	2
****f	0	1	盒子是打开的没有封盒子的标签已经被摘了	【透亮美肌】维生素面膜	7	2
l***t	1	1	不像真的盒子都破了	维生素面膜10片	7	2
颜***y	0	1	买了几次，越来越干了	维生素面膜	7	2
1***p	0	1	感觉不是正品。里面精华液少面膜比较干	维生素面膜	7	2
****r	1	1	为什么包装是拆开的	透亮嫩白维生素面膜25ml*10	7	2
****1	1	1	包装盒可以再烂点吗	维生素面膜	7	2
东***4	0	1	包装特别不好，都漏了，不知效果如何，但愿不是假货	维生素面膜10片	7	2
H***E	0	1	我妈妈说有点假本来买的三盒就退了两盒反正不推荐	【改善暗沉】维生素面膜	7	2
****c	0	1	不是很好。补水效果不充足。	【透亮美肌】维生素面膜	7	2
****u	1	1	没什么用完第二天还是起皮	维生素面膜10片	7	2
澳***哟	0	1	怀疑是假货啊，打开快递，没有包装而且面膜盒子坏了	【改善暗沉】维生素面膜	7	2
****b	0	1	盒子全都是烂的，第一感觉就不好。不好的一次体验。	【改善暗沉】维生素面膜	7	2
就***哦	1	1	能保护好商品吗只要没有纸盒包装每次送来的货都被压瘪戳漏。咱们能爱护一下商品吗	维生素面膜10片	7	2
****6	0	1	精华液少，感觉是假货	透亮嫩白维生素面膜25ml*10	7	2
1***p	0	1	越用越差不知道那么高评分怎么来的	【改善暗沉亮肤】维生素面膜	7	2
l***2	0	1	第一次买这牌子，精华有点少，和我买之前想象有点不一样	维生素面膜	7	2
王***影	0	1	不好用，面膜超厚，不服帖	【改善暗沉】维生素面膜	7	2
魏***7	0	1	脸部从来没有过过敏居然敷这个面膜过敏了	维生素面膜	7	2
z****	0	1	收到货，包装都是烂的，有撕开的痕迹	【改善暗沉】维生素面膜	7	2
u***u	1	1	买了三盒，收到的时候是这个样子的，发货的时候盒子肯定都是破损的，我也是醉了	维生素面膜	7	2
u***8	0	1	还么用，但是实在忍不住吐槽包装就只是用个袋子包装，好歹也用个袋子啊一拿到手就这样了	透亮嫩白维生素面膜25ml*10	7	2
d***q	0	1	盒子被打开过，撕开面膜袋子的口子也不平整，感觉是假货	维生素面膜	7	2
高***长	1	1	假产品，用了起痘，痒	维生素面膜10片	7	2
****r	1	1	面膜精华少的可怜，敷完以后没有什么效果。	【透亮美肌】维生素面膜	7	2
8***g	0	1	面膜质量不是很好，精华少的可怜，下次不会购买了	【透亮美肌】维生素面膜	7	2
晨***2	0	1	冒牌货面膜比正品小很多京东还有正品吗之前买的纸尿裤也是再也不会在京东买了	维生素面膜10片	7	2
****f	0	1	包裝像假货，用了后不像其它面膜皮肤光滑。不晓得是假的不	维生素面膜10片	7	2
****q	0	1	没有包装就算了关键盒子都是破破烂烂还准备送人怎么送	【改善暗沉】维生素面膜	7	2
正****	0	1	精华液好少，也不服帖，不好用	【改善暗沉】维生素面膜	7	2
萱***贝	0	1	从包装袋里拿出来就是这样子，速度咱不说京东就是快这包装也太仓促了希望下次可以包装不要这么惨	维生素面膜10片	7	2
****o	0	1	居然红肿，过敏，气愤	维生素面膜10片	7	2
****a	0	1	无纺布的，厚，并且偏小，难吸收，不喜欢	维生素面膜10片	7	2
z***0	0	1	升级后没有以前的好用，有点怀疑是不是正品	【改善暗沉】维生素面膜	7	2
亲***爹	1	1	开箱一看一共盒有盒开着口没有封口	【改善暗沉】维生素面膜	7	2
白***m	0	1	真假难辨，收到是被拆开的不成样子的。条形码也扫不出来。	【改善暗沉】维生素面膜	7	2
